2#app#app06#app0691/b  -0.050 2.253  -0.050 2.088  -0.050 1.922  -0.050 1.757  -0.083 1.599  -0.134 1.446  -0.134 1.280  -0.149 1.117  -0.201 0.960  -0.218 0.798  -0.218 0.632  -0.218 0.467  -0.218 0.301  -0.218 0.136  -0.218 -0.030  -0.152 -0.168  -0.134 -0.326  -0.134 -0.491  -0.074 -0.642  -0.022 -0.774  0.021 -0.837  -0.064 -0.695  -0.149 -0.553  -0.234 -0.411  -0.320 -0.269  -0.405 -0.127  -0.444 0.009  -0.327 0.126  -0.256 0.235  -0.104 0.266  0.040 0.319  0.205 0.318  0.353 0.244  0.498 0.191  0.640 0.134  0.706 -0.004  0.706 -0.169  0.706 -0.335  0.679 -0.494  0.600 -0.639  0.509 -0.777  0.424 -0.919  0.338 -1.058  0.221 -1.175  0.079 -1.256  -0.048 -1.360  -0.212 -1.363  -0.378 -1.363  -0.497 -1.252  -0.555 -1.110
2#app#app06#app0691/i  -0.075 0.573  -0.075 0.447  -0.123 0.341  -0.196 0.240  -0.252 0.127  -0.273 0.008  -0.362 -0.082  -0.443 -0.174  -0.443 -0.301  -0.500 -0.403  -0.535 -0.515  -0.535 -0.641  -0.535 -0.767  -0.535 -0.894  -0.535 -1.020  -0.535 -1.146  -0.465 -1.244  -0.348 -1.266  -0.221 -1.266  -0.095 -1.266  0.000 -1.191  0.089 -1.102  0.201 -1.076  0.230 -0.961  0.319 -0.872  0.408 -0.783  0.477 -0.685  0.540 -0.622  0.544 -0.527  0.513 -0.405  0.481 -0.283  0.449 -0.161  0.418 -0.039  0.386 0.084  0.354 0.206  0.323 0.328  0.291 0.450  0.259 0.572  0.228 0.695  0.196 0.817  0.164 0.939  0.133 1.061  0.101 1.183  0.069 1.306  0.038 1.428  0.006 1.550  -0.026 1.672  -0.058 1.794  -0.075 1.918  0.017 1.953
2#app#app06#app0691/g  0.137 1.367  0.036 1.267  -0.064 1.167  -0.164 1.067  -0.262 0.965  -0.325 0.839  -0.399 0.719  -0.428 0.589  -0.411 0.464  -0.270 0.464  -0.150 0.517  -0.050 0.617  0.020 0.739  0.142 0.808  0.193 0.929  0.249 1.047  0.306 1.165  0.399 1.161  0.486 1.053  0.531 0.918  0.532 0.777  0.556 0.641  0.588 0.507  0.588 0.365  0.588 0.223  0.588 0.082  0.588 -0.060  0.574 -0.199  0.528 -0.333  0.468 -0.461  0.423 -0.596  0.353 -0.718  0.280 -0.840  0.203 -0.959  0.127 -1.078  0.054 -1.198  -0.049 -1.294  -0.170 -1.366  -0.275 -1.455  -0.416 -1.455  -0.501 -1.398  -0.613 -1.326  -0.654 -1.201  -0.654 -1.059  -0.654 -0.918  -0.654 -0.776  -0.654 -0.634  -0.653 -0.493  -0.585 -0.370  -0.484 -0.269
2#app#app06#app0691/i  -0.106 0.218  -0.187 0.136  -0.269 0.054  -0.351 -0.027  -0.433 -0.109  -0.514 -0.191  -0.536 -0.297  -0.536 -0.413  -0.608 -0.499  -0.644 -0.600  -0.644 -0.715  -0.644 -0.831  -0.644 -0.947  -0.547 -0.965  -0.462 -1.039  -0.360 -1.073  -0.245 -1.073  -0.129 -1.073  -0.013 -1.073  0.102 -1.073  0.218 -1.073  0.333 -1.073  0.430 -1.056  0.417 -0.941  0.404 -0.826  0.390 -0.712  0.377 -0.597  0.364 -0.482  0.351 -0.367  0.337 -0.252  0.324 -0.137  0.311 -0.023  0.298 0.092  0.284 0.207  0.271 0.322  0.258 0.437  0.245 0.552  0.231 0.667  0.218 0.781  0.205 0.896  0.192 1.011  0.178 1.126  0.165 1.241  0.152 1.356  0.139 1.470  0.125 1.585  0.112 1.700  0.109 1.816  0.109 1.931  0.217 1.939
2#app#app06#app0691/n  -0.841 -0.414  -0.841 -0.561  -0.841 -0.708  -0.841 -0.855  -0.841 -1.002  -0.841 -1.149  -0.841 -1.290  -0.841 -1.143  -0.841 -0.995  -0.837 -0.850  -0.733 -0.746  -0.665 -0.619  -0.619 -0.480  -0.572 -0.340  -0.516 -0.204  -0.451 -0.073  -0.385 0.059  -0.319 0.190  -0.252 0.321  -0.148 0.425  -0.068 0.546  -0.002 0.678  0.039 0.816  0.079 0.946  0.183 1.050  0.185 1.196  0.287 1.301  0.391 1.405  0.479 1.468  0.479 1.321  0.461 1.181  0.357 1.077  0.332 0.940  0.332 0.793  0.332 0.646  0.332 0.499  0.332 0.352  0.332 0.205  0.332 0.057  0.332 -0.090  0.332 -0.237  0.332 -0.384  0.415 -0.497  0.519 -0.601  0.623 -0.705  0.770 -0.707  0.917 -0.707  1.064 -0.707  1.211 -0.707  1.358 -0.707
2#app#app06#app0691/k  -0.357 1.135  -0.209 1.242  -0.141 1.368  -0.141 1.561  -0.141 1.378  -0.215 1.203  -0.253 1.019  -0.340 0.846  -0.426 0.674  -0.512 0.501  -0.591 0.325  -0.652 0.142  -0.681 -0.046  -0.716 -0.231  -0.803 -0.403  -0.889 -0.576  -0.918 -0.764  -0.979 -0.947  -1.004 -1.136  -0.915 -1.239  -0.849 -1.084  -0.681 -1.023  -0.574 -0.863  -0.467 -0.702  -0.331 -0.565  -0.195 -0.429  -0.058 -0.292  0.077 -0.155  0.163 0.018  0.317 0.123  0.470 0.236  0.570 0.399  0.708 0.487  0.848 0.614  0.985 0.751  1.153 0.811  1.153 0.618  1.046 0.464  0.923 0.314  0.801 0.165  0.679 0.016  0.557 -0.134  0.435 -0.283  0.312 -0.433  0.190 -0.582  0.234 -0.751  0.402 -0.811  0.551 -0.915  0.637 -1.023  0.830 -1.023
2#app#app06#app0691/y  -0.332 0.934  -0.415 1.008  -0.523 0.927  -0.602 0.791  -0.689 0.660  -0.781 0.539  -0.802 0.389  -0.856 0.254  -0.846 0.101  -0.781 -0.030  -0.632 -0.039  -0.477 -0.034  -0.354 0.062  -0.223 0.146  -0.111 0.257  0.029 0.329  0.143 0.436  0.254 0.548  0.366 0.659  0.477 0.771  0.565 0.892  0.617 1.037  0.715 1.115  0.640 1.118  0.640 0.961  0.640 0.803  0.640 0.645  0.691 0.509  0.764 0.410  0.846 0.335  0.864 0.196  0.864 0.038  0.807 -0.096  0.730 -0.232  0.632 -0.353  0.560 -0.493  0.448 -0.604  0.349 -0.726  0.254 -0.852  0.144 -0.960  0.023 -1.050  -0.063 -1.176  -0.204 -1.246  -0.342 -1.320  -0.473 -1.385  -0.630 -1.385  -0.788 -1.385  -0.919 -1.322  -0.931 -1.169  -0.931 -1.011
2#app#app06#app0691/d  -0.080 -0.232  -0.243 -0.251  -0.364 -0.372  -0.496 -0.476  -0.635 -0.572  -0.764 -0.681  -0.907 -0.772  -0.996 -0.915  -1.098 -1.049  -1.156 -1.206  -1.015 -1.236  -0.944 -1.096  -0.818 -0.982  -0.681 -0.880  -0.561 -0.763  -0.462 -0.630  -0.320 -0.535  -0.196 -0.419  -0.103 -0.278  0.026 -0.179  0.121 -0.044  0.234 0.082  0.327 0.223  0.403 0.376  0.513 0.505  0.589 0.651  0.630 0.816  0.701 0.971  0.777 1.124  0.781 1.294  0.781 1.465  0.779 1.633  0.691 1.538  0.589 1.401  0.490 1.263  0.436 1.101  0.365 0.946  0.289 0.793  0.232 0.632  0.156 0.481  0.063 0.338  0.063 0.167  0.063 -0.004  0.063 -0.174  0.063 -0.345  0.135 -0.486  0.182 -0.638  0.303 -0.758  0.425 -0.877  0.566 -0.949
2#app#app06#app0691/e  0.112 -0.230  0.121 -0.097  0.259 -0.083  0.360 0.018  0.378 0.154  0.468 0.260  0.593 0.303  0.710 0.368  0.778 0.483  0.818 0.609  0.911 0.714  0.911 0.857  0.911 1.000  0.870 1.102  0.727 1.102  0.584 1.102  0.441 1.102  0.298 1.102  0.170 1.052  0.051 0.973  -0.068 0.893  -0.182 0.808  -0.284 0.707  -0.410 0.641  -0.538 0.577  -0.611 0.457  -0.675 0.329  -0.768 0.223  -0.869 0.121  -0.954 0.014  -0.954 -0.129  -0.954 -0.273  -0.954 -0.416  -0.954 -0.559  -0.954 -0.702  -0.881 -0.800  -0.753 -0.864  -0.688 -0.967  -0.608 -1.030  -0.465 -1.030  -0.322 -1.030  -0.179 -1.030  -0.036 -1.030  0.108 -1.030  0.251 -1.030  0.394 -1.030  0.529 -1.012  0.631 -0.910  0.768 -0.896  0.911 -0.896
2#app#app06#app0691/v  -0.580 0.722  -0.580 0.605  -0.580 0.488  -0.580 0.371  -0.580 0.254  -0.580 0.137  -0.580 0.019  -0.580 -0.098  -0.580 -0.215  -0.580 -0.332  -0.580 -0.449  -0.580 -0.566  -0.580 -0.683  -0.580 -0.800  -0.580 -0.917  -0.580 -1.034  -0.580 -1.151  -0.555 -1.244  -0.438 -1.244  -0.321 -1.244  -0.318 -1.130  -0.318 -1.013  -0.241 -0.943  -0.136 -0.891  -0.037 -0.831  0.046 -0.749  0.075 -0.643  0.075 -0.526  0.109 -0.423  0.192 -0.341  0.275 -0.258  0.337 -0.167  0.337 -0.050  0.338 0.067  0.421 0.150  0.468 0.247  0.468 0.364  0.478 0.479  0.530 0.584  0.583 0.689  0.599 0.802  0.629 0.912  0.681 1.016  0.730 1.122  0.730 1.239  0.730 1.356  0.730 1.473  0.789 1.566  0.875 1.639  0.992 1.639
2#app#app06#app0691/i  -0.514 0.065  -0.436 0.065  -0.514 0.032  -0.514 -0.079  -0.580 -0.124  -0.609 -0.206  -0.678 -0.288  -0.737 -0.380  -0.786 -0.479  -0.797 -0.587  -0.797 -0.698  -0.773 -0.785  -0.703 -0.825  -0.663 -0.919  -0.574 -0.973  -0.464 -0.973  -0.353 -0.973  -0.242 -0.973  -0.131 -0.973  -0.021 -0.973  0.090 -0.973  0.201 -0.973  0.291 -0.923  0.383 -0.879  0.428 -0.815  0.424 -0.704  0.420 -0.593  0.417 -0.483  0.413 -0.372  0.409 -0.261  0.406 -0.150  0.402 -0.040  0.398 0.071  0.394 0.182  0.391 0.292  0.387 0.403  0.383 0.514  0.380 0.624  0.376 0.735  0.372 0.846  0.369 0.957  0.365 1.067  0.361 1.178  0.358 1.289  0.354 1.399  0.350 1.510  0.346 1.621  0.343 1.732  0.339 1.842  0.335 1.953
