1c#app#app07#app0723/y  -0.194 1.316  -0.229 1.184  -0.334 1.080  -0.388 0.955  -0.411 0.832  -0.485 0.758  -0.485 0.611  -0.485 0.464  -0.485 0.316  -0.404 0.250  -0.257 0.250  -0.119 0.288  0.010 0.357  0.114 0.461  0.228 0.541  0.351 0.601  0.455 0.705  0.559 0.809  0.582 0.946  0.582 1.094  0.582 1.198  0.531 1.072  0.485 0.944  0.485 0.797  0.485 0.650  0.485 0.503  0.485 0.355  0.485 0.208  0.485 0.061  0.485 -0.086  0.485 -0.233  0.388 -0.340  0.388 -0.487  0.388 -0.634  0.388 -0.782  0.377 -0.924  0.291 -1.036  0.215 -1.107  0.167 -1.213  0.027 -1.260  -0.113 -1.301  -0.261 -1.301  -0.408 -1.301  -0.555 -1.301  -0.702 -1.301  -0.828 -1.249  -0.932 -1.145  -0.970 -1.014  -0.970 -0.867  -0.970 -0.720
1c#app#app07#app0723/o  0.493 0.416  0.493 0.570  0.488 0.720  0.334 0.720  0.180 0.720  0.026 0.720  -0.125 0.711  -0.234 0.602  -0.268 0.462  -0.344 0.340  -0.453 0.231  -0.562 0.122  -0.671 0.013  -0.780 -0.096  -0.884 -0.209  -0.953 -0.347  -1.022 -0.485  -1.128 -0.596  -1.180 -0.729  -1.180 -0.883  -1.120 -1.012  -1.004 -1.104  -0.850 -1.104  -0.695 -1.104  -0.541 -1.104  -0.387 -1.104  -0.243 -1.080  -0.134 -0.971  -0.025 -0.862  0.104 -0.800  0.238 -0.751  0.347 -0.642  0.456 -0.533  0.565 -0.424  0.645 -0.303  0.664 -0.153  0.733 -0.016  0.805 0.120  0.914 0.229  0.949 0.369  0.949 0.523  0.872 0.645  0.797 0.768  0.797 0.923  0.760 1.061  0.651 1.170  0.499 1.176  0.345 1.176  0.341 1.027  0.341 0.872
1c#app#app07#app0723/u  0.213 1.379  0.377 1.379  0.251 1.379  0.087 1.379  -0.017 1.282  -0.091 1.136  -0.176 1.002  -0.323 0.928  -0.470 0.855  -0.516 0.720  -0.582 0.584  -0.698 0.468  -0.814 0.352  -0.930 0.236  -1.045 0.120  -1.063 -0.036  -1.063 -0.200  -1.063 -0.364  -1.063 -0.528  -0.998 -0.627  -0.835 -0.627  -0.671 -0.627  -0.508 -0.623  -0.361 -0.550  -0.215 -0.476  -0.086 -0.379  0.030 -0.263  0.031 -0.100  0.175 -0.080  0.213 0.046  0.289 0.178  0.396 0.298  0.396 0.462  0.396 0.626  0.396 0.510  0.396 0.346  0.396 0.182  0.396 0.018  0.396 -0.146  0.396 -0.309  0.416 -0.465  0.532 -0.581  0.648 -0.697  0.761 -0.814  0.761 -0.978  0.866 -1.098  0.943 -1.230  0.980 -1.356  1.144 -1.356  1.308 -1.356
1c#app#app07#app0723/k  0.241 1.674  0.335 1.836  0.278 1.712  0.217 1.532  0.127 1.353  0.037 1.173  -0.049 0.992  -0.113 0.802  -0.226 0.643  -0.344 0.486  -0.407 0.295  -0.493 0.114  -0.512 -0.082  -0.575 -0.271  -0.650 -0.457  -0.700 -0.648  -0.777 -0.831  -0.889 -0.988  -0.983 -1.150  -0.969 -1.337  -0.863 -1.243  -0.701 -1.149  -0.625 -0.980  -0.550 -0.810  -0.475 -0.641  -0.399 -0.471  -0.257 -0.329  -0.158 -0.157  -0.016 -0.062  0.086 0.109  0.228 0.251  0.380 0.379  0.551 0.480  0.714 0.593  0.875 0.709  1.065 0.733  1.087 0.555  0.952 0.410  0.810 0.268  0.669 0.126  0.527 -0.016  0.385 -0.158  0.243 -0.299  0.101 -0.441  0.090 -0.396  0.169 -0.535  0.269 -0.707  0.345 -0.876  0.429 -1.042  0.523 -1.149
1c#app#app07#app0723/n  -0.568 0.097  -0.568 -0.061  -0.568 -0.220  -0.568 -0.378  -0.568 -0.537  -0.568 -0.695  -0.636 -0.786  -0.745 -0.835  -0.776 -0.962  -0.934 -0.962  -1.093 -0.962  -0.945 -0.962  -0.921 -0.827  -0.921 -0.669  -0.921 -0.510  -0.841 -0.433  -0.717 -0.377  -0.646 -0.235  -0.575 -0.094  -0.467 0.021  -0.355 0.133  -0.243 0.245  -0.131 0.357  -0.019 0.469  0.093 0.581  0.138 0.721  0.192 0.857  0.304 0.969  0.416 1.081  0.514 1.202  0.585 1.344  0.656 1.486  0.667 1.377  0.667 1.218  0.667 1.060  0.667 0.902  0.667 0.743  0.667 0.585  0.667 0.427  0.667 0.268  0.667 0.110  0.667 -0.048  0.667 -0.207  0.667 -0.365  0.667 -0.523  0.667 -0.682  0.667 -0.840  0.704 -0.962  0.844 -0.980  0.844 -1.139
1c#app#app07#app0723/o  0.420 1.206  0.315 1.101  0.209 0.995  0.104 0.890  -0.001 0.785  -0.107 0.679  -0.236 0.633  -0.385 0.633  -0.439 0.538  -0.439 0.389  -0.515 0.271  -0.620 0.166  -0.725 0.060  -0.726 -0.088  -0.726 -0.237  -0.726 -0.386  -0.748 -0.513  -0.897 -0.513  -1.012 -0.547  -1.012 -0.696  -0.980 -0.832  -0.875 -0.937  -0.769 -1.042  -0.638 -1.086  -0.489 -1.086  -0.340 -1.086  -0.191 -1.086  -0.042 -1.086  0.107 -1.086  0.220 -0.999  0.325 -0.894  0.420 -0.784  0.420 -0.635  0.447 -0.513  0.596 -0.513  0.707 -0.475  0.707 -0.326  0.707 -0.177  0.707 -0.028  0.707 0.121  0.707 0.270  0.707 0.419  0.707 0.568  0.707 0.717  0.707 0.866  0.707 1.015  0.707 1.164  0.631 1.282  0.526 1.387  0.420 1.493
1c#app#app07#app0723/w  -1.096 0.397  -1.096 0.278  -1.096 0.158  -1.096 0.039  -1.124 -0.069  -1.209 -0.154  -1.242 -0.260  -1.275 -0.365  -1.359 -0.450  -1.308 -0.478  -1.189 -0.478  -1.077 -0.460  -0.992 -0.375  -0.890 -0.332  -0.774 -0.318  -0.667 -0.264  -0.561 -0.211  -0.512 -0.121  -0.473 -0.041  -0.357 -0.032  -0.273 0.053  -0.175 0.105  -0.055 0.105  0.064 0.105  0.072 -0.006  0.072 -0.126  0.072 -0.245  0.095 -0.355  0.180 -0.440  0.283 -0.478  0.403 -0.478  0.522 -0.478  0.642 -0.478  0.731 -0.404  0.815 -0.319  0.900 -0.235  0.948 -0.135  0.973 -0.041  1.092 -0.041  1.094 0.078  1.094 0.197  1.094 0.317  1.094 0.436  1.094 0.556  1.094 0.675  1.094 0.795  1.094 0.914  1.094 1.034  1.094 1.154  1.094 1.273
1c#app#app07#app0723/w  -1.013 0.705  -1.013 0.569  -1.013 0.432  -1.013 0.295  -1.085 0.189  -1.124 0.068  -1.124 -0.069  -1.183 -0.191  -1.235 -0.316  -1.235 -0.452  -1.235 -0.589  -1.235 -0.726  -1.113 -0.734  -0.991 -0.673  -0.865 -0.628  -0.746 -0.584  -0.650 -0.487  -0.553 -0.391  -0.456 -0.294  -0.334 -0.233  -0.209 -0.184  -0.087 -0.147  -0.013 -0.041  0.027 0.079  0.098 0.186  0.160 0.261  0.210 0.348  0.210 0.259  0.210 0.123  0.210 -0.014  0.265 -0.128  0.321 -0.241  0.404 -0.295  0.432 -0.403  0.566 -0.406  0.688 -0.371  0.793 -0.295  0.876 -0.241  0.932 -0.127  1.046 -0.072  1.098 0.012  1.176 0.116  1.210 0.239  1.210 0.376  1.210 0.513  1.210 0.649  1.210 0.786  1.210 0.923  1.224 1.053  1.321 1.150
1c#app#app07#app0723/h  0.553 1.934  0.539 1.798  0.477 1.673  0.397 1.561  0.312 1.452  0.250 1.327  0.164 1.220  0.065 1.121  -0.034 1.022  -0.119 0.914  -0.181 0.789  -0.267 0.681  -0.365 0.582  -0.455 0.476  -0.532 0.360  -0.609 0.244  -0.677 0.122  -0.740 -0.003  -0.802 -0.127  -0.854 -0.255  -0.854 -0.394  -0.854 -0.534  -0.844 -0.663  -0.716 -0.634  -0.610 -0.555  -0.487 -0.514  -0.389 -0.415  -0.281 -0.339  -0.160 -0.294  -0.061 -0.195  0.012 -0.086  0.080 -0.014  0.190 0.056  0.229 0.009  0.229 -0.131  0.201 -0.259  0.120 -0.365  0.120 -0.504  0.120 -0.644  0.120 -0.783  0.120 -0.923  0.195 -0.988  0.334 -0.988  0.474 -0.988  0.613 -0.988  0.753 -0.988  0.892 -0.988  1.032 -0.988  1.094 -0.911  1.203 -0.880
1c#app#app07#app0723/a  0.418 0.882  0.257 0.882  0.097 0.882  -0.064 0.882  -0.225 0.882  -0.386 0.882  -0.501 0.772  -0.624 0.679  -0.784 0.679  -0.795 0.530  -0.904 0.477  -1.028 0.417  -1.099 0.273  -1.171 0.130  -1.200 -0.025  -1.200 -0.185  -1.200 -0.346  -1.200 -0.507  -1.066 -0.534  -0.905 -0.534  -0.745 -0.534  -0.586 -0.528  -0.473 -0.414  -0.391 -0.287  -0.387 -0.130  -0.227 -0.130  -0.102 -0.043  0.012 0.071  0.126 0.185  0.216 0.308  0.216 0.469  0.324 0.585  0.418 0.652  0.418 0.491  0.418 0.331  0.418 0.170  0.418 0.009  0.434 -0.145  0.548 -0.259  0.621 -0.390  0.637 -0.534  0.798 -0.534  0.823 -0.670  0.917 -0.736  1.078 -0.736  1.237 -0.741  1.381 -0.813  1.525 -0.885  1.673 -0.939  1.834 -0.939
1c#app#app07#app0723/t  0.901 1.820  0.749 1.779  0.649 1.645  0.573 1.494  0.454 1.373  0.328 1.270  0.204 1.197  0.127 1.046  0.020 0.921  0.020 0.752  -0.076 0.622  -0.090 0.459  -0.134 0.300  -0.200 0.146  -0.200 -0.023  -0.200 -0.192  -0.200 -0.362  -0.200 -0.531  -0.200 -0.700  -0.167 -0.856  -0.090 -0.993  -0.006 -1.127  0.036 -1.279  0.130 -1.410  0.225 -1.484  0.217 -1.557  0.127 -1.413  0.038 -1.270  -0.052 -1.126  -0.142 -0.983  -0.231 -0.839  -0.321 -0.696  -0.411 -0.552  -0.501 -0.409  -0.590 -0.265  -0.680 -0.121  -0.770 0.022  -0.859 0.166  -0.751 0.224  -0.636 0.278  -0.466 0.278  -0.297 0.278  -0.128 0.278  0.041 0.278  0.211 0.278  0.380 0.278  0.549 0.278  0.719 0.278  0.888 0.278  1.011 0.168
