1c#tos#t1#t1018062/a  -0.965 0.908  -1.074 0.922  -0.914 0.962  -0.768 1.017  -0.685 1.180  -0.485 1.180  -0.284 1.180  -0.083 1.180  0.117 1.180  0.255 1.106  0.309 0.925  0.345 0.733  0.345 0.532  0.345 0.331  0.345 0.131  0.345 -0.070  0.384 -0.262  0.468 -0.402  0.540 -0.566  0.619 -0.730  0.798 -0.764  0.952 -0.839  1.153 -0.839  1.354 -0.839  1.375 -0.671  1.208 -0.559  1.041 -0.448  0.874 -0.337  0.707 -0.225  0.540 -0.114  0.373 -0.003  0.206 0.108  0.039 0.220  -0.130 0.288  -0.323 0.253  -0.523 0.253  -0.715 0.214  -0.899 0.143  -1.067 0.041  -1.074 -0.156  -1.074 -0.357  -1.074 -0.557  -0.883 -0.566  -0.846 -0.730  -0.690 -0.839  -0.490 -0.839  -0.289 -0.839  -0.088 -0.839  0.100 -0.811  0.290 -0.785
1c#tos#t1#t1018062/b  -0.382 1.816  -0.551 1.816  -0.674 1.770  -0.615 1.659  -0.615 1.491  -0.615 1.322  -0.615 1.153  -0.615 0.985  -0.549 0.883  -0.499 0.764  -0.499 0.595  -0.499 0.426  -0.447 0.272  -0.361 0.127  -0.324 -0.031  -0.277 -0.192  -0.266 -0.359  -0.266 -0.528  -0.266 -0.697  -0.266 -0.865  -0.202 -0.874  -0.185 -0.706  -0.169 -0.539  -0.152 -0.371  -0.135 -0.203  -0.118 -0.035  -0.102 0.133  -0.150 0.241  -0.314 0.200  -0.284 0.183  -0.115 0.183  0.054 0.183  0.222 0.183  0.391 0.183  0.523 0.094  0.680 0.066  0.813 -0.021  0.932 -0.140  0.991 -0.290  1.017 -0.453  1.017 -0.621  1.017 -0.790  0.908 -0.885  0.806 -1.019  0.671 -1.100  0.503 -1.100  0.357 -1.137  0.238 -1.223  0.078 -1.275  -0.091 -1.275
1c#tos#t1#t1018062/i  -0.459 1.470  -0.403 1.415  -0.327 1.412  -0.249 1.412  -0.171 1.412  -0.156 1.341  -0.097 1.295  -0.022 1.281  0.047 1.246  0.065 1.179  0.066 1.101  0.069 1.023  0.073 0.945  0.076 0.867  0.080 0.789  0.083 0.711  0.086 0.633  0.090 0.555  0.093 0.477  0.096 0.399  0.100 0.322  0.103 0.244  0.107 0.166  0.110 0.088  0.113 0.010  0.117 -0.068  0.120 -0.146  0.123 -0.224  0.109 -0.298  0.066 -0.363  0.022 -0.427  -0.043 -0.451  -0.051 -0.521  -0.051 -0.599  -0.088 -0.661  -0.109 -0.730  -0.109 -0.808  -0.109 -0.886  -0.109 -0.964  -0.061 -1.022  -0.051 -1.096  -0.051 -1.174  -0.051 -1.252  -0.045 -1.326  0.029 -1.350  0.103 -1.375  0.123 -1.439  0.181 -1.458  0.181 -1.536  0.181 -1.614
1c#tos#t1#t1018062/k  -0.553 2.240  -0.607 2.111  -0.607 1.927  -0.607 1.744  -0.607 1.561  -0.559 1.388  -0.553 1.207  -0.553 1.023  -0.496 0.857  -0.416 0.694  -0.358 0.520  -0.308 0.343  -0.282 0.163  -0.282 -0.020  -0.282 -0.204  -0.282 -0.387  -0.282 -0.571  -0.282 -0.754  -0.282 -0.937  -0.282 -1.121  -0.220 -1.259  -0.129 -1.099  -0.039 -0.939  0.052 -0.780  0.142 -0.620  0.233 -0.461  0.323 -0.301  0.413 -0.142  0.504 0.018  0.594 0.178  0.685 0.337  0.520 0.348  0.349 0.294  0.204 0.256  0.096 0.150  0.029 0.011  -0.137 -0.030  -0.308 -0.085  -0.290 -0.193  -0.223 -0.355  -0.044 -0.387  0.042 -0.504  0.194 -0.561  0.373 -0.571  0.517 -0.667  0.663 -0.731  0.789 -0.841  0.919 -0.895  1.048 -0.950  1.177 -1.004
1c#tos#t1#t1018062/l  -0.106 1.704  -0.183 1.678  -0.238 1.637  -0.238 1.556  -0.238 1.476  -0.238 1.395  -0.225 1.317  -0.200 1.240  -0.194 1.161  -0.194 1.080  -0.194 1.000  -0.194 0.919  -0.194 0.839  -0.194 0.758  -0.194 0.678  -0.194 0.597  -0.194 0.517  -0.194 0.436  -0.194 0.356  -0.163 0.306  -0.150 0.238  -0.150 0.158  -0.150 0.077  -0.106 0.040  -0.106 -0.040  -0.096 -0.119  -0.071 -0.195  -0.019 -0.231  -0.019 -0.311  -0.019 -0.392  -0.019 -0.472  -0.019 -0.553  0.003 -0.612  0.025 -0.670  0.025 -0.751  0.056 -0.818  0.112 -0.850  0.112 -0.931  0.156 -0.967  0.156 -1.048  0.199 -1.110  0.210 -1.180  0.247 -1.224  0.328 -1.224  0.365 -1.267  0.445 -1.267  0.526 -1.267  0.606 -1.267  0.636 -1.217  0.680 -1.180
1c#tos#t1#t1018062/m  -0.932 0.892  -1.061 0.945  -1.137 1.050  -1.038 0.981  -1.038 0.800  -1.035 0.619  -0.977 0.446  -0.932 0.272  -0.932 0.091  -0.880 -0.069  -0.880 -0.250  -0.880 -0.432  -0.827 -0.591  -0.827 -0.773  -0.774 -0.796  -0.774 -0.615  -0.686 -0.488  -0.669 -0.317  -0.660 -0.137  -0.606 0.036  -0.559 0.210  -0.420 0.312  -0.303 0.417  -0.175 0.470  -0.006 0.440  0.100 0.293  0.205 0.148  0.228 -0.028  0.228 -0.210  0.228 -0.391  0.281 -0.560  0.281 -0.741  0.281 -0.564  0.281 -0.382  0.342 -0.238  0.387 -0.085  0.492 0.053  0.564 0.190  0.703 0.276  0.796 0.365  0.977 0.365  1.149 0.341  1.283 0.246  1.283 0.064  1.390 -0.040  1.465 -0.181  1.494 -0.357  1.494 -0.539  1.524 -0.690  1.547 -0.849
1c#tos#t1#t1018062/t  -0.869 0.436  -1.027 0.402  -1.180 0.346  -1.067 0.301  -0.901 0.301  -0.735 0.301  -0.569 0.301  -0.403 0.301  -0.237 0.301  -0.075 0.326  0.088 0.346  0.254 0.346  0.420 0.346  0.586 0.346  0.752 0.346  0.780 0.399  0.657 0.510  0.533 0.621  0.410 0.732  0.287 0.843  0.163 0.954  0.040 1.066  -0.060 1.187  -0.213 1.200  -0.330 1.151  -0.330 0.985  -0.375 0.864  -0.375 0.698  -0.375 0.532  -0.397 0.370  -0.420 0.207  -0.420 0.041  -0.420 -0.125  -0.420 -0.291  -0.402 -0.453  -0.342 -0.607  -0.272 -0.758  -0.162 -0.874  -0.102 -1.009  0.000 -1.133  0.109 -1.251  0.262 -1.272  0.408 -1.324  0.568 -1.362  0.734 -1.362  0.866 -1.308  0.974 -1.209  1.099 -1.148  1.190 -1.011  1.289 -0.913
1c#tos#t1#t1018062/u  -0.902 1.591  -0.965 1.526  -0.965 1.397  -0.965 1.268  -0.965 1.138  -0.965 1.009  -0.965 0.880  -0.965 0.751  -0.965 0.622  -0.911 0.515  -0.838 0.416  -0.838 0.287  -0.838 0.158  -0.785 0.045  -0.714 -0.063  -0.632 -0.125  -0.601 -0.251  -0.565 -0.375  -0.524 -0.497  -0.440 -0.593  -0.391 -0.702  -0.303 -0.795  -0.212 -0.886  -0.087 -0.898  0.042 -0.898  0.171 -0.898  0.274 -0.834  0.395 -0.815  0.486 -0.723  0.503 -0.601  0.522 -0.476  0.580 -0.361  0.642 -0.248  0.694 -0.141  0.694 -0.012  0.694 0.117  0.694 0.247  0.694 0.376  0.757 0.442  0.758 0.442  0.758 0.313  0.758 0.184  0.758 0.054  0.763 -0.073  0.822 -0.177  0.855 -0.293  0.950 -0.346  0.950 -0.475  1.012 -0.578  1.077 -0.643
1c#tos#t1#t1018062/w  -1.046 1.274  -1.154 1.238  -1.154 1.093  -1.154 0.949  -1.154 0.804  -1.066 0.696  -1.041 0.562  -0.973 0.441  -0.938 0.301  -0.848 0.189  -0.774 0.067  -0.774 -0.077  -0.716 -0.208  -0.681 -0.348  -0.611 -0.468  -0.581 -0.608  -0.498 -0.712  -0.393 -0.703  -0.393 -0.559  -0.348 -0.443  -0.285 -0.337  -0.285 -0.193  -0.285 -0.048  -0.285 0.096  -0.230 0.186  -0.195 0.295  -0.159 0.295  -0.084 0.204  -0.067 0.066  -0.034 -0.064  0.068 -0.166  0.129 -0.294  0.205 -0.413  0.281 -0.516  0.396 -0.603  0.529 -0.629  0.674 -0.629  0.818 -0.629  0.911 -0.577  1.011 -0.474  1.148 -0.434  1.237 -0.358  1.268 -0.233  1.346 -0.137  1.346 0.008  1.346 0.152  1.346 0.297  1.346 0.441  1.346 0.586  1.455 0.621
1c#tos#t1#t1018062/y  -0.641 1.020  -0.771 1.020  -0.816 0.935  -0.775 0.846  -0.645 0.846  -0.545 0.789  -0.473 0.681  -0.351 0.669  -0.335 0.555  -0.231 0.493  -0.124 0.439  0.002 0.431  0.056 0.314  0.136 0.264  0.239 0.213  0.338 0.297  0.437 0.381  0.537 0.465  0.636 0.549  0.735 0.632  0.834 0.716  0.933 0.800  0.933 0.819  0.869 0.729  0.739 0.729  0.696 0.642  0.666 0.525  0.574 0.433  0.521 0.325  0.408 0.265  0.365 0.144  0.347 0.017  0.299 -0.098  0.228 -0.207  0.168 -0.322  0.076 -0.414  -0.011 -0.509  -0.076 -0.621  -0.140 -0.734  -0.205 -0.847  -0.266 -0.962  -0.335 -1.071  -0.412 -1.175  -0.489 -1.280  -0.561 -1.388  -0.663 -1.462  -0.699 -1.569  -0.699 -1.699  -0.752 -1.797  -0.758 -1.829
1c#tos#t1#t1018062/z  -0.881 1.019  -1.029 1.019  -1.134 0.937  -1.202 0.822  -1.053 0.822  -0.905 0.822  -0.757 0.822  -0.609 0.822  -0.460 0.822  -0.312 0.822  -0.164 0.822  -0.015 0.822  0.133 0.822  0.281 0.822  0.430 0.822  0.578 0.822  0.702 0.797  0.702 0.649  0.592 0.569  0.540 0.438  0.504 0.294  0.363 0.280  0.281 0.157  0.207 0.029  0.102 -0.060  -0.037 -0.109  -0.167 -0.180  -0.272 -0.285  -0.386 -0.366  -0.507 -0.410  -0.602 -0.498  -0.730 -0.545  -0.815 -0.658  -0.770 -0.762  -0.622 -0.762  -0.501 -0.828  -0.353 -0.828  -0.204 -0.828  -0.056 -0.828  0.092 -0.828  0.241 -0.828  0.389 -0.828  0.537 -0.828  0.685 -0.828  0.834 -0.828  0.982 -0.828  1.130 -0.828  1.267 -0.776  1.411 -0.762  1.560 -0.762
