3#app#app32#app3278/2  -1.216 -0.393  -1.200 -0.276  -1.100 -0.244  -1.052 -0.160  -0.983 -0.095  -0.927 0.014  -0.833 0.107  -0.739 0.201  -0.645 0.295  -0.552 0.389  -0.458 0.482  -0.364 0.576  -0.270 0.670  -0.177 0.764  -0.083 0.858  0.011 0.951  0.115 1.031  0.234 1.090  0.341 1.165  0.443 1.239  0.575 1.239  0.691 1.197  0.765 1.095  0.765 0.963  0.765 0.830  0.741 0.701  0.699 0.576  0.657 0.450  0.602 0.330  0.542 0.211  0.532 0.081  0.443 -0.015  0.350 -0.109  0.299 -0.220  0.245 -0.330  0.162 -0.432  0.103 -0.551  0.031 -0.660  -0.051 -0.759  -0.074 -0.882  -0.167 -0.976  -0.179 -1.104  -0.273 -1.197  -0.201 -1.291  -0.083 -1.325  0.050 -1.325  0.182 -1.325  0.315 -1.325  0.438 -1.302  0.532 -1.208
3#app#app32#app3278/^  -0.332 -0.194  -0.475 -0.194  -0.617 -0.194  -0.748 -0.223  -0.849 -0.324  -0.950 -0.425  -1.051 -0.526  -1.106 -0.516  -1.106 -0.373  -1.106 -0.230  -1.000 -0.194  -0.857 -0.194  -0.719 -0.189  -0.719 -0.046  -0.719 0.096  -0.687 0.226  -0.586 0.327  -0.485 0.428  -0.384 0.528  -0.283 0.629  -0.182 0.730  -0.081 0.831  0.020 0.932  0.121 1.033  0.222 1.134  0.323 1.235  0.423 1.336  0.442 1.238  0.442 1.095  0.442 0.953  0.442 0.810  0.442 0.667  0.442 0.524  0.442 0.382  0.442 0.239  0.442 0.096  0.442 -0.046  0.442 -0.189  0.442 -0.332  0.442 -0.475  0.468 -0.607  0.569 -0.708  0.670 -0.809  0.771 -0.909  0.829 -1.028  0.829 -1.171  0.829 -1.314  0.931 -1.355  1.073 -1.355  1.216 -1.355
3#app#app32#app3278/0  -0.354 1.158  -0.455 1.131  -0.493 1.019  -0.557 0.917  -0.557 0.789  -0.621 0.688  -0.677 0.577  -0.708 0.453  -0.739 0.328  -0.760 0.203  -0.760 0.075  -0.760 -0.053  -0.760 -0.181  -0.760 -0.310  -0.760 -0.438  -0.760 -0.566  -0.760 -0.694  -0.723 -0.807  -0.658 -0.908  -0.614 -1.018  -0.509 -1.075  -0.381 -1.075  -0.253 -1.075  -0.125 -1.075  -0.012 -1.038  0.089 -0.973  0.217 -0.973  0.319 -0.909  0.424 -0.838  0.538 -0.781  0.633 -0.696  0.701 -0.589  0.758 -0.475  0.846 -0.382  0.864 -0.261  0.864 -0.133  0.864 -0.005  0.864 0.123  0.864 0.251  0.849 0.376  0.792 0.490  0.718 0.593  0.661 0.698  0.661 0.826  0.590 0.924  0.500 1.015  0.396 1.088  0.281 1.145  0.167 1.202  0.052 1.259
3#app#app32#app3278/=  -1.615 0.319  -1.541 0.393  -1.467 0.466  -1.389 0.529  -1.284 0.529  -1.180 0.529  -1.076 0.529  -0.971 0.529  -0.867 0.529  -0.762 0.529  -0.658 0.529  -0.556 0.535  -0.482 0.609  -0.408 0.683  -0.327 0.740  -0.223 0.740  -0.118 0.740  -0.014 0.740  0.091 0.740  0.195 0.740  0.300 0.740  0.404 0.740  0.490 0.723  0.478 0.619  0.467 0.515  0.455 0.412  0.444 0.308  0.432 0.204  0.420 0.100  0.409 -0.004  0.397 -0.107  0.386 -0.211  0.374 -0.315  0.363 -0.419  0.351 -0.523  0.340 -0.627  0.328 -0.730  0.317 -0.834  0.305 -0.938  0.294 -1.042  0.282 -1.146  0.375 -1.156  0.480 -1.156  0.557 -1.091  0.631 -1.017  0.706 -0.945  0.810 -0.945  0.915 -0.945  1.019 -0.945  1.124 -0.945
3#app#app32#app3278/1  0.146 1.644  0.097 1.595  0.047 1.546  -0.002 1.496  -0.006 1.429  -0.006 1.359  -0.006 1.290  -0.006 1.220  -0.006 1.150  -0.006 1.081  -0.006 1.011  -0.006 0.942  -0.006 0.872  -0.006 0.803  -0.006 0.733  -0.006 0.663  -0.006 0.594  -0.006 0.524  -0.006 0.455  -0.006 0.385  -0.006 0.316  -0.006 0.246  -0.006 0.177  -0.006 0.107  -0.006 0.037  -0.006 -0.032  -0.006 -0.102  -0.006 -0.171  -0.006 -0.241  -0.006 -0.310  -0.006 -0.380  -0.006 -0.450  -0.006 -0.519  -0.006 -0.589  -0.006 -0.658  -0.006 -0.728  -0.006 -0.797  -0.006 -0.867  -0.006 -0.937  -0.006 -1.006  -0.006 -1.076  -0.006 -1.145  -0.006 -1.215  -0.006 -1.284  -0.006 -1.354  -0.006 -1.423  -0.006 -1.493  -0.006 -1.563  -0.006 -1.632  -0.006 -1.702
3#app#app32#app3278/0  -0.170 1.258  -0.306 1.253  -0.313 1.116  -0.412 1.016  -0.441 0.888  -0.515 0.778  -0.593 0.667  -0.637 0.534  -0.682 0.400  -0.712 0.265  -0.747 0.140  -0.847 0.040  -0.847 -0.100  -0.847 -0.240  -0.847 -0.380  -0.834 -0.515  -0.734 -0.614  -0.712 -0.745  -0.632 -0.852  -0.514 -0.907  -0.441 -0.974  -0.369 -1.042  -0.229 -1.042  -0.089 -1.042  0.051 -1.042  0.192 -1.042  0.332 -1.042  0.472 -1.042  0.506 -0.936  0.617 -0.907  0.724 -0.825  0.777 -0.707  0.826 -0.587  0.912 -0.482  0.912 -0.342  0.912 -0.202  0.912 -0.062  0.885 0.067  0.786 0.166  0.720 0.290  0.657 0.415  0.641 0.552  0.563 0.659  0.464 0.759  0.365 0.858  0.266 0.957  0.167 1.056  0.054 1.123  -0.071 1.159  -0.170 1.258
3#app#app32#app3278/^  -1.113 -1.262  -1.113 -1.155  -1.113 -1.047  -1.113 -0.939  -1.113 -0.832  -1.113 -0.724  -1.093 -0.624  -1.017 -0.548  -0.941 -0.472  -0.865 -0.396  -0.804 -0.314  -0.804 -0.206  -0.804 -0.098  -0.779 -0.001  -0.703 0.075  -0.626 0.151  -0.550 0.228  -0.474 0.304  -0.398 0.380  -0.322 0.456  -0.246 0.532  -0.170 0.608  -0.094 0.684  -0.017 0.761  0.059 0.837  0.140 0.901  0.247 0.901  0.355 0.901  0.463 0.901  0.570 0.901  0.678 0.901  0.741 0.857  0.741 0.749  0.741 0.642  0.741 0.534  0.741 0.426  0.741 0.319  0.741 0.211  0.741 0.103  0.741 -0.004  0.741 -0.112  0.741 -0.220  0.741 -0.327  0.741 -0.435  0.741 -0.543  0.746 -0.649  0.822 -0.725  0.898 -0.801  0.974 -0.877  1.051 -0.953
3#app#app32#app3278/0  -0.490 1.186  -0.575 1.101  -0.597 0.990  -0.597 0.870  -0.678 0.783  -0.704 0.674  -0.773 0.582  -0.811 0.477  -0.811 0.357  -0.811 0.237  -0.885 0.148  -0.918 0.041  -0.918 -0.079  -0.918 -0.200  -0.918 -0.320  -0.904 -0.434  -0.819 -0.519  -0.809 -0.636  -0.724 -0.721  -0.704 -0.832  -0.600 -0.848  -0.479 -0.848  -0.359 -0.848  -0.239 -0.848  -0.119 -0.848  0.001 -0.848  0.122 -0.848  0.216 -0.785  0.318 -0.741  0.438 -0.741  0.534 -0.682  0.619 -0.597  0.708 -0.517  0.815 -0.464  0.912 -0.400  0.966 -0.292  1.009 -0.182  1.009 -0.062  1.009 0.058  1.009 0.179  1.009 0.299  0.981 0.414  0.943 0.528  0.905 0.642  0.823 0.730  0.738 0.815  0.653 0.900  0.568 0.985  0.483 1.070  0.367 1.079
3#app#app32#app3278/=  -1.637 0.519  -1.524 0.519  -1.411 0.519  -1.297 0.519  -1.184 0.519  -1.071 0.519  -0.957 0.519  -0.844 0.519  -0.749 0.562  -0.669 0.642  -0.588 0.722  -0.508 0.801  -0.395 0.801  -0.281 0.801  -0.168 0.801  -0.055 0.801  0.059 0.801  0.172 0.801  0.285 0.801  0.398 0.801  0.512 0.801  0.616 0.794  0.585 0.685  0.553 0.576  0.522 0.467  0.491 0.358  0.460 0.249  0.429 0.140  0.398 0.031  0.367 -0.078  0.336 -0.187  0.304 -0.296  0.273 -0.404  0.242 -0.513  0.211 -0.622  0.180 -0.731  0.149 -0.840  0.118 -0.949  0.087 -1.058  0.055 -1.167  0.162 -1.172  0.275 -1.172  0.388 -1.172  0.502 -1.172  0.615 -1.172  0.618 -1.062  0.618 -0.948  0.673 -0.890  0.786 -0.890  0.900 -0.890
3#app#app32#app3278/x  -0.749 1.558  -0.707 1.413  -0.604 1.328  -0.514 1.178  -0.458 1.014  -0.352 0.870  -0.313 0.699  -0.313 0.511  -0.262 0.345  -0.168 0.196  -0.168 0.009  -0.168 -0.178  -0.040 -0.313  0.093 -0.446  0.123 -0.621  0.255 -0.753  0.285 -0.928  0.418 -1.061  0.550 -1.194  0.580 -1.028  0.604 -0.842  0.627 -0.655  0.650 -0.469  0.673 -0.283  0.697 -0.097  0.720 0.089  0.743 0.275  0.766 0.461  0.790 0.647  0.813 0.833  0.836 1.019  0.790 1.063  0.658 0.931  0.537 0.789  0.453 0.622  0.344 0.472  0.212 0.340  0.095 0.196  0.011 0.028  -0.102 -0.119  -0.234 -0.251  -0.376 -0.372  -0.532 -0.476  -0.688 -0.580  -0.830 -0.702  -0.963 -0.834  -1.039 -0.990  -1.125 -1.142  -1.288 -1.202  -1.330 -1.347
3#app#app32#app3278/^  -1.782 0.024  -1.697 -0.061  -1.612 -0.146  -1.527 -0.231  -1.421 -0.267  -1.301 -0.267  -1.186 -0.254  -1.101 -0.169  -1.016 -0.083  -0.931 0.002  -0.820 0.024  -0.700 0.024  -0.591 0.051  -0.506 0.136  -0.421 0.221  -0.336 0.306  -0.219 0.315  -0.099 0.315  -0.035 0.372  -0.035 0.492  -0.029 0.607  0.091 0.607  0.211 0.607  0.256 0.682  0.256 0.802  0.281 0.898  0.401 0.898  0.521 0.898  0.547 0.803  0.547 0.683  0.547 0.563  0.547 0.442  0.547 0.322  0.547 0.202  0.547 0.082  0.547 -0.039  0.547 -0.159  0.560 -0.267  0.680 -0.267  0.800 -0.267  0.838 -0.349  0.838 -0.469  0.838 -0.589  0.838 -0.710  0.838 -0.830  0.838 -0.950  0.838 -1.071  0.838 -1.191  0.838 -1.311  0.838 -1.431
