1b#tos#t2#t2038062/D  -0.209 0.997  -0.336 1.021  -0.336 0.833  -0.378 0.662  -0.449 0.503  -0.504 0.326  -0.603 0.166  -0.657 -0.012  -0.717 -0.189  -0.802 -0.351  -0.845 -0.522  -0.845 -0.710  -0.822 -0.672  -0.764 -0.493  -0.706 -0.314  -0.648 -0.135  -0.590 0.044  -0.532 0.223  -0.473 0.402  -0.415 0.581  -0.357 0.760  -0.299 0.939  -0.207 1.039  -0.019 1.039  0.169 1.039  0.357 1.039  0.491 0.944  0.661 0.870  0.766 0.786  0.851 0.651  0.950 0.524  1.063 0.421  1.136 0.258  1.190 0.090  1.190 -0.098  1.180 -0.280  1.105 -0.422  0.989 -0.550  0.862 -0.688  0.757 -0.810  0.641 -0.910  0.512 -1.019  0.343 -1.038  0.154 -1.038  -0.034 -1.038  -0.222 -1.038  -0.410 -1.038  -0.581 -0.995  -0.721 -0.930  -0.887 -0.868
1b#tos#t2#t2038062/E  -0.497 1.185  -0.701 1.114  -0.864 1.094  -0.631 1.003  -0.379 1.003  -0.128 1.003  0.124 1.003  0.375 1.003  0.616 1.048  0.868 1.048  0.902 1.058  0.652 1.080  0.401 1.101  0.150 1.123  -0.083 1.097  -0.223 0.904  -0.236 0.655  -0.360 0.449  -0.369 0.199  -0.405 -0.047  -0.441 -0.292  -0.451 -0.542  -0.542 -0.756  -0.542 -1.007  -0.542 -0.846  -0.542 -0.594  -0.542 -0.342  -0.540 -0.093  -0.288 -0.093  -0.037 -0.093  0.196 -0.048  0.433 0.029  0.672 0.080  0.872 0.134  0.673 -0.021  0.475 -0.175  0.276 -0.329  0.078 -0.484  -0.121 -0.638  -0.319 -0.793  -0.475 -0.985  -0.661 -1.144  -0.461 -1.179  -0.214 -1.189  0.038 -1.189  0.289 -1.189  0.503 -1.098  0.755 -1.098  1.006 -1.098  1.239 -1.052
1b#tos#t2#t2038062/F  -0.495 0.927  -0.714 0.841  -0.640 0.810  -0.430 0.781  -0.191 0.781  0.048 0.781  0.287 0.781  0.526 0.781  0.765 0.781  1.004 0.781  1.243 0.781  1.160 0.842  0.922 0.865  0.684 0.887  0.446 0.909  0.208 0.932  -0.030 0.954  -0.268 0.975  -0.398 0.867  -0.398 0.627  -0.398 0.388  -0.398 0.149  -0.398 -0.090  -0.447 -0.323  -0.473 -0.557  -0.528 -0.785  -0.592 -1.009  -0.592 -1.248  -0.689 -1.427  -0.782 -1.636  -0.756 -1.505  -0.718 -1.269  -0.680 -1.033  -0.642 -0.797  -0.604 -0.561  -0.566 -0.325  -0.544 -0.286  -0.447 -0.429  -0.231 -0.526  0.008 -0.526  0.238 -0.475  0.470 -0.429  0.705 -0.411  0.828 -0.221  0.917 0.001  0.828 0.103  0.764 -0.071  0.715 -0.262  0.667 -0.453  0.619 -0.672
1b#tos#t2#t2038062/H  -0.723 0.927  -0.816 0.846  -0.816 0.672  -0.816 0.498  -0.856 0.333  -0.863 0.160  -0.910 0.005  -0.946 -0.163  -0.957 -0.336  -1.003 -0.499  -1.003 -0.673  -1.003 -0.847  -1.003 -1.022  -0.939 -0.889  -0.869 -0.730  -0.800 -0.570  -0.730 -0.410  -0.717 -0.288  -0.891 -0.288  -0.803 -0.234  -0.638 -0.195  -0.466 -0.177  -0.295 -0.148  -0.121 -0.148  0.054 -0.148  0.220 -0.101  0.395 -0.101  0.526 -0.033  0.591 0.129  0.654 0.292  0.717 0.454  0.779 0.617  0.842 0.780  0.904 0.942  0.967 1.105  0.947 1.195  0.866 1.054  0.866 0.880  0.866 0.706  0.866 0.532  0.866 0.357  0.866 0.183  0.833 0.012  0.819 -0.161  0.773 -0.324  0.773 -0.498  0.773 -0.673  0.773 -0.847  0.726 -1.002  0.726 -1.176
1b#tos#t2#t2038062/J  -0.471 0.950  -0.600 0.950  -0.728 0.950  -0.772 0.865  -0.821 0.837  -0.693 0.837  -0.565 0.837  -0.436 0.837  -0.308 0.837  -0.180 0.837  -0.051 0.837  0.077 0.837  0.204 0.846  0.328 0.880  0.448 0.912  0.577 0.912  0.705 0.912  0.778 0.901  0.660 0.850  0.542 0.800  0.424 0.749  0.306 0.699  0.279 0.588  0.279 0.460  0.279 0.332  0.279 0.203  0.287 0.078  0.354 -0.022  0.354 -0.151  0.379 -0.264  0.429 -0.361  0.429 -0.489  0.429 -0.617  0.429 -0.746  0.373 -0.834  0.354 -0.959  0.273 -1.029  0.228 -1.128  0.125 -1.205  0.018 -1.263  -0.072 -1.302  -0.200 -1.302  -0.328 -1.302  -0.454 -1.278  -0.546 -1.231  -0.622 -1.177  -0.687 -1.114  -0.703 -1.002  -0.734 -0.905  -0.659 -0.852
1b#tos#t2#t2038062/K  -0.670 1.820  -0.771 1.707  -0.753 1.500  -0.720 1.300  -0.720 1.086  -0.720 0.872  -0.720 0.658  -0.720 0.444  -0.720 0.230  -0.720 0.016  -0.720 -0.198  -0.720 -0.413  -0.720 -0.627  -0.720 -0.841  -0.723 -1.054  -0.663 -1.003  -0.506 -0.858  -0.349 -0.712  -0.192 -0.567  -0.034 -0.422  0.123 -0.277  0.280 -0.132  0.438 0.014  0.595 0.159  0.752 0.304  0.909 0.449  1.067 0.594  1.194 0.671  1.002 0.611  0.812 0.546  0.615 0.473  0.424 0.377  0.224 0.302  0.032 0.207  -0.123 0.106  -0.331 0.053  -0.530 -0.024  -0.670 -0.113  -0.610 -0.300  -0.419 -0.396  -0.223 -0.441  -0.032 -0.497  0.177 -0.533  0.382 -0.596  0.595 -0.598  0.792 -0.674  0.994 -0.724  1.200 -0.755  1.368 -0.844  1.547 -0.900
1b#tos#t2#t2038062/L  -0.264 1.704  -0.312 1.662  -0.360 1.621  -0.360 1.531  -0.360 1.441  -0.360 1.351  -0.360 1.261  -0.360 1.171  -0.341 1.086  -0.312 1.003  -0.312 0.913  -0.312 0.823  -0.312 0.733  -0.312 0.643  -0.312 0.553  -0.312 0.463  -0.312 0.373  -0.312 0.283  -0.312 0.193  -0.315 0.104  -0.343 0.018  -0.360 -0.069  -0.360 -0.159  -0.360 -0.248  -0.360 -0.338  -0.360 -0.428  -0.362 -0.518  -0.409 -0.588  -0.409 -0.678  -0.360 -0.720  -0.308 -0.758  -0.219 -0.758  -0.138 -0.797  -0.050 -0.806  0.040 -0.806  0.130 -0.806  0.220 -0.806  0.310 -0.806  0.399 -0.806  0.489 -0.806  0.579 -0.806  0.634 -0.748  0.699 -0.709  0.789 -0.709  0.879 -0.709  0.969 -0.709  1.059 -0.709  1.149 -0.709  1.239 -0.709  1.329 -0.709
1b#tos#t2#t2038062/M  -0.538 1.237  -0.624 1.095  -0.624 0.868  -0.624 0.640  -0.624 0.413  -0.624 0.185  -0.624 -0.042  -0.624 -0.270  -0.624 -0.497  -0.624 -0.725  -0.624 -0.953  -0.624 -1.180  -0.623 -1.333  -0.619 -1.106  -0.615 -0.878  -0.611 -0.651  -0.606 -0.423  -0.602 -0.196  -0.598 0.032  -0.594 0.259  -0.589 0.487  -0.585 0.714  -0.581 0.934  -0.581 0.707  -0.548 0.487  -0.423 0.310  -0.337 0.132  -0.253 -0.060  -0.060 -0.173  0.168 -0.173  0.299 -0.063  0.444 0.104  0.530 0.287  0.640 0.473  0.684 0.690  0.753 0.895  0.803 1.082  0.915 1.091  0.915 0.863  0.915 0.636  0.915 0.408  0.882 0.188  0.872 -0.037  0.872 -0.264  0.872 -0.492  0.872 -0.719  0.915 -0.929  0.915 -1.157  1.001 -1.357  1.043 -1.541
1b#tos#t2#t2038062/P  -0.073 1.089  -0.274 1.074  -0.274 0.858  -0.274 0.642  -0.274 0.427  -0.274 0.211  -0.274 -0.005  -0.324 -0.209  -0.324 -0.425  -0.324 -0.641  -0.366 -0.850  -0.375 -1.065  -0.375 -1.281  -0.375 -1.497  -0.375 -1.713  -0.429 -1.586  -0.437 -1.370  -0.445 -1.154  -0.453 -0.939  -0.461 -0.723  -0.470 -0.507  -0.478 -0.291  -0.486 -0.075  -0.494 0.140  -0.502 0.356  -0.510 0.572  -0.518 0.788  -0.526 1.004  -0.387 1.139  -0.171 1.139  0.045 1.139  0.261 1.139  0.431 1.093  0.591 1.033  0.765 0.906  0.885 0.760  1.036 0.696  1.119 0.535  1.237 0.423  1.237 0.207  1.173 0.018  1.036 -0.112  0.868 -0.238  0.683 -0.289  0.509 -0.358  0.317 -0.422  0.101 -0.422  -0.115 -0.422  -0.331 -0.422  -0.526 -0.372
1b#tos#t2#t2038062/Q  0.341 -0.327  0.238 -0.464  0.138 -0.632  -0.027 -0.738  -0.266 -0.738  -0.454 -0.789  -0.687 -0.763  -0.901 -0.656  -1.007 -0.469  -1.148 -0.309  -1.199 -0.082  -1.199 0.158  -1.148 0.385  -1.081 0.568  -0.943 0.730  -0.787 0.858  -0.635 1.022  -0.475 1.164  -0.286 1.305  -0.114 1.418  0.125 1.418  0.362 1.400  0.587 1.321  0.701 1.161  0.855 1.004  0.917 0.779  0.990 0.563  1.008 0.331  0.989 0.096  0.947 -0.132  0.802 -0.311  0.711 -0.508  0.546 -0.635  0.417 -0.781  0.221 -0.892  0.033 -0.841  -0.133 -0.738  -0.288 -0.584  -0.429 -0.486  -0.471 -0.299  -0.441 -0.061  -0.284 0.032  -0.045 0.032  0.092 -0.071  0.244 -0.231  0.392 -0.349  0.534 -0.469  0.639 -0.656  0.717 -0.841  0.905 -0.892
1b#tos#t2#t2038062/S  0.822 0.622  0.822 0.678  0.805 0.811  0.728 0.885  0.659 0.999  0.523 1.048  0.420 1.095  0.328 1.190  0.177 1.190  0.026 1.190  -0.117 1.144  -0.262 1.120  -0.397 1.053  -0.539 1.023  -0.661 0.936  -0.786 0.856  -0.786 0.705  -0.786 0.555  -0.739 0.451  -0.739 0.300  -0.661 0.192  -0.597 0.075  -0.477 0.029  -0.347 -0.040  -0.204 -0.071  -0.059 -0.096  0.083 -0.135  0.234 -0.135  0.384 -0.135  0.476 -0.229  0.611 -0.294  0.738 -0.371  0.822 -0.466  0.822 -0.616  0.815 -0.765  0.731 -0.888  0.586 -0.896  0.496 -0.999  0.378 -1.090  0.236 -1.128  0.086 -1.128  -0.065 -1.128  -0.216 -1.128  -0.366 -1.128  -0.470 -1.081  -0.586 -0.997  -0.644 -0.898  -0.739 -0.842  -0.780 -0.709  -0.786 -0.750
