2#tos#t3#t3014060/!  0.323 1.602  0.270 1.583  0.270 1.511  0.266 1.443  0.217 1.420  0.217 1.348  0.217 1.276  0.217 1.204  0.217 1.131  0.217 1.059  0.217 0.987  0.217 0.915  0.217 0.843  0.217 0.771  0.184 0.710  0.141 0.652  0.097 0.594  0.058 0.535  0.058 0.463  0.058 0.391  0.058 0.319  0.054 0.247  0.046 0.175  0.038 0.103  0.030 0.032  0.022 -0.040  0.015 -0.112  0.007 -0.183  0.005 -0.255  0.005 -0.328  0.005 -0.400  -0.028 -0.462  -0.068 -0.522  -0.102 -0.584  -0.102 -0.656  -0.136 -0.714  -0.187 -0.765  -0.213 -0.828  -0.223 -0.900  -0.233 -0.971  -0.242 -1.043  -0.252 -1.114  -0.261 -1.186  -0.271 -1.257  -0.280 -1.329  -0.290 -1.400  -0.299 -1.472  -0.309 -1.543  -0.314 -1.615  -0.367 -1.634
2#tos#t3#t3014060/%  -0.387 0.387  -0.613 0.293  -0.731 0.275  -0.731 0.532  -0.622 0.681  -0.483 0.829  -0.338 0.814  -0.338 0.557  -0.467 0.387  -0.577 0.239  -0.736 0.141  -0.701 0.244  -0.500 0.405  -0.298 0.566  -0.097 0.727  0.104 0.887  0.305 1.048  0.506 1.209  0.707 1.370  0.865 1.516  0.706 1.418  0.644 1.222  0.447 1.161  0.447 0.904  0.382 0.665  0.255 0.448  0.251 0.191  0.142 0.043  0.027 -0.125  0.006 -0.381  0.006 -0.638  -0.043 -0.868  -0.268 -0.993  -0.436 -1.151  -0.571 -1.364  -0.682 -1.556  -0.571 -1.593  -0.365 -1.438  -0.159 -1.284  0.047 -1.129  0.253 -0.975  0.459 -0.820  0.335 -0.841  0.251 -0.766  0.289 -0.546  0.497 -0.496  0.608 -0.350  0.791 -0.424  0.791 -0.682  0.595 -0.743
2#tos#t3#t3014060/&  0.726 -1.047  0.606 -1.186  0.483 -1.052  0.308 -0.962  0.114 -0.861  0.030 -0.695  -0.035 -0.536  -0.156 -0.434  -0.171 -0.213  -0.202 0.006  -0.202 0.229  -0.202 0.453  -0.202 0.676  -0.202 0.900  -0.168 1.099  0.017 1.214  0.076 1.412  0.254 1.459  0.384 1.551  0.608 1.551  0.772 1.465  0.772 1.241  0.772 1.018  0.772 0.794  0.633 0.710  0.496 0.623  0.447 0.449  0.235 0.438  0.017 0.403  -0.202 0.389  -0.359 0.309  -0.495 0.176  -0.575 0.020  -0.777 -0.015  -0.860 -0.215  -0.991 -0.344  -0.991 -0.568  -0.981 -0.789  -0.898 -0.957  -0.764 -1.047  -0.633 -1.139  -0.410 -1.139  -0.202 -1.124  -0.058 -1.041  0.110 -0.894  0.297 -0.774  0.308 -0.557  0.372 -0.397  0.540 -0.342  0.587 -0.258
2#tos#t3#t3014060/'  0.871 1.243  0.794 1.243  0.716 1.243  0.639 1.243  0.561 1.243  0.535 1.192  0.535 1.114  0.535 1.037  0.535 0.959  0.510 0.907  0.433 0.907  0.355 0.907  0.278 0.907  0.200 0.907  0.175 0.834  0.151 0.761  0.126 0.687  0.102 0.614  0.077 0.540  0.053 0.467  0.031 0.393  0.031 0.315  0.031 0.238  0.031 0.160  0.031 0.083  -0.003 0.016  -0.046 -0.049  -0.089 -0.113  -0.132 -0.178  -0.175 -0.242  -0.218 -0.307  -0.261 -0.371  -0.304 -0.436  -0.305 -0.513  -0.305 -0.591  -0.305 -0.668  -0.305 -0.746  -0.305 -0.823  -0.305 -0.900  -0.305 -0.978  -0.305 -1.055  -0.321 -1.126  -0.376 -1.181  -0.431 -1.236  -0.486 -1.291  -0.541 -1.345  -0.595 -1.400  -0.641 -1.459  -0.641 -1.536  -0.641 -1.614
2#tos#t3#t3014060/(  0.683 1.380  0.599 1.380  0.565 1.329  0.565 1.245  0.523 1.204  0.439 1.204  0.365 1.179  0.295 1.145  0.218 1.118  0.155 1.073  0.155 0.989  0.150 0.911  0.066 0.911  0.038 0.855  -0.044 0.852  -0.079 0.804  -0.079 0.720  -0.108 0.648  -0.167 0.589  -0.197 0.517  -0.203 0.435  -0.255 0.373  -0.255 0.289  -0.255 0.205  -0.255 0.122  -0.255 0.038  -0.255 -0.046  -0.255 -0.130  -0.255 -0.214  -0.255 -0.298  -0.255 -0.382  -0.255 -0.466  -0.255 -0.550  -0.255 -0.634  -0.255 -0.718  -0.255 -0.802  -0.255 -0.885  -0.255 -0.969  -0.226 -1.024  -0.142 -1.024  -0.123 -1.098  -0.057 -1.141  -0.021 -1.189  -0.011 -1.269  0.048 -1.328  0.096 -1.392  0.138 -1.435  0.214 -1.443  0.214 -1.526  0.272 -1.552
2#tos#t3#t3014060/,  0.071 1.536  0.071 1.460  0.042 1.402  -0.026 1.368  -0.094 1.334  -0.162 1.300  -0.168 1.227  -0.168 1.151  -0.168 1.075  -0.168 0.999  -0.152 0.939  -0.076 0.939  -0.000 0.939  0.071 0.934  0.071 0.858  0.071 0.782  0.071 0.706  0.071 0.630  0.071 0.554  0.071 0.478  0.071 0.402  0.071 0.326  0.071 0.250  0.071 0.174  0.071 0.098  0.071 0.022  0.071 -0.054  0.071 -0.130  0.071 -0.206  0.071 -0.282  0.071 -0.358  0.071 -0.434  0.071 -0.510  0.071 -0.586  0.071 -0.662  0.071 -0.738  0.071 -0.814  0.071 -0.890  0.071 -0.966  0.054 -1.040  0.036 -1.114  0.017 -1.187  -0.001 -1.261  -0.020 -1.335  -0.038 -1.409  -0.072 -1.473  -0.126 -1.527  -0.180 -1.581  -0.233 -1.635  -0.287 -1.688
2#tos#t3#t3014060/.  0.128 1.923  0.128 1.621  0.128 1.320  0.128 1.019  0.128 0.717  0.128 0.416  0.128 0.115  0.128 -0.187  0.128 -0.488  0.014 -0.676  -0.287 -0.676  -0.392 -0.479  -0.392 -0.178  -0.392 0.124  -0.453 0.364  -0.755 0.364  -0.911 0.508  -0.911 0.809  -0.911 0.656  -0.911 0.373  -0.911 0.674  -0.819 0.883  -0.518 0.883  -0.216 0.883  0.085 0.883  0.386 0.883  0.648 0.843  0.648 0.542  0.771 0.364  1.072 0.364  1.167 0.158  1.167 -0.144  1.167 -0.445  1.097 -0.676  0.795 -0.676  0.494 -0.676  0.193 -0.676  0.128 -0.912  0.109 -1.195  -0.192 -1.195  -0.493 -1.195  -0.794 -1.195  -0.727 -1.195  -0.426 -1.195  -0.203 -1.006  0.011 -0.793  0.128 -0.540  0.128 -0.239  0.128 -0.374  0.128 -0.676
2#tos#t3#t3014060/;  0.245 1.500  0.245 1.415  0.245 1.330  0.164 1.326  0.079 1.326  -0.006 1.326  -0.016 1.251  -0.016 1.166  0.055 1.152  0.140 1.152  0.091 1.152  0.076 1.087  0.084 1.002  0.091 0.917  0.098 0.832  0.105 0.747  0.112 0.662  0.119 0.578  0.126 0.493  0.133 0.408  0.140 0.323  0.147 0.238  0.154 0.153  0.121 0.106  0.071 0.070  0.071 -0.015  0.071 -0.100  0.042 -0.156  -0.016 -0.183  -0.016 -0.268  -0.016 -0.353  -0.016 -0.439  -0.016 -0.524  -0.016 -0.609  -0.027 -0.690  -0.087 -0.750  -0.103 -0.828  -0.103 -0.913  -0.103 -0.999  -0.103 -1.084  -0.103 -1.169  -0.103 -1.254  -0.153 -1.289  -0.239 -1.289  -0.278 -1.335  -0.278 -1.420  -0.278 -1.505  -0.318 -1.550  -0.338 -1.523  -0.278 -1.463
2#tos#t3#t3014060/=  -0.157 1.092  -0.326 1.083  -0.478 1.006  -0.633 0.941  -0.728 0.865  -0.775 0.865  -0.604 0.865  -0.433 0.865  -0.263 0.865  -0.092 0.865  0.079 0.865  0.249 0.865  0.420 0.865  0.590 0.865  0.761 0.865  0.876 0.845  0.744 0.736  0.613 0.628  0.481 0.519  0.350 0.410  0.218 0.302  0.087 0.193  -0.045 0.084  -0.176 -0.024  -0.308 -0.133  -0.440 -0.242  -0.571 -0.350  -0.703 -0.459  -0.834 -0.568  -0.999 -0.599  -1.139 -0.669  -1.139 -0.839  -1.001 -0.872  -0.830 -0.872  -0.660 -0.872  -0.489 -0.872  -0.318 -0.872  -0.148 -0.872  0.023 -0.872  0.069 -0.748  0.213 -0.721  0.384 -0.721  0.554 -0.721  0.725 -0.721  0.880 -0.655  0.976 -0.573  1.144 -0.570  1.241 -0.570  1.258 -0.645  1.353 -0.721
2#tos#t3#t3014060/>  -0.605 1.164  -0.717 1.164  -0.787 1.096  -0.850 1.017  -0.961 1.017  -0.946 0.944  -0.900 0.879  -0.797 0.870  -0.685 0.870  -0.573 0.870  -0.461 0.870  -0.350 0.870  -0.238 0.870  -0.176 0.777  -0.114 0.684  -0.091 0.580  0.017 0.576  0.129 0.576  0.130 0.465  0.205 0.429  0.313 0.411  0.413 0.361  0.497 0.330  0.561 0.282  0.643 0.210  0.754 0.208  0.792 0.135  0.865 0.096  0.810 0.007  0.731 -0.072  0.676 -0.169  0.616 -0.261  0.537 -0.340  0.458 -0.419  0.424 -0.517  0.399 -0.613  0.299 -0.663  0.277 -0.761  0.277 -0.873  0.202 -0.944  0.109 -1.006  0.008 -1.041  -0.095 -1.054  -0.130 -1.160  -0.164 -1.266  -0.194 -1.365  -0.238 -1.459  -0.318 -1.495  -0.368 -1.595  -0.385 -1.556
2#tos#t3#t3014060/]  -0.589 1.038  -0.694 1.038  -0.727 0.967  -0.811 0.946  -0.723 0.946  -0.619 0.946  -0.514 0.946  -0.422 0.975  -0.343 1.038  -0.239 1.038  -0.135 1.038  -0.046 1.076  0.055 1.084  0.146 1.098  0.218 1.130  0.237 1.045  0.240 0.941  0.287 0.847  0.329 0.753  0.329 0.649  0.329 0.544  0.329 0.440  0.329 0.335  0.329 0.231  0.329 0.127  0.329 0.022  0.329 -0.082  0.329 -0.187  0.329 -0.291  0.368 -0.379  0.375 -0.481  0.375 -0.585  0.375 -0.690  0.421 -0.748  0.421 -0.853  0.421 -0.957  0.444 -1.052  0.396 -1.075  0.291 -1.075  0.192 -1.080  0.128 -1.121  0.024 -1.121  -0.080 -1.121  -0.185 -1.121  -0.270 -1.167  -0.375 -1.167  -0.452 -1.195  -0.537 -1.213  -0.642 -1.213  -0.635 -1.259
