1a#apb#apb32#app3221/4  -0.942 0.255  -0.834 0.453  -0.788 0.670  -0.692 0.874  -0.610 1.084  -0.460 1.183  -0.419 0.976  -0.476 0.758  -0.544 0.542  -0.629 0.333  -0.730 0.131  -0.840 -0.066  -0.951 -0.263  -1.052 -0.465  -1.132 -0.649  -0.919 -0.638  -0.698 -0.588  -0.479 -0.534  -0.257 -0.491  -0.034 -0.459  0.192 -0.459  0.418 -0.459  0.634 -0.516  0.828 -0.629  1.033 -0.720  1.041 -0.616  0.984 -0.397  0.927 -0.178  0.870 0.040  0.813 0.259  0.756 0.478  0.699 0.696  0.642 0.915  0.585 1.134  0.528 1.352  0.442 1.283  0.375 1.067  0.338 0.845  0.304 0.621  0.271 0.398  0.238 0.174  0.205 -0.049  0.157 -0.270  0.107 -0.490  0.064 -0.712  0.029 -0.935  -0.004 -1.159  -0.034 -1.383  -0.038 -1.608  0.081 -1.791
1a#apb#apb32#app3221/8  -0.307 0.840  -0.307 1.025  -0.391 0.960  -0.490 0.805  -0.515 0.624  -0.513 0.440  -0.477 0.261  -0.338 0.139  -0.174 0.053  -0.009 0.130  0.150 0.225  0.273 0.361  0.337 0.531  0.355 0.712  0.326 0.895  0.252 1.065  0.107 1.177  -0.067 1.240  -0.223 1.173  -0.379 1.075  -0.549 1.002  -0.567 0.857  -0.514 0.680  -0.461 0.503  -0.408 0.325  -0.355 0.148  -0.302 -0.030  -0.295 -0.095  -0.421 -0.125  -0.570 -0.236  -0.646 -0.403  -0.707 -0.577  -0.735 -0.760  -0.669 -0.925  -0.554 -1.062  -0.388 -1.145  -0.222 -1.227  -0.039 -1.241  0.146 -1.248  0.331 -1.253  0.506 -1.194  0.682 -1.136  0.847 -1.054  1.007 -0.960  1.136 -0.833  1.241 -0.681  1.302 -0.507  1.301 -0.333  1.216 -0.171  1.077 -0.049
1a#apb#apb32#app3221/1  0.004 1.609  -0.066 1.609  -0.097 1.570  -0.097 1.500  -0.097 1.430  -0.097 1.360  -0.097 1.290  -0.097 1.220  -0.095 1.150  -0.091 1.080  -0.087 1.010  -0.083 0.941  -0.079 0.871  -0.075 0.801  -0.071 0.731  -0.067 0.661  -0.062 0.591  -0.055 0.522  -0.048 0.452  -0.041 0.382  -0.034 0.313  -0.027 0.243  -0.020 0.174  -0.013 0.104  -0.006 0.034  0.001 -0.035  0.008 -0.105  0.015 -0.175  0.023 -0.244  0.030 -0.314  0.037 -0.383  0.045 -0.453  0.052 -0.523  0.059 -0.592  0.067 -0.662  0.071 -0.732  0.071 -0.801  0.071 -0.871  0.071 -0.941  0.071 -1.011  0.071 -1.081  0.071 -1.151  0.071 -1.221  0.071 -1.291  0.071 -1.361  0.071 -1.431  0.071 -1.501  0.071 -1.571  0.137 -1.590  0.205 -1.607
1a#apb#apb32#app3221/0  0.066 1.409  0.087 1.515  0.051 1.447  -0.017 1.339  -0.082 1.229  -0.147 1.119  -0.212 1.008  -0.274 0.897  -0.336 0.784  -0.398 0.672  -0.459 0.560  -0.521 0.448  -0.578 0.333  -0.636 0.219  -0.693 0.105  -0.750 -0.010  -0.783 -0.130  -0.777 -0.257  -0.770 -0.385  -0.764 -0.513  -0.744 -0.637  -0.676 -0.745  -0.608 -0.854  -0.541 -0.962  -0.459 -1.056  -0.344 -1.113  -0.230 -1.170  -0.115 -1.224  0.013 -1.214  0.140 -1.203  0.254 -1.157  0.357 -1.080  0.459 -1.003  0.533 -0.907  0.567 -0.783  0.601 -0.660  0.635 -0.537  0.658 -0.411  0.672 -0.284  0.685 -0.157  0.699 -0.029  0.696 0.098  0.681 0.225  0.666 0.352  0.651 0.479  0.620 0.603  0.589 0.727  0.558 0.852  0.515 0.972  0.465 1.090
1a#apb#apb32#app3221/5  0.016 0.777  -0.002 0.967  0.016 1.153  -0.060 1.063  -0.139 0.892  -0.239 0.730  -0.320 0.558  -0.400 0.385  -0.479 0.213  -0.484 0.026  -0.319 0.042  -0.135 0.087  0.053 0.109  0.242 0.086  0.423 0.039  0.594 -0.046  0.719 -0.183  0.825 -0.340  0.889 -0.520  0.945 -0.700  0.960 -0.890  0.933 -1.077  0.827 -1.231  0.657 -1.304  0.474 -1.328  0.287 -1.293  0.100 -1.257  -0.086 -1.219  -0.270 -1.173  -0.452 -1.116  -0.631 -1.052  -0.806 -0.977  -0.820 -0.821  -0.778 -0.636  -0.735 -0.450  -0.693 -0.265  -0.651 -0.079  -0.608 0.106  -0.566 0.291  -0.523 0.477  -0.481 0.662  -0.438 0.848  -0.369 1.018  -0.205 1.091  -0.016 1.112  0.173 1.104  0.361 1.078  0.549 1.050  0.736 1.014  0.923 0.979
1a#apb#apb32#app3221/7  -1.175 0.290  -1.255 0.353  -1.249 0.464  -1.179 0.540  -1.069 0.564  -0.959 0.588  -0.849 0.612  -0.738 0.632  -0.626 0.632  -0.513 0.632  -0.401 0.632  -0.289 0.643  -0.178 0.663  -0.067 0.684  0.044 0.704  0.155 0.713  0.268 0.713  0.381 0.713  0.493 0.713  0.604 0.693  0.713 0.667  0.823 0.641  0.933 0.616  1.042 0.592  1.073 0.490  1.027 0.388  0.971 0.291  0.902 0.202  0.833 0.113  0.764 0.024  0.688 -0.058  0.599 -0.128  0.511 -0.197  0.422 -0.267  0.334 -0.337  0.252 -0.415  0.171 -0.492  0.089 -0.570  0.007 -0.647  -0.071 -0.728  -0.142 -0.816  -0.213 -0.903  -0.284 -0.990  -0.349 -1.082  -0.412 -1.176  -0.469 -1.271  -0.469 -1.384  -0.446 -1.492  -0.388 -1.585  -0.308 -1.665
1a#apb#apb32#app3221/1  0.084 0.568  0.021 0.630  -0.013 0.693  -0.012 0.743  0.041 0.813  0.078 0.890  0.134 0.958  0.161 1.040  0.173 1.126  0.199 1.210  0.199 1.298  0.215 1.340  0.232 1.306  0.216 1.219  0.200 1.132  0.183 1.046  0.166 0.959  0.148 0.872  0.131 0.786  0.116 0.699  0.102 0.611  0.088 0.524  0.074 0.437  0.058 0.350  0.036 0.264  0.013 0.179  -0.009 0.093  -0.031 0.008  -0.053 -0.078  -0.064 -0.166  -0.075 -0.253  -0.087 -0.341  -0.098 -0.428  -0.110 -0.516  -0.129 -0.602  -0.148 -0.689  -0.166 -0.775  -0.185 -0.861  -0.204 -0.948  -0.206 -1.036  -0.206 -1.124  -0.206 -1.213  -0.202 -1.301  -0.182 -1.387  -0.163 -1.473  -0.143 -1.559  -0.126 -1.646  -0.109 -1.733  -0.091 -1.819  -0.051 -1.845
1a#apb#apb32#app3221/2  -0.743 0.828  -0.795 0.976  -0.790 1.121  -0.691 1.248  -0.545 1.284  -0.383 1.284  -0.221 1.284  -0.088 1.197  0.042 1.099  0.162 0.991  0.262 0.864  0.360 0.735  0.429 0.588  0.499 0.441  0.515 0.284  0.507 0.122  0.482 -0.036  0.406 -0.179  0.330 -0.323  0.214 -0.434  0.089 -0.536  -0.043 -0.626  -0.204 -0.648  -0.365 -0.670  -0.526 -0.679  -0.687 -0.661  -0.848 -0.643  -1.003 -0.595  -1.138 -0.521  -1.216 -0.380  -1.128 -0.248  -1.018 -0.139  -0.859 -0.111  -0.699 -0.084  -0.536 -0.084  -0.374 -0.084  -0.212 -0.084  -0.056 -0.129  0.099 -0.176  0.255 -0.223  0.406 -0.281  0.557 -0.340  0.708 -0.399  0.857 -0.464  1.005 -0.531  1.153 -0.599  1.282 -0.693  1.402 -0.803  1.524 -0.909  1.619 -1.037
1a#apb#apb32#app3221/6  -0.134 1.657  -0.036 1.769  -0.031 1.736  -0.063 1.586  -0.107 1.440  -0.172 1.301  -0.240 1.163  -0.311 1.027  -0.383 0.891  -0.442 0.750  -0.501 0.608  -0.558 0.466  -0.603 0.319  -0.648 0.172  -0.686 0.023  -0.717 -0.127  -0.731 -0.278  -0.717 -0.431  -0.697 -0.582  -0.611 -0.709  -0.521 -0.831  -0.388 -0.908  -0.255 -0.985  -0.108 -1.020  0.044 -1.039  0.197 -1.057  0.348 -1.034  0.500 -1.010  0.647 -0.974  0.778 -0.894  0.909 -0.814  0.994 -0.688  1.074 -0.557  1.101 -0.413  1.091 -0.259  1.026 -0.122  0.952 0.012  0.838 0.105  0.700 0.170  0.557 0.211  0.404 0.194  0.252 0.177  0.103 0.145  -0.038 0.086  -0.180 0.026  -0.315 -0.044  -0.434 -0.141  -0.552 -0.239  -0.631 -0.369  -0.703 -0.504
1a#apb#apb32#app3221/3  -1.074 0.352  -1.150 0.443  -1.260 0.459  -1.319 0.562  -1.292 0.668  -1.180 0.703  -1.074 0.756  -0.962 0.791  -0.845 0.811  -0.728 0.830  -0.609 0.836  -0.491 0.842  -0.372 0.846  -0.254 0.846  -0.135 0.846  -0.017 0.840  0.100 0.817  0.216 0.795  0.330 0.764  0.437 0.713  0.544 0.662  0.628 0.578  0.686 0.485  0.675 0.367  0.620 0.267  0.547 0.172  0.458 0.100  0.349 0.053  0.239 0.008  0.145 -0.045  0.216 -0.126  0.304 -0.206  0.375 -0.300  0.446 -0.395  0.517 -0.490  0.588 -0.585  0.629 -0.697  0.668 -0.808  0.689 -0.923  0.687 -1.042  0.661 -1.158  0.569 -1.219  0.457 -1.243  0.339 -1.234  0.224 -1.206  0.112 -1.166  0.000 -1.128  -0.115 -1.099  -0.231 -1.077  -0.349 -1.066
1a#apb#apb32#app3221/1  0.516 1.495  0.493 1.553  0.453 1.496  0.412 1.439  0.381 1.378  0.358 1.312  0.335 1.247  0.312 1.181  0.289 1.115  0.266 1.049  0.245 0.983  0.228 0.915  0.212 0.848  0.196 0.780  0.180 0.712  0.163 0.644  0.147 0.577  0.131 0.509  0.114 0.441  0.097 0.374  0.080 0.306  0.063 0.239  0.047 0.171  0.030 0.103  0.013 0.036  -0.004 -0.032  -0.021 -0.099  -0.040 -0.166  -0.059 -0.233  -0.078 -0.300  -0.096 -0.368  -0.115 -0.435  -0.134 -0.502  -0.153 -0.569  -0.172 -0.636  -0.192 -0.702  -0.212 -0.769  -0.232 -0.836  -0.252 -0.903  -0.272 -0.969  -0.291 -1.036  -0.308 -1.104  -0.325 -1.171  -0.342 -1.239  -0.359 -1.306  -0.377 -1.374  -0.397 -1.440  -0.417 -1.507  -0.441 -1.572  -0.472 -1.635
