3#apb#apb22#app2232/E  -0.265 1.272  -0.240 1.192  -0.260 0.930  -0.302 0.670  -0.351 0.411  -0.410 0.155  -0.473 -0.101  -0.543 -0.354  -0.620 -0.606  -0.699 -0.857  -0.779 -1.108  -0.834 -1.365  -0.783 -1.219  -0.714 -0.965  -0.646 -0.711  -0.577 -0.457  -0.509 -0.202  -0.440 0.052  -0.372 0.306  -0.303 0.560  -0.235 0.814  -0.056 0.863  0.207 0.864  0.468 0.894  0.729 0.927  0.989 0.967  1.246 1.026  1.508 1.047  1.337 0.918  1.118 0.772  0.898 0.626  0.679 0.481  0.460 0.335  0.241 0.190  0.021 0.044  -0.198 -0.102  -0.039 -0.059  0.201 0.050  0.447 0.141  0.698 0.221  0.562 0.027  0.403 -0.184  0.245 -0.394  0.087 -0.605  -0.072 -0.815  -0.230 -1.025  -0.388 -1.236  -0.548 -1.445  -0.451 -1.525  -0.209 -1.420
3#apb#apb22#app2232/d  0.859 1.703  0.817 1.619  0.791 1.526  0.757 1.435  0.724 1.344  0.698 1.251  0.689 1.155  0.681 1.059  0.671 0.962  0.652 0.867  0.633 0.772  0.614 0.677  0.595 0.583  0.567 0.490  0.539 0.397  0.511 0.305  0.483 0.212  0.452 0.120  0.412 0.032  0.372 -0.056  0.332 -0.144  0.292 -0.233  0.245 -0.317  0.192 -0.398  0.140 -0.480  0.088 -0.561  0.028 -0.637  -0.037 -0.709  -0.102 -0.781  -0.166 -0.852  -0.246 -0.906  -0.330 -0.953  -0.415 -1.000  -0.510 -0.994  -0.606 -0.983  -0.694 -0.948  -0.776 -0.896  -0.828 -0.817  -0.873 -0.731  -0.918 -0.645  -0.939 -0.551  -0.955 -0.456  -0.936 -0.368  -0.884 -0.286  -0.824 -0.213  -0.741 -0.163  -0.658 -0.113  -0.563 -0.106  -0.466 -0.106  -0.369 -0.106
3#apb#apb22#app2232/i  0.484 1.579  0.527 1.527  0.522 1.458  0.516 1.388  0.511 1.319  0.506 1.249  0.500 1.180  0.495 1.110  0.490 1.041  0.484 0.971  0.455 0.908  0.424 0.846  0.393 0.783  0.361 0.721  0.330 0.659  0.299 0.596  0.268 0.534  0.237 0.472  0.206 0.409  0.174 0.347  0.143 0.284  0.112 0.222  0.081 0.160  0.050 0.097  0.021 0.034  -0.008 -0.029  -0.037 -0.093  -0.066 -0.156  -0.095 -0.220  -0.124 -0.283  -0.153 -0.347  -0.181 -0.410  -0.210 -0.474  -0.239 -0.537  -0.268 -0.601  -0.297 -0.664  -0.326 -0.728  -0.355 -0.791  -0.383 -0.855  -0.409 -0.919  -0.434 -0.985  -0.458 -1.050  -0.483 -1.115  -0.507 -1.181  -0.532 -1.246  -0.556 -1.311  -0.580 -1.377  -0.605 -1.442  -0.629 -1.507  -0.654 -1.572
3#apb#apb22#app2232/t  1.144 1.684  1.094 1.565  1.043 1.445  0.993 1.326  0.940 1.207  0.882 1.091  0.824 0.975  0.766 0.859  0.708 0.743  0.654 0.625  0.601 0.507  0.547 0.389  0.494 0.270  0.441 0.152  0.391 0.032  0.340 -0.087  0.289 -0.207  0.239 -0.326  0.192 -0.447  0.147 -0.569  0.103 -0.691  0.058 -0.813  0.003 -0.930  -0.063 -1.042  -0.128 -1.154  -0.198 -1.263  -0.266 -1.332  -0.330 -1.219  -0.393 -1.106  -0.456 -0.992  -0.520 -0.879  -0.583 -0.766  -0.646 -0.653  -0.710 -0.539  -0.773 -0.426  -0.837 -0.313  -0.900 -0.200  -0.963 -0.086  -1.027 0.027  -0.994 0.108  -0.875 0.160  -0.754 0.206  -0.628 0.233  -0.501 0.261  -0.374 0.288  -0.247 0.317  -0.121 0.347  0.005 0.378  0.131 0.408  0.257 0.439
3#apb#apb22#app2232/o  -0.358 0.881  -0.440 0.786  -0.523 0.691  -0.592 0.587  -0.653 0.477  -0.715 0.367  -0.777 0.258  -0.827 0.143  -0.871 0.025  -0.915 -0.092  -0.960 -0.210  -0.957 -0.335  -0.950 -0.460  -0.943 -0.586  -0.923 -0.707  -0.844 -0.804  -0.764 -0.901  -0.682 -0.995  -0.557 -1.009  -0.432 -1.022  -0.307 -1.036  -0.183 -1.045  -0.071 -0.988  0.042 -0.932  0.154 -0.876  0.267 -0.820  0.379 -0.763  0.468 -0.678  0.546 -0.579  0.624 -0.481  0.702 -0.382  0.780 -0.283  0.845 -0.177  0.889 -0.060  0.933 0.058  0.977 0.176  0.984 0.298  0.969 0.423  0.955 0.548  0.940 0.673  0.864 0.770  0.780 0.864  0.696 0.957  0.576 0.992  0.454 1.022  0.332 1.053  0.209 1.068  0.085 1.052  -0.040 1.035  -0.165 1.018
3#apb#apb22#app2232/r  -0.632 0.288  -0.693 0.137  -0.762 -0.010  -0.842 -0.153  -0.921 -0.295  -1.000 -0.437  -1.080 -0.579  -1.151 -0.726  -1.211 -0.877  -1.263 -0.998  -1.148 -0.886  -1.039 -0.764  -0.949 -0.629  -0.858 -0.493  -0.765 -0.359  -0.669 -0.227  -0.574 -0.095  -0.474 0.033  -0.356 0.146  -0.238 0.258  -0.120 0.370  -0.003 0.485  0.112 0.600  0.227 0.715  0.353 0.819  0.482 0.919  0.612 1.016  0.766 1.068  0.922 1.112  1.085 1.112  1.139 0.988  1.060 0.845  0.949 0.730  0.821 0.629  0.686 0.538  0.546 0.454  0.412 0.362  0.286 0.258  0.150 0.172  0.125 0.070  0.176 -0.085  0.238 -0.236  0.311 -0.381  0.384 -0.527  0.500 -0.641  0.619 -0.753  0.740 -0.861  0.878 -0.949  1.015 -1.036  1.153 -1.124
3#apb#apb22#app2232/V  -0.192 1.606  -0.245 1.495  -0.295 1.383  -0.316 1.262  -0.336 1.140  -0.353 1.019  -0.364 0.896  -0.375 0.774  -0.388 0.652  -0.406 0.530  -0.424 0.409  -0.442 0.287  -0.459 0.166  -0.473 0.044  -0.488 -0.078  -0.503 -0.200  -0.518 -0.322  -0.528 -0.445  -0.536 -0.567  -0.545 -0.690  -0.553 -0.813  -0.556 -0.935  -0.556 -1.058  -0.556 -1.181  -0.529 -1.298  -0.456 -1.324  -0.356 -1.253  -0.272 -1.165  -0.194 -1.070  -0.116 -0.975  -0.038 -0.880  0.040 -0.785  0.112 -0.685  0.181 -0.584  0.250 -0.482  0.319 -0.380  0.387 -0.278  0.456 -0.177  0.523 -0.073  0.589 0.030  0.655 0.134  0.721 0.237  0.787 0.341  0.854 0.444  0.919 0.548  0.984 0.652  1.050 0.756  1.115 0.860  1.181 0.964  1.246 1.068
3#apb#apb22#app2232/P  -0.225 0.521  -0.252 0.403  -0.309 0.257  -0.360 0.109  -0.411 -0.038  -0.473 -0.182  -0.538 -0.324  -0.602 -0.467  -0.660 -0.612  -0.718 -0.757  -0.776 -0.902  -0.828 -1.050  -0.879 -1.197  -0.927 -1.346  -0.943 -1.458  -0.872 -1.319  -0.792 -1.185  -0.717 -1.048  -0.647 -0.908  -0.577 -0.768  -0.509 -0.627  -0.441 -0.486  -0.372 -0.346  -0.293 -0.211  -0.214 -0.076  -0.136 0.059  -0.050 0.190  0.039 0.318  0.128 0.446  0.218 0.575  0.327 0.687  0.435 0.799  0.544 0.912  0.660 1.016  0.785 1.110  0.910 1.204  1.049 1.275  1.164 1.195  1.164 1.039  1.112 0.894  1.045 0.753  0.969 0.616  0.889 0.482  0.802 0.353  0.694 0.240  0.586 0.126  0.459 0.037  0.327 -0.047  0.184 -0.107  0.035 -0.154
3#apb#apb22#app2232/O  0.678 1.523  0.634 1.574  0.544 1.484  0.454 1.394  0.368 1.301  0.291 1.200  0.213 1.100  0.135 0.999  0.059 0.897  -0.012 0.792  -0.082 0.686  -0.153 0.580  -0.223 0.474  -0.294 0.368  -0.356 0.258  -0.417 0.146  -0.478 0.034  -0.538 -0.077  -0.599 -0.189  -0.660 -0.301  -0.711 -0.417  -0.761 -0.534  -0.811 -0.651  -0.861 -0.768  -0.892 -0.888  -0.883 -1.015  -0.864 -1.133  -0.741 -1.165  -0.618 -1.198  -0.501 -1.164  -0.385 -1.111  -0.269 -1.059  -0.157 -1.001  -0.060 -0.918  0.036 -0.835  0.133 -0.752  0.229 -0.670  0.326 -0.587  0.404 -0.488  0.473 -0.381  0.543 -0.275  0.613 -0.169  0.680 -0.061  0.719 0.060  0.758 0.181  0.797 0.302  0.828 0.424  0.816 0.550  0.804 0.677  0.792 0.803
3#apb#apb22#app2232/p  0.472 1.180  0.369 1.055  0.299 0.906  0.227 0.759  0.151 0.614  0.074 0.469  0.012 0.317  -0.050 0.165  -0.112 0.013  -0.161 -0.143  -0.210 -0.300  -0.259 -0.456  -0.318 -0.609  -0.385 -0.758  -0.452 -0.908  -0.517 -1.059  -0.577 -1.211  -0.636 -1.364  -0.718 -1.506  -0.805 -1.645  -0.822 -1.511  -0.793 -1.349  -0.753 -1.191  -0.703 -1.035  -0.653 -0.878  -0.593 -0.726  -0.523 -0.578  -0.454 -0.429  -0.384 -0.281  -0.308 -0.135  -0.233 0.010  -0.158 0.156  -0.070 0.294  0.026 0.427  0.122 0.559  0.219 0.692  0.337 0.806  0.456 0.919  0.577 1.028  0.712 1.121  0.852 1.204  0.981 1.179  0.983 1.023  0.949 0.862  0.877 0.717  0.788 0.580  0.696 0.444  0.603 0.309  0.494 0.187  0.371 0.078
3#apb#apb22#app2232/e  -0.477 -0.674  -0.544 -0.558  -0.514 -0.444  -0.428 -0.340  -0.316 -0.265  -0.202 -0.193  -0.087 -0.123  0.035 -0.066  0.157 -0.009  0.279 0.048  0.398 0.112  0.514 0.180  0.631 0.247  0.748 0.315  0.864 0.382  0.969 0.468  1.073 0.553  1.177 0.638  1.245 0.755  1.268 0.869  1.184 0.974  1.052 0.981  0.918 0.981  0.788 0.958  0.668 0.897  0.547 0.837  0.427 0.777  0.307 0.715  0.194 0.641  0.081 0.568  -0.032 0.494  -0.145 0.421  -0.256 0.345  -0.343 0.242  -0.430 0.139  -0.517 0.036  -0.603 -0.068  -0.690 -0.171  -0.751 -0.290  -0.806 -0.413  -0.862 -0.536  -0.917 -0.659  -0.959 -0.784  -0.943 -0.918  -0.926 -1.051  -0.909 -1.185  -0.841 -1.298  -0.758 -1.404  -0.675 -1.510  -0.591 -1.616
