2#tos#f1#f1017062/\"  -0.800 1.148  -0.937 1.118  -0.937 0.952  -0.937 0.786  -0.937 0.620  -0.937 0.453  -0.937 0.287  -0.937 0.121  -0.937 -0.046  -0.937 -0.212  -0.937 -0.378  -0.937 -0.545  -0.937 -0.711  -0.937 -0.877  -0.831 -0.800  -0.710 -0.687  -0.588 -0.573  -0.467 -0.460  -0.345 -0.346  -0.223 -0.233  -0.102 -0.120  0.020 -0.006  0.141 0.107  0.263 0.221  0.384 0.334  0.506 0.448  0.628 0.561  0.749 0.675  0.871 0.788  0.992 0.902  1.105 1.012  0.974 0.977  0.974 0.811  0.974 0.644  0.974 0.478  0.820 0.466  0.701 0.418  0.646 0.275  0.552 0.144  0.512 -0.017  0.471 -0.179  0.431 -0.340  0.320 -0.461  0.291 -0.616  0.291 -0.782  0.291 -0.948  0.291 -1.115  0.291 -1.281  0.354 -1.433  0.428 -1.581
2#tos#f1#f1017062/&  1.533 -0.833  1.437 -0.961  1.257 -0.903  1.047 -0.828  0.841 -0.771  0.685 -0.622  0.461 -0.620  0.423 -0.433  0.319 -0.290  0.117 -0.193  -0.015 -0.065  -0.214 0.018  -0.388 0.130  -0.461 0.292  -0.601 0.397  -0.601 0.621  -0.633 0.840  -0.704 1.002  -0.729 1.202  -0.673 1.413  -0.486 1.472  -0.264 1.459  -0.057 1.397  0.071 1.262  0.214 1.126  0.252 0.917  0.242 0.703  0.167 0.554  0.027 0.405  -0.165 0.328  -0.302 0.236  -0.516 0.187  -0.644 0.090  -0.738 -0.065  -0.900 -0.186  -0.857 -0.393  -0.857 -0.617  -0.857 -0.841  -0.687 -0.961  -0.549 -1.046  -0.324 -1.046  -0.109 -1.024  0.082 -0.954  0.170 -0.768  0.294 -0.620  0.465 -0.478  0.648 -0.371  0.765 -0.204  0.882 -0.065  0.935 0.106
2#tos#f1#f1017062/  -0.652 0.162  -0.738 0.162  -0.825 0.162  -0.900 0.134  -0.961 0.073  -1.023 0.011  -1.084 -0.050  -1.145 -0.111  -1.208 -0.169  -1.294 -0.169  -1.314 -0.237  -1.270 -0.280  -1.184 -0.280  -1.097 -0.280  -1.010 -0.280  -0.924 -0.280  -0.837 -0.280  -0.753 -0.273  -0.683 -0.221  -0.614 -0.169  -0.545 -0.117  -0.475 -0.065  -0.406 -0.013  -0.337 0.039  -0.254 0.051  -0.167 0.051  -0.081 0.051  0.006 0.051  0.093 0.051  0.179 0.051  0.266 0.051  0.353 0.051  0.439 0.051  0.526 0.051  0.613 0.051  0.699 0.051  0.786 0.051  0.873 0.051  0.952 0.081  1.030 0.120  1.107 0.158  1.193 0.162  1.280 0.162  1.366 0.162  1.453 0.162  1.540 0.162  1.626 0.162  1.713 0.162  1.800 0.162  1.886 0.162
2#tos#f1#f1017062/:  0.030 1.594  -0.047 1.594  -0.122 1.591  -0.122 1.513  -0.116 1.441  -0.046 1.434  -0.046 1.356  -0.046 1.278  -0.044 1.200  -0.032 1.123  -0.020 1.046  -0.008 0.970  0.004 0.893  0.017 0.816  0.029 0.739  0.041 0.662  0.053 0.585  0.065 0.508  0.077 0.431  0.089 0.354  0.102 0.278  0.114 0.201  0.126 0.124  0.138 0.047  0.150 -0.030  0.162 -0.107  0.174 -0.184  0.183 -0.261  0.183 -0.339  0.183 -0.417  0.171 -0.492  0.137 -0.561  0.102 -0.631  0.067 -0.701  0.032 -0.770  -0.044 -0.774  -0.122 -0.774  -0.199 -0.774  -0.199 -0.852  -0.199 -0.930  -0.195 -1.006  -0.140 -1.061  -0.122 -1.132  -0.122 -1.210  -0.122 -1.288  -0.122 -1.365  -0.122 -1.443  -0.080 -1.503  -0.025 -1.558  0.030 -1.613
2#tos#f1#f1017062/=  -0.852 0.917  -0.928 0.764  -1.063 0.705  -1.107 0.705  -0.935 0.705  -0.764 0.705  -0.636 0.811  -0.465 0.811  -0.294 0.811  -0.122 0.811  0.049 0.811  0.221 0.811  0.392 0.811  0.564 0.811  0.735 0.811  0.907 0.811  1.050 0.801  0.916 0.694  0.783 0.587  0.649 0.480  0.515 0.373  0.381 0.266  0.247 0.159  0.113 0.052  -0.021 -0.056  -0.155 -0.163  -0.288 -0.270  -0.422 -0.377  -0.563 -0.465  -0.639 -0.560  -0.782 -0.643  -0.904 -0.756  -0.999 -0.899  -1.011 -0.997  -0.839 -0.997  -0.668 -0.997  -0.538 -0.896  -0.413 -0.784  -0.250 -0.749  -0.096 -0.672  0.057 -0.596  0.223 -0.571  0.394 -0.571  0.565 -0.571  0.737 -0.571  0.908 -0.571  1.080 -0.571  1.251 -0.571  1.423 -0.571  1.594 -0.571
2#tos#f1#f1017062/?  -0.438 1.118  -0.544 1.118  -0.651 1.118  -0.702 1.063  -0.646 1.016  -0.560 1.066  -0.453 1.066  -0.347 1.066  -0.240 1.066  -0.133 1.066  -0.027 1.066  0.080 1.066  0.187 1.066  0.293 1.066  0.355 1.020  0.355 0.913  0.426 0.836  0.460 0.744  0.460 0.637  0.460 0.530  0.460 0.424  0.416 0.335  0.407 0.232  0.355 0.142  0.290 0.062  0.187 0.053  0.112 -0.022  0.076 -0.118  0.055 -0.223  0.017 -0.307  -0.068 -0.329  -0.131 -0.402  -0.219 -0.461  -0.314 -0.510  -0.271 -0.580  -0.195 -0.656  -0.120 -0.731  -0.044 -0.806  0.031 -0.882  0.107 -0.957  0.182 -1.033  0.249 -1.112  0.239 -1.213  0.153 -1.277  0.068 -1.341  0.012 -1.428  -0.028 -1.527  -0.067 -1.626  -0.121 -1.680  -0.174 -1.733
2#tos#f1#f1017062/@  0.452 -1.208  0.377 -1.351  0.209 -1.398  0.031 -1.398  -0.148 -1.398  -0.307 -1.352  -0.449 -1.283  -0.546 -1.167  -0.688 -1.066  -0.771 -0.919  -0.879 -0.806  -0.879 -0.628  -0.879 -0.449  -0.879 -0.271  -0.879 -0.092  -0.879 0.086  -0.789 0.207  -0.692 0.357  -0.667 0.525  -0.560 0.666  -0.465 0.816  -0.336 0.932  -0.217 1.027  -0.125 1.148  0.031 1.196  0.205 1.217  0.383 1.217  0.560 1.210  0.718 1.142  0.745 0.979  0.833 0.888  0.833 0.710  0.880 0.579  0.880 0.400  0.880 0.222  0.833 0.054  0.775 -0.067  0.648 -0.150  0.536 -0.257  0.425 -0.352  0.266 -0.400  0.087 -0.400  -0.071 -0.343  -0.118 -0.212  -0.118 -0.034  -0.060 0.123  0.024 0.217  0.154 0.266  0.226 0.409  0.405 0.409
2#tos#f1#f1017062/]  -0.362 1.049  -0.459 1.049  -0.557 1.049  -0.655 1.049  -0.706 1.002  -0.646 0.963  -0.551 0.976  -0.461 1.006  -0.363 1.006  -0.265 1.006  -0.167 1.006  -0.069 1.006  0.029 1.006  0.127 1.006  0.224 1.006  0.322 1.006  0.370 0.956  0.370 0.858  0.327 0.778  0.327 0.680  0.327 0.582  0.327 0.484  0.327 0.386  0.327 0.288  0.327 0.190  0.327 0.092  0.327 -0.005  0.327 -0.103  0.327 -0.201  0.318 -0.297  0.264 -0.378  0.241 -0.469  0.241 -0.567  0.241 -0.665  0.241 -0.762  0.223 -0.843  0.198 -0.915  0.198 -1.013  0.191 -1.108  0.155 -1.191  0.143 -1.284  0.102 -1.359  0.004 -1.359  -0.094 -1.359  -0.192 -1.359  -0.280 -1.327  -0.362 -1.273  -0.456 -1.265  -0.525 -1.196  -0.620 -1.187
2#tos#f1#f1017062/^  -0.946 -0.017  -1.007 -0.109  -1.069 -0.202  -1.097 -0.295  -1.208 -0.295  -1.249 -0.364  -1.226 -0.364  -1.116 -0.364  -1.085 -0.285  -1.085 -0.174  -1.064 -0.076  -0.965 -0.027  -0.871 0.032  -0.779 0.094  -0.695 0.165  -0.668 0.264  -0.628 0.350  -0.529 0.400  -0.480 0.499  -0.393 0.538  -0.321 0.577  -0.311 0.677  -0.200 0.677  -0.159 0.746  -0.048 0.746  0.063 0.746  0.165 0.738  0.165 0.627  0.165 0.516  0.165 0.406  0.211 0.306  0.294 0.260  0.405 0.260  0.494 0.209  0.572 0.131  0.669 0.078  0.744 0.004  0.793 -0.095  0.843 -0.194  0.859 -0.300  0.901 -0.385  0.999 -0.436  1.060 -0.528  1.122 -0.620  1.216 -0.669  1.321 -0.704  1.359 -0.790  1.451 -0.851  1.543 -0.913  1.623 -0.989
2#tos#f1#f1017062/_  -0.524 0.463  -0.524 0.370  -0.524 0.277  -0.597 0.257  -0.691 0.257  -0.784 0.257  -0.877 0.257  -0.970 0.257  -1.063 0.257  -1.141 0.242  -1.141 0.149  -1.141 0.056  -1.141 -0.038  -1.141 -0.131  -1.211 -0.155  -1.184 -0.155  -1.091 -0.155  -0.999 -0.145  -0.909 -0.122  -0.819 -0.100  -0.728 -0.077  -0.638 -0.055  -0.545 -0.052  -0.452 -0.052  -0.359 -0.052  -0.265 -0.052  -0.172 -0.052  -0.079 -0.052  0.014 -0.052  0.107 -0.052  0.200 -0.052  0.294 -0.052  0.387 -0.052  0.480 -0.052  0.573 -0.052  0.666 -0.052  0.759 -0.052  0.853 -0.052  0.946 -0.052  1.039 -0.052  1.132 -0.052  1.225 -0.052  1.318 -0.052  1.412 -0.052  1.497 -0.084  1.580 -0.126  1.667 -0.155  1.760 -0.155  1.853 -0.155  1.946 -0.155
2#tos#f1#f1017062/0  0.081 1.232  -0.057 1.232  -0.195 1.232  -0.275 1.150  -0.368 1.077  -0.375 0.941  -0.413 0.819  -0.493 0.720  -0.578 0.625  -0.610 0.501  -0.630 0.368  -0.665 0.235  -0.701 0.105  -0.743 0.008  -0.743 -0.130  -0.743 -0.268  -0.743 -0.406  -0.721 -0.539  -0.635 -0.645  -0.619 -0.776  -0.566 -0.896  -0.496 -1.011  -0.420 -1.099  -0.331 -1.185  -0.217 -1.227  -0.083 -1.237  0.055 -1.237  0.193 -1.237  0.246 -1.141  0.364 -1.077  0.433 -0.967  0.539 -0.896  0.574 -0.766  0.626 -0.640  0.698 -0.527  0.698 -0.389  0.698 -0.251  0.698 -0.113  0.698 0.025  0.698 0.163  0.698 0.301  0.698 0.439  0.698 0.577  0.627 0.686  0.616 0.819  0.519 0.917  0.444 1.027  0.369 1.090  0.293 1.178  0.163 1.191
