3#apb#apb32#app3207/A  -0.190 1.130  -0.209 1.133  -0.285 0.876  -0.371 0.623  -0.460 0.370  -0.553 0.119  -0.639 -0.135  -0.715 -0.392  -0.767 -0.654  -0.813 -0.918  -0.846 -1.183  -0.846 -1.440  -0.826 -1.173  -0.773 -0.911  -0.705 -0.652  -0.630 -0.394  -0.571 -0.133  -0.506 0.126  -0.396 0.370  -0.283 0.613  -0.158 0.850  -0.025 1.082  0.122 1.306  0.301 1.505  0.513 1.484  0.679 1.284  0.764 1.030  0.793 0.767  0.793 0.499  0.793 0.231  0.793 -0.037  0.789 -0.304  0.751 -0.570  0.723 -0.836  0.721 -1.103  0.676 -1.366  0.629 -1.275  0.451 -1.074  0.273 -0.874  0.096 -0.673  -0.082 -0.473  -0.259 -0.272  -0.437 -0.072  -0.549 0.100  -0.290 0.168  -0.023 0.187  0.244 0.193  0.509 0.222  0.768 0.288  1.027 0.357
3#apb#apb32#app3207/B  -0.047 0.975  -0.101 1.206  -0.183 0.986  -0.246 0.714  -0.310 0.442  -0.374 0.170  -0.438 -0.103  -0.502 -0.375  -0.542 -0.651  -0.572 -0.929  -0.580 -1.208  -0.585 -1.363  -0.625 -1.088  -0.613 -0.809  -0.580 -0.532  -0.534 -0.256  -0.502 0.022  -0.454 0.297  -0.373 0.563  -0.259 0.818  -0.133 1.067  0.054 1.275  0.288 1.428  0.551 1.499  0.774 1.353  0.785 1.076  0.710 0.809  0.555 0.577  0.357 0.379  0.141 0.202  -0.100 0.061  -0.351 -0.047  -0.374 0.137  -0.137 0.283  0.129 0.363  0.406 0.391  0.681 0.352  0.910 0.207  1.075 -0.012  1.131 -0.272  1.067 -0.544  0.921 -0.781  0.722 -0.971  0.490 -1.127  0.247 -1.264  -0.026 -1.292  -0.296 -1.245  -0.550 -1.132  -0.765 -0.959  -0.847 -0.692
3#apb#apb32#app3207/C  0.928 0.946  0.833 0.884  0.783 0.775  0.736 0.664  0.676 0.559  0.644 0.442  0.577 0.405  0.568 0.524  0.559 0.644  0.532 0.761  0.472 0.865  0.394 0.954  0.284 1.003  0.165 1.014  0.044 1.014  -0.073 0.985  -0.190 0.954  -0.284 0.882  -0.369 0.797  -0.453 0.710  -0.530 0.616  -0.606 0.522  -0.678 0.426  -0.737 0.320  -0.795 0.214  -0.853 0.108  -0.877 -0.010  -0.899 -0.129  -0.922 -0.248  -0.911 -0.368  -0.899 -0.488  -0.869 -0.600  -0.783 -0.686  -0.698 -0.771  -0.601 -0.839  -0.488 -0.883  -0.376 -0.927  -0.263 -0.971  -0.144 -0.989  -0.024 -1.004  0.096 -1.019  0.217 -1.021  0.337 -1.010  0.457 -0.999  0.576 -0.978  0.691 -0.940  0.803 -0.897  0.896 -0.820  0.988 -0.742  1.066 -0.649
3#apb#apb32#app3207/D  -0.339 0.933  -0.301 1.117  -0.237 0.931  -0.237 0.727  -0.237 0.524  -0.237 0.320  -0.254 0.118  -0.295 -0.081  -0.337 -0.281  -0.377 -0.480  -0.417 -0.680  -0.463 -0.878  -0.508 -1.077  -0.541 -1.278  -0.503 -1.300  -0.503 -1.096  -0.503 -0.893  -0.503 -0.689  -0.503 -0.485  -0.503 -0.282  -0.503 -0.078  -0.503 0.125  -0.503 0.329  -0.503 0.533  -0.503 0.736  -0.503 0.940  -0.465 1.124  -0.298 1.240  -0.095 1.255  0.108 1.246  0.310 1.223  0.496 1.144  0.681 1.057  0.786 0.883  0.891 0.709  0.967 0.521  1.027 0.327  1.086 0.132  1.100 -0.071  1.110 -0.274  1.046 -0.464  0.961 -0.647  0.806 -0.780  0.642 -0.893  0.442 -0.930  0.242 -0.966  0.038 -0.958  -0.165 -0.949  -0.356 -0.882  -0.544 -0.804
3#apb#apb32#app3207/E  -0.350 1.048  -0.270 0.931  -0.270 0.734  -0.287 0.539  -0.335 0.347  -0.378 0.155  -0.421 -0.037  -0.469 -0.229  -0.506 -0.422  -0.534 -0.618  -0.564 -0.813  -0.585 -1.009  -0.572 -1.205  -0.479 -1.373  -0.293 -1.435  -0.097 -1.449  0.100 -1.446  0.297 -1.431  0.474 -1.350  0.642 -1.247  0.783 -1.114  0.848 -0.933  0.692 -0.816  0.532 -0.700  0.372 -0.585  0.212 -0.469  0.052 -0.354  -0.107 -0.238  -0.267 -0.123  -0.427 -0.007  -0.309 0.103  -0.126 0.173  0.065 0.222  0.259 0.257  0.455 0.279  0.651 0.298  0.629 0.373  0.463 0.479  0.297 0.585  0.131 0.691  -0.036 0.798  -0.202 0.904  -0.368 1.010  -0.490 1.141  -0.341 1.250  -0.154 1.312  0.035 1.368  0.223 1.427  0.415 1.471  0.609 1.507
3#apb#apb32#app3207/F  -0.076 0.951  -0.177 0.891  -0.218 0.669  -0.253 0.446  -0.289 0.223  -0.326 0.001  -0.363 -0.221  -0.398 -0.444  -0.434 -0.667  -0.475 -0.888  -0.517 -1.110  -0.547 -1.333  -0.563 -1.558  -0.563 -1.783  -0.563 -1.647  -0.553 -1.422  -0.539 -1.197  -0.526 -0.972  -0.501 -0.747  -0.482 -0.523  -0.482 -0.298  -0.497 -0.073  -0.502 0.153  -0.494 0.378  -0.482 0.603  -0.482 0.828  -0.299 0.886  -0.075 0.905  0.149 0.933  0.370 0.975  0.591 1.017  0.816 1.036  1.040 1.057  1.257 1.116  1.385 1.024  1.266 0.854  1.092 0.711  0.918 0.567  0.744 0.424  0.570 0.281  0.396 0.137  0.222 -0.006  0.048 -0.149  -0.126 -0.293  -0.300 -0.436  -0.177 -0.408  0.030 -0.320  0.242 -0.247  0.463 -0.201  0.675 -0.124
3#apb#apb32#app3207/G  0.617 1.237  0.532 1.029  0.448 0.805  0.476 0.768  0.584 0.981  0.585 1.216  0.492 1.432  0.282 1.529  0.059 1.451  -0.137 1.313  -0.309 1.148  -0.446 0.953  -0.574 0.750  -0.704 0.549  -0.802 0.332  -0.887 0.109  -0.944 -0.124  -0.983 -0.359  -0.973 -0.597  -0.926 -0.832  -0.824 -1.046  -0.648 -1.203  -0.434 -1.308  -0.202 -1.349  0.024 -1.281  0.200 -1.123  0.291 -0.903  0.314 -0.667  0.285 -0.431  0.196 -0.209  0.077 -0.002  -0.091 0.164  -0.326 0.195  -0.559 0.143  -0.470 0.065  -0.231 0.065  0.009 0.065  0.246 0.078  0.479 0.133  0.716 0.172  0.947 0.230  0.839 0.183  0.633 0.062  0.499 -0.135  0.402 -0.354  0.321 -0.579  0.256 -0.809  0.214 -1.045  0.203 -1.281  0.245 -1.516
3#apb#apb32#app3207/H  -0.546 1.009  -0.466 0.977  -0.466 0.717  -0.487 0.458  -0.519 0.200  -0.557 -0.057  -0.596 -0.314  -0.645 -0.569  -0.696 -0.824  -0.753 -1.077  -0.814 -1.330  -0.886 -1.580  -0.750 -1.477  -0.648 -1.238  -0.545 -0.999  -0.443 -0.760  -0.341 -0.522  -0.239 -0.283  -0.137 -0.044  -0.034 0.195  0.068 0.434  0.170 0.673  0.272 0.912  0.375 1.151  0.477 1.390  0.579 1.629  0.677 1.692  0.681 1.433  0.681 1.173  0.681 0.913  0.665 0.654  0.647 0.394  0.622 0.136  0.593 -0.123  0.573 -0.382  0.560 -0.641  0.530 -0.899  0.502 -1.158  0.520 -1.181  0.378 -0.963  0.237 -0.745  0.095 -0.527  -0.047 -0.309  -0.188 -0.091  -0.330 0.127  -0.403 0.326  -0.149 0.363  0.111 0.349  0.370 0.362  0.621 0.426
3#apb#apb32#app3207/I  0.214 0.713  0.139 0.702  0.099 0.520  0.064 0.336  0.025 0.153  -0.008 -0.031  -0.030 -0.216  -0.050 -0.402  -0.069 -0.588  -0.076 -0.775  -0.070 -0.962  -0.104 -1.106  -0.291 -1.110  -0.478 -1.114  -0.665 -1.118  -0.737 -1.111  -0.553 -1.082  -0.366 -1.066  -0.180 -1.059  0.007 -1.059  0.192 -1.029  0.377 -1.013  0.559 -0.980  0.650 -0.912  0.524 -0.774  0.397 -0.636  0.271 -0.498  0.145 -0.360  0.018 -0.222  -0.108 -0.084  -0.234 0.054  -0.361 0.192  -0.487 0.330  -0.613 0.468  -0.739 0.606  -0.866 0.743  -0.957 0.872  -0.779 0.931  -0.595 0.961  -0.410 0.984  -0.223 0.998  -0.037 1.010  0.150 1.023  0.336 1.037  0.523 1.053  0.708 1.079  0.893 1.105  1.078 1.134  1.264 1.147  1.451 1.156
3#apb#apb32#app3207/J  0.422 0.444  0.444 0.574  0.410 0.457  0.396 0.318  0.400 0.179  0.407 0.039  0.399 -0.100  0.388 -0.240  0.373 -0.379  0.352 -0.517  0.320 -0.653  0.288 -0.789  0.251 -0.923  0.193 -1.050  0.119 -1.168  -0.012 -1.218  -0.147 -1.252  -0.285 -1.261  -0.421 -1.230  -0.535 -1.152  -0.638 -1.058  -0.714 -0.944  -0.748 -0.809  -0.773 -0.671  -0.798 -0.534  -0.823 -0.396  -0.849 -0.259  -0.874 -0.121  -0.899 0.016  -0.924 0.154  -0.950 0.291  -0.926 0.423  -0.806 0.481  -0.676 0.532  -0.544 0.578  -0.406 0.599  -0.268 0.620  -0.131 0.646  0.006 0.673  0.143 0.701  0.280 0.733  0.416 0.764  0.552 0.796  0.688 0.829  0.824 0.861  0.956 0.907  1.087 0.954  1.214 1.013  1.345 1.049  1.473 1.092
3#apb#apb32#app3207/K  -0.488 0.858  -0.483 1.073  -0.443 0.899  -0.443 0.678  -0.470 0.460  -0.510 0.242  -0.556 0.026  -0.611 -0.188  -0.667 -0.401  -0.721 -0.616  -0.774 -0.830  -0.809 -1.048  -0.849 -1.265  -0.905 -1.479  -0.819 -1.361  -0.700 -1.175  -0.581 -0.988  -0.462 -0.802  -0.342 -0.616  -0.223 -0.430  -0.104 -0.244  0.015 -0.058  0.134 0.128  0.253 0.315  0.372 0.501  0.491 0.687  0.610 0.873  0.729 1.059  0.848 1.245  0.968 1.432  1.049 1.488  0.992 1.276  0.922 1.067  0.803 0.882  0.675 0.702  0.531 0.535  0.380 0.373  0.225 0.215  0.069 0.060  -0.098 -0.086  -0.306 -0.092  -0.245 0.058  -0.065 -0.024  0.012 -0.231  0.131 -0.418  0.231 -0.614  0.332 -0.810  0.458 -0.991  0.619 -1.142  0.823 -1.221
