3#apa#apa19#app1960/j  0.565 0.340  0.521 0.438  0.466 0.525  0.466 0.407  0.466 0.265  0.550 0.158  0.565 0.022  0.565 -0.120  0.565 -0.262  0.565 -0.404  0.565 -0.545  0.565 -0.687  0.565 -0.829  0.565 -0.971  0.565 -1.113  0.546 -1.236  0.404 -1.236  0.264 -1.231  0.161 -1.137  0.035 -1.100  -0.081 -1.039  -0.194 -0.969  -0.322 -0.938  -0.368 -0.842  -0.483 -0.779  -0.584 -0.679  -0.712 -0.645  -0.617 -0.684  -0.594 -0.664  -0.555 -0.528  -0.516 -0.391  -0.477 -0.255  -0.439 -0.119  -0.400 0.018  -0.361 0.154  -0.322 0.291  -0.283 0.427  -0.244 0.563  -0.205 0.700  -0.166 0.836  -0.127 0.972  -0.088 1.109  -0.049 1.245  -0.068 1.366  -0.168 1.467  -0.269 1.567  -0.322 1.687  -0.223 1.707  -0.168 1.620  -0.125 1.521
3#apa#apa19#app1960/o  0.297 0.963  0.153 0.963  0.008 0.963  -0.137 0.963  -0.246 0.998  -0.246 1.143  -0.389 1.144  -0.534 1.144  -0.608 1.073  -0.632 0.939  -0.734 0.836  -0.789 0.714  -0.789 0.570  -0.789 0.425  -0.789 0.281  -0.789 0.136  -0.789 -0.008  -0.789 -0.153  -0.789 -0.298  -0.727 -0.428  -0.663 -0.557  -0.592 -0.682  -0.490 -0.784  -0.427 -0.903  -0.408 -1.029  -0.263 -1.029  -0.119 -1.029  -0.001 -1.093  0.101 -1.195  0.240 -1.210  0.384 -1.210  0.514 -1.174  0.616 -1.072  0.719 -0.969  0.821 -0.867  0.840 -0.730  0.840 -0.586  0.840 -0.441  0.840 -0.297  0.840 -0.152  0.840 -0.008  0.784 0.114  0.682 0.216  0.659 0.351  0.583 0.420  0.478 0.459  0.476 0.603  0.374 0.705  0.297 0.818  0.297 0.963
3#apa#apa19#app1960/u  -0.805 0.779  -0.895 0.869  -0.985 0.959  -1.035 0.952  -1.035 0.825  -0.977 0.721  -0.887 0.631  -0.805 0.538  -0.805 0.410  -0.789 0.287  -0.732 0.173  -0.675 0.059  -0.618 -0.055  -0.553 -0.163  -0.463 -0.253  -0.372 -0.344  -0.282 -0.434  -0.192 -0.524  -0.114 -0.619  -0.114 -0.746  -0.114 -0.874  -0.114 -1.001  -0.067 -1.109  0.023 -1.199  0.113 -1.289  0.239 -1.292  0.346 -1.271  0.346 -1.143  0.346 -1.016  0.346 -0.889  0.396 -0.782  0.486 -0.692  0.576 -0.602  0.576 -0.474  0.576 -0.347  0.576 -0.219  0.576 -0.092  0.576 0.035  0.576 0.163  0.576 0.290  0.576 0.418  0.576 0.545  0.576 0.673  0.576 0.800  0.576 0.927  0.576 1.055  0.576 1.182  0.626 1.289  0.716 1.379  0.806 1.469
3#apa#apa19#app1960/r  -0.419 0.687  -0.546 0.687  -0.670 0.684  -0.670 0.557  -0.670 0.429  -0.670 0.302  -0.670 0.175  -0.670 0.048  -0.670 -0.080  -0.670 -0.207  -0.658 -0.329  -0.568 -0.419  -0.478 -0.509  -0.388 -0.599  -0.298 -0.689  -0.208 -0.779  -0.168 -0.890  -0.168 -1.017  -0.094 -1.071  0.033 -1.071  0.083 -1.148  0.083 -1.275  0.164 -1.322  0.291 -1.322  0.335 -1.239  0.335 -1.112  0.335 -0.984  0.335 -0.857  0.335 -0.730  0.335 -0.602  0.335 -0.475  0.335 -0.348  0.335 -0.221  0.335 -0.093  0.335 0.034  0.335 0.161  0.335 0.289  0.335 0.416  0.335 0.543  0.335 0.671  0.335 0.798  0.335 0.925  0.335 1.053  0.335 1.180  0.335 1.307  0.335 1.434  0.335 1.562  0.335 1.689  0.335 1.816  0.335 1.944
3#apa#apa19#app1960/n  -0.703 0.520  -0.864 0.520  -0.908 0.404  -0.908 0.243  -0.908 0.083  -0.908 -0.077  -0.908 -0.238  -0.836 -0.368  -0.722 -0.482  -0.703 -0.634  -0.640 -0.768  -0.526 -0.882  -0.499 -1.031  -0.421 -1.113  -0.295 -1.148  -0.295 -1.308  -0.295 -1.167  -0.295 -1.006  -0.295 -0.846  -0.295 -0.686  -0.295 -0.525  -0.295 -0.365  -0.295 -0.205  -0.295 -0.044  -0.295 0.116  -0.295 0.277  -0.295 0.437  -0.295 0.597  -0.271 0.748  -0.158 0.861  -0.091 0.994  -0.069 1.133  0.091 1.133  0.251 1.133  0.412 1.133  0.522 1.082  0.526 0.924  0.640 0.811  0.726 0.686  0.726 0.525  0.836 0.411  0.930 0.289  0.930 0.129  1.032 0.011  1.134 -0.107  1.134 -0.268  1.266 -0.297  1.339 -0.384  1.339 -0.545  1.339 -0.705
3#apa#apa19#app1960/e  -1.174 -0.137  -0.980 -0.137  -0.959 -0.310  -0.806 -0.352  -0.612 -0.352  -0.529 -0.464  -0.438 -0.567  -0.243 -0.567  -0.049 -0.567  0.146 -0.567  0.340 -0.567  0.535 -0.567  0.546 -0.383  0.708 -0.352  0.761 -0.209  0.882 -0.137  0.976 -0.035  0.976 0.159  0.976 0.353  0.948 0.536  0.810 0.674  0.673 0.811  0.535 0.949  0.398 1.086  0.231 1.154  0.060 1.209  -0.078 1.347  -0.263 1.369  -0.457 1.369  -0.529 1.246  -0.601 1.082  -0.739 0.944  -0.744 0.752  -0.744 0.557  -0.744 0.363  -0.744 0.168  -0.744 -0.026  -0.744 -0.220  -0.700 -0.396  -0.562 -0.534  -0.381 -0.567  -0.224 -0.657  -0.081 -0.782  0.113 -0.782  0.251 -0.917  0.413 -0.997  0.607 -0.997  0.802 -0.997  0.996 -0.997  1.191 -0.997
3#apa#apa19#app1960/y  -0.808 1.013  -0.717 0.923  -0.656 0.820  -0.643 0.697  -0.553 0.607  -0.462 0.516  -0.372 0.426  -0.352 0.306  -0.284 0.220  -0.169 0.163  -0.055 0.106  -0.006 0.216  0.039 0.336  0.084 0.456  0.129 0.576  0.174 0.696  0.219 0.816  0.263 0.936  0.308 1.055  0.353 1.175  0.398 1.295  0.406 1.212  0.406 1.084  0.406 0.956  0.406 0.828  0.406 0.700  0.406 0.572  0.406 0.444  0.406 0.316  0.406 0.188  0.406 0.060  0.406 -0.068  0.406 -0.196  0.351 -0.311  0.294 -0.426  0.255 -0.544  0.243 -0.668  0.153 -0.758  0.103 -0.865  0.103 -0.993  0.096 -1.119  0.005 -1.209  -0.085 -1.300  -0.176 -1.390  -0.266 -1.481  -0.357 -1.571  -0.447 -1.662  -0.552 -1.719  -0.680 -1.719  -0.808 -1.719
3#apa#apa19#app1960/s  0.314 1.132  0.229 1.217  0.145 1.301  0.036 1.328  -0.083 1.328  -0.203 1.328  -0.322 1.328  -0.442 1.328  -0.470 1.236  -0.470 1.117  -0.470 0.997  -0.470 0.878  -0.470 0.758  -0.398 0.669  -0.313 0.584  -0.229 0.500  -0.144 0.415  -0.060 0.331  0.025 0.246  0.109 0.162  0.225 0.153  0.336 0.131  0.420 0.046  0.505 -0.038  0.589 -0.123  0.674 -0.207  0.758 -0.292  0.843 -0.376  0.901 -0.471  0.901 -0.591  0.901 -0.710  0.898 -0.827  0.779 -0.827  0.659 -0.827  0.540 -0.827  0.420 -0.827  0.301 -0.827  0.181 -0.827  0.062 -0.827  -0.058 -0.827  -0.177 -0.827  -0.297 -0.827  -0.416 -0.827  -0.536 -0.827  -0.655 -0.827  -0.775 -0.827  -0.894 -0.827  -1.014 -0.827  -1.133 -0.827  -1.253 -0.827
3#apa#apa19#app1960/h  -0.119 1.577  -0.144 1.709  -0.225 1.818  -0.225 1.834  -0.225 1.692  -0.320 1.589  -0.332 1.452  -0.332 1.309  -0.332 1.167  -0.332 1.025  -0.332 0.883  -0.332 0.740  -0.332 0.598  -0.332 0.456  -0.332 0.314  -0.332 0.171  -0.332 0.029  -0.332 -0.113  -0.332 -0.256  -0.293 -0.382  -0.225 -0.496  -0.225 -0.638  -0.225 -0.780  -0.225 -0.923  -0.225 -1.065  -0.225 -1.184  -0.225 -1.041  -0.225 -0.899  -0.225 -0.757  -0.192 -0.629  -0.119 -0.517  -0.119 -0.374  -0.119 -0.232  -0.119 -0.090  -0.044 -0.022  -0.008 0.084  0.134 0.084  0.255 0.031  0.308 -0.089  0.380 -0.201  0.508 -0.236  0.579 -0.351  0.651 -0.473  0.735 -0.580  0.762 -0.716  0.825 -0.843  0.841 -0.982  0.841 -1.124  0.841 -1.267  0.948 -1.302
3#apa#apa19#app1960/i  -0.172 0.072  -0.172 -0.037  -0.172 -0.147  -0.172 -0.256  -0.172 -0.366  -0.172 -0.475  -0.172 -0.585  -0.202 -0.682  -0.280 -0.759  -0.353 -0.838  -0.353 -0.948  -0.323 -1.045  -0.245 -1.122  -0.172 -1.201  -0.172 -1.311  -0.128 -1.376  -0.019 -1.376  0.021 -1.295  0.038 -1.187  0.055 -1.078  0.071 -0.970  0.088 -0.862  0.104 -0.754  0.121 -0.646  0.138 -0.537  0.154 -0.429  0.171 -0.321  0.188 -0.213  0.204 -0.104  0.221 0.004  0.238 0.112  0.254 0.220  0.271 0.329  0.288 0.437  0.304 0.545  0.321 0.653  0.338 0.762  0.354 0.870  0.370 0.978  0.293 1.055  0.215 1.133  0.138 1.210  0.061 1.288  -0.017 1.365  -0.094 1.442  -0.172 1.520  -0.249 1.597  -0.327 1.675  -0.353 1.773  -0.353 1.883
3#apa#apa19#app1960/d  0.059 1.809  0.105 1.915  0.164 1.824  0.261 1.713  0.270 1.566  0.305 1.423  0.372 1.288  0.375 1.138  0.375 0.987  0.375 0.836  0.375 0.685  0.375 0.534  0.375 0.383  0.375 0.233  0.375 0.082  0.375 -0.069  0.375 -0.220  0.375 -0.371  0.375 -0.522  0.375 -0.673  0.480 -0.718  0.466 -0.570  0.418 -0.427  0.375 -0.283  0.333 -0.149  0.226 -0.043  0.101 0.019  -0.018 0.096  -0.125 0.203  -0.264 0.230  -0.415 0.230  -0.566 0.230  -0.675 0.128  -0.781 0.021  -0.888 -0.086  -0.889 -0.236  -0.889 -0.387  -0.889 -0.538  -0.889 -0.689  -0.803 -0.804  -0.696 -0.911  -0.555 -0.938  -0.420 -1.005  -0.301 -1.095  -0.169 -1.139  -0.018 -1.139  0.133 -1.139  0.284 -1.139  0.435 -1.139  0.586 -1.139
