1b#tos#t3#t3010064/B  -0.335 1.316  -0.442 1.109  -0.442 0.826  -0.442 0.543  -0.442 0.259  -0.389 -0.001  -0.389 -0.285  -0.394 -0.565  -0.496 -0.806  -0.492 -0.994  -0.473 -0.712  -0.453 -0.429  -0.433 -0.147  -0.414 0.135  -0.394 0.418  -0.374 0.700  -0.355 0.983  -0.338 1.263  -0.437 1.155  -0.162 1.188  0.063 1.263  0.346 1.263  0.614 1.225  0.786 1.005  0.844 0.776  0.717 0.546  0.492 0.405  0.369 0.244  0.086 0.244  -0.121 0.137  -0.332 0.005  -0.544 -0.077  -0.283 -0.024  -0.057 0.040  0.207 0.084  0.437 0.137  0.683 0.100  0.842 -0.024  0.945 -0.232  0.951 -0.512  0.942 -0.793  0.898 -1.066  0.702 -1.167  0.502 -1.331  0.255 -1.386  0.003 -1.417  -0.227 -1.471  -0.510 -1.471  -0.749 -1.363  -0.764 -1.095
1b#tos#t3#t3010064/F  -0.415 1.051  -0.532 0.921  -0.333 0.921  -0.153 0.964  0.042 0.986  0.232 1.026  0.389 1.139  0.585 1.152  0.778 1.182  0.977 1.182  0.916 1.051  0.718 1.043  0.519 1.035  0.321 1.028  0.123 1.020  -0.075 1.013  -0.266 0.973  -0.327 0.830  -0.327 0.631  -0.283 0.440  -0.240 0.249  -0.240 0.050  -0.240 -0.148  -0.240 -0.347  -0.240 -0.545  -0.240 -0.743  -0.240 -0.942  -0.231 -1.137  -0.153 -1.303  -0.153 -1.501  -0.153 -1.699  -0.182 -1.869  -0.197 -1.685  -0.197 -1.487  -0.197 -1.288  -0.197 -1.090  -0.197 -0.892  -0.197 -0.693  -0.197 -0.495  -0.197 -0.296  -0.197 -0.098  -0.335 -0.125  -0.295 -0.213  -0.097 -0.213  0.102 -0.213  0.300 -0.213  0.463 -0.234  0.471 -0.111  0.370 -0.096  0.457 -0.213
1b#tos#t3#t3010064/G  0.596 0.846  0.497 0.671  0.497 0.797  0.497 1.072  0.397 1.277  0.290 1.445  0.015 1.445  -0.230 1.355  -0.400 1.147  -0.580 0.966  -0.713 0.734  -0.800 0.495  -0.950 0.328  -1.010 0.076  -1.099 -0.169  -1.149 -0.423  -1.099 -0.686  -0.994 -0.877  -0.819 -1.079  -0.553 -1.099  -0.278 -1.099  -0.028 -1.016  0.197 -0.925  0.344 -0.758  0.547 -0.654  0.359 -0.482  0.127 -0.336  -0.106 -0.189  -0.339 -0.043  -0.571 0.104  -0.803 0.244  -0.940 0.098  -0.715 0.048  -0.440 0.048  -0.165 0.048  0.098 0.098  0.373 0.098  0.636 0.148  0.911 0.148  1.186 0.148  1.461 0.148  1.304 0.080  1.034 0.026  0.765 -0.028  0.494 -0.055  0.447 -0.310  0.447 -0.585  0.420 -0.854  0.397 -1.123  0.447 -1.348
1b#tos#t3#t3010064/H  -0.533 0.936  -0.728 0.939  -0.728 0.834  -0.728 0.637  -0.728 0.439  -0.728 0.242  -0.733 0.046  -0.776 -0.144  -0.786 -0.337  -0.845 -0.513  -0.922 -0.692  -0.922 -0.889  -1.020 -1.026  -1.002 -1.087  -0.950 -0.897  -0.899 -0.707  -0.848 -0.516  -0.797 -0.326  -0.745 -0.136  -0.694 0.055  -0.734 0.110  -0.585 0.158  -0.400 0.207  -0.202 0.207  -0.005 0.207  0.143 0.256  0.340 0.256  0.527 0.300  0.723 0.304  0.876 0.348  0.925 0.307  0.828 0.402  0.828 0.599  0.828 0.796  0.828 0.993  0.817 1.082  0.682 1.020  0.682 0.823  0.682 0.626  0.682 0.428  0.682 0.231  0.682 0.034  0.682 -0.163  0.734 -0.339  0.779 -0.529  0.779 -0.726  0.828 -0.903  0.828 -1.100  0.828 -1.297  0.828 -1.494
1b#tos#t3#t3010064/I  -0.292 1.168  -0.384 1.121  -0.480 1.106  -0.480 0.995  -0.384 0.980  -0.273 0.980  -0.162 0.980  -0.050 0.980  0.061 0.980  0.131 1.021  0.189 1.074  0.301 1.074  0.412 1.074  0.413 1.059  0.366 0.994  0.269 0.980  0.158 0.980  0.131 0.896  0.037 0.879  0.037 0.768  -0.010 0.676  -0.010 0.565  -0.010 0.453  -0.010 0.342  -0.010 0.231  -0.010 0.120  -0.010 0.008  -0.010 -0.103  -0.010 -0.214  -0.010 -0.325  -0.013 -0.436  -0.057 -0.536  -0.057 -0.648  -0.104 -0.739  -0.104 -0.851  -0.104 -0.962  -0.104 -1.073  -0.104 -1.184  -0.123 -1.277  -0.214 -1.324  -0.326 -1.324  -0.288 -1.277  -0.177 -1.277  -0.066 -1.277  0.045 -1.277  0.156 -1.277  0.268 -1.277  0.379 -1.277  0.490 -1.277  0.601 -1.277
1b#tos#t3#t3010064/L  -0.250 1.710  -0.334 1.669  -0.370 1.626  -0.335 1.568  -0.335 1.475  -0.292 1.399  -0.292 1.306  -0.292 1.213  -0.292 1.120  -0.292 1.026  -0.292 0.933  -0.292 0.840  -0.292 0.747  -0.292 0.654  -0.292 0.561  -0.292 0.468  -0.292 0.374  -0.292 0.281  -0.292 0.188  -0.292 0.095  -0.292 0.002  -0.292 -0.091  -0.292 -0.184  -0.292 -0.278  -0.335 -0.353  -0.335 -0.446  -0.343 -0.532  -0.393 -0.574  -0.419 -0.641  -0.419 -0.734  -0.335 -0.743  -0.257 -0.707  -0.166 -0.701  -0.073 -0.701  0.020 -0.701  0.113 -0.701  0.206 -0.701  0.257 -0.743  0.308 -0.785  0.401 -0.785  0.494 -0.785  0.587 -0.785  0.663 -0.828  0.756 -0.828  0.849 -0.828  0.942 -0.828  1.036 -0.828  1.129 -0.828  1.222 -0.828  1.273 -0.785
1b#tos#t3#t3010064/M  -0.490 1.260  -0.605 1.141  -0.601 0.909  -0.567 0.683  -0.567 0.450  -0.567 0.216  -0.605 -0.008  -0.605 -0.241  -0.605 -0.475  -0.605 -0.708  -0.605 -0.942  -0.617 -1.172  -0.681 -1.164  -0.690 -0.931  -0.699 -0.698  -0.708 -0.464  -0.717 -0.231  -0.726 0.002  -0.735 0.236  -0.744 0.469  -0.753 0.702  -0.770 0.788  -0.681 0.634  -0.571 0.462  -0.430 0.298  -0.299 0.132  -0.190 -0.034  -0.070 -0.173  0.000 -0.377  0.078 -0.307  0.159 -0.155  0.331 -0.021  0.474 0.160  0.604 0.353  0.680 0.557  0.772 0.744  0.848 0.917  0.962 1.035  0.962 0.945  0.962 0.712  0.962 0.478  0.962 0.245  0.962 0.011  0.962 -0.222  0.962 -0.455  0.962 -0.689  0.962 -0.922  0.962 -1.156  0.970 -1.386  1.000 -1.607
1b#tos#t3#t3010064/P  -0.072 1.086  -0.159 1.115  -0.159 0.882  -0.140 0.654  -0.116 0.427  -0.116 0.195  -0.116 -0.038  -0.116 -0.270  -0.116 -0.503  -0.116 -0.736  -0.116 -0.968  -0.116 -1.201  -0.116 -1.434  -0.159 -1.613  -0.217 -1.389  -0.286 -1.167  -0.354 -0.945  -0.423 -0.723  -0.492 -0.500  -0.561 -0.278  -0.630 -0.056  -0.699 0.166  -0.768 0.388  -0.837 0.610  -0.906 0.833  -1.048 0.955  -0.912 0.911  -0.680 0.911  -0.447 0.911  -0.233 0.955  -0.000 0.955  0.233 0.955  0.465 0.955  0.692 0.919  0.880 0.868  1.018 0.774  1.105 0.595  1.165 0.388  1.193 0.184  1.192 -0.048  1.090 -0.179  0.931 -0.311  0.757 -0.403  0.649 -0.528  0.470 -0.615  0.262 -0.674  0.041 -0.702  -0.159 -0.735  -0.337 -0.789  -0.421 -0.789
1b#tos#t3#t3010064/Q  -0.112 -0.486  -0.164 -0.654  -0.342 -0.612  -0.507 -0.508  -0.701 -0.438  -0.783 -0.277  -0.869 -0.109  -0.911 0.093  -0.953 0.272  -0.948 0.491  -0.906 0.701  -0.785 0.877  -0.693 1.035  -0.615 1.210  -0.452 1.321  -0.322 1.437  -0.154 1.521  0.055 1.531  0.248 1.466  0.376 1.363  0.448 1.182  0.518 0.991  0.560 0.788  0.644 0.595  0.644 0.375  0.644 0.155  0.644 -0.065  0.638 -0.282  0.560 -0.470  0.476 -0.631  0.363 -0.738  0.185 -0.780  0.091 -0.906  -0.129 -0.906  -0.339 -0.948  -0.532 -0.889  -0.575 -0.686  -0.575 -0.466  -0.436 -0.360  -0.276 -0.276  -0.098 -0.234  0.056 -0.300  0.241 -0.360  0.402 -0.444  0.518 -0.548  0.674 -0.612  0.774 -0.784  0.961 -0.864  1.139 -0.906  1.317 -0.864
1b#tos#t3#t3010064/R  -0.727 1.172  -0.610 1.172  -0.494 0.987  -0.494 0.738  -0.455 0.498  -0.455 0.249  -0.455 -0.000  -0.424 -0.244  -0.416 -0.492  -0.416 -0.741  -0.416 -0.990  -0.479 -1.199  -0.502 -0.965  -0.511 -0.716  -0.519 -0.467  -0.528 -0.218  -0.537 0.031  -0.546 0.279  -0.554 0.528  -0.563 0.777  -0.581 1.016  -0.701 0.939  -0.503 1.007  -0.263 1.055  -0.014 1.055  0.235 1.055  0.484 1.055  0.695 0.970  0.791 0.780  0.828 0.546  0.750 0.345  0.626 0.193  0.406 0.122  0.256 -0.022  0.027 -0.072  -0.196 -0.150  -0.445 -0.150  -0.455 -0.156  -0.316 -0.266  -0.106 -0.305  0.056 -0.422  0.233 -0.547  0.448 -0.664  0.636 -0.773  0.828 -0.905  0.944 -1.037  1.109 -1.121  1.281 -1.199  1.443 -1.316  1.605 -1.432
1b#tos#t3#t3010064/S  0.452 0.817  0.463 0.667  0.564 0.748  0.639 0.856  0.605 1.002  0.533 1.111  0.428 1.192  0.305 1.230  0.182 1.267  0.021 1.267  -0.140 1.267  -0.261 1.206  -0.370 1.155  -0.468 1.077  -0.560 0.973  -0.598 0.836  -0.673 0.736  -0.673 0.575  -0.644 0.421  -0.544 0.297  -0.421 0.228  -0.265 0.217  -0.148 0.151  0.003 0.142  0.084 0.045  0.237 0.020  0.311 -0.083  0.456 -0.120  0.537 -0.206  0.612 -0.308  0.654 -0.435  0.684 -0.584  0.714 -0.738  0.677 -0.883  0.602 -0.968  0.530 -1.057  0.445 -1.132  0.284 -1.132  0.123 -1.132  -0.022 -1.170  -0.183 -1.170  -0.303 -1.127  -0.435 -1.057  -0.548 -0.995  -0.598 -0.877  -0.673 -0.763  -0.673 -0.688  -0.635 -0.811  -0.635 -0.972  -0.673 -1.095
