1c#tos#f2#f2067064/b  -0.027 2.089  -0.171 2.012  -0.218 1.850  -0.218 1.669  -0.271 1.510  -0.314 1.347  -0.314 1.166  -0.314 0.985  -0.314 0.804  -0.314 0.623  -0.314 0.442  -0.314 0.260  -0.314 0.079  -0.362 -0.090  -0.362 -0.271  -0.362 -0.452  -0.362 -0.634  -0.395 -0.781  -0.410 -0.948  -0.458 -1.081  -0.458 -1.066  -0.458 -0.885  -0.458 -0.703  -0.401 -0.572  -0.320 -0.410  -0.314 -0.231  -0.260 -0.099  -0.218 0.072  -0.218 0.253  -0.075 0.331  0.069 0.368  0.192 0.463  0.373 0.463  0.538 0.424  0.675 0.350  0.827 0.275  0.930 0.138  0.978 0.005  0.978 -0.176  0.930 -0.310  0.865 -0.464  0.770 -0.606  0.642 -0.734  0.500 -0.828  0.356 -0.932  0.235 -1.020  0.086 -1.098  -0.048 -1.212  -0.229 -1.212  -0.362 -1.164
1c#tos#f2#f2067064/c  0.941 0.965  0.841 0.913  0.784 0.849  0.703 0.809  0.582 0.809  0.568 0.921  0.465 0.965  0.344 0.965  0.275 1.017  0.159 1.043  0.044 1.069  -0.077 1.069  -0.146 1.017  -0.234 0.938  -0.311 0.848  -0.341 0.757  -0.462 0.757  -0.519 0.662  -0.561 0.558  -0.574 0.443  -0.689 0.405  -0.728 0.312  -0.728 0.190  -0.780 0.121  -0.780 -0.000  -0.780 -0.121  -0.780 -0.243  -0.780 -0.364  -0.780 -0.485  -0.676 -0.502  -0.652 -0.599  -0.624 -0.692  -0.514 -0.704  -0.444 -0.756  -0.345 -0.808  -0.234 -0.833  -0.146 -0.912  -0.024 -0.912  0.097 -0.912  0.166 -0.964  0.287 -0.964  0.409 -0.964  0.530 -0.964  0.650 -0.957  0.765 -0.919  0.829 -0.822  0.942 -0.808  1.045 -0.790  1.132 -0.756  1.149 -0.651
1c#tos#f2#f2067064/g  0.219 0.532  0.291 0.660  0.363 0.815  0.341 0.985  0.327 1.158  0.241 1.250  0.148 1.363  0.036 1.430  -0.107 1.466  -0.285 1.465  -0.428 1.358  -0.463 1.194  -0.463 1.015  -0.463 0.836  -0.463 0.657  -0.374 0.568  -0.217 0.496  -0.038 0.496  0.126 0.532  0.232 0.604  0.363 0.652  0.255 0.628  0.223 0.463  0.183 0.301  0.183 0.122  0.183 -0.057  0.183 -0.236  0.183 -0.414  0.183 -0.593  0.183 -0.772  0.183 -0.951  0.203 -1.125  0.219 -1.300  0.164 -1.444  0.148 -1.606  -0.014 -1.624  -0.191 -1.616  -0.284 -1.509  -0.390 -1.374  -0.463 -1.247  -0.463 -1.068  -0.463 -0.889  -0.427 -0.726  -0.320 -0.583  -0.199 -0.469  -0.104 -0.370  0.051 -0.295  0.221 -0.259  0.400 -0.259  0.579 -0.259
1c#tos#f2#f2067064/h  -0.470 2.251  -0.556 2.205  -0.556 1.985  -0.556 1.766  -0.556 1.546  -0.556 1.327  -0.556 1.108  -0.556 0.888  -0.556 0.669  -0.556 0.449  -0.556 0.230  -0.556 0.011  -0.556 -0.209  -0.556 -0.428  -0.556 -0.648  -0.556 -0.867  -0.556 -1.086  -0.599 -1.154  -0.556 -0.945  -0.549 -0.733  -0.399 -0.592  -0.314 -0.405  -0.234 -0.248  -0.153 -0.084  -0.023 0.046  0.120 0.175  0.292 0.289  0.417 0.166  0.510 -0.032  0.602 -0.231  0.695 -0.430  0.788 -0.629  0.881 -0.828  0.935 -0.962  0.802 -0.787  0.670 -0.613  0.537 -0.438  0.404 -0.263  0.272 -0.088  0.139 0.087  0.006 0.261  0.139 0.262  0.315 0.219  0.395 0.080  0.482 -0.053  0.497 -0.257  0.525 -0.449  0.540 -0.662  0.575 -0.863  0.655 -1.036
1c#tos#f2#f2067064/i  -0.615 -1.200  -0.529 -1.099  -0.456 -0.966  -0.424 -0.817  -0.360 -0.674  -0.258 -0.600  -0.258 -0.443  -0.258 -0.286  -0.189 -0.168  -0.178 -0.021  -0.178 0.136  -0.139 0.047  -0.139 -0.110  -0.139 -0.267  -0.139 -0.424  -0.139 -0.581  -0.079 -0.723  -0.059 -0.876  0.035 -0.962  0.175 -1.002  0.252 -1.081  0.404 -1.116  0.537 -1.098  0.643 -1.027  0.763 -0.930  0.854 -0.859  0.825 -0.709  0.750 -0.571  0.676 -0.433  0.601 -0.295  0.526 -0.157  0.452 -0.019  0.377 0.119  0.302 0.257  0.228 0.395  0.153 0.533  0.078 0.671  0.004 0.809  -0.071 0.947  -0.146 1.085  -0.220 1.223  -0.295 1.361  -0.370 1.499  -0.444 1.637  -0.584 1.650  -0.603 1.568  -0.497 1.500  -0.391 1.435  -0.258 1.379  -0.218 1.262
1c#tos#f2#f2067064/j  0.387 0.864  0.280 0.825  0.253 0.706  0.253 0.561  0.242 0.419  0.200 0.286  0.200 0.141  0.253 0.008  0.280 -0.126  0.280 -0.272  0.307 -0.406  0.307 -0.552  0.307 -0.697  0.307 -0.842  0.242 -0.955  0.227 -1.084  0.120 -1.146  0.040 -1.248  -0.045 -1.329  -0.128 -1.397  -0.250 -1.436  -0.388 -1.429  -0.454 -1.329  -0.488 -1.209  -0.549 -1.095  -0.549 -0.950  -0.495 -0.827  -0.415 -0.715  -0.327 -0.653  -0.265 -0.543  -0.240 -0.400  -0.214 -0.257  -0.188 -0.114  -0.163 0.030  -0.137 0.173  -0.112 0.316  -0.086 0.459  -0.061 0.602  -0.035 0.745  -0.009 0.889  0.016 1.032  0.042 1.175  0.067 1.318  0.093 1.461  0.118 1.604  -0.018 1.612  0.051 1.566  0.173 1.500  0.237 1.398  0.334 1.318
1c#tos#f2#f2067064/k  -0.283 2.182  -0.428 2.198  -0.428 1.973  -0.428 1.748  -0.428 1.523  -0.428 1.298  -0.428 1.073  -0.428 0.848  -0.428 0.623  -0.428 0.398  -0.476 0.181  -0.476 -0.044  -0.476 -0.269  -0.476 -0.494  -0.476 -0.719  -0.476 -0.944  -0.465 -1.166  -0.428 -1.290  -0.335 -1.092  -0.214 -0.902  -0.094 -0.712  0.026 -0.522  0.146 -0.332  0.266 -0.141  0.386 0.049  0.506 0.239  0.626 0.429  0.696 0.591  0.586 0.545  0.413 0.420  0.297 0.278  0.104 0.175  0.006 0.002  -0.155 -0.100  -0.334 -0.233  -0.488 -0.348  -0.620 -0.469  -0.415 -0.378  -0.210 -0.286  -0.004 -0.195  0.201 -0.104  0.151 -0.162  0.325 -0.258  0.423 -0.436  0.582 -0.562  0.728 -0.709  0.856 -0.806  1.004 -0.943  1.114 -1.063  1.307 -1.095
1c#tos#f2#f2067064/p  -0.090 1.195  -0.250 1.230  -0.268 1.054  -0.268 0.859  -0.268 0.665  -0.268 0.470  -0.268 0.275  -0.268 0.080  -0.268 -0.114  -0.233 -0.303  -0.233 -0.498  -0.233 -0.693  -0.233 -0.888  -0.206 -1.079  -0.197 -1.273  -0.197 -1.467  -0.175 -1.657  -0.162 -1.848  -0.162 -1.893  -0.157 -1.699  -0.147 -1.504  -0.138 -1.310  -0.128 -1.115  -0.119 -0.920  -0.109 -0.726  -0.099 -0.531  -0.090 -0.337  -0.080 -0.142  -0.071 0.052  -0.061 0.247  -0.051 0.441  -0.042 0.636  -0.032 0.830  -0.023 1.025  -0.143 1.071  -0.078 1.159  0.081 1.217  0.267 1.230  0.462 1.230  0.628 1.138  0.727 1.004  0.798 0.853  0.774 0.662  0.748 0.479  0.604 0.372  0.460 0.271  0.325 0.153  0.155 0.091  -0.017 0.022  -0.197 -0.013
1c#tos#f2#f2067064/r  -0.077 1.502  -0.225 1.502  -0.295 1.425  -0.295 1.278  -0.295 1.130  -0.295 0.983  -0.265 0.843  -0.241 0.701  -0.241 0.554  -0.241 0.407  -0.241 0.259  -0.241 0.112  -0.241 -0.035  -0.241 -0.182  -0.241 -0.330  -0.241 -0.477  -0.241 -0.624  -0.241 -0.772  -0.241 -0.919  -0.241 -1.066  -0.241 -1.214  -0.241 -1.361  -0.241 -1.508  -0.241 -1.552  -0.350 -1.514  -0.350 -1.367  -0.350 -1.219  -0.350 -1.072  -0.332 -0.932  -0.295 -0.800  -0.295 -0.653  -0.295 -0.505  -0.295 -0.358  -0.219 -0.258  -0.087 -0.192  -0.034 -0.058  0.018 0.071  0.086 0.190  0.110 0.327  0.222 0.412  0.303 0.519  0.373 0.630  0.509 0.678  0.642 0.739  0.789 0.739  0.914 0.793  1.061 0.793  1.208 0.793  1.356 0.793  1.503 0.793
1c#tos#f2#f2067064/s  0.879 0.642  0.982 0.686  0.982 0.832  0.851 0.847  0.760 0.921  0.635 0.989  0.495 1.009  0.359 1.060  0.231 1.103  0.085 1.103  -0.061 1.103  -0.207 1.103  -0.342 1.056  -0.487 1.052  -0.570 0.949  -0.657 0.890  -0.708 0.796  -0.759 0.701  -0.759 0.555  -0.759 0.409  -0.635 0.386  -0.605 0.270  -0.497 0.233  -0.372 0.181  -0.349 0.058  -0.234 0.028  -0.147 -0.069  -0.009 -0.091  0.122 -0.157  0.239 -0.241  0.373 -0.298  0.470 -0.374  0.583 -0.443  0.640 -0.569  0.675 -0.707  0.670 -0.851  0.586 -0.964  0.499 -1.047  0.361 -1.060  0.270 -1.150  0.124 -1.150  -0.000 -1.201  -0.146 -1.201  -0.292 -1.201  -0.387 -1.150  -0.503 -1.119  -0.503 -0.973  -0.569 -0.894  -0.605 -1.004  -0.708 -1.047
1c#tos#f2#f2067064/u  -0.802 1.095  -0.943 1.033  -1.051 0.985  -1.051 0.829  -1.051 0.673  -1.051 0.517  -1.051 0.361  -1.051 0.205  -1.051 0.049  -1.051 -0.107  -1.051 -0.263  -1.051 -0.418  -1.000 -0.562  -0.984 -0.713  -0.864 -0.794  -0.748 -0.835  -0.607 -0.897  -0.451 -0.897  -0.298 -0.891  -0.188 -0.781  -0.051 -0.707  0.059 -0.597  0.132 -0.471  0.197 -0.331  0.273 -0.196  0.348 -0.063  0.381 0.087  0.446 0.228  0.515 0.367  0.568 0.511  0.568 0.667  0.568 0.822  0.568 0.978  0.529 1.095  0.506 0.962  0.506 0.806  0.506 0.650  0.506 0.494  0.556 0.359  0.568 0.208  0.617 0.064  0.630 -0.089  0.653 -0.235  0.724 -0.370  0.814 -0.461  0.954 -0.487  1.024 -0.626  1.128 -0.710  1.221 -0.773  1.377 -0.773
