1c#apb#apb32#app3239/h  -1.414 -1.331  -1.326 -1.266  -1.183 -1.143  -1.033 -1.028  -0.889 -0.907  -0.766 -0.763  -0.638 -0.625  -0.504 -0.491  -0.382 -0.348  -0.266 -0.199  -0.161 -0.042  -0.067 0.121  0.027 0.285  0.122 0.448  0.217 0.612  0.310 0.776  0.403 0.940  0.477 1.114  0.551 1.287  0.642 1.453  0.736 1.617  0.759 1.671  0.656 1.515  0.559 1.353  0.458 1.193  0.370 1.026  0.283 0.858  0.202 0.688  0.124 0.516  0.050 0.343  -0.015 0.165  -0.079 -0.013  -0.140 -0.191  -0.202 -0.370  -0.251 -0.552  -0.295 -0.735  -0.321 -0.922  -0.315 -1.008  -0.206 -0.854  -0.125 -0.683  -0.030 -0.520  0.073 -0.362  0.191 -0.215  0.328 -0.085  0.434 -0.105  0.463 -0.292  0.459 -0.480  0.480 -0.666  0.547 -0.840  0.689 -0.945
1c#apb#apb32#app3239/o  0.459 0.644  0.457 0.840  0.261 0.853  0.065 0.856  -0.125 0.808  -0.309 0.735  -0.479 0.635  -0.639 0.522  -0.771 0.375  -0.883 0.215  -0.958 0.033  -1.033 -0.150  -1.061 -0.344  -1.075 -0.541  -1.062 -0.737  -1.034 -0.933  -0.988 -1.124  -0.916 -1.302  -0.747 -1.398  -0.550 -1.398  -0.383 -1.293  -0.222 -1.179  -0.100 -1.024  0.022 -0.869  0.112 -0.695  0.183 -0.511  0.244 -0.323  0.299 -0.133  0.356 0.056  0.414 0.245  0.459 0.436  0.459 0.633  0.342 0.756  0.146 0.744  -0.050 0.728  -0.243 0.710  -0.399 0.607  -0.359 0.462  -0.189 0.367  -0.000 0.310  0.179 0.231  0.348 0.129  0.540 0.089  0.735 0.061  0.932 0.070  1.129 0.085  1.326 0.101  1.519 0.133  1.704 0.203  1.886 0.281
1c#apb#apb32#app3239/r  -1.311 -1.135  -1.321 -1.036  -1.341 -0.944  -1.311 -0.846  -1.272 -0.752  -1.222 -0.663  -1.162 -0.580  -1.099 -0.499  -1.033 -0.422  -0.960 -0.349  -0.888 -0.277  -0.836 -0.190  -0.787 -0.099  -0.739 -0.009  -0.684 0.077  -0.617 0.154  -0.551 0.232  -0.484 0.310  -0.411 0.381  -0.335 0.450  -0.259 0.518  -0.183 0.587  -0.107 0.655  -0.028 0.720  0.061 0.770  0.152 0.811  0.253 0.794  0.348 0.757  0.431 0.703  0.495 0.622  0.547 0.534  0.554 0.434  0.554 0.332  0.548 0.230  0.519 0.132  0.491 0.033  0.471 -0.066  0.474 -0.168  0.536 -0.232  0.637 -0.244  0.739 -0.244  0.841 -0.237  0.943 -0.226  1.041 -0.199  1.139 -0.166  1.240 -0.161  1.342 -0.161  1.445 -0.161  1.529 -0.118  1.611 -0.057
1c#apb#apb32#app3239/n  -1.546 0.155  -1.576 0.223  -1.443 0.285  -1.315 0.356  -1.188 0.430  -1.045 0.463  -0.906 0.506  -0.777 0.576  -0.642 0.623  -0.495 0.623  -0.349 0.617  -0.287 0.527  -0.303 0.381  -0.326 0.236  -0.367 0.097  -0.433 -0.034  -0.497 -0.166  -0.547 -0.304  -0.597 -0.442  -0.653 -0.577  -0.702 -0.716  -0.750 -0.852  -0.661 -0.824  -0.555 -0.724  -0.451 -0.620  -0.351 -0.513  -0.259 -0.398  -0.168 -0.284  -0.076 -0.169  0.032 -0.070  0.142 0.028  0.251 0.125  0.355 0.230  0.455 0.337  0.555 0.444  0.670 0.535  0.789 0.621  0.907 0.563  0.966 0.429  1.000 0.286  1.029 0.142  1.046 -0.004  1.063 -0.149  1.130 -0.279  1.200 -0.409  1.260 -0.536  1.401 -0.529  1.538 -0.475  1.671 -0.413  1.804 -0.351
1c#apb#apb32#app3239/t  -0.835 -1.548  -0.733 -1.373  -0.617 -1.161  -0.502 -0.948  -0.414 -0.722  -0.321 -0.498  -0.231 -0.272  -0.136 -0.050  -0.021 0.164  0.094 0.377  0.225 0.580  0.365 0.779  0.524 0.961  0.662 1.158  0.645 1.186  0.531 0.973  0.437 0.750  0.356 0.521  0.274 0.293  0.179 0.070  0.123 -0.165  0.069 -0.401  0.024 -0.639  0.038 -0.880  0.128 -1.097  0.325 -1.236  0.342 -1.170  0.160 -1.010  -0.021 -0.849  -0.203 -0.689  -0.385 -0.528  -0.567 -0.368  -0.749 -0.208  -0.930 -0.047  -1.112 0.113  -1.294 0.274  -1.300 0.449  -1.073 0.521  -0.835 0.559  -0.593 0.575  -0.351 0.582  -0.109 0.563  0.132 0.543  0.374 0.531  0.617 0.521  0.859 0.521  1.101 0.533  1.343 0.553  1.583 0.587  1.823 0.622
1c#apb#apb32#app3239/o  0.160 0.566  0.241 0.732  0.086 0.763  -0.110 0.704  -0.258 0.556  -0.404 0.405  -0.533 0.240  -0.662 0.076  -0.779 -0.099  -0.893 -0.274  -0.988 -0.457  -1.016 -0.665  -1.029 -0.872  -1.000 -1.080  -0.933 -1.272  -0.813 -1.444  -0.623 -1.511  -0.436 -1.457  -0.259 -1.344  -0.103 -1.204  0.050 -1.062  0.170 -0.893  0.271 -0.710  0.372 -0.526  0.428 -0.327  0.462 -0.120  0.497 0.087  0.519 0.295  0.529 0.504  0.540 0.713  0.509 0.920  0.435 1.106  0.268 1.230  0.067 1.207  -0.137 1.158  -0.308 1.050  -0.434 0.886  -0.493 0.692  -0.474 0.489  -0.335 0.333  -0.164 0.212  0.045 0.195  0.253 0.179  0.462 0.164  0.665 0.117  0.868 0.076  1.078 0.076  1.266 0.018  1.421 -0.124  1.520 -0.304
1c#apb#apb32#app3239/n  -1.400 0.414  -1.441 0.550  -1.333 0.566  -1.188 0.581  -1.043 0.605  -0.902 0.641  -0.768 0.699  -0.630 0.742  -0.484 0.755  -0.341 0.785  -0.200 0.762  -0.130 0.645  -0.163 0.502  -0.203 0.362  -0.254 0.225  -0.307 0.088  -0.365 -0.046  -0.424 -0.180  -0.474 -0.318  -0.522 -0.456  -0.580 -0.590  -0.643 -0.722  -0.693 -0.857  -0.710 -0.814  -0.645 -0.685  -0.554 -0.570  -0.463 -0.455  -0.367 -0.345  -0.270 -0.236  -0.172 -0.127  -0.069 -0.023  0.035 0.080  0.139 0.183  0.250 0.278  0.361 0.374  0.486 0.446  0.619 0.475  0.741 0.394  0.844 0.291  0.941 0.182  1.018 0.057  1.094 -0.068  1.167 -0.195  1.230 -0.327  1.293 -0.459  1.356 -0.591  1.428 -0.718  1.499 -0.846  1.575 -0.972  1.662 -1.088
1c#apb#apb32#app3239/i  -0.938 -1.487  -0.908 -1.330  -0.861 -1.178  -0.828 -1.015  -0.749 -0.869  -0.661 -0.728  -0.570 -0.587  -0.498 -0.437  -0.435 -0.283  -0.379 -0.126  -0.329 0.033  -0.274 0.190  -0.215 0.347  -0.158 0.503  -0.113 0.664  -0.068 0.708  -0.068 0.542  -0.068 0.375  -0.060 0.208  -0.040 0.043  -0.015 -0.122  0.012 -0.287  0.045 -0.450  0.082 -0.613  0.142 -0.769  0.228 -0.906  0.352 -1.018  0.505 -1.052  0.667 -1.028  0.826 -0.985  0.860 -0.887  0.798 -0.732  0.736 -0.577  0.674 -0.422  0.612 -0.267  0.550 -0.112  0.489 0.043  0.427 0.198  0.365 0.353  0.303 0.508  0.241 0.663  0.179 0.817  0.117 0.972  0.055 1.127  -0.007 1.282  -0.069 1.437  -0.131 1.592  -0.193 1.747  -0.255 1.902  -0.371 2.011
1c#apb#apb32#app3239/l  -0.962 -1.376  -1.050 -1.283  -1.065 -1.159  -0.973 -1.050  -0.869 -0.946  -0.749 -0.859  -0.640 -0.761  -0.547 -0.647  -0.446 -0.539  -0.339 -0.437  -0.234 -0.334  -0.153 -0.211  -0.073 -0.087  0.005 0.039  0.080 0.166  0.155 0.293  0.227 0.422  0.298 0.552  0.370 0.681  0.434 0.814  0.498 0.947  0.561 1.080  0.625 1.214  0.675 1.352  0.723 1.491  0.661 1.502  0.558 1.398  0.463 1.285  0.371 1.169  0.284 1.051  0.196 0.932  0.120 0.805  0.053 0.674  -0.015 0.543  -0.079 0.410  -0.125 0.270  -0.172 0.130  -0.214 -0.011  -0.224 -0.159  -0.234 -0.306  -0.213 -0.449  -0.161 -0.587  -0.104 -0.723  -0.033 -0.853  0.050 -0.972  0.167 -1.062  0.306 -1.104  0.453 -1.117  0.599 -1.109  0.744 -1.078
1c#apb#apb32#app3239/k  -1.102 -1.464  -1.194 -1.289  -1.248 -1.090  -1.160 -0.881  -1.003 -0.711  -0.830 -0.556  -0.687 -0.373  -0.530 -0.203  -0.359 -0.047  -0.206 0.128  -0.056 0.305  0.078 0.494  0.214 0.682  0.352 0.868  0.486 1.058  0.615 1.251  0.705 1.464  0.799 1.676  0.817 1.791  0.681 1.603  0.550 1.411  0.431 1.212  0.323 1.007  0.229 0.795  0.145 0.579  0.069 0.360  -0.015 0.144  -0.104 -0.071  -0.180 -0.290  -0.256 -0.509  -0.336 -0.727  -0.406 -0.916  -0.405 -0.687  -0.326 -0.469  -0.240 -0.254  -0.131 -0.050  0.019 0.128  0.206 0.261  0.414 0.211  0.483 0.005  0.468 -0.226  0.395 -0.444  0.264 -0.634  0.060 -0.726  -0.162 -0.671  -0.013 -0.682  0.206 -0.758  0.428 -0.824  0.646 -0.902  0.867 -0.975
1c#apb#apb32#app3239/i  -0.981 -1.487  -0.961 -1.337  -0.879 -1.221  -0.819 -1.081  -0.743 -0.948  -0.674 -0.811  -0.610 -0.673  -0.543 -0.535  -0.455 -0.410  -0.375 -0.280  -0.301 -0.145  -0.244 -0.004  -0.189 0.139  -0.127 0.279  -0.071 0.421  -0.023 0.530  -0.031 0.391  -0.048 0.241  -0.054 0.088  -0.089 -0.061  -0.109 -0.212  -0.108 -0.365  -0.095 -0.517  -0.054 -0.662  0.026 -0.790  0.124 -0.861  0.240 -0.951  0.379 -1.015  0.498 -1.037  0.485 -0.885  0.472 -0.732  0.459 -0.580  0.446 -0.427  0.433 -0.275  0.420 -0.122  0.407 0.031  0.394 0.183  0.381 0.336  0.368 0.488  0.355 0.641  0.342 0.793  0.328 0.946  0.315 1.098  0.302 1.251  0.289 1.403  0.276 1.556  0.263 1.708  0.250 1.861  0.237 2.013  0.094 2.024
