2#apa#apa13#app1369/f  -0.385 -0.026  -0.220 -0.114  -0.023 -0.104  0.119 0.038  0.267 0.133  0.320 0.322  0.408 0.486  0.496 0.651  0.584 0.816  0.584 1.017  0.673 1.182  0.673 1.383  0.594 1.552  0.572 1.737  0.408 1.700  0.276 1.605  0.170 1.437  0.043 1.284  -0.035 1.114  -0.121 0.933  -0.121 0.732  -0.121 0.531  -0.121 0.329  -0.111 0.131  -0.033 -0.052  -0.016 -0.251  0.047 -0.442  0.056 -0.642  0.144 -0.822  0.144 -1.023  0.144 -1.225  0.144 -1.426  0.068 -1.453  -0.079 -1.317  -0.227 -1.180  -0.374 -1.043  -0.522 -0.906  -0.669 -0.769  -0.817 -0.632  -0.964 -0.495  -1.061 -0.378  -0.859 -0.378  -0.666 -0.414  -0.478 -0.466  -0.308 -0.543  -0.112 -0.554  0.090 -0.554  0.275 -0.620  0.471 -0.642  0.673 -0.642
2#apa#apa13#app1369/a  0.639 0.767  0.790 0.782  0.768 0.940  0.650 1.058  0.488 1.069  0.322 1.069  0.155 1.069  -0.012 1.069  -0.178 1.069  -0.322 1.013  -0.440 0.895  -0.558 0.777  -0.676 0.660  -0.824 0.616  -0.955 0.531  -1.073 0.413  -1.172 0.287  -1.172 0.120  -1.172 -0.046  -1.172 -0.213  -1.172 -0.380  -1.098 -0.515  -1.021 -0.650  -0.947 -0.743  -0.790 -0.783  -0.641 -0.858  -0.483 -0.894  -0.316 -0.894  -0.149 -0.894  0.017 -0.894  0.168 -0.828  0.317 -0.753  0.482 -0.743  0.601 -0.630  0.719 -0.512  0.837 -0.394  0.941 -0.271  0.941 -0.104  0.906 0.048  0.788 0.166  0.670 0.283  0.516 0.314  0.488 0.175  0.488 0.008  0.488 -0.159  0.488 -0.325  0.525 -0.477  0.641 -0.596  0.716 -0.745  0.790 -0.894
2#apa#apa13#app1369/i  0.229 -0.490  0.291 -0.552  0.352 -0.614  0.373 -0.693  0.374 -0.779  0.462 -0.779  0.518 -0.811  0.518 -0.898  0.562 -0.968  0.624 -1.030  0.663 -1.101  0.663 -1.188  0.632 -1.158  0.590 -1.082  0.548 -1.005  0.506 -0.928  0.464 -0.852  0.421 -0.775  0.379 -0.698  0.337 -0.621  0.295 -0.545  0.253 -0.468  0.210 -0.391  0.168 -0.315  0.126 -0.238  0.084 -0.161  0.042 -0.085  -0.000 -0.008  -0.043 0.069  -0.085 0.146  -0.127 0.222  -0.169 0.299  -0.211 0.376  -0.254 0.452  -0.296 0.529  -0.338 0.606  -0.380 0.682  -0.422 0.759  -0.464 0.836  -0.507 0.913  -0.549 0.989  -0.591 1.066  -0.633 1.143  -0.675 1.219  -0.718 1.296  -0.760 1.373  -0.802 1.449  -0.844 1.526  -0.886 1.603  -0.928 1.680
2#apa#apa13#app1369/l  -0.301 1.658  -0.250 1.607  -0.200 1.556  -0.191 1.488  -0.191 1.416  -0.191 1.345  -0.191 1.273  -0.191 1.201  -0.191 1.129  -0.191 1.058  -0.191 0.986  -0.191 0.914  -0.171 0.847  -0.139 0.783  -0.107 0.719  -0.081 0.653  -0.081 0.581  -0.081 0.509  -0.081 0.438  -0.081 0.366  -0.081 0.294  -0.081 0.222  -0.081 0.151  -0.081 0.079  -0.081 0.007  -0.030 -0.044  0.020 -0.094  0.029 -0.162  0.029 -0.234  0.029 -0.306  0.029 -0.378  0.029 -0.449  0.029 -0.521  0.051 -0.588  0.083 -0.652  0.116 -0.716  0.139 -0.782  0.139 -0.854  0.163 -0.920  0.195 -0.984  0.227 -1.049  0.249 -1.115  0.249 -1.187  0.249 -1.259  0.249 -1.330  0.249 -1.402  0.249 -1.474  0.258 -1.542  0.308 -1.593  0.359 -1.644
2#apa#apa13#app1369/e  -1.211 -0.439  -1.055 -0.439  -0.900 -0.439  -0.745 -0.439  -0.594 -0.428  -0.484 -0.318  -0.346 -0.249  -0.214 -0.169  -0.105 -0.059  -0.001 0.054  0.029 0.196  0.139 0.306  0.249 0.416  0.359 0.526  0.361 0.680  0.361 0.835  0.317 0.980  0.247 1.119  0.100 1.132  -0.055 1.132  -0.210 1.132  -0.365 1.132  -0.475 1.022  -0.585 0.912  -0.694 0.802  -0.727 0.661  -0.828 0.547  -0.848 0.400  -0.848 0.245  -0.848 0.090  -0.770 -0.033  -0.660 -0.143  -0.551 -0.253  -0.441 -0.363  -0.331 -0.473  -0.215 -0.574  -0.076 -0.644  0.070 -0.681  0.225 -0.681  0.380 -0.681  0.536 -0.681  0.691 -0.681  0.846 -0.681  1.001 -0.681  1.157 -0.681  1.312 -0.681  1.467 -0.681  1.623 -0.681  1.778 -0.681  1.933 -0.681
2#apa#apa13#app1369/d  -0.269 2.010  -0.206 1.921  -0.091 1.833  -0.063 1.688  -0.002 1.551  0.033 1.407  0.088 1.268  0.088 1.117  0.088 0.965  0.145 0.827  0.177 0.683  0.177 0.531  0.189 0.382  0.257 0.246  0.266 0.097  0.299 -0.050  0.347 -0.193  0.355 -0.344  0.355 -0.474  0.355 -0.322  0.355 -0.171  0.355 -0.019  0.281 0.087  0.177 0.174  0.107 0.297  -0.036 0.317  -0.185 0.312  -0.293 0.204  -0.400 0.097  -0.507 -0.010  -0.614 -0.117  -0.686 -0.250  -0.777 -0.369  -0.804 -0.510  -0.804 -0.662  -0.804 -0.814  -0.716 -0.929  -0.654 -1.020  -0.515 -1.075  -0.372 -1.109  -0.220 -1.109  -0.071 -1.099  0.065 -1.031  0.214 -1.020  0.361 -0.988  0.505 -0.940  0.655 -0.930  0.797 -0.888  0.932 -0.820  1.068 -0.752
2#apa#apa13#app1369/w  -1.456 0.487  -1.376 0.430  -1.376 0.292  -1.376 0.155  -1.345 0.025  -1.297 -0.101  -1.235 -0.213  -1.137 -0.310  -1.057 -0.415  -0.976 -0.470  -0.838 -0.470  -0.701 -0.470  -0.568 -0.460  -0.470 -0.363  -0.373 -0.265  -0.259 -0.222  -0.212 -0.104  -0.179 0.020  -0.179 0.157  -0.179 0.295  -0.253 0.402  -0.259 0.537  -0.339 0.540  -0.339 0.403  -0.339 0.265  -0.339 0.128  -0.326 -0.005  -0.240 -0.110  -0.179 -0.233  -0.126 -0.337  -0.001 -0.391  0.128 -0.425  0.255 -0.470  0.393 -0.470  0.530 -0.470  0.654 -0.413  0.782 -0.363  0.912 -0.320  1.037 -0.262  1.167 -0.231  1.264 -0.139  1.325 -0.016  1.415 0.086  1.417 0.223  1.417 0.360  1.417 0.498  1.417 0.635  1.347 0.752  1.271 0.866  1.178 0.966
2#apa#apa13#app1369/i  -0.238 -0.131  -0.238 -0.232  -0.238 -0.333  -0.238 -0.434  -0.238 -0.536  -0.238 -0.637  -0.238 -0.738  -0.238 -0.839  -0.238 -0.941  -0.238 -1.042  -0.229 -1.139  -0.157 -1.211  -0.127 -1.300  -0.078 -1.352  0.023 -1.352  0.094 -1.323  0.090 -1.222  0.086 -1.121  0.082 -1.020  0.079 -0.919  0.075 -0.818  0.071 -0.717  0.067 -0.615  0.063 -0.514  0.059 -0.413  0.055 -0.312  0.051 -0.211  0.047 -0.110  0.043 -0.008  0.040 0.093  0.036 0.194  0.032 0.295  0.028 0.396  0.024 0.497  0.020 0.599  0.016 0.700  0.012 0.801  0.008 0.902  0.005 1.003  0.001 1.104  -0.003 1.206  -0.007 1.307  -0.011 1.408  -0.015 1.509  0.059 1.535  0.161 1.535  0.256 1.560  0.347 1.605  0.438 1.646  0.539 1.646
2#apa#apa13#app1369/z  -1.020 0.959  -0.902 0.959  -0.836 1.011  -0.759 1.051  -0.641 1.051  -0.523 1.051  -0.424 1.096  -0.325 1.142  -0.208 1.142  -0.090 1.142  0.017 1.116  0.108 1.051  0.226 1.051  0.266 0.973  0.358 0.947  0.384 0.840  0.450 0.749  0.450 0.631  0.395 0.536  0.311 0.453  0.228 0.370  0.145 0.286  0.061 0.203  -0.017 0.117  -0.070 0.011  -0.135 -0.085  -0.225 -0.159  -0.330 -0.212  -0.407 -0.294  -0.459 -0.400  -0.469 -0.515  -0.469 -0.633  -0.469 -0.751  -0.387 -0.787  -0.361 -0.878  -0.285 -0.920  -0.217 -0.970  -0.102 -0.972  -0.074 -1.062  0.044 -1.062  0.162 -1.062  0.280 -1.062  0.398 -1.062  0.516 -1.062  0.633 -1.062  0.744 -1.044  0.831 -0.970  0.949 -0.970  1.067 -0.970  1.184 -0.970
2#apa#apa13#app1369/a  0.111 0.232  0.111 0.409  0.111 0.586  0.020 0.726  -0.023 0.885  -0.135 1.016  -0.304 1.037  -0.481 1.037  -0.658 1.037  -0.794 0.937  -0.957 0.903  -1.084 0.781  -1.097 0.609  -1.145 0.452  -1.231 0.311  -1.231 0.133  -1.231 -0.044  -1.209 -0.216  -1.129 -0.374  -1.023 -0.513  -0.898 -0.639  -0.772 -0.764  -0.628 -0.842  -0.450 -0.842  -0.273 -0.842  -0.096 -0.842  0.081 -0.842  0.259 -0.842  0.436 -0.842  0.613 -0.842  0.749 -0.742  0.874 -0.617  1.000 -0.491  1.125 -0.366  1.186 -0.214  1.186 -0.037  1.155 0.128  1.030 0.253  0.904 0.379  0.777 0.500  0.600 0.500  0.423 0.500  0.380 0.366  0.380 0.189  0.380 0.011  0.471 -0.128  0.514 -0.288  0.532 -0.457  0.657 -0.583  0.783 -0.708
2#apa#apa13#app1369/r  -0.401 -1.100  -0.401 -1.223  -0.401 -1.347  -0.401 -1.470  -0.290 -1.483  -0.198 -1.408  -0.146 -1.306  -0.146 -1.182  -0.146 -1.059  -0.146 -0.935  -0.146 -0.812  -0.146 -0.689  -0.146 -0.565  -0.160 -0.447  -0.247 -0.360  -0.273 -0.248  -0.310 -0.133  -0.365 -0.022  -0.401 0.093  -0.419 0.212  -0.474 0.322  -0.529 0.433  -0.616 0.520  -0.704 0.607  -0.784 0.697  -0.784 0.821  -0.784 0.943  -0.784 0.819  -0.699 0.731  -0.612 0.644  -0.523 0.560  -0.400 0.559  -0.313 0.472  -0.206 0.433  -0.082 0.433  0.041 0.433  0.165 0.433  0.288 0.433  0.412 0.433  0.535 0.433  0.659 0.433  0.782 0.433  0.906 0.433  1.029 0.433  1.152 0.433  1.276 0.433  1.399 0.433  1.523 0.433  1.646 0.433  1.770 0.433
