2#app#app18#app1899/Q  0.320 0.589  0.422 0.734  0.422 0.980  0.320 1.125  0.148 1.199  -0.099 1.199  -0.337 1.150  -0.551 1.040  -0.771 0.959  -0.972 0.822  -1.147 0.648  -1.308 0.468  -1.410 0.264  -1.410 0.017  -1.317 -0.207  -1.169 -0.401  -1.033 -0.602  -0.820 -0.724  -0.576 -0.734  -0.330 -0.734  -0.083 -0.734  0.164 -0.734  0.384 -0.671  0.609 -0.586  0.843 -0.517  1.017 -0.342  1.133 -0.126  1.236 0.019  1.236 0.265  1.050 0.385  0.827 0.487  0.594 0.565  0.351 0.589  0.104 0.589  -0.142 0.589  -0.360 0.519  -0.313 0.302  -0.216 0.076  -0.119 -0.151  -0.022 -0.378  0.076 -0.604  0.173 -0.831  0.126 -0.845  0.117 -0.603  0.189 -0.429  0.320 -0.604  0.432 -0.745  0.539 -0.938  0.625 -1.098  0.727 -1.243
2#app#app18#app1899/U  -1.221 0.459  -1.221 0.569  -1.221 0.508  -1.221 0.399  -1.221 0.289  -1.221 0.179  -1.221 0.069  -1.153 -0.013  -1.086 -0.095  -1.086 -0.204  -1.016 -0.285  -0.938 -0.363  -0.860 -0.440  -0.768 -0.484  -0.666 -0.500  -0.588 -0.578  -0.510 -0.656  -0.433 -0.733  -0.331 -0.753  -0.221 -0.753  -0.111 -0.753  -0.002 -0.750  0.096 -0.700  0.194 -0.651  0.296 -0.618  0.406 -0.618  0.516 -0.618  0.529 -0.522  0.601 -0.484  0.697 -0.451  0.775 -0.373  0.852 -0.296  0.930 -0.218  0.933 -0.110  0.933 0.000  0.933 0.110  0.933 0.220  0.933 0.330  0.933 0.439  0.933 0.549  0.887 0.640  0.809 0.717  0.799 0.823  0.729 0.863  0.632 0.895  0.554 0.972  0.455 0.997  0.345 0.997  0.285 0.997  0.395 0.997
2#app#app18#app1899/I  -0.411 0.926  -0.323 0.926  -0.236 0.926  -0.148 0.926  -0.109 0.975  -0.109 1.063  -0.109 1.150  -0.120 1.227  -0.207 1.227  -0.295 1.227  -0.383 1.227  -0.411 1.168  -0.411 1.080  -0.411 0.992  -0.411 0.905  -0.411 0.817  -0.411 0.729  -0.411 0.642  -0.362 0.574  -0.299 0.512  -0.237 0.450  -0.175 0.388  -0.113 0.326  -0.109 0.240  -0.109 0.153  -0.109 0.065  -0.109 -0.023  -0.109 -0.111  -0.109 -0.198  -0.106 -0.285  -0.044 -0.347  0.018 -0.409  0.080 -0.471  0.142 -0.533  0.204 -0.595  0.266 -0.657  0.328 -0.719  0.390 -0.781  0.452 -0.843  0.494 -0.913  0.494 -1.001  0.494 -1.089  0.494 -1.177  0.494 -1.264  0.494 -1.352  0.494 -1.440  0.494 -1.527  0.494 -1.615  0.494 -1.703  0.494 -1.791
2#app#app18#app1899/C  0.710 -0.040  0.710 0.112  0.559 0.114  0.406 0.114  0.402 -0.034  0.506 -0.144  0.556 -0.276  0.636 -0.348  0.710 -0.269  0.710 -0.117  0.763 0.013  0.863 0.124  0.863 0.277  0.863 0.429  0.859 0.580  0.751 0.687  0.644 0.795  0.556 0.911  0.529 1.037  0.377 1.037  0.224 1.037  0.072 1.037  -0.081 1.037  -0.233 1.037  -0.380 1.024  -0.488 0.916  -0.627 0.883  -0.675 0.779  -0.721 0.637  -0.789 0.501  -0.874 0.377  -0.982 0.269  -0.983 0.117  -0.983 -0.035  -0.983 -0.188  -0.983 -0.340  -0.983 -0.493  -0.882 -0.603  -0.774 -0.711  -0.662 -0.810  -0.521 -0.821  -0.512 -0.967  -0.367 -1.015  -0.223 -1.063  -0.078 -1.111  0.035 -1.211  0.162 -1.271  0.315 -1.271  0.448 -1.317  0.556 -1.425
2#app#app18#app1899/K  -0.836 1.589  -0.868 1.402  -0.990 1.252  -0.990 1.052  -0.990 0.851  -0.990 0.651  -0.950 0.467  -0.836 0.315  -0.836 0.114  -0.744 -0.048  -0.681 -0.222  -0.679 -0.422  -0.538 -0.563  -0.513 -0.756  -0.423 -0.935  -0.372 -1.123  -0.241 -1.192  -0.143 -1.032  -0.058 -0.851  0.027 -0.669  0.111 -0.488  0.196 -0.306  0.281 -0.125  0.365 0.057  0.450 0.238  0.535 0.420  0.619 0.601  0.704 0.782  0.789 0.964  0.864 1.103  0.796 0.971  0.595 0.971  0.442 0.857  0.259 0.816  0.223 0.638  0.081 0.497  -0.060 0.355  -0.063 0.156  -0.063 -0.044  -0.063 -0.245  -0.063 -0.445  -0.013 -0.625  0.144 -0.729  0.246 -0.827  0.390 -0.883  0.590 -0.883  0.791 -0.883  0.991 -0.883  1.186 -0.896  1.327 -1.038
2#app#app18#app1899/Z  -0.646 0.785  -0.646 0.966  -0.646 1.146  -0.633 1.315  -0.471 1.357  -0.327 1.447  -0.177 1.519  -0.021 1.579  0.156 1.571  0.284 1.443  0.411 1.316  0.412 1.136  0.412 0.955  0.408 0.776  0.327 0.615  0.246 0.453  0.166 0.292  0.142 0.118  0.015 -0.010  -0.066 -0.171  -0.164 -0.320  -0.249 -0.465  -0.326 -0.614  -0.453 -0.741  -0.513 -0.897  -0.513 -1.077  -0.454 -1.198  -0.273 -1.198  -0.093 -1.198  0.087 -1.198  0.268 -1.198  0.448 -1.198  0.629 -1.198  0.809 -1.198  0.665 -1.090  0.521 -0.982  0.376 -0.874  0.232 -0.765  0.088 -0.657  -0.057 -0.549  -0.201 -0.441  -0.334 -0.319  -0.381 -0.158  -0.351 -0.008  -0.170 -0.008  -0.117 0.119  0.058 0.124  0.212 0.188  0.364 0.256  0.545 0.256
2#app#app18#app1899/E  -0.305 0.829  -0.414 0.720  -0.454 0.582  -0.500 0.439  -0.569 0.301  -0.603 0.154  -0.603 0.000  -0.603 -0.154  -0.603 -0.308  -0.603 -0.463  -0.603 -0.617  -0.603 -0.771  -0.603 -0.925  -0.603 -1.080  -0.512 -1.196  -0.382 -1.255  -0.228 -1.255  -0.074 -1.255  0.071 -1.215  0.209 -1.146  0.354 -1.106  0.508 -1.106  0.641 -1.053  0.725 -0.943  0.626 -0.825  0.528 -0.706  0.429 -0.588  0.330 -0.469  0.231 -0.351  0.133 -0.232  0.034 -0.114  0.082 -0.064  0.209 0.003  0.329 0.085  0.471 0.116  0.580 0.225  0.505 0.350  0.415 0.475  0.326 0.601  0.236 0.726  0.146 0.852  0.057 0.977  -0.033 1.103  -0.123 1.228  -0.088 1.344  -0.007 1.464  0.038 1.573  0.177 1.609  0.286 1.718  0.439 1.722
2#app#app18#app1899/P  0.143 0.261  0.143 0.054  0.143 -0.152  0.143 -0.359  0.143 -0.566  0.143 -0.773  0.265 -0.857  0.265 -1.064  0.265 -1.271  0.265 -1.477  0.214 -1.484  0.115 -1.303  0.016 -1.121  -0.083 -0.939  -0.182 -0.758  -0.281 -0.576  -0.380 -0.395  -0.479 -0.213  -0.578 -0.032  -0.677 0.150  -0.776 0.331  -0.875 0.513  -0.974 0.694  -1.073 0.876  -1.172 1.058  -1.192 1.242  -0.985 1.242  -0.779 1.242  -0.614 1.140  -0.422 1.095  -0.237 1.002  -0.082 0.874  0.125 0.874  0.281 0.752  0.488 0.752  0.644 0.629  0.851 0.629  1.005 0.502  1.151 0.356  1.246 0.188  1.222 -0.008  1.055 -0.107  0.865 -0.175  0.671 -0.229  0.482 -0.305  0.286 -0.352  0.083 -0.372  -0.114 -0.437  -0.288 -0.537  -0.470 -0.597
2#app#app18#app1899/H  -0.689 0.891  -0.760 0.696  -0.814 0.494  -0.814 0.269  -0.814 0.045  -0.814 -0.180  -0.814 -0.404  -0.814 -0.629  -0.814 -0.854  -0.814 -1.078  -0.783 -1.172  -0.683 -0.971  -0.582 -0.770  -0.482 -0.569  -0.381 -0.368  -0.281 -0.167  -0.181 0.033  -0.080 0.234  0.020 0.435  0.121 0.636  0.221 0.837  0.322 1.038  0.422 1.239  0.523 1.440  0.623 1.640  0.686 1.682  0.660 1.464  0.561 1.263  0.561 1.038  0.561 0.814  0.561 0.589  0.561 0.364  0.561 0.140  0.561 -0.085  0.614 -0.287  0.686 -0.482  0.686 -0.707  0.686 -0.931  0.686 -1.156  0.670 -1.343  0.512 -1.184  0.353 -1.026  0.194 -0.867  0.035 -0.708  -0.124 -0.549  -0.282 -0.390  -0.436 -0.234  -0.314 -0.131  -0.135 -0.054  0.061 0.016
2#app#app18#app1899/Y  -1.371 0.300  -1.351 0.153  -1.240 0.046  -1.116 0.013  -1.056 -0.082  -0.989 -0.171  -0.872 -0.209  -0.759 -0.312  -0.614 -0.336  -0.585 -0.463  -0.481 -0.514  -0.439 -0.523  -0.356 -0.391  -0.274 -0.259  -0.191 -0.127  -0.109 0.005  -0.027 0.137  0.056 0.268  0.138 0.400  0.221 0.532  0.303 0.664  0.385 0.796  0.468 0.928  0.550 1.060  0.633 1.191  0.715 1.323  0.791 1.431  0.761 1.288  0.663 1.173  0.663 1.017  0.611 0.883  0.536 0.759  0.481 0.626  0.409 0.500  0.409 0.345  0.409 0.189  0.401 0.037  0.291 -0.073  0.282 -0.224  0.282 -0.380  0.282 -0.535  0.250 -0.686  0.201 -0.833  0.155 -0.981  0.155 -1.137  0.155 -1.292  0.088 -1.420  0.028 -1.551  0.028 -1.706  0.028 -1.861
2#app#app18#app1899/R  -0.263 0.738  -0.318 0.838  -0.263 0.647  -0.263 0.401  -0.263 0.156  -0.263 -0.090  -0.231 -0.328  -0.163 -0.558  -0.163 -0.803  -0.103 -1.024  -0.063 -1.253  -0.081 -1.435  -0.207 -1.224  -0.334 -1.013  -0.460 -0.803  -0.586 -0.592  -0.713 -0.382  -0.839 -0.171  -0.965 0.040  -1.092 0.250  -1.218 0.461  -1.264 0.694  -1.084 0.828  -0.906 0.996  -0.703 1.099  -0.474 1.138  -0.228 1.138  0.009 1.102  0.239 1.038  0.471 1.004  0.689 0.938  0.835 0.838  0.838 0.595  0.776 0.375  0.602 0.202  0.424 0.037  0.220 -0.063  0.016 -0.163  -0.129 -0.263  -0.152 -0.263  0.094 -0.263  0.339 -0.261  0.544 -0.163  0.790 -0.163  0.994 -0.263  1.198 -0.363  1.238 -0.569  1.202 -0.799  1.138 -1.018  1.138 -1.264
