1b#apa#apa09#app0962/Q  0.019 0.367  -0.162 0.457  -0.353 0.504  -0.508 0.390  -0.651 0.247  -0.794 0.104  -0.851 -0.088  -0.900 -0.284  -0.934 -0.479  -0.843 -0.660  -0.722 -0.819  -0.579 -0.962  -0.398 -1.036  -0.200 -1.075  -0.002 -1.115  0.193 -1.129  0.374 -1.038  0.542 -0.927  0.704 -0.805  0.866 -0.684  0.994 -0.541  1.034 -0.342  1.073 -0.144  1.113 0.055  1.120 0.256  1.120 0.459  1.050 0.644  0.960 0.825  0.869 1.006  0.707 1.110  0.519 1.185  0.332 1.260  0.143 1.330  -0.056 1.305  -0.248 1.241  -0.398 1.144  -0.416 0.942  -0.434 0.741  -0.453 0.539  -0.471 0.338  -0.489 0.136  -0.508 -0.065  -0.526 -0.267  -0.636 -0.217  -0.558 -0.294  -0.415 -0.437  -0.272 -0.580  -0.129 -0.723  0.014 -0.866  0.157 -1.009
1b#apa#apa09#app0962/U  -0.992 0.918  -0.992 0.814  -0.992 0.710  -0.992 0.606  -0.992 0.502  -0.992 0.398  -0.992 0.294  -0.992 0.190  -0.992 0.086  -0.992 -0.017  -0.992 -0.121  -0.976 -0.219  -0.903 -0.292  -0.829 -0.366  -0.756 -0.439  -0.682 -0.513  -0.609 -0.586  -0.535 -0.660  -0.462 -0.733  -0.388 -0.807  -0.313 -0.876  -0.209 -0.876  -0.105 -0.876  -0.011 -0.834  0.082 -0.787  0.175 -0.741  0.268 -0.694  0.361 -0.648  0.454 -0.601  0.547 -0.555  0.640 -0.508  0.733 -0.462  0.802 -0.401  0.802 -0.297  0.802 -0.193  0.802 -0.089  0.802 0.015  0.802 0.119  0.802 0.223  0.802 0.327  0.802 0.431  0.802 0.535  0.802 0.639  0.802 0.743  0.802 0.847  0.802 0.950  0.802 1.054  0.802 1.158  0.802 1.262  0.802 1.366
1b#apa#apa09#app0962/I  0.137 1.713  0.137 1.641  0.137 1.568  0.137 1.496  0.137 1.424  0.137 1.351  0.137 1.279  0.137 1.207  0.135 1.135  0.112 1.066  0.089 0.998  0.066 0.929  0.043 0.860  0.021 0.792  -0.002 0.723  -0.025 0.654  -0.048 0.586  -0.071 0.517  -0.094 0.449  -0.117 0.380  -0.140 0.311  -0.149 0.241  -0.149 0.168  -0.149 0.096  -0.149 0.024  -0.149 -0.049  -0.149 -0.121  -0.149 -0.193  -0.149 -0.266  -0.149 -0.338  -0.149 -0.410  -0.149 -0.483  -0.149 -0.555  -0.149 -0.627  -0.149 -0.700  -0.149 -0.772  -0.149 -0.844  -0.123 -0.911  -0.091 -0.975  -0.059 -1.040  -0.026 -1.105  0.006 -1.169  0.039 -1.234  0.071 -1.299  0.103 -1.363  0.136 -1.428  0.206 -1.431  0.278 -1.431  0.351 -1.431  0.423 -1.431
1b#apa#apa09#app0962/C  1.125 1.112  1.031 1.112  0.937 1.112  0.843 1.112  0.749 1.112  0.655 1.112  0.570 1.075  0.486 1.033  0.402 0.991  0.318 0.949  0.234 0.907  0.150 0.865  0.066 0.823  -0.019 0.781  -0.103 0.739  -0.187 0.697  -0.271 0.655  -0.346 0.601  -0.413 0.535  -0.479 0.468  -0.546 0.402  -0.591 0.320  -0.633 0.236  -0.675 0.152  -0.717 0.068  -0.759 -0.016  -0.789 -0.100  -0.747 -0.184  -0.705 -0.268  -0.663 -0.352  -0.621 -0.436  -0.579 -0.520  -0.526 -0.597  -0.459 -0.663  -0.393 -0.729  -0.327 -0.796  -0.260 -0.862  -0.194 -0.929  -0.127 -0.995  -0.055 -1.047  0.039 -1.047  0.133 -1.047  0.227 -1.047  0.321 -1.047  0.415 -1.047  0.509 -1.047  0.603 -1.047  0.697 -1.047  0.791 -1.047  0.885 -1.047
1b#apa#apa09#app0962/K  -0.904 0.626  -1.026 0.747  -1.099 0.752  -1.099 0.580  -1.099 0.407  -1.099 0.235  -1.099 0.062  -1.099 -0.110  -1.059 -0.276  -1.005 -0.440  -0.950 -0.603  -0.877 -0.741  -0.706 -0.738  -0.584 -0.616  -0.462 -0.494  -0.340 -0.372  -0.218 -0.251  -0.096 -0.129  0.026 -0.007  0.147 0.115  0.269 0.237  0.391 0.359  0.513 0.481  0.635 0.603  0.757 0.725  0.879 0.847  1.001 0.969  1.048 1.122  0.990 1.153  0.868 1.031  0.746 0.909  0.624 0.787  0.502 0.665  0.380 0.543  0.258 0.421  0.136 0.299  0.014 0.177  -0.108 0.055  -0.123 -0.111  -0.123 -0.283  -0.049 -0.425  0.073 -0.547  0.195 -0.669  0.317 -0.791  0.439 -0.913  0.560 -1.034  0.682 -1.156  0.804 -1.278  0.926 -1.400  1.048 -1.522
1b#apa#apa09#app0962/Z  -0.762 0.640  -0.934 0.640  -1.105 0.640  -1.136 0.499  -1.011 0.453  -0.842 0.479  -0.676 0.521  -0.510 0.563  -0.343 0.604  -0.179 0.651  -0.026 0.728  0.128 0.804  0.294 0.826  0.465 0.826  0.637 0.826  0.808 0.826  0.980 0.826  1.151 0.826  1.292 0.796  1.280 0.631  1.137 0.536  0.995 0.441  0.852 0.346  0.706 0.257  0.543 0.203  0.381 0.149  0.218 0.095  0.070 0.011  -0.073 -0.084  -0.216 -0.179  -0.358 -0.274  -0.484 -0.390  -0.605 -0.511  -0.727 -0.632  -0.848 -0.753  -0.977 -0.855  -1.123 -0.855  -0.952 -0.855  -0.780 -0.855  -0.609 -0.855  -0.438 -0.855  -0.266 -0.855  -0.095 -0.855  0.077 -0.855  0.248 -0.855  0.420 -0.855  0.591 -0.855  0.763 -0.855  0.934 -0.855  1.106 -0.855
1b#apa#apa09#app0962/E  0.073 0.288  -0.130 0.491  -0.138 0.221  -0.202 -0.051  -0.330 -0.308  -0.348 -0.591  -0.348 -0.649  -0.483 -0.418  -0.558 -0.162  -0.558 0.125  -0.503 0.400  -0.374 0.657  -0.335 0.932  -0.132 1.135  0.071 1.339  0.358 1.340  0.601 1.447  0.830 1.487  1.087 1.358  1.335 1.304  1.250 1.056  1.034 0.866  0.818 0.677  0.602 0.488  0.385 0.299  0.169 0.110  -0.047 -0.080  -0.263 -0.269  -0.523 -0.343  -0.728 -0.343  -0.440 -0.343  -0.163 -0.281  0.109 -0.190  0.387 -0.133  0.675 -0.133  0.886 0.050  0.879 -0.147  0.613 -0.253  0.346 -0.360  0.079 -0.467  -0.188 -0.573  -0.454 -0.680  -0.721 -0.787  -0.988 -0.893  -1.189 -1.044  -1.042 -1.184  -0.766 -1.255  -0.494 -1.346  -0.215 -1.395  0.073 -1.395
1b#apa#apa09#app0962/P  -0.121 0.190  -0.264 0.047  -0.326 -0.130  -0.326 -0.332  -0.326 -0.535  -0.326 -0.737  -0.326 -0.939  -0.326 -1.142  -0.326 -1.344  -0.326 -1.546  -0.326 -1.558  -0.326 -1.356  -0.326 -1.153  -0.326 -0.951  -0.326 -0.749  -0.326 -0.546  -0.326 -0.344  -0.326 -0.142  -0.326 0.061  -0.326 0.263  -0.376 0.445  -0.519 0.588  -0.662 0.731  -0.736 0.903  -0.645 1.040  -0.453 1.104  -0.261 1.168  -0.066 1.214  0.137 1.214  0.339 1.214  0.541 1.214  0.730 1.182  0.873 1.039  1.017 0.896  1.141 0.739  1.231 0.558  1.313 0.375  1.298 0.180  1.130 0.068  0.961 -0.044  0.793 -0.156  0.612 -0.237  0.413 -0.277  0.215 -0.316  0.016 -0.356  -0.182 -0.396  -0.376 -0.399  -0.557 -0.309  -0.738 -0.220  -0.940 -0.220
1b#apa#apa09#app0962/H  -0.490 0.984  -0.579 1.162  -0.667 1.339  -0.681 1.197  -0.681 0.999  -0.681 0.801  -0.681 0.602  -0.681 0.404  -0.681 0.206  -0.681 0.008  -0.681 -0.190  -0.681 -0.388  -0.681 -0.586  -0.681 -0.784  -0.681 -0.982  -0.681 -1.181  -0.681 -1.379  -0.681 -1.406  -0.681 -1.208  -0.681 -1.010  -0.681 -0.812  -0.681 -0.614  -0.625 -0.429  -0.537 -0.252  -0.396 -0.158  -0.198 -0.158  -0.000 -0.158  0.198 -0.158  0.396 -0.158  0.594 -0.158  0.792 -0.158  0.990 -0.158  1.008 -0.006  0.976 0.190  0.943 0.385  0.910 0.581  0.878 0.776  0.845 0.972  0.712 1.115  0.653 1.061  0.653 0.863  0.653 0.665  0.653 0.467  0.653 0.268  0.653 0.070  0.653 -0.128  0.653 -0.326  0.653 -0.524  0.653 -0.722  0.653 -0.920
1b#apa#apa09#app0962/Y  -0.613 0.587  -0.637 0.721  -0.747 0.674  -0.676 0.587  -0.613 0.493  -0.613 0.336  -0.610 0.180  -0.539 0.039  -0.469 -0.101  -0.399 -0.242  -0.307 -0.347  -0.156 -0.319  -0.016 -0.248  0.110 -0.158  0.221 -0.047  0.332 0.064  0.443 0.176  0.532 0.304  0.620 0.435  0.707 0.566  0.794 0.696  0.881 0.827  0.968 0.958  1.096 1.042  1.237 1.112  1.155 1.028  1.040 0.921  0.925 0.814  0.810 0.708  0.695 0.601  0.580 0.494  0.464 0.387  0.349 0.280  0.234 0.173  0.119 0.066  0.004 -0.040  -0.111 -0.147  -0.226 -0.254  -0.341 -0.361  -0.456 -0.468  -0.571 -0.575  -0.613 -0.713  -0.613 -0.871  -0.617 -1.027  -0.667 -1.176  -0.717 -1.325  -0.747 -1.477  -0.747 -1.634  -0.747 -1.791  -0.747 -1.948
1b#apa#apa09#app0962/R  -0.164 0.585  -0.285 0.438  -0.285 0.240  -0.328 0.047  -0.376 -0.145  -0.406 -0.339  -0.406 -0.537  -0.406 -0.735  -0.406 -0.933  -0.406 -1.131  -0.472 -1.301  -0.528 -1.476  -0.528 -1.525  -0.520 -1.327  -0.509 -1.130  -0.499 -0.932  -0.489 -0.734  -0.478 -0.537  -0.468 -0.339  -0.457 -0.141  -0.447 0.056  -0.437 0.254  -0.426 0.452  -0.416 0.649  -0.406 0.847  -0.406 1.045  -0.285 1.192  -0.108 1.281  0.079 1.344  0.271 1.392  0.463 1.435  0.645 1.382  0.810 1.272  0.929 1.138  0.929 0.940  0.929 0.742  0.814 0.592  0.674 0.452  0.528 0.318  0.364 0.209  0.199 0.099  0.059 -0.041  -0.042 -0.197  0.067 -0.337  0.231 -0.447  0.385 -0.570  0.539 -0.692  0.704 -0.802  0.840 -0.937  0.929 -1.114
