3#apb#apb40#app4051/4  -0.205 0.812  -0.341 0.890  -0.480 0.767  -0.593 0.620  -0.691 0.463  -0.769 0.294  -0.842 0.123  -0.909 -0.051  -0.975 -0.225  -0.984 -0.401  -0.845 -0.495  -0.662 -0.464  -0.490 -0.396  -0.320 -0.320  -0.148 -0.249  0.027 -0.187  0.203 -0.125  0.382 -0.076  0.564 -0.041  0.747 -0.033  0.931 -0.064  1.088 -0.163  1.060 0.008  1.023 0.190  0.986 0.373  0.949 0.555  0.912 0.737  0.876 0.920  0.839 1.102  0.802 1.285  0.725 1.255  0.623 1.099  0.537 0.936  0.467 0.763  0.398 0.590  0.327 0.419  0.230 0.260  0.133 0.101  0.036 -0.058  -0.061 -0.216  -0.161 -0.373  -0.261 -0.530  -0.361 -0.687  -0.458 -0.846  -0.545 -1.010  -0.632 -1.174  -0.716 -1.340  -0.785 -1.513  -0.840 -1.690  -0.790 -1.832
3#apb#apb40#app4051/8  1.045 1.028  1.038 1.176  0.967 1.295  0.845 1.380  0.701 1.356  0.556 1.323  0.425 1.255  0.294 1.186  0.202 1.071  0.114 0.951  0.044 0.823  0.002 0.681  -0.041 0.539  -0.064 0.394  -0.069 0.245  -0.073 0.097  -0.069 -0.051  -0.050 -0.198  -0.031 -0.345  -0.013 -0.492  0.004 -0.640  0.019 -0.787  0.004 -0.934  -0.025 -1.077  -0.101 -1.205  -0.207 -1.304  -0.330 -1.386  -0.476 -1.408  -0.609 -1.369  -0.724 -1.279  -0.785 -1.144  -0.841 -1.008  -0.841 -0.859  -0.841 -0.711  -0.825 -0.567  -0.756 -0.435  -0.688 -0.303  -0.601 -0.186  -0.490 -0.088  -0.379 0.010  -0.259 0.096  -0.127 0.163  0.006 0.229  0.143 0.282  0.286 0.322  0.429 0.361  0.577 0.379  0.724 0.397  0.871 0.381  1.017 0.359
3#apb#apb40#app4051/1  0.780 1.494  0.765 1.426  0.750 1.358  0.734 1.290  0.719 1.222  0.703 1.154  0.679 1.090  0.649 1.027  0.618 0.964  0.588 0.901  0.558 0.839  0.528 0.776  0.498 0.713  0.462 0.654  0.418 0.600  0.375 0.545  0.331 0.491  0.288 0.437  0.244 0.382  0.201 0.328  0.157 0.273  0.114 0.219  0.072 0.164  0.035 0.104  -0.001 0.045  -0.038 -0.014  -0.074 -0.073  -0.111 -0.133  -0.148 -0.192  -0.184 -0.251  -0.221 -0.310  -0.257 -0.370  -0.292 -0.430  -0.326 -0.491  -0.360 -0.552  -0.393 -0.613  -0.427 -0.673  -0.461 -0.734  -0.495 -0.795  -0.528 -0.856  -0.559 -0.919  -0.590 -0.981  -0.621 -1.043  -0.653 -1.105  -0.684 -1.168  -0.713 -1.231  -0.742 -1.294  -0.771 -1.357  -0.797 -1.422  -0.819 -1.488
3#apb#apb40#app4051/0  0.137 1.175  0.079 1.058  0.021 0.941  -0.038 0.824  -0.102 0.711  -0.172 0.601  -0.242 0.490  -0.312 0.380  -0.382 0.270  -0.451 0.159  -0.522 0.050  -0.593 -0.060  -0.664 -0.170  -0.735 -0.279  -0.805 -0.389  -0.867 -0.503  -0.900 -0.629  -0.933 -0.755  -0.966 -0.882  -0.935 -0.993  -0.848 -1.090  -0.742 -1.148  -0.612 -1.156  -0.481 -1.163  -0.363 -1.116  -0.248 -1.054  -0.133 -0.992  -0.019 -0.930  0.085 -0.853  0.180 -0.763  0.274 -0.673  0.369 -0.582  0.463 -0.492  0.532 -0.383  0.594 -0.268  0.657 -0.153  0.719 -0.038  0.757 0.084  0.774 0.214  0.791 0.343  0.809 0.473  0.826 0.602  0.799 0.728  0.762 0.853  0.725 0.978  0.687 1.104  0.631 1.218  0.548 1.319  0.465 1.420  0.382 1.521
3#apb#apb40#app4051/P  0.092 0.442  -0.063 0.384  -0.145 0.234  -0.228 0.084  -0.313 -0.064  -0.397 -0.213  -0.483 -0.361  -0.582 -0.500  -0.681 -0.640  -0.780 -0.779  -0.878 -0.919  -0.975 -1.060  -1.073 -1.200  -1.143 -1.330  -1.075 -1.174  -0.987 -1.026  -0.900 -0.879  -0.801 -0.740  -0.699 -0.603  -0.597 -0.465  -0.497 -0.327  -0.399 -0.187  -0.301 -0.047  -0.203 0.093  -0.109 0.236  -0.017 0.381  0.075 0.525  0.167 0.669  0.272 0.803  0.385 0.932  0.498 1.060  0.622 1.175  0.774 1.254  0.926 1.332  1.088 1.291  1.118 1.135  1.129 0.964  1.103 0.798  1.047 0.636  0.992 0.475  0.916 0.323  0.818 0.183  0.719 0.044  0.614 -0.090  0.490 -0.209  0.367 -0.327  0.238 -0.440  0.108 -0.551  -0.036 -0.642  -0.198 -0.679
3#apb#apb40#app4051/a  1.116 0.653  1.148 0.795  1.187 0.934  1.229 1.073  1.164 1.184  1.026 1.160  0.885 1.127  0.754 1.072  0.635 0.989  0.516 0.905  0.397 0.822  0.279 0.739  0.161 0.655  0.048 0.565  -0.066 0.474  -0.179 0.384  -0.293 0.294  -0.406 0.204  -0.519 0.114  -0.616 0.006  -0.712 -0.103  -0.808 -0.211  -0.904 -0.319  -1.001 -0.428  -1.076 -0.551  -1.149 -0.676  -1.222 -0.801  -1.242 -0.941  -1.166 -1.039  -1.031 -1.039  -0.891 -0.999  -0.761 -0.940  -0.637 -0.864  -0.513 -0.789  -0.389 -0.714  -0.269 -0.633  -0.150 -0.550  -0.031 -0.468  0.088 -0.385  0.204 -0.298  0.318 -0.209  0.432 -0.120  0.541 -0.025  0.644 0.078  0.735 0.118  0.658 -0.004  0.569 -0.119  0.497 -0.244  0.429 -0.372  0.372 -0.505
3#apb#apb40#app4051/r  0.158 0.458  0.106 0.353  0.053 0.249  -0.012 0.152  -0.081 0.057  -0.150 -0.037  -0.219 -0.131  -0.289 -0.226  -0.360 -0.319  -0.431 -0.412  -0.502 -0.505  -0.573 -0.598  -0.644 -0.691  -0.712 -0.786  -0.779 -0.882  -0.847 -0.977  -0.909 -1.076  -0.968 -1.178  -0.933 -1.162  -0.852 -1.077  -0.776 -0.988  -0.701 -0.899  -0.625 -0.809  -0.549 -0.720  -0.471 -0.633  -0.393 -0.546  -0.315 -0.459  -0.236 -0.372  -0.158 -0.285  -0.080 -0.198  -0.004 -0.109  0.064 -0.014  0.132 0.081  0.200 0.177  0.268 0.272  0.337 0.367  0.405 0.462  0.471 0.559  0.537 0.655  0.603 0.752  0.669 0.848  0.736 0.945  0.802 1.042  0.878 1.130  0.955 1.218  1.043 1.291  1.154 1.328  1.267 1.318  1.338 1.238  1.391 1.133
3#apb#apb40#app4051/k  1.088 1.981  0.932 1.849  0.797 1.684  0.665 1.515  0.536 1.344  0.423 1.162  0.310 0.980  0.198 0.798  0.080 0.619  -0.040 0.441  -0.160 0.264  -0.279 0.086  -0.402 -0.089  -0.525 -0.264  -0.649 -0.439  -0.778 -0.610  -0.908 -0.780  -1.025 -0.959  -1.161 -1.120  -1.035 -0.962  -0.883 -0.813  -0.722 -0.671  -0.561 -0.530  -0.400 -0.388  -0.239 -0.247  -0.078 -0.106  0.082 0.036  0.243 0.177  0.404 0.318  0.565 0.460  0.726 0.601  0.894 0.724  0.893 0.624  0.767 0.451  0.641 0.278  0.480 0.138  0.318 -0.003  0.150 -0.136  -0.027 -0.256  -0.204 -0.376  -0.385 -0.490  -0.571 -0.597  -0.710 -0.750  -0.555 -0.851  -0.347 -0.901  -0.135 -0.870  0.077 -0.840  0.290 -0.827  0.504 -0.827  0.718 -0.827
3#apb#apb40#app4051/C  0.618 0.249  0.659 0.335  0.699 0.421  0.740 0.508  0.776 0.596  0.813 0.684  0.849 0.772  0.851 0.866  0.851 0.962  0.833 1.051  0.778 1.129  0.687 1.122  0.593 1.107  0.512 1.060  0.436 1.004  0.359 0.947  0.283 0.891  0.208 0.832  0.151 0.756  0.094 0.680  0.037 0.603  -0.021 0.527  -0.078 0.451  -0.135 0.375  -0.189 0.297  -0.242 0.218  -0.295 0.138  -0.348 0.059  -0.401 -0.020  -0.454 -0.099  -0.505 -0.180  -0.539 -0.268  -0.574 -0.357  -0.609 -0.445  -0.644 -0.534  -0.672 -0.624  -0.672 -0.719  -0.672 -0.814  -0.672 -0.910  -0.667 -1.005  -0.655 -1.099  -0.643 -1.194  -0.581 -1.259  -0.505 -1.318  -0.411 -1.321  -0.316 -1.321  -0.221 -1.318  -0.128 -1.298  -0.035 -1.278  0.058 -1.259
3#apb#apb40#app4051/t  -1.013 -0.374  -0.947 -0.242  -0.856 -0.126  -0.743 -0.035  -0.595 -0.047  -0.450 -0.068  -0.307 -0.106  -0.164 -0.142  -0.020 -0.172  0.126 -0.197  0.272 -0.216  0.413 -0.259  0.522 -0.261  0.554 -0.117  0.586 0.028  0.618 0.172  0.650 0.316  0.682 0.460  0.714 0.604  0.746 0.748  0.778 0.892  0.810 1.036  0.842 1.181  0.874 1.325  0.821 1.374  0.716 1.279  0.626 1.161  0.537 1.044  0.449 0.925  0.363 0.805  0.278 0.685  0.192 0.564  0.107 0.444  0.031 0.318  -0.033 0.185  -0.098 0.052  -0.163 -0.081  -0.227 -0.213  -0.292 -0.346  -0.360 -0.477  -0.428 -0.608  -0.495 -0.740  -0.563 -0.871  -0.626 -1.004  -0.685 -1.140  -0.744 -1.275  -0.800 -1.412  -0.846 -1.552  -0.896 -1.691  -0.956 -1.825
3#apb#apb40#app4051/.  -0.242 0.791  -0.145 0.694  -0.048 0.597  0.048 0.500  0.145 0.403  0.242 0.306  0.339 0.210  0.436 0.113  0.532 0.016  0.629 -0.081  0.726 -0.178  0.823 -0.274  0.920 -0.371  1.016 -0.468  1.113 -0.565  1.210 -0.661  1.307 -0.758  1.275 -0.726  1.178 -0.629  1.081 -0.532  0.984 -0.436  0.887 -0.339  0.791 -0.242  0.694 -0.145  0.597 -0.048  0.500 0.048  0.403 0.145  0.306 0.242  0.210 0.339  0.113 0.436  0.016 0.532  -0.081 0.629  -0.178 0.726  -0.274 0.758  -0.371 0.661  -0.468 0.565  -0.565 0.468  -0.661 0.371  -0.758 0.274  -0.855 0.178  -0.952 0.081  -1.049 -0.016  -1.145 -0.113  -1.242 -0.210  -1.339 -0.306  -1.436 -0.403  -1.533 -0.500  -1.629 -0.597  -1.726 -0.694  -1.823 -0.791
