2#apb#apb14#app1463/P  -0.565 0.361  -0.496 0.201  -0.433 0.038  -0.373 -0.126  -0.313 -0.289  -0.253 -0.453  -0.192 -0.616  -0.134 -0.781  -0.077 -0.945  -0.033 -1.114  0.003 -1.284  -0.006 -1.457  -0.079 -1.599  -0.231 -1.543  -0.356 -1.425  -0.459 -1.285  -0.541 -1.131  -0.587 -0.967  -0.601 -0.793  -0.612 -0.620  -0.605 -0.445  -0.599 -0.271  -0.573 -0.099  -0.538 0.071  -0.503 0.242  -0.438 0.404  -0.372 0.565  -0.291 0.717  -0.174 0.846  -0.057 0.975  0.083 1.073  0.240 1.148  0.398 1.221  0.571 1.242  0.744 1.263  0.907 1.215  1.067 1.145  1.172 1.007  1.159 0.851  1.091 0.692  0.978 0.559  0.865 0.426  0.720 0.334  0.564 0.256  0.407 0.181  0.242 0.126  0.076 0.070  -0.093 0.030  -0.265 0.004  -0.437 -0.021
2#apb#apb14#app1463/r  -1.082 0.599  -1.052 0.520  -1.041 0.421  -1.020 0.324  -0.997 0.227  -0.974 0.130  -0.950 0.033  -0.922 -0.063  -0.893 -0.159  -0.865 -0.255  -0.845 -0.352  -0.832 -0.451  -0.819 -0.550  -0.802 -0.649  -0.781 -0.746  -0.770 -0.845  -0.752 -0.860  -0.713 -0.768  -0.659 -0.685  -0.602 -0.603  -0.545 -0.521  -0.483 -0.442  -0.418 -0.367  -0.352 -0.292  -0.286 -0.217  -0.219 -0.143  -0.143 -0.078  -0.067 -0.014  0.009 0.051  0.085 0.116  0.161 0.180  0.243 0.238  0.327 0.291  0.411 0.344  0.496 0.398  0.580 0.451  0.678 0.470  0.776 0.487  0.875 0.505  0.973 0.511  1.072 0.499  1.171 0.487  1.270 0.474  1.347 0.411  1.424 0.347  1.501 0.283  1.554 0.200  1.599 0.111  1.643 0.022  1.688 -0.067
2#apb#apb14#app1463/e  -0.197 0.957  -0.077 1.066  0.043 1.173  0.205 1.182  0.367 1.192  0.526 1.168  0.684 1.133  0.837 1.084  0.977 1.002  1.063 0.886  1.057 0.730  0.972 0.592  0.878 0.463  0.744 0.372  0.611 0.280  0.464 0.216  0.309 0.169  0.154 0.122  -0.006 0.094  -0.166 0.070  -0.326 0.045  -0.484 0.012  -0.643 -0.022  -0.803 -0.037  -0.906 -0.014  -0.785 0.093  -0.663 0.200  -0.542 0.308  -0.421 0.415  -0.448 0.433  -0.521 0.288  -0.582 0.139  -0.639 -0.013  -0.696 -0.165  -0.753 -0.316  -0.800 -0.469  -0.788 -0.631  -0.744 -0.782  -0.655 -0.917  -0.530 -1.019  -0.395 -1.104  -0.237 -1.141  -0.077 -1.160  0.085 -1.160  0.247 -1.160  0.409 -1.160  0.571 -1.160  0.733 -1.160  0.895 -1.158  1.055 -1.138
2#apb#apb14#app1463/s  0.452 1.050  0.468 1.159  0.423 1.240  0.323 1.272  0.214 1.255  0.105 1.238  0.002 1.199  -0.095 1.147  -0.193 1.096  -0.291 1.044  -0.387 0.989  -0.473 0.919  -0.558 0.849  -0.644 0.779  -0.730 0.709  -0.788 0.615  -0.845 0.520  -0.868 0.416  -0.868 0.305  -0.845 0.203  -0.771 0.121  -0.696 0.039  -0.606 -0.018  -0.501 -0.055  -0.397 -0.092  -0.292 -0.129  -0.186 -0.158  -0.079 -0.186  0.028 -0.215  0.135 -0.243  0.241 -0.275  0.347 -0.308  0.453 -0.341  0.557 -0.376  0.661 -0.415  0.743 -0.483  0.809 -0.572  0.833 -0.672  0.821 -0.782  0.769 -0.876  0.699 -0.961  0.629 -1.047  0.534 -1.100  0.432 -1.142  0.330 -1.184  0.227 -1.226  0.124 -1.266  0.021 -1.307  -0.082 -1.347  -0.185 -1.387
2#apb#apb14#app1463/i  -0.305 0.404  -0.216 0.329  -0.153 0.238  -0.119 0.127  -0.085 0.016  -0.079 -0.100  -0.079 -0.216  -0.079 -0.332  -0.083 -0.448  -0.096 -0.563  -0.109 -0.679  -0.122 -0.794  -0.145 -0.908  -0.171 -1.021  -0.199 -1.134  -0.231 -1.245  -0.263 -1.357  -0.302 -1.466  -0.314 -1.459  -0.288 -1.345  -0.262 -1.232  -0.236 -1.119  -0.210 -1.006  -0.184 -0.893  -0.158 -0.780  -0.132 -0.666  -0.106 -0.553  -0.080 -0.440  -0.054 -0.327  -0.028 -0.214  -0.002 -0.101  0.025 0.013  0.051 0.126  0.077 0.239  0.103 0.352  0.129 0.465  0.155 0.578  0.181 0.692  0.207 0.805  0.233 0.918  0.259 1.031  0.285 1.144  0.311 1.257  0.337 1.371  0.363 1.484  0.389 1.597  0.415 1.710  0.441 1.823  0.463 1.898  0.463 1.782
2#apb#apb14#app1463/d  0.063 1.988  0.201 2.014  0.285 1.906  0.285 1.757  0.285 1.608  0.281 1.460  0.270 1.311  0.260 1.163  0.250 1.014  0.233 0.866  0.210 0.719  0.187 0.572  0.164 0.425  0.143 0.278  0.136 0.129  0.129 -0.019  0.124 -0.168  0.124 -0.317  0.130 -0.465  0.157 -0.612  0.239 -0.713  0.285 -0.579  0.285 -0.430  0.235 -0.297  0.150 -0.175  0.052 -0.065  -0.063 0.030  -0.188 0.104  -0.333 0.135  -0.477 0.136  -0.620 0.092  -0.741 0.014  -0.847 -0.091  -0.917 -0.219  -0.961 -0.359  -0.900 -0.495  -0.812 -0.613  -0.711 -0.721  -0.588 -0.806  -0.466 -0.891  -0.320 -0.919  -0.174 -0.945  -0.026 -0.960  0.123 -0.968  0.271 -0.975  0.420 -0.975  0.569 -0.975  0.718 -0.975  0.866 -0.979  1.011 -1.015
2#apb#apb14#app1463/e  -0.568 0.045  -0.543 0.248  -0.517 0.451  -0.457 0.647  -0.395 0.842  -0.295 1.014  -0.151 1.159  0.029 1.244  0.226 1.300  0.424 1.265  0.622 1.213  0.801 1.116  0.964 1.001  1.028 0.807  0.990 0.607  0.924 0.417  0.799 0.255  0.669 0.098  0.512 -0.034  0.355 -0.164  0.163 -0.236  -0.029 -0.308  -0.217 -0.388  -0.406 -0.469  -0.593 -0.552  -0.615 -0.431  -0.574 -0.230  -0.532 -0.030  -0.491 0.171  -0.449 0.371  -0.407 0.572  -0.366 0.772  -0.381 0.643  -0.435 0.445  -0.485 0.247  -0.542 0.050  -0.611 -0.143  -0.645 -0.341  -0.645 -0.546  -0.594 -0.742  -0.501 -0.918  -0.341 -1.046  -0.158 -1.131  0.037 -1.192  0.234 -1.248  0.432 -1.301  0.631 -1.350  0.830 -1.396  1.034 -1.401  1.239 -1.401
2#apb#apb14#app1463/n  -0.912 0.639  -0.867 0.530  -0.840 0.410  -0.832 0.289  -0.832 0.166  -0.832 0.044  -0.847 -0.078  -0.865 -0.199  -0.882 -0.320  -0.902 -0.441  -0.922 -0.562  -0.938 -0.683  -0.991 -0.773  -0.967 -0.697  -0.906 -0.591  -0.846 -0.484  -0.786 -0.377  -0.726 -0.270  -0.664 -0.165  -0.602 -0.059  -0.539 0.046  -0.476 0.151  -0.407 0.252  -0.337 0.353  -0.268 0.454  -0.199 0.555  -0.106 0.634  -0.012 0.713  0.082 0.791  0.192 0.819  0.314 0.807  0.433 0.787  0.536 0.721  0.640 0.655  0.734 0.579  0.810 0.483  0.887 0.387  0.941 0.280  0.980 0.164  1.019 0.047  1.056 -0.069  1.088 -0.188  1.119 -0.306  1.151 -0.424  1.175 -0.544  1.197 -0.665  1.210 -0.786  1.210 -0.909  1.236 -1.028  1.290 -1.138
2#apb#apb14#app1463/t  -0.388 0.934  -0.221 0.952  -0.098 0.843  -0.029 0.693  0.025 0.533  0.038 0.366  0.046 0.198  0.061 0.030  0.082 -0.137  0.103 -0.305  0.128 -0.471  0.154 -0.638  0.186 -0.803  0.227 -0.967  0.257 -1.132  0.283 -1.298  0.321 -1.372  0.197 -1.258  0.073 -1.144  -0.052 -1.030  -0.176 -0.916  -0.300 -0.802  -0.424 -0.688  -0.548 -0.574  -0.672 -0.461  -0.797 -0.347  -0.921 -0.233  -1.045 -0.119  -1.169 -0.005  -1.293 0.109  -1.251 0.184  -1.103 0.266  -0.938 0.284  -0.769 0.294  -0.601 0.302  -0.433 0.311  -0.265 0.325  -0.098 0.347  0.069 0.370  0.232 0.411  0.394 0.458  0.556 0.506  0.711 0.570  0.865 0.639  1.020 0.703  1.183 0.747  1.347 0.786  1.512 0.817  1.678 0.846  1.845 0.874
2#apb#apb14#app1463/A  -0.572 1.143  -0.518 1.092  -0.503 0.883  -0.503 0.674  -0.503 0.464  -0.506 0.255  -0.515 0.046  -0.523 -0.163  -0.540 -0.372  -0.560 -0.580  -0.590 -0.787  -0.637 -0.991  -0.683 -1.195  -0.765 -1.240  -0.850 -1.050  -0.850 -0.841  -0.833 -0.634  -0.788 -0.429  -0.739 -0.226  -0.684 -0.024  -0.629 0.178  -0.545 0.370  -0.455 0.558  -0.365 0.747  -0.249 0.922  -0.133 1.096  0.044 1.208  0.235 1.230  0.429 1.162  0.582 1.020  0.729 0.873  0.785 0.672  0.841 0.470  0.897 0.268  0.950 0.066  1.003 -0.137  1.054 -0.340  1.105 -0.543  1.159 -0.745  1.202 -0.950  1.146 -0.983  0.972 -0.867  0.800 -0.748  0.637 -0.619  0.494 -0.466  0.350 -0.314  0.173 -0.203  -0.005 -0.092  -0.184 0.016  -0.364 0.124
2#apb#apb14#app1463/s  0.534 1.265  0.631 1.362  0.542 1.268  0.434 1.184  0.317 1.111  0.199 1.042  0.081 0.972  -0.038 0.902  -0.158 0.836  -0.284 0.782  -0.410 0.727  -0.536 0.672  -0.662 0.617  -0.787 0.560  -0.911 0.502  -1.035 0.443  -1.115 0.334  -1.093 0.220  -0.958 0.193  -0.823 0.166  -0.688 0.144  -0.551 0.131  -0.414 0.119  -0.278 0.106  -0.141 0.101  -0.003 0.108  0.134 0.114  0.271 0.121  0.402 0.089  0.529 0.038  0.657 -0.013  0.783 -0.068  0.903 -0.130  0.958 -0.255  0.978 -0.381  0.927 -0.509  0.860 -0.627  0.771 -0.731  0.683 -0.836  0.579 -0.922  0.455 -0.980  0.330 -1.038  0.203 -1.089  0.073 -1.132  -0.058 -1.175  -0.189 -1.217  -0.323 -1.246  -0.457 -1.275  -0.593 -1.295  -0.729 -1.310
