3#app#app12#app1247/I  -0.022 1.554  0.049 1.554  0.114 1.549  0.114 1.479  0.114 1.408  0.114 1.337  0.114 1.266  0.114 1.196  0.100 1.131  0.050 1.081  -0.000 1.031  -0.022 0.969  -0.022 0.899  -0.022 0.828  -0.022 0.757  -0.022 0.687  -0.022 0.616  -0.022 0.545  -0.022 0.474  -0.022 0.404  -0.022 0.333  -0.022 0.262  -0.022 0.192  -0.022 0.121  -0.022 0.050  -0.022 -0.020  -0.022 -0.091  -0.022 -0.162  -0.022 -0.233  -0.022 -0.303  -0.022 -0.374  -0.022 -0.445  -0.022 -0.515  -0.022 -0.586  -0.022 -0.657  -0.022 -0.728  -0.022 -0.798  -0.022 -0.869  -0.022 -0.940  -0.022 -1.010  -0.022 -1.081  -0.022 -1.152  -0.022 -1.223  -0.022 -1.293  -0.022 -1.364  -0.022 -1.435  -0.022 -1.505  -0.022 -1.576  -0.022 -1.647  -0.022 -1.717
3#app#app12#app1247/'  -0.259 1.039  -0.172 1.039  -0.085 1.039  0.002 1.039  0.089 1.039  0.176 1.039  0.263 1.039  0.350 1.039  0.438 1.039  0.525 1.039  0.612 1.039  0.699 1.039  0.652 0.984  0.590 0.922  0.529 0.860  0.467 0.799  0.406 0.737  0.344 0.676  0.283 0.614  0.221 0.553  0.160 0.491  0.098 0.430  0.036 0.368  -0.025 0.306  -0.087 0.245  -0.148 0.183  -0.210 0.122  -0.259 0.055  -0.259 -0.032  -0.259 -0.119  -0.259 -0.206  -0.259 -0.293  -0.259 -0.380  -0.259 -0.467  -0.259 -0.554  -0.259 -0.641  -0.259 -0.728  -0.259 -0.815  -0.259 -0.903  -0.259 -0.990  -0.259 -1.077  -0.259 -1.164  -0.259 -1.251  -0.259 -1.338  -0.259 -1.425  -0.259 -1.512  -0.259 -1.599  -0.259 -1.686  -0.259 -1.773  -0.259 -1.860
3#app#app12#app1247/v  -1.091 1.087  -1.091 0.960  -1.033 0.891  -0.906 0.891  -0.895 0.775  -0.895 0.648  -0.895 0.521  -0.821 0.425  -0.731 0.335  -0.699 0.222  -0.699 0.095  -0.699 -0.032  -0.650 -0.139  -0.560 -0.229  -0.503 -0.332  -0.503 -0.459  -0.429 -0.555  -0.340 -0.645  -0.307 -0.758  -0.295 -0.874  -0.168 -0.874  -0.110 -0.943  -0.110 -1.070  -0.021 -1.160  0.069 -1.250  0.159 -1.193  0.249 -1.103  0.282 -0.990  0.289 -0.866  0.379 -0.777  0.469 -0.687  0.478 -0.564  0.478 -0.437  0.478 -0.310  0.478 -0.183  0.512 -0.090  0.639 -0.090  0.674 0.002  0.674 0.129  0.674 0.256  0.674 0.383  0.674 0.510  0.674 0.637  0.674 0.764  0.674 0.891  0.731 1.004  0.787 1.118  0.844 1.231  0.870 1.352  0.870 1.479
3#app#app12#app1247/e  -0.749 -0.461  -0.579 -0.461  -0.409 -0.461  -0.270 -0.385  -0.150 -0.265  0.017 -0.259  0.057 -0.129  0.156 -0.057  0.259 0.009  0.294 0.144  0.461 0.148  0.461 0.318  0.561 0.446  0.662 0.574  0.662 0.744  0.779 0.866  0.864 1.001  0.864 1.171  0.864 1.341  0.707 1.354  0.537 1.354  0.367 1.354  0.215 1.310  0.095 1.190  0.057 1.036  -0.003 0.891  -0.123 0.771  -0.284 0.749  -0.346 0.641  -0.346 0.471  -0.378 0.314  -0.498 0.194  -0.548 0.045  -0.596 -0.105  -0.716 -0.226  -0.749 -0.382  -0.749 -0.552  -0.749 -0.722  -0.729 -0.884  -0.609 -1.004  -0.548 -1.148  -0.496 -1.267  -0.326 -1.267  -0.156 -1.267  0.014 -1.267  0.184 -1.267  0.354 -1.267  0.461 -1.204  0.492 -1.065  0.662 -1.065
3#app#app12#app1247/r  -0.707 0.940  -0.551 0.940  -0.452 0.882  -0.452 0.725  -0.452 0.568  -0.452 0.411  -0.452 0.254  -0.452 0.097  -0.452 -0.060  -0.452 -0.216  -0.427 -0.363  -0.316 -0.474  -0.205 -0.585  -0.196 -0.738  -0.151 -0.850  0.006 -0.850  0.060 -0.953  0.060 -1.110  0.060 -1.267  0.122 -1.361  0.279 -1.361  0.315 -1.482  0.315 -1.595  0.315 -1.438  0.315 -1.282  0.315 -1.125  0.315 -0.968  0.298 -0.815  0.228 -0.675  0.158 -0.535  0.087 -0.394  0.060 -0.244  0.060 -0.087  0.060 0.070  0.060 0.227  0.060 0.383  -0.020 0.508  -0.130 0.618  -0.196 0.748  -0.196 0.905  -0.074 0.940  0.060 0.963  0.060 1.120  0.141 1.195  0.298 1.195  0.315 1.335  0.356 1.451  0.513 1.451  0.670 1.451  0.827 1.451
3#app#app12#app1247/u  -0.980 1.309  -0.980 1.202  -0.980 1.095  -0.980 0.987  -0.980 0.880  -0.980 0.773  -0.887 0.758  -0.780 0.758  -0.705 0.727  -0.705 0.620  -0.705 0.513  -0.705 0.406  -0.705 0.299  -0.705 0.192  -0.705 0.085  -0.705 -0.022  -0.660 -0.111  -0.585 -0.187  -0.509 -0.262  -0.433 -0.338  -0.429 -0.444  -0.429 -0.551  -0.401 -0.646  -0.325 -0.721  -0.249 -0.797  -0.174 -0.873  -0.074 -0.892  0.033 -0.892  0.140 -0.892  0.247 -0.892  0.354 -0.892  0.442 -0.846  0.518 -0.770  0.593 -0.694  0.669 -0.619  0.671 -0.512  0.671 -0.405  0.702 -0.311  0.777 -0.235  0.853 -0.160  0.929 -0.084  0.946 0.016  0.946 0.123  0.961 0.224  1.037 0.299  1.113 0.375  1.188 0.451  1.221 0.544  1.221 0.651  1.221 0.758
3#app#app12#app1247/n  -1.305 1.107  -1.144 1.107  -1.078 1.012  -1.078 0.851  -1.078 0.691  -1.078 0.530  -1.038 0.385  -0.925 0.272  -0.850 0.142  -0.850 -0.019  -0.850 -0.180  -0.791 -0.316  -0.678 -0.430  -0.623 -0.568  -0.611 -0.724  -0.497 -0.838  -0.396 -0.956  -0.396 -1.117  -0.284 -1.167  -0.168 -1.123  -0.168 -0.962  -0.168 -0.801  -0.096 -0.712  0.059 -0.707  0.059 -0.546  0.059 -0.385  0.059 -0.224  0.059 -0.063  0.059 0.097  0.059 0.258  0.059 0.419  0.214 0.424  0.287 0.513  0.309 0.652  0.470 0.652  0.514 0.768  0.549 0.844  0.663 0.730  0.791 0.652  0.952 0.652  0.969 0.508  0.969 0.347  0.969 0.186  0.969 0.025  1.074 -0.030  1.196 -0.069  1.196 -0.230  1.196 -0.391  1.196 -0.552  1.196 -0.712
3#app#app12#app1247/o  -0.009 0.729  -0.009 0.882  -0.079 0.966  -0.232 0.966  -0.246 0.826  -0.302 0.729  -0.455 0.729  -0.482 0.603  -0.512 0.462  -0.621 0.354  -0.719 0.242  -0.719 0.088  -0.719 -0.065  -0.719 -0.218  -0.719 -0.371  -0.719 -0.524  -0.719 -0.677  -0.719 -0.831  -0.719 -0.984  -0.719 -1.137  -0.629 -1.253  -0.521 -1.361  -0.384 -1.400  -0.235 -1.389  -0.127 -1.281  -0.018 -1.173  0.090 -1.064  0.198 -0.956  0.307 -0.848  0.415 -0.739  0.523 -0.631  0.631 -0.523  0.700 -0.398  0.700 -0.245  0.789 -0.128  0.897 -0.020  0.937 0.117  0.937 0.270  0.937 0.423  0.853 0.493  0.700 0.493  0.700 0.646  0.651 0.779  0.543 0.887  0.422 0.966  0.269 0.966  0.148 1.045  0.040 1.153  -0.093 1.202  -0.246 1.202
3#app#app12#app1247/u  -0.761 1.640  -0.761 1.526  -0.761 1.412  -0.761 1.297  -0.761 1.183  -0.761 1.069  -0.761 0.954  -0.761 0.840  -0.761 0.726  -0.761 0.611  -0.761 0.497  -0.761 0.383  -0.761 0.268  -0.735 0.165  -0.654 0.084  -0.573 0.003  -0.554 -0.103  -0.554 -0.217  -0.477 -0.300  -0.396 -0.380  -0.348 -0.475  -0.348 -0.589  -0.300 -0.684  -0.219 -0.764  -0.138 -0.845  -0.057 -0.926  0.024 -1.007  0.120 -1.050  0.234 -1.050  0.273 -0.974  0.273 -0.860  0.370 -0.843  0.480 -0.838  0.480 -0.724  0.506 -0.636  0.621 -0.636  0.687 -0.588  0.687 -0.474  0.736 -0.380  0.817 -0.299  0.894 -0.216  0.894 -0.102  0.894 0.012  0.894 0.127  0.894 0.241  0.894 0.355  0.894 0.470  0.894 0.584  0.894 0.698  0.894 0.813
3#app#app12#app1247/t  -0.277 2.137  -0.277 1.975  -0.277 1.812  -0.277 1.650  -0.276 1.488  -0.203 1.343  -0.131 1.198  -0.115 1.039  -0.115 0.877  -0.058 0.728  0.015 0.583  0.047 0.428  0.047 0.266  0.047 0.104  0.047 -0.059  0.047 -0.221  0.113 -0.356  0.208 -0.478  0.208 -0.641  0.208 -0.803  0.208 -0.965  0.222 -1.124  0.294 -1.269  0.367 -1.415  0.370 -1.576  0.525 -1.583  0.532 -1.427  0.532 -1.265  0.427 -1.142  0.320 -1.021  0.212 -0.899  0.104 -0.778  -0.004 -0.657  -0.112 -0.536  -0.220 -0.414  -0.327 -0.293  -0.435 -0.172  -0.543 -0.050  -0.651 0.071  -0.759 0.192  -0.605 0.196  -0.443 0.196  -0.281 0.196  -0.118 0.196  -0.115 0.355  0.044 0.358  0.207 0.358  0.369 0.358  0.370 0.519  0.532 0.520
3#app#app12#app1247/o  0.104 1.126  0.104 1.263  0.081 1.378  -0.056 1.378  -0.148 1.334  -0.148 1.197  -0.215 1.126  -0.352 1.126  -0.400 1.038  -0.400 0.901  -0.400 0.764  -0.400 0.627  -0.494 0.529  -0.591 0.432  -0.652 0.320  -0.652 0.183  -0.652 0.046  -0.652 -0.091  -0.652 -0.228  -0.652 -0.365  -0.652 -0.502  -0.652 -0.639  -0.652 -0.776  -0.652 -0.913  -0.652 -1.050  -0.605 -1.140  -0.468 -1.140  -0.331 -1.140  -0.194 -1.140  -0.057 -1.140  0.080 -1.140  0.184 -1.060  0.281 -0.963  0.387 -0.889  0.524 -0.889  0.607 -0.835  0.607 -0.698  0.607 -0.561  0.607 -0.424  0.676 -0.316  0.773 -0.219  0.859 -0.117  0.859 0.020  0.859 0.157  0.859 0.294  0.817 0.413  0.720 0.510  0.623 0.607  0.607 0.737  0.607 0.875
