2#apb#apb38#app3879/R  -1.235 -0.904  -1.240 -0.892  -1.238 -0.901  -1.151 -0.773  -1.048 -0.649  -0.956 -0.516  -0.868 -0.381  -0.779 -0.246  -0.689 -0.113  -0.591 0.016  -0.496 0.146  -0.404 0.279  -0.306 0.407  -0.208 0.535  -0.124 0.673  -0.028 0.802  0.093 0.909  0.237 0.976  0.359 1.081  0.479 1.189  0.612 1.273  0.762 1.280  0.889 1.188  0.933 1.045  0.848 0.912  0.754 0.782  0.647 0.661  0.539 0.541  0.407 0.450  0.262 0.379  0.118 0.309  -0.036 0.263  -0.097 0.263  0.064 0.270  0.224 0.263  0.279 0.151  0.195 0.014  0.081 -0.100  -0.030 -0.217  -0.101 -0.357  -0.127 -0.515  -0.074 -0.665  0.024 -0.793  0.123 -0.920  0.223 -1.047  0.322 -1.174  0.419 -1.303  0.519 -1.430  0.638 -1.539  0.778 -1.619
2#apb#apb38#app3879/a  0.828 0.251  0.706 0.330  0.548 0.413  0.402 0.503  0.292 0.638  0.127 0.717  -0.048 0.730  -0.232 0.726  -0.409 0.685  -0.584 0.633  -0.752 0.572  -0.888 0.448  -1.027 0.328  -1.167 0.209  -1.289 0.072  -1.407 -0.069  -1.477 -0.239  -1.504 -0.418  -1.456 -0.592  -1.298 -0.667  -1.115 -0.678  -0.935 -0.646  -0.756 -0.604  -0.600 -0.510  -0.447 -0.408  -0.307 -0.289  -0.168 -0.168  -0.024 -0.055  0.121 0.058  0.239 0.200  0.351 0.345  0.373 0.456  0.236 0.337  0.119 0.195  0.031 0.034  -0.027 -0.139  -0.016 -0.318  0.058 -0.485  0.215 -0.562  0.390 -0.581  0.566 -0.526  0.740 -0.467  0.909 -0.396  1.079 -0.325  1.229 -0.218  1.378 -0.111  1.531 -0.009  1.687 0.088  1.845 0.182  1.935 0.330
2#apb#apb38#app3879/b  -1.537 -1.033  -1.489 -1.118  -1.299 -1.031  -1.136 -0.894  -0.967 -0.765  -0.815 -0.618  -0.673 -0.459  -0.534 -0.298  -0.396 -0.137  -0.262 0.028  -0.129 0.195  -0.011 0.372  0.107 0.549  0.196 0.742  0.283 0.936  0.353 1.137  0.422 1.338  0.490 1.539  0.430 1.677  0.269 1.539  0.175 1.350  0.075 1.163  -0.020 0.972  -0.099 0.775  -0.176 0.576  -0.250 0.377  -0.319 0.176  -0.365 -0.031  -0.394 -0.241  -0.396 -0.453  -0.332 -0.656  -0.300 -0.866  -0.188 -1.041  0.017 -1.078  0.210 -1.004  0.346 -0.841  0.473 -0.670  0.548 -0.474  0.432 -0.312  0.261 -0.189  0.102 -0.056  0.067 -0.055  0.212 -0.204  0.391 -0.317  0.594 -0.360  0.795 -0.299  0.975 -0.189  1.144 -0.060  1.311 0.073  1.410 0.237
2#apb#apb38#app3879/b  -1.278 -0.974  -1.211 -1.089  -0.985 -1.039  -0.810 -0.890  -0.646 -0.725  -0.490 -0.553  -0.346 -0.370  -0.207 -0.183  -0.077 0.010  0.047 0.207  0.150 0.415  0.237 0.630  0.291 0.856  0.335 1.084  0.331 1.316  0.315 1.548  0.289 1.780  0.150 1.785  0.012 1.597  -0.102 1.395  -0.208 1.187  -0.301 0.974  -0.364 0.751  -0.419 0.524  -0.462 0.296  -0.498 0.066  -0.511 -0.166  -0.511 -0.399  -0.470 -0.626  -0.404 -0.848  -0.240 -1.013  -0.039 -1.129  0.186 -1.108  0.382 -0.983  0.492 -0.785  0.480 -0.556  0.404 -0.338  0.245 -0.167  0.075 -0.009  -0.123 0.000  -0.260 -0.184  -0.147 -0.371  0.073 -0.437  0.302 -0.427  0.531 -0.387  0.757 -0.336  0.973 -0.247  1.194 -0.174  1.387 -0.046  1.473 0.141
2#apb#apb38#app3879/i  -0.195 -0.195  -0.301 -0.122  -0.427 -0.194  -0.530 -0.296  -0.618 -0.412  -0.694 -0.536  -0.750 -0.670  -0.785 -0.810  -0.797 -0.955  -0.747 -1.091  -0.671 -1.210  -0.560 -1.303  -0.415 -1.313  -0.270 -1.319  -0.125 -1.301  0.019 -1.283  0.139 -1.200  0.259 -1.117  0.382 -1.040  0.506 -0.964  0.595 -0.850  0.653 -0.726  0.621 -0.584  0.592 -0.441  0.563 -0.298  0.534 -0.156  0.505 -0.013  0.477 0.130  0.448 0.273  0.419 0.415  0.390 0.558  0.361 0.701  0.332 0.843  0.303 0.986  0.275 1.129  0.315 1.248  0.184 1.233  0.049 1.179  -0.072 1.099  -0.190 1.012  -0.302 0.920  -0.314 0.806  -0.187 0.741  -0.049 0.787  0.088 0.837  0.176 0.941  0.146 1.067  0.031 1.145  -0.110 1.183  -0.254 1.166
2#apb#apb38#app3879/E  -0.138 1.259  -0.190 1.250  -0.192 1.089  -0.132 0.939  -0.009 0.833  0.146 0.788  0.308 0.812  0.463 0.860  0.584 0.971  0.700 1.087  0.761 1.228  0.687 1.366  0.547 1.300  0.417 1.201  0.317 1.072  0.201 0.957  0.091 0.835  -0.028 0.722  -0.126 0.591  -0.231 0.465  -0.319 0.328  -0.374 0.176  -0.394 0.014  -0.370 -0.148  -0.298 -0.290  -0.159 -0.372  -0.003 -0.420  0.155 -0.401  0.281 -0.300  0.359 -0.157  0.370 0.003  0.237 0.056  0.102 -0.019  -0.019 -0.130  -0.134 -0.247  -0.238 -0.373  -0.321 -0.514  -0.372 -0.669  -0.406 -0.829  -0.430 -0.992  -0.427 -1.154  -0.396 -1.315  -0.330 -1.461  -0.212 -1.573  -0.061 -1.607  0.061 -1.504  0.090 -1.366  -0.052 -1.370  -0.194 -1.447  -0.321 -1.545
2#apb#apb38#app3879/s  -1.487 -0.450  -1.615 -0.492  -1.434 -0.410  -1.253 -0.331  -1.103 -0.200  -0.952 -0.070  -0.807 0.066  -0.661 0.202  -0.510 0.333  -0.358 0.462  -0.207 0.591  -0.044 0.706  0.121 0.819  0.284 0.933  0.445 1.050  0.638 1.072  0.814 1.042  0.861 0.848  0.894 0.652  0.884 0.456  0.794 0.278  0.700 0.102  0.579 -0.053  0.431 -0.187  0.256 -0.279  0.075 -0.361  -0.125 -0.361  -0.324 -0.361  -0.523 -0.361  -0.706 -0.294  -0.866 -0.181  -0.978 -0.019  -1.068 0.153  -0.989 0.135  -0.838 0.005  -0.691 -0.130  -0.537 -0.255  -0.363 -0.353  -0.184 -0.435  0.012 -0.470  0.209 -0.504  0.407 -0.516  0.606 -0.516  0.804 -0.500  1.000 -0.464  1.196 -0.429  1.379 -0.348  1.561 -0.267  1.745 -0.190  1.931 -0.119
2#apb#apb38#app3879/q  0.585 1.086  0.509 1.242  0.307 1.240  0.108 1.203  -0.081 1.132  -0.253 1.025  -0.407 0.896  -0.541 0.744  -0.645 0.570  -0.666 0.377  -0.493 0.291  -0.296 0.321  -0.114 0.408  0.048 0.530  0.190 0.674  0.318 0.831  0.447 0.987  0.585 1.128  0.504 0.995  0.420 0.811  0.324 0.632  0.217 0.461  0.100 0.294  0.009 0.113  -0.084 -0.067  -0.189 -0.240  -0.293 -0.414  -0.379 -0.598  -0.466 -0.781  -0.540 -0.969  -0.610 -1.160  -0.651 -1.357  -0.649 -1.552  -0.528 -1.710  -0.342 -1.757  -0.154 -1.683  0.007 -1.560  0.138 -1.408  0.255 -1.242  0.349 -1.062  0.424 -0.876  0.472 -0.679  0.488 -0.479  0.474 -0.277  0.420 -0.083  0.352 0.109  0.266 0.291  0.167 0.468  0.031 0.599  -0.133 0.496
2#apb#apb38#app3879/.  1.647 0.465  1.487 0.465  1.327 0.465  1.167 0.465  1.007 0.465  0.847 0.465  0.687 0.465  0.527 0.465  0.367 0.465  0.207 0.465  0.047 0.465  -0.114 0.465  -0.090 0.333  -0.039 0.181  0.011 0.029  0.062 -0.123  0.173 -0.238  0.277 -0.357  0.349 -0.500  0.420 -0.644  0.532 -0.723  0.658 -0.689  0.658 -0.529  0.658 -0.369  0.658 -0.208  0.658 -0.048  0.658 0.112  0.658 0.272  0.658 0.432  0.531 0.465  0.371 0.465  0.211 0.465  0.050 0.465  -0.110 0.465  -0.270 0.465  -0.430 0.465  -0.563 0.415  -0.652 0.282  -0.741 0.149  -0.830 0.015  -0.918 -0.118  -1.007 -0.251  -1.096 -0.384  -1.185 -0.517  -1.274 -0.650  -1.383 -0.763  -1.516 -0.852  -1.649 -0.941  -1.782 -1.030  -1.916 -1.119
2#apb#apb38#app3879/F  -0.280 0.847  -0.415 0.677  -0.535 0.486  -0.679 0.312  -0.864 0.189  -1.056 0.264  -1.000 0.468  -0.841 0.625  -0.657 0.756  -0.460 0.865  -0.251 0.952  -0.035 1.019  0.183 1.077  0.405 1.122  0.622 1.184  0.838 1.251  1.055 1.309  0.884 1.162  0.723 1.005  0.598 0.819  0.501 0.615  0.422 0.403  0.353 0.188  0.289 -0.029  0.239 -0.250  0.192 -0.471  0.164 -0.695  0.142 -0.920  0.142 -1.146  0.166 -1.369  0.047 -1.384  -0.162 -1.299  -0.380 -1.242  -0.602 -1.196  -0.824 -1.162  -0.867 -1.106  -0.753 -0.910  -0.640 -0.714  -0.527 -0.519  -0.413 -0.323  -0.333 -0.257  -0.109 -0.231  0.115 -0.202  0.333 -0.148  0.549 -0.081  0.773 -0.057  0.895 -0.211  0.784 -0.399  0.616 -0.545  0.654 -0.730
2#apb#apb38#app3879/a  0.196 0.908  0.094 1.039  -0.060 1.121  -0.228 1.093  -0.391 1.033  -0.550 0.961  -0.675 0.841  -0.798 0.718  -0.887 0.569  -0.975 0.418  -1.048 0.260  -1.122 0.102  -1.166 -0.065  -1.198 -0.236  -1.201 -0.407  -1.165 -0.577  -1.094 -0.730  -0.978 -0.859  -0.837 -0.954  -0.675 -1.018  -0.511 -1.056  -0.340 -1.024  -0.169 -0.991  -0.028 -0.889  0.114 -0.787  0.255 -0.685  0.376 -0.560  0.494 -0.433  0.602 -0.298  0.673 -0.139  0.745 0.020  0.807 0.181  0.819 0.354  0.820 0.527  0.772 0.694  0.708 0.849  0.550 0.908  0.434 0.826  0.374 0.662  0.332 0.493  0.293 0.323  0.325 0.152  0.376 -0.012  0.454 -0.168  0.553 -0.309  0.670 -0.439  0.818 -0.523  0.980 -0.585  1.147 -0.633  1.316 -0.675
2#apb#apb38#app3879/t  0.504 1.845  0.512 1.757  0.443 1.599  0.370 1.443  0.313 1.281  0.257 1.118  0.204 0.955  0.152 0.791  0.100 0.626  0.050 0.462  0.014 0.294  -0.023 0.126  -0.060 -0.042  -0.097 -0.210  -0.123 -0.381  -0.149 -0.551  -0.175 -0.721  -0.191 -0.891  -0.174 -1.062  -0.143 -1.230  -0.079 -1.390  0.058 -1.469  0.228 -1.475  0.392 -1.443  0.538 -1.351  0.668 -1.242  0.778 -1.109  0.817 -0.978  0.700 -0.852  0.583 -0.726  0.466 -0.600  0.349 -0.474  0.232 -0.347  0.115 -0.221  -0.002 -0.095  -0.119 0.031  -0.236 0.158  -0.352 0.284  -0.469 0.410  -0.586 0.536  -0.703 0.662  -0.820 0.789  -0.949 0.696  -0.958 0.530  -0.830 0.442  -0.663 0.405  -0.492 0.387  -0.321 0.392  -0.150 0.411  0.021 0.430
2#apb#apb38#app3879/h  0.201 2.020  0.275 2.069  0.265 1.931  0.255 1.793  0.245 1.655  0.235 1.517  0.225 1.379  0.216 1.241  0.206 1.103  0.185 0.966  0.153 0.831  0.121 0.697  0.089 0.562  0.058 0.427  0.027 0.292  -0.003 0.157  -0.033 0.022  -0.064 -0.113  -0.113 -0.243  -0.164 -0.371  -0.216 -0.500  -0.267 -0.628  -0.327 -0.753  -0.389 -0.877  -0.454 -0.999  -0.528 -1.116  -0.609 -1.228  -0.688 -1.241  -0.678 -1.105  -0.652 -0.970  -0.590 -0.846  -0.528 -0.723  -0.466 -0.599  -0.381 -0.490  -0.291 -0.385  -0.200 -0.281  -0.105 -0.181  -0.007 -0.083  0.094 0.010  0.228 0.045  0.360 0.046  0.474 -0.015  0.499 -0.151  0.506 -0.288  0.486 -0.424  0.466 -0.561  0.450 -0.699  0.445 -0.837  0.459 -0.974  0.529 -1.082
2#apb#apb38#app3879/e  -1.303 -0.426  -1.175 -0.532  -1.011 -0.535  -0.847 -0.513  -0.692 -0.463  -0.549 -0.377  -0.409 -0.290  -0.300 -0.166  -0.191 -0.041  -0.079 0.081  0.042 0.194  0.164 0.307  0.269 0.433  0.363 0.569  0.431 0.718  0.473 0.877  0.419 1.029  0.262 1.081  0.102 1.057  -0.059 1.017  -0.209 0.949  -0.353 0.869  -0.498 0.789  -0.603 0.661  -0.708 0.532  -0.808 0.401  -0.898 0.261  -0.978 0.119  -0.978 -0.046  -0.976 -0.211  -0.874 -0.342  -0.772 -0.472  -0.631 -0.546  -0.472 -0.594  -0.314 -0.642  -0.152 -0.665  0.014 -0.665  0.180 -0.665  0.345 -0.665  0.504 -0.620  0.662 -0.569  0.819 -0.518  0.977 -0.467  1.125 -0.396  1.269 -0.313  1.412 -0.230  1.555 -0.146  1.686 -0.045  1.816 0.057  1.947 0.159
2#apb#apb38#app3879/r  -1.496 -1.051  -1.423 -1.138  -1.303 -1.138  -1.182 -1.138  -1.062 -1.138  -0.956 -1.095  -0.859 -1.024  -0.762 -0.953  -0.671 -0.876  -0.594 -0.783  -0.517 -0.691  -0.440 -0.599  -0.365 -0.505  -0.291 -0.411  -0.217 -0.316  -0.143 -0.221  -0.094 -0.112  -0.045 -0.002  0.004 0.108  0.043 0.221  0.068 0.338  0.094 0.456  0.119 0.573  0.099 0.691  0.076 0.809  0.054 0.927  0.039 1.046  0.028 1.166  0.018 1.286  0.055 1.319  0.121 1.219  0.186 1.118  0.254 1.019  0.327 0.924  0.400 0.828  0.466 0.728  0.532 0.627  0.591 0.523  0.640 0.414  0.689 0.304  0.711 0.187  0.723 0.068  0.732 -0.052  0.732 -0.172  0.732 -0.293  0.732 -0.413  0.732 -0.533  0.738 -0.651  0.808 -0.749  0.877 -0.847
