1c#apa#apa14#app1493/f  0.359 0.502  0.359 0.686  0.359 0.870  0.359 1.054  0.359 1.238  0.341 1.414  0.211 1.544  0.081 1.674  -0.093 1.689  -0.223 1.559  -0.310 1.398  -0.393 1.233  -0.475 1.069  -0.535 0.899  -0.535 0.715  -0.535 0.531  -0.535 0.347  -0.535 0.163  -0.496 -0.010  -0.401 -0.168  -0.306 -0.326  -0.212 -0.484  -0.117 -0.641  -0.088 -0.817  -0.088 -1.001  -0.088 -1.185  -0.088 -1.369  -0.088 -1.553  -0.088 -1.431  -0.062 -1.257  0.059 -1.119  0.180 -0.980  0.301 -0.842  0.423 -0.703  0.544 -0.565  0.665 -0.426  0.786 -0.288  0.907 -0.149  0.877 -0.016  0.747 -0.005  0.617 -0.135  0.478 -0.248  0.297 -0.278  0.115 -0.309  -0.066 -0.339  -0.248 -0.369  -0.430 -0.392  -0.614 -0.392  -0.798 -0.392  -0.982 -0.392
1c#apa#apa14#app1493/e  0.027 -0.464  -0.075 -0.362  -0.177 -0.260  -0.173 -0.176  -0.044 -0.111  0.085 -0.047  0.214 0.017  0.314 0.110  0.379 0.239  0.443 0.368  0.507 0.497  0.588 0.614  0.690 0.716  0.791 0.818  0.803 0.957  0.795 1.097  0.693 1.199  0.591 1.301  0.466 1.347  0.322 1.347  0.210 1.271  0.108 1.169  0.006 1.067  -0.096 0.966  -0.198 0.864  -0.285 0.750  -0.365 0.630  -0.445 0.510  -0.525 0.390  -0.605 0.271  -0.684 0.151  -0.749 0.026  -0.749 -0.118  -0.736 -0.260  -0.701 -0.400  -0.666 -0.539  -0.631 -0.679  -0.596 -0.819  -0.561 -0.959  -0.526 -1.098  -0.491 -1.238  -0.349 -1.240  -0.205 -1.240  -0.061 -1.240  0.083 -1.240  0.227 -1.240  0.371 -1.240  0.515 -1.240  0.659 -1.240  0.803 -1.240
1c#apa#apa14#app1493/w  -1.052 0.330  -1.186 0.330  -1.219 0.229  -1.219 0.095  -1.219 -0.038  -1.219 -0.172  -1.219 -0.306  -1.147 -0.410  -1.052 -0.504  -0.958 -0.599  -0.863 -0.693  -0.769 -0.788  -0.656 -0.838  -0.530 -0.817  -0.436 -0.723  -0.341 -0.628  -0.247 -0.533  -0.152 -0.439  -0.058 -0.344  -0.051 -0.213  -0.051 -0.080  -0.051 0.054  -0.076 0.163  -0.210 0.163  -0.307 0.074  -0.385 -0.027  -0.385 -0.161  -0.297 -0.258  -0.196 -0.338  -0.062 -0.338  0.072 -0.338  0.205 -0.338  0.339 -0.338  0.462 -0.318  0.537 -0.207  0.611 -0.096  0.685 0.016  0.759 0.127  0.864 0.203  0.984 0.263  1.103 0.323  1.146 0.445  1.178 0.575  1.211 0.704  1.243 0.834  1.276 0.964  1.284 1.097  1.284 1.230  1.251 1.331  1.117 1.331
1c#apa#apa14#app1493/q  0.198 0.275  0.198 0.415  0.198 0.556  0.190 0.695  0.127 0.820  0.064 0.946  -0.035 1.046  -0.135 1.145  -0.247 1.214  -0.373 1.180  -0.473 1.080  -0.572 0.981  -0.671 0.881  -0.751 0.771  -0.785 0.634  -0.820 0.498  -0.854 0.361  -0.875 0.223  -0.824 0.115  -0.698 0.052  -0.569 0.016  -0.433 0.050  -0.296 0.084  -0.160 0.118  -0.036 0.174  0.063 0.274  0.127 0.399  0.190 0.525  0.198 0.664  0.198 0.550  0.198 0.410  0.136 0.284  0.073 0.158  0.118 0.032  0.181 -0.094  0.244 -0.219  0.307 -0.345  0.353 -0.477  0.387 -0.614  0.421 -0.750  0.455 -0.887  0.480 -1.025  0.500 -1.164  0.520 -1.303  0.540 -1.443  0.560 -1.582  0.579 -1.721  0.599 -1.860  0.601 -2.001  0.601 -2.141
1c#apa#apa14#app1493/u  -0.713 0.658  -0.713 0.775  -0.713 0.880  -0.713 0.763  -0.713 0.645  -0.713 0.527  -0.713 0.409  -0.713 0.292  -0.713 0.174  -0.713 0.056  -0.713 -0.062  -0.713 -0.179  -0.713 -0.297  -0.713 -0.415  -0.713 -0.533  -0.713 -0.650  -0.690 -0.763  -0.637 -0.868  -0.585 -0.973  -0.532 -1.079  -0.474 -1.175  -0.356 -1.175  -0.243 -1.163  -0.160 -1.080  -0.076 -0.997  0.007 -0.913  0.090 -0.830  0.173 -0.747  0.257 -0.664  0.340 -0.580  0.423 -0.497  0.479 -0.394  0.532 -0.289  0.585 -0.184  0.637 -0.078  0.690 0.027  0.742 0.132  0.795 0.238  0.848 0.343  0.891 0.451  0.891 0.568  0.891 0.686  0.891 0.804  0.891 0.921  0.891 1.039  0.854 1.134  0.748 1.187  0.643 1.239  0.538 1.292  0.432 1.345
1c#apa#apa14#app1493/i  -0.091 0.120  -0.091 0.014  -0.091 -0.091  -0.091 -0.197  -0.045 -0.292  0.002 -0.386  0.049 -0.481  0.070 -0.581  0.070 -0.687  0.070 -0.793  0.070 -0.898  0.070 -1.004  0.070 -1.110  0.070 -1.215  0.070 -1.321  0.070 -1.426  0.070 -1.436  0.070 -1.331  0.065 -1.225  0.060 -1.120  0.055 -1.014  0.050 -0.909  0.045 -0.803  0.040 -0.698  0.035 -0.592  0.030 -0.487  0.025 -0.381  0.020 -0.276  0.015 -0.170  0.010 -0.065  0.005 0.041  -0.000 0.146  -0.005 0.252  -0.010 0.357  -0.015 0.463  -0.020 0.568  -0.025 0.674  -0.030 0.779  -0.035 0.885  -0.040 0.990  -0.045 1.096  -0.050 1.201  -0.056 1.307  -0.061 1.412  -0.066 1.518  -0.071 1.623  -0.076 1.728  -0.081 1.834  -0.086 1.939  -0.091 2.045
1c#apa#apa14#app1493/p  -0.137 0.738  -0.259 0.615  -0.319 0.467  -0.319 0.294  -0.287 0.128  -0.210 -0.027  -0.137 -0.183  -0.137 -0.356  -0.137 -0.529  -0.137 -0.702  -0.137 -0.876  -0.137 -1.049  -0.137 -1.222  -0.137 -1.395  -0.137 -1.568  -0.137 -1.742  -0.137 -1.710  -0.137 -1.537  -0.151 -1.365  -0.179 -1.194  -0.208 -1.024  -0.236 -0.853  -0.264 -0.682  -0.293 -0.511  -0.319 -0.340  -0.319 -0.167  -0.319 0.006  -0.360 0.175  -0.402 0.343  -0.444 0.511  -0.486 0.679  -0.451 0.838  -0.373 0.993  -0.319 1.153  -0.277 1.284  -0.104 1.284  0.070 1.284  0.241 1.278  0.396 1.200  0.551 1.123  0.706 1.045  0.861 0.968  0.956 0.854  0.956 0.680  0.922 0.521  0.800 0.399  0.698 0.259  0.602 0.115  0.506 -0.029  0.410 -0.173
1c#apa#apa14#app1493/s  -0.307 1.156  -0.194 1.156  -0.081 1.156  -0.118 1.156  -0.231 1.156  -0.333 1.131  -0.412 1.051  -0.492 0.971  -0.572 0.891  -0.652 0.812  -0.731 0.732  -0.811 0.652  -0.891 0.572  -0.971 0.493  -1.050 0.413  -1.066 0.333  -0.986 0.253  -0.906 0.174  -0.823 0.102  -0.710 0.102  -0.598 0.102  -0.485 0.102  -0.372 0.102  -0.259 0.102  -0.147 0.102  -0.034 0.102  0.079 0.102  0.192 0.102  0.305 0.102  0.417 0.102  0.505 0.061  0.555 -0.040  0.606 -0.141  0.656 -0.242  0.706 -0.343  0.757 -0.444  0.807 -0.545  0.858 -0.646  0.908 -0.746  0.959 -0.847  1.009 -0.948  0.904 -0.953  0.792 -0.953  0.699 -1.002  0.619 -1.082  0.539 -1.162  0.460 -1.241  0.380 -1.321  0.300 -1.401  0.220 -1.481
1c#apa#apa14#app1493/g  0.240 0.193  0.240 0.361  0.240 0.530  0.240 0.698  0.240 0.867  0.163 0.988  0.012 1.063  -0.141 1.069  -0.298 1.007  -0.454 0.944  -0.610 0.881  -0.767 0.819  -0.898 0.719  -0.971 0.580  -0.971 0.412  -0.926 0.254  -0.850 0.103  -0.730 0.086  -0.580 0.161  -0.429 0.237  -0.279 0.312  -0.128 0.387  0.023 0.463  0.156 0.563  0.275 0.682  0.387 0.798  0.261 0.798  0.391 0.759  0.391 0.591  0.391 0.423  0.391 0.254  0.391 0.086  0.502 -0.014  0.653 -0.089  0.693 -0.232  0.693 -0.401  0.693 -0.569  0.693 -0.738  0.693 -0.906  0.693 -1.075  0.641 -1.221  0.514 -1.325  0.348 -1.358  0.183 -1.391  0.018 -1.425  -0.147 -1.458  -0.314 -1.471  -0.482 -1.471  -0.651 -1.471  -0.819 -1.471
1c#apa#apa14#app1493/a  0.409 -0.278  0.409 -0.107  0.508 0.023  0.610 0.151  0.610 0.322  0.610 0.493  0.533 0.640  0.439 0.782  0.344 0.925  0.249 1.067  0.140 1.197  0.019 1.317  -0.147 1.330  -0.317 1.330  -0.447 1.252  -0.541 1.110  -0.636 0.968  -0.731 0.826  -0.820 0.681  -0.896 0.528  -0.973 0.375  -0.998 0.210  -0.998 0.040  -0.998 -0.131  -0.998 -0.302  -0.998 -0.473  -0.924 -0.626  -0.848 -0.779  -0.740 -0.881  -0.569 -0.881  -0.399 -0.881  -0.277 -0.762  -0.156 -0.642  -0.035 -0.521  0.085 -0.400  0.206 -0.279  0.208 -0.109  0.208 0.061  0.316 0.124  0.443 0.054  0.520 -0.098  0.596 -0.251  0.610 -0.419  0.688 -0.557  0.809 -0.678  0.886 -0.830  0.962 -0.983  1.011 -1.142  1.011 -1.313  1.011 -1.483
1c#apa#apa14#app1493/l  -0.181 1.686  -0.181 1.616  -0.181 1.546  -0.181 1.476  -0.181 1.406  -0.181 1.336  -0.181 1.266  -0.181 1.196  -0.181 1.125  -0.181 1.055  -0.181 0.985  -0.181 0.915  -0.181 0.845  -0.181 0.775  -0.181 0.705  -0.181 0.635  -0.181 0.565  -0.181 0.495  -0.181 0.425  -0.181 0.355  -0.181 0.285  -0.166 0.216  -0.149 0.148  -0.132 0.080  -0.115 0.012  -0.098 -0.056  -0.081 -0.124  -0.064 -0.192  -0.047 -0.260  -0.030 -0.328  -0.013 -0.396  0.004 -0.464  0.021 -0.532  0.038 -0.600  0.055 -0.667  0.086 -0.730  0.117 -0.793  0.149 -0.855  0.180 -0.918  0.211 -0.981  0.243 -1.044  0.274 -1.106  0.305 -1.169  0.337 -1.232  0.368 -1.294  0.400 -1.357  0.431 -1.420  0.462 -1.482  0.494 -1.545  0.525 -1.608
