3#app#app06#app0637/o  -0.361 0.442  -0.361 0.582  -0.361 0.723  -0.295 0.836  -0.252 0.959  -0.173 1.067  -0.143 1.195  -0.052 1.298  0.048 1.397  0.177 1.425  0.208 1.315  0.294 1.260  0.333 1.129  0.395 1.003  0.410 0.866  0.472 0.740  0.512 0.609  0.512 0.468  0.515 0.328  0.577 0.202  0.621 0.072  0.621 -0.068  0.621 -0.209  0.621 -0.350  0.621 -0.490  0.621 -0.631  0.613 -0.768  0.514 -0.867  0.491 -0.999  0.403 -1.103  0.370 -1.230  0.261 -1.305  0.120 -1.305  -0.021 -1.305  -0.161 -1.305  -0.252 -1.256  -0.309 -1.139  -0.409 -1.040  -0.508 -0.940  -0.580 -0.829  -0.580 -0.689  -0.625 -0.559  -0.688 -0.433  -0.689 -0.293  -0.689 -0.152  -0.689 -0.011  -0.689 0.129  -0.689 0.270  -0.689 0.410  -0.689 0.551
3#app#app06#app0637/r  -0.120 0.757  -0.120 0.626  -0.120 0.495  -0.120 0.364  -0.120 0.232  -0.120 0.101  -0.120 -0.030  -0.094 -0.155  -0.035 -0.272  0.003 -0.395  0.003 -0.526  0.031 -0.651  0.090 -0.768  0.125 -0.891  0.168 -1.004  0.261 -1.097  0.354 -1.190  0.478 -1.207  0.494 -1.323  0.581 -1.417  0.617 -1.371  0.553 -1.266  0.460 -1.173  0.369 -1.079  0.310 -0.962  0.251 -0.845  0.160 -0.751  0.089 -0.642  0.030 -0.525  0.003 -0.400  -0.032 -0.277  -0.091 -0.160  -0.150 -0.043  -0.209 0.075  -0.243 0.198  -0.271 0.323  -0.330 0.440  -0.366 0.563  -0.366 0.694  -0.366 0.825  -0.366 0.956  -0.366 1.088  -0.366 1.219  -0.366 1.350  -0.288 1.449  -0.195 1.542  -0.120 1.642  -0.096 1.763  -0.003 1.856  0.125 1.862
3#app#app06#app0637/*  0.400 1.737  0.400 1.443  0.400 1.149  0.304 0.878  0.289 0.587  0.289 0.293  0.289 -0.001  0.275 -0.291  0.178 -0.562  0.161 -0.852  0.067 -1.124  0.067 -1.418  -0.044 -1.666  -0.081 -1.678  -0.156 -1.394  -0.232 -1.110  -0.308 -0.826  -0.384 -0.542  -0.459 -0.259  -0.535 0.025  -0.611 0.309  -0.686 0.593  -0.762 0.877  -0.838 1.161  -0.914 1.445  -0.821 1.403  -0.691 1.163  -0.488 0.953  -0.354 0.715  -0.150 0.505  -0.018 0.242  0.140 -0.002  0.286 -0.255  0.438 -0.484  0.667 -0.640  0.796 -0.880  0.959 -1.039  0.907 -0.943  0.655 -0.792  0.403 -0.641  0.151 -0.490  -0.101 -0.339  -0.354 -0.187  -0.599 -0.032  -0.464 0.206  -0.213 0.320  0.030 0.478  0.295 0.574  0.570 0.655  0.845 0.737
3#app#app06#app0637/Z  -0.862 1.205  -0.737 1.268  -0.575 1.331  -0.412 1.393  -0.228 1.416  -0.047 1.456  0.141 1.456  0.204 1.331  0.266 1.204  0.266 1.016  0.237 0.835  0.181 0.660  0.097 0.492  0.069 0.311  -0.015 0.143  -0.084 -0.032  -0.157 -0.204  -0.241 -0.373  -0.325 -0.541  -0.409 -0.709  -0.486 -0.868  -0.549 -1.030  -0.470 -1.176  -0.282 -1.176  -0.094 -1.176  0.094 -1.176  0.274 -1.140  0.455 -1.112  0.628 -1.050  0.805 -1.000  0.980 -0.963  1.152 -0.925  1.092 -0.854  0.932 -0.754  0.773 -0.655  0.614 -0.555  0.454 -0.455  0.295 -0.356  0.135 -0.256  -0.024 -0.156  -0.183 -0.057  -0.343 0.043  -0.502 0.142  -0.662 0.242  -0.781 0.346  -0.674 0.453  -0.486 0.453  -0.361 0.516  -0.173 0.516  0.015 0.516
3#app#app06#app0637/A  -0.585 1.593  -0.475 1.395  -0.392 1.142  -0.322 0.882  -0.261 0.621  -0.190 0.361  -0.190 0.090  -0.124 -0.171  -0.068 -0.429  -0.059 -0.698  0.007 -0.953  0.007 -1.224  0.007 -1.496  0.007 -1.767  -0.059 -1.650  -0.124 -1.394  -0.190 -1.150  -0.245 -0.886  -0.322 -0.631  -0.388 -0.371  -0.388 -0.100  -0.454 0.161  -0.454 0.432  -0.454 0.703  -0.454 0.974  -0.394 1.238  -0.322 1.481  -0.255 1.725  -0.090 1.589  0.004 1.336  0.139 1.120  0.187 0.863  0.308 0.624  0.353 0.360  0.453 0.109  0.547 -0.145  0.648 -0.396  0.726 -0.640  0.863 -0.854  0.978 -0.966  0.738 -0.840  0.497 -0.714  0.257 -0.588  0.017 -0.462  -0.223 -0.336  -0.327 -0.190  -0.089 -0.101  0.161 -0.031  0.392 0.107  0.600 0.276
3#app#app06#app0637/P  -0.336 0.884  -0.245 0.768  -0.183 0.598  -0.070 0.456  -0.044 0.272  0.040 0.108  0.112 -0.062  0.189 -0.234  0.224 -0.409  0.323 -0.567  0.372 -0.749  0.397 -0.934  0.430 -1.115  0.463 -1.296  0.530 -1.456  0.530 -1.645  0.411 -1.715  0.274 -1.592  0.130 -1.490  0.034 -1.338  -0.070 -1.181  -0.154 -1.013  -0.239 -0.844  -0.323 -0.676  -0.386 -0.499  -0.464 -0.327  -0.483 -0.142  -0.545 0.035  -0.603 0.210  -0.603 0.399  -0.603 0.587  -0.539 0.749  -0.500 0.921  -0.461 1.093  -0.336 1.230  -0.269 1.352  -0.183 1.504  -0.013 1.551  0.142 1.472  0.197 1.306  0.296 1.153  0.330 0.972  0.397 0.799  0.397 0.611  0.397 0.423  0.397 0.234  0.330 0.061  0.263 -0.099  0.119 -0.182  -0.070 -0.182
3#app#app06#app0637/*  0.090 1.640  0.090 1.324  0.090 1.008  0.026 0.708  0.001 0.398  0.001 0.082  0.079 -0.216  0.090 -0.529  0.090 -0.845  0.090 -1.161  0.090 -1.477  0.090 -1.793  0.008 -1.604  -0.092 -1.304  -0.192 -1.004  -0.292 -0.704  -0.392 -0.405  -0.492 -0.105  -0.591 0.195  -0.691 0.495  -0.791 0.794  -0.891 1.094  -0.984 1.395  -0.734 1.461  -0.557 1.214  -0.327 0.999  -0.112 0.791  0.030 0.508  0.218 0.260  0.378 -0.010  0.556 -0.266  0.717 -0.534  0.895 -0.776  0.985 -1.002  0.754 -0.897  0.488 -0.728  0.221 -0.558  -0.046 -0.389  -0.312 -0.219  -0.579 -0.049  -0.845 0.120  -0.921 0.119  -0.605 0.119  -0.289 0.119  0.027 0.119  0.321 0.209  0.636 0.213  0.932 0.298  1.221 0.416  1.522 0.477
3#app#app06#app0637/,  -0.115 1.573  -0.115 1.498  -0.115 1.424  -0.115 1.350  -0.051 1.341  0.023 1.341  0.097 1.341  0.117 1.286  0.117 1.212  0.117 1.138  0.117 1.064  0.117 0.989  0.117 0.915  0.117 0.841  0.117 0.767  0.117 0.693  0.117 0.619  0.117 0.545  0.117 0.471  0.117 0.397  0.117 0.323  0.117 0.248  0.117 0.174  0.117 0.100  0.117 0.026  0.117 -0.048  0.117 -0.122  0.117 -0.196  0.117 -0.270  0.117 -0.344  0.117 -0.418  0.117 -0.493  0.081 -0.552  0.028 -0.604  -0.024 -0.656  -0.077 -0.709  -0.115 -0.767  -0.115 -0.841  -0.115 -0.915  -0.115 -0.989  -0.115 -1.063  -0.115 -1.137  -0.115 -1.212  -0.148 -1.278  -0.181 -1.344  -0.215 -1.410  -0.248 -1.477  -0.281 -1.543  -0.314 -1.609  -0.347 -1.676
3#app#app06#app0637/*  0.245 1.233  0.129 0.967  0.129 0.653  0.129 0.339  0.129 0.025  0.129 -0.289  0.129 -0.603  0.129 -0.917  0.129 -1.231  0.013 -1.497  0.007 -1.752  -0.065 -1.447  -0.136 -1.141  -0.207 -0.835  -0.279 -0.529  -0.350 -0.224  -0.421 0.082  -0.493 0.388  -0.564 0.694  -0.635 1.000  -0.707 1.305  -0.778 1.611  -0.682 1.587  -0.464 1.363  -0.371 1.074  -0.188 0.824  -0.047 0.543  0.136 0.293  0.276 0.012  0.449 -0.246  0.642 -0.488  0.753 -0.760  0.941 -0.957  1.106 -1.135  0.987 -1.084  0.721 -0.916  0.456 -0.749  0.190 -0.581  -0.075 -0.413  -0.341 -0.246  -0.606 -0.078  -0.871 0.090  -0.914 0.200  -0.706 0.306  -0.401 0.361  -0.109 0.476  0.190 0.538  0.456 0.653  0.751 0.733  1.057 0.769
3#app#app06#app0637/K  -0.903 1.355  -0.903 1.157  -0.803 1.058  -0.803 0.860  -0.717 0.682  -0.602 0.528  -0.587 0.336  -0.502 0.172  -0.448 -0.004  -0.342 -0.169  -0.298 -0.357  -0.209 -0.535  -0.100 -0.690  -0.004 -0.849  0.000 -1.045  0.064 -1.218  0.101 -1.401  0.024 -1.335  -0.083 -1.167  -0.189 -1.000  -0.296 -0.832  -0.403 -0.665  -0.509 -0.497  -0.602 -0.325  -0.502 -0.227  -0.502 -0.029  -0.502 0.170  -0.418 0.334  -0.301 0.484  -0.280 0.674  -0.139 0.814  -0.100 0.996  -0.000 1.154  0.140 1.294  0.201 1.243  0.201 1.044  0.201 0.846  0.201 0.647  0.203 0.450  0.344 0.309  0.409 0.136  0.498 -0.041  0.636 -0.184  0.776 -0.324  0.946 -0.393  1.086 -0.534  1.259 -0.629  1.439 -0.685  1.607 -0.755  1.707 -0.854
3#app#app06#app0637/A  -0.163 1.476  -0.063 1.256  -0.063 0.995  -0.063 0.734  -0.063 0.473  -0.063 0.212  -0.052 -0.046  0.037 -0.286  0.037 -0.548  0.037 -0.809  0.037 -1.070  0.037 -1.331  0.037 -1.592  -0.063 -1.811  -0.163 -1.676  -0.263 -1.456  -0.263 -1.195  -0.363 -0.975  -0.363 -0.714  -0.377 -0.455  -0.428 -0.199  -0.463 0.059  -0.463 0.320  -0.463 0.581  -0.463 0.842  -0.463 1.103  -0.379 1.344  -0.345 1.594  -0.159 1.776  -0.017 1.630  0.075 1.400  0.137 1.154  0.219 0.912  0.307 0.667  0.411 0.428  0.437 0.173  0.510 -0.071  0.582 -0.315  0.637 -0.563  0.737 -0.783  0.722 -1.012  0.520 -0.846  0.318 -0.681  0.116 -0.516  -0.086 -0.350  -0.288 -0.185  -0.198 -0.124  -0.003 0.036  0.219 0.167  0.437 0.276
