1b#apa#apa01#app0165/Z  -1.353 0.900  -1.241 0.900  -1.129 0.900  -1.017 0.900  -0.905 0.900  -0.793 0.900  -0.681 0.900  -0.569 0.900  -0.457 0.900  -0.345 0.900  -0.233 0.900  -0.121 0.900  -0.009 0.900  0.103 0.900  0.127 0.813  0.178 0.752  0.290 0.752  0.402 0.752  0.514 0.752  0.571 0.697  0.557 0.591  0.478 0.511  0.399 0.432  0.320 0.353  0.275 0.260  0.266 0.151  0.187 0.072  0.127 -0.015  0.127 -0.127  0.054 -0.209  -0.021 -0.290  -0.021 -0.402  -0.079 -0.490  -0.158 -0.569  -0.169 -0.676  -0.169 -0.788  -0.169 -0.900  -0.169 -1.012  -0.169 -1.124  -0.105 -1.172  0.007 -1.172  0.119 -1.172  0.231 -1.172  0.343 -1.172  0.455 -1.172  0.567 -1.172  0.679 -1.172  0.791 -1.172  0.903 -1.172  1.015 -1.172
1b#apa#apa01#app0165/A  -1.121 -0.923  -1.081 -1.113  -0.931 -1.034  -0.931 -0.804  -0.931 -0.575  -0.742 -0.535  -0.742 -0.306  -0.679 -0.102  -0.552 0.075  -0.552 0.304  -0.460 0.496  -0.362 0.684  -0.362 0.914  -0.362 1.143  -0.342 1.352  -0.173 1.412  -0.073 1.542  0.017 1.402  0.017 1.173  0.206 1.133  0.206 0.903  0.206 0.674  0.312 0.488  0.396 0.294  0.502 0.108  0.586 -0.087  0.586 -0.316  0.587 -0.544  0.775 -0.585  0.832 -0.791  0.965 -0.965  0.965 -1.195  1.086 -1.303  1.155 -1.141  1.145 -0.917  0.957 -0.785  0.769 -0.654  0.581 -0.522  0.393 -0.391  0.206 -0.259  0.018 -0.128  -0.170 0.004  -0.358 0.136  -0.546 0.267  -0.734 0.399  -0.711 0.214  -0.482 0.214  -0.252 0.214  -0.023 0.214  0.206 0.214
1b#apa#apa01#app0165/P  -0.612 0.507  -0.474 0.438  -0.474 0.231  -0.335 0.081  -0.256 -0.047  -0.197 -0.195  -0.197 -0.403  -0.093 -0.567  -0.058 -0.760  -0.058 -0.967  -0.045 -1.169  0.080 -1.324  0.080 -1.531  0.202 -1.546  0.087 -1.373  -0.028 -1.201  -0.143 -1.028  -0.258 -0.856  -0.373 -0.683  -0.488 -0.511  -0.603 -0.338  -0.717 -0.166  -0.832 0.006  -0.947 0.179  -1.062 0.351  -1.145 0.507  -1.027 0.596  -0.869 0.645  -0.688 0.708  -0.512 0.783  -0.335 0.814  -0.236 0.922  -0.037 0.943  0.121 1.060  0.328 1.060  0.535 1.060  0.743 1.060  0.811 0.922  1.019 0.922  1.088 0.783  1.188 0.677  1.188 0.469  1.188 0.262  1.064 0.106  1.002 -0.047  0.829 -0.130  0.682 -0.276  0.495 -0.324  0.287 -0.324  0.080 -0.324
1b#apa#apa01#app0165/K  -0.670 1.353  -0.583 1.212  -0.529 1.037  -0.529 0.808  -0.529 0.580  -0.529 0.352  -0.529 0.123  -0.529 -0.105  -0.624 -0.294  -0.670 -0.504  -0.670 -0.732  -0.670 -0.960  -0.669 -1.187  -0.529 -1.276  -0.376 -1.295  -0.301 -1.080  -0.225 -0.864  -0.150 -0.649  -0.074 -0.433  0.001 -0.217  0.077 -0.002  0.152 0.214  0.227 0.429  0.303 0.645  0.378 0.861  0.454 1.076  0.529 1.292  0.600 1.479  0.498 1.353  0.411 1.212  0.257 1.091  0.177 0.881  0.081 0.692  -0.106 0.624  -0.216 0.506  -0.247 0.308  -0.388 0.221  -0.298 0.083  -0.106 0.046  0.018 -0.058  0.226 -0.108  0.388 -0.269  0.459 -0.468  0.600 -0.556  0.672 -0.767  0.741 -0.979  0.741 -1.208  0.849 -1.328  0.882 -1.523  1.023 -1.611
1b#apa#apa01#app0165/A  -0.907 -1.107  -0.907 -1.195  -1.035 -1.107  -1.029 -0.926  -0.907 -0.761  -0.907 -0.545  -0.785 -0.379  -0.755 -0.175  -0.755 0.041  -0.688 0.241  -0.603 0.437  -0.603 0.653  -0.493 0.824  -0.451 1.023  -0.451 1.239  -0.451 1.455  -0.300 1.425  -0.188 1.320  -0.123 1.169  0.004 1.080  0.156 1.015  0.156 0.799  0.286 0.713  0.307 0.519  0.383 0.334  0.459 0.149  0.582 -0.016  0.627 -0.213  0.763 -0.373  0.763 -0.590  0.914 -0.654  0.914 -0.870  0.914 -1.086  1.066 -1.151  1.066 -1.151  1.066 -0.935  1.006 -0.744  0.840 -0.608  0.655 -0.497  0.470 -0.385  0.284 -0.274  0.099 -0.163  -0.086 -0.052  -0.272 0.059  -0.457 0.171  -0.557 0.258  -0.341 0.258  -0.125 0.258  0.091 0.258  0.307 0.258
1b#apa#apa01#app0165/P  -0.943 1.198  -0.792 1.047  -0.641 0.896  -0.584 0.706  -0.466 0.541  -0.404 0.352  -0.404 0.139  -0.404 -0.075  -0.404 -0.289  -0.345 -0.478  -0.225 -0.642  -0.225 -0.856  -0.225 -1.069  -0.122 -1.241  -0.045 -1.422  -0.045 -1.636  -0.092 -1.511  -0.151 -1.305  -0.210 -1.100  -0.268 -0.894  -0.327 -0.689  -0.386 -0.483  -0.445 -0.278  -0.503 -0.072  -0.562 0.133  -0.621 0.339  -0.680 0.544  -0.738 0.750  -0.642 0.839  -0.428 0.839  -0.270 0.973  -0.075 1.018  0.139 1.018  0.352 1.018  0.566 1.018  0.749 0.943  0.919 0.839  1.033 0.739  1.128 0.564  1.213 0.386  1.213 0.172  1.213 -0.042  1.075 -0.198  1.033 -0.395  0.844 -0.419  0.631 -0.419  0.417 -0.419  0.203 -0.419  -0.011 -0.419  -0.045 -0.240
1b#apa#apa01#app0165/O  -0.145 0.919  -0.245 0.818  -0.306 0.701  -0.344 0.596  -0.487 0.596  -0.628 0.596  -0.628 0.453  -0.717 0.347  -0.790 0.235  -0.790 0.092  -0.791 -0.049  -0.934 -0.049  -0.951 -0.174  -0.951 -0.317  -0.951 -0.459  -0.902 -0.582  -0.801 -0.682  -0.790 -0.820  -0.682 -0.855  -0.539 -0.855  -0.417 -0.905  -0.317 -1.005  -0.178 -1.016  -0.036 -1.016  0.107 -1.016  0.249 -1.016  0.392 -1.016  0.500 -0.982  0.516 -0.855  0.658 -0.855  0.760 -0.757  0.823 -0.640  0.823 -0.498  0.823 -0.355  0.823 -0.213  0.823 -0.070  0.823 0.073  0.823 0.215  0.823 0.358  0.777 0.481  0.676 0.582  0.662 0.719  0.589 0.831  0.488 0.932  0.387 1.032  0.339 1.155  0.283 1.242  0.178 1.279  0.159 1.403  0.017 1.403
1b#apa#apa01#app0165/W  -1.574 0.736  -1.443 0.707  -1.402 0.564  -1.289 0.451  -1.181 0.337  -1.156 0.187  -1.050 0.072  -1.050 -0.088  -0.983 -0.181  -0.919 -0.277  -0.795 -0.312  -0.788 -0.465  -0.752 -0.610  -0.657 -0.730  -0.603 -0.836  -0.526 -0.754  -0.447 -0.627  -0.395 -0.489  -0.395 -0.329  -0.294 -0.211  -0.264 -0.064  -0.253 0.091  -0.140 0.204  -0.115 0.343  -0.002 0.389  -0.002 0.399  0.102 0.343  0.129 0.210  0.129 0.051  0.171 -0.092  0.260 -0.215  0.260 -0.374  0.351 -0.443  0.391 -0.563  0.539 -0.574  0.699 -0.574  0.859 -0.574  0.915 -0.471  1.046 -0.442  1.046 -0.283  1.046 -0.123  1.108 0.011  1.177 0.142  1.177 0.302  1.177 0.461  1.177 0.621  1.177 0.781  1.177 0.941  1.177 1.100  1.177 1.260
1b#apa#apa01#app0165/K  -0.831 1.195  -0.672 1.125  -0.672 0.897  -0.672 0.668  -0.672 0.440  -0.696 0.221  -0.831 0.048  -0.831 -0.180  -0.831 -0.409  -0.742 -0.549  -0.672 -0.708  -0.672 -0.936  -0.672 -1.165  -0.514 -1.131  -0.514 -0.903  -0.442 -0.688  -0.358 -0.475  -0.273 -0.263  -0.188 -0.051  -0.103 0.161  -0.018 0.374  0.067 0.586  0.152 0.798  0.237 1.010  0.322 1.223  0.406 1.435  0.438 1.368  0.438 1.139  0.438 0.911  0.279 0.841  0.203 0.644  0.041 0.482  -0.120 0.320  -0.282 0.159  -0.355 -0.040  -0.477 -0.073  -0.249 -0.073  -0.020 -0.073  0.209 -0.073  0.437 -0.073  0.596 -0.143  0.736 -0.232  0.755 -0.441  0.876 -0.549  0.913 -0.740  1.016 -0.866  1.072 -1.039  1.131 -1.243  1.230 -1.430  1.389 -1.500
1b#apa#apa01#app0165/E  -0.839 1.223  -0.684 1.133  -0.503 1.068  -0.258 1.068  -0.013 1.068  0.232 1.068  0.477 1.068  0.722 1.068  0.758 1.048  0.518 1.000  0.278 0.952  0.038 0.904  -0.203 0.856  -0.443 0.808  -0.683 0.759  -0.595 0.605  -0.530 0.425  -0.530 0.180  -0.530 -0.065  -0.672 -0.168  -0.684 -0.401  -0.684 -0.646  -0.684 -0.891  -0.490 -0.941  -0.245 -0.941  0.000 -0.941  0.091 -1.096  0.336 -1.096  0.581 -1.096  0.791 -1.180  1.007 -1.250  1.252 -1.250  1.311 -1.086  1.105 -0.954  0.899 -0.821  0.693 -0.689  0.486 -0.556  0.280 -0.424  0.074 -0.291  -0.132 -0.159  -0.338 -0.026  -0.544 0.106  -0.750 0.239  -0.740 0.197  -0.518 0.141  -0.375 0.039  -0.183 -0.014  0.062 -0.014  0.307 -0.014  0.552 -0.014
1b#apa#apa01#app0165/R  -0.363 1.210  -0.363 0.950  -0.350 0.703  -0.194 0.601  -0.194 0.341  -0.194 0.082  -0.194 -0.177  -0.194 -0.436  -0.194 -0.696  -0.194 -0.955  -0.194 -1.214  -0.194 -1.473  -0.217 -1.250  -0.299 -1.005  -0.381 -0.759  -0.463 -0.513  -0.545 -0.267  -0.627 -0.021  -0.709 0.225  -0.791 0.471  -0.873 0.717  -0.955 0.963  -1.037 1.209  -0.779 1.210  -0.520 1.210  -0.260 1.210  -0.001 1.210  0.258 1.210  0.457 1.065  0.690 1.001  0.818 0.795  0.818 0.535  0.818 0.276  0.650 0.186  0.547 0.029  0.312 0.004  0.197 -0.140  -0.002 -0.285  -0.251 -0.309  -0.258 -0.204  -0.025 -0.140  0.234 -0.140  0.324 -0.309  0.553 -0.381  0.650 -0.601  0.801 -0.797  0.818 -1.049  0.818 -1.309  0.896 -1.490  1.156 -1.490
