1b#apa#apa01#app0140/O  0.416 0.659  0.402 0.820  0.255 0.847  0.214 0.981  0.040 0.981  -0.135 0.981  -0.229 0.901  -0.323 0.820  -0.466 0.744  -0.605 0.659  -0.712 0.592  -0.712 0.417  -0.712 0.243  -0.712 0.068  -0.833 0.014  -0.874 -0.120  -0.874 -0.294  -0.874 -0.469  -0.874 -0.643  -0.847 -0.792  -0.712 -0.831  -0.712 -1.006  -0.646 -1.114  -0.551 -1.194  -0.458 -1.275  -0.283 -1.275  -0.109 -1.275  0.066 -1.275  0.093 -1.128  0.254 -1.114  0.378 -0.991  0.501 -0.868  0.624 -0.744  0.738 -0.617  0.757 -0.450  0.881 -0.327  0.899 -0.160  0.899 0.015  0.899 0.189  0.872 0.337  0.738 0.377  0.738 0.552  0.671 0.659  0.577 0.740  0.483 0.820  0.416 0.928  0.295 0.981  0.120 0.981  0.093 0.834  -0.068 0.820
1b#apa#apa01#app0140/N  -0.916 1.061  -0.916 0.860  -0.916 0.659  -0.779 0.595  -0.760 0.413  -0.760 0.211  -0.760 0.010  -0.760 -0.191  -0.760 -0.392  -0.760 -0.593  -0.760 -0.794  -0.626 -0.939  -0.619 -0.790  -0.635 -0.589  -0.652 -0.389  -0.669 -0.189  -0.686 0.012  -0.702 0.212  -0.719 0.413  -0.736 0.613  -0.752 0.813  -0.652 0.906  -0.604 0.752  -0.463 0.609  -0.321 0.467  -0.287 0.284  -0.101 0.247  0.018 0.095  0.096 -0.027  0.261 -0.115  0.329 -0.288  0.479 -0.338  0.513 -0.523  0.640 -0.671  0.688 -0.853  0.795 -1.009  0.890 -1.116  1.091 -1.116  1.106 -0.931  1.106 -0.730  1.106 -0.529  1.106 -0.327  1.106 -0.126  1.034 0.045  0.951 0.211  0.951 0.413  0.951 0.614  0.951 0.815  0.951 1.016  0.951 1.217
1b#apa#apa01#app0140/T  -0.187 0.753  -0.187 0.578  -0.016 0.574  -0.008 0.407  -0.008 0.232  -0.008 0.057  0.101 -0.073  0.171 -0.218  0.171 -0.393  0.171 -0.568  0.234 -0.681  0.351 -0.739  0.351 -0.914  0.351 -1.089  0.351 -1.264  0.351 -1.439  0.329 -1.548  0.224 -1.408  0.119 -1.268  0.014 -1.128  -0.091 -0.988  -0.196 -0.848  -0.301 -0.708  -0.406 -0.568  -0.511 -0.428  -0.616 -0.289  -0.721 -0.149  -0.826 -0.009  -0.931 0.131  -1.036 0.271  -1.141 0.411  -1.246 0.551  -1.115 0.574  -0.940 0.574  -0.766 0.574  -0.591 0.574  -0.416 0.574  -0.241 0.574  -0.066 0.574  0.109 0.574  0.284 0.574  0.427 0.650  0.560 0.753  0.735 0.753  0.910 0.753  1.068 0.770  1.081 0.932  1.255 0.932  1.426 0.936  1.426 1.111
1b#apa#apa01#app0140/H  -1.156 1.135  -1.156 0.859  -0.974 0.765  -0.974 0.489  -0.837 0.269  -0.792 0.011  -0.704 -0.228  -0.610 -0.466  -0.610 -0.742  -0.610 -1.018  -0.428 -1.113  -0.428 -1.389  -0.384 -1.169  -0.336 -0.897  -0.288 -0.625  -0.240 -0.352  -0.192 -0.080  -0.144 0.192  -0.096 0.464  -0.048 0.736  -0.000 1.008  0.048 1.280  0.096 1.552  0.264 1.682  0.301 1.443  0.452 1.318  0.483 1.073  0.483 0.796  0.661 0.594  0.665 0.319  0.665 0.043  0.848 -0.051  0.852 -0.326  1.030 -0.529  1.030 -0.805  1.030 -1.081  0.931 -1.156  0.713 -0.987  0.495 -0.817  0.277 -0.647  0.059 -0.478  -0.159 -0.308  -0.377 -0.139  -0.595 0.031  -0.534 -0.140  -0.258 -0.140  0.019 -0.140  0.295 -0.140  0.571 -0.140  0.665 0.042
1b#apa#apa01#app0140/E  -0.665 0.991  -0.461 0.991  -0.256 0.991  -0.052 0.991  0.107 1.101  0.302 1.123  0.507 1.123  0.696 1.160  0.727 1.231  0.536 1.157  0.345 1.084  0.154 1.010  -0.036 0.937  -0.227 0.864  -0.418 0.790  -0.609 0.717  -0.800 0.643  -0.930 0.528  -0.833 0.364  -0.689 0.219  -0.665 0.025  -0.665 -0.180  -0.665 -0.384  -0.665 -0.589  -0.665 -0.793  -0.664 -0.996  -0.459 -0.996  -0.255 -0.996  -0.050 -0.996  0.154 -0.996  0.359 -0.996  0.563 -0.996  0.768 -0.996  0.972 -0.996  1.177 -0.996  1.268 -0.969  1.085 -0.878  0.902 -0.787  0.719 -0.695  0.536 -0.604  0.353 -0.512  0.170 -0.421  -0.012 -0.329  -0.195 -0.238  -0.378 -0.146  -0.501 -0.069  -0.400 -0.173  -0.237 -0.171  -0.075 -0.069  0.129 -0.069
1b#apa#apa01#app0140/V  -1.321 1.087  -1.224 0.991  -1.132 0.893  -1.132 0.757  -1.043 0.709  -0.917 0.683  -0.820 0.587  -0.753 0.479  -0.753 0.342  -0.628 0.330  -0.564 0.259  -0.550 0.128  -0.454 0.031  -0.374 -0.072  -0.374 -0.209  -0.298 -0.314  -0.202 -0.410  -0.185 -0.539  -0.143 -0.658  -0.046 -0.755  0.004 -0.870  0.004 -1.007  0.004 -1.143  0.100 -1.184  0.193 -1.227  0.193 -1.363  0.193 -1.247  0.193 -1.111  0.193 -0.974  0.193 -0.838  0.193 -0.701  0.245 -0.616  0.381 -0.616  0.383 -0.481  0.383 -0.345  0.383 -0.209  0.383 -0.072  0.462 0.031  0.559 0.128  0.572 0.259  0.572 0.395  0.580 0.528  0.677 0.624  0.761 0.726  0.761 0.862  0.761 0.999  0.795 1.121  0.891 1.218  0.951 1.330  0.951 1.466
1b#apa#apa01#app0140/E  -0.514 1.002  -0.317 1.002  -0.120 1.002  0.076 1.002  0.273 1.002  0.369 1.102  0.520 1.149  0.716 1.149  0.709 1.149  0.512 1.149  0.315 1.149  0.119 1.149  -0.078 1.149  -0.275 1.149  -0.472 1.149  -0.514 0.994  -0.514 0.798  -0.514 0.601  -0.514 0.404  -0.514 0.207  -0.590 0.042  -0.661 -0.126  -0.661 -0.322  -0.661 -0.519  -0.661 -0.716  -0.661 -0.913  -0.611 -1.060  -0.414 -1.060  -0.218 -1.060  -0.021 -1.060  0.176 -1.060  0.373 -1.060  0.570 -1.060  0.766 -1.060  0.963 -1.060  1.106 -1.005  1.011 -0.869  0.832 -0.788  0.653 -0.706  0.474 -0.625  0.294 -0.544  0.115 -0.462  -0.064 -0.381  -0.243 -0.299  -0.422 -0.218  -0.418 -0.176  -0.367 -0.322  -0.171 -0.323  0.025 -0.323  0.222 -0.323
1b#apa#apa01#app0140/L  -0.735 1.543  -0.639 1.543  -0.556 1.529  -0.556 1.433  -0.528 1.364  -0.431 1.364  -0.377 1.322  -0.377 1.225  -0.377 1.129  -0.377 1.032  -0.377 0.935  -0.377 0.839  -0.377 0.742  -0.377 0.645  -0.377 0.549  -0.377 0.452  -0.377 0.355  -0.377 0.259  -0.377 0.162  -0.377 0.065  -0.377 -0.031  -0.377 -0.128  -0.377 -0.225  -0.377 -0.322  -0.377 -0.418  -0.316 -0.490  -0.248 -0.558  -0.197 -0.634  -0.197 -0.731  -0.158 -0.788  -0.061 -0.788  -0.018 -0.735  -0.018 -0.638  0.049 -0.609  0.146 -0.609  0.243 -0.609  0.339 -0.609  0.436 -0.609  0.520 -0.621  0.520 -0.718  0.547 -0.788  0.644 -0.788  0.740 -0.788  0.837 -0.788  0.934 -0.788  1.030 -0.788  1.127 -0.788  1.224 -0.788  1.238 -0.705  1.238 -0.609
1b#apa#apa01#app0140/V  -1.049 0.991  -1.049 0.864  -0.961 0.825  -0.883 0.776  -0.883 0.648  -0.883 0.521  -0.785 0.492  -0.716 0.433  -0.716 0.306  -0.716 0.179  -0.716 0.051  -0.647 -0.007  -0.550 -0.037  -0.550 -0.164  -0.550 -0.291  -0.550 -0.418  -0.522 -0.534  -0.432 -0.624  -0.384 -0.731  -0.384 -0.858  -0.384 -0.986  -0.275 -1.005  -0.217 -1.074  -0.187 -1.171  -0.060 -1.171  0.032 -1.087  0.115 -0.994  0.115 -0.867  0.214 -0.838  0.281 -0.779  0.296 -0.658  0.386 -0.568  0.448 -0.466  0.448 -0.339  0.538 -0.249  0.614 -0.153  0.614 -0.026  0.690 0.069  0.780 0.159  0.780 0.287  0.780 0.414  0.780 0.541  0.780 0.668  0.780 0.795  0.850 0.894  0.940 0.984  0.947 1.108  0.947 1.235  0.947 1.363  0.947 1.490
1b#apa#apa01#app0140/E  -0.742 0.965  -0.553 0.965  -0.363 0.965  -0.174 0.965  0.016 0.965  0.206 0.965  0.351 1.010  0.429 1.121  0.618 1.121  0.808 1.121  0.642 1.102  0.454 1.081  0.265 1.060  0.077 1.039  -0.112 1.018  -0.300 0.997  -0.488 0.976  -0.586 0.874  -0.586 0.684  -0.586 0.495  -0.586 0.305  -0.586 0.115  -0.586 -0.074  -0.586 -0.264  -0.586 -0.453  -0.586 -0.643  -0.586 -0.833  -0.586 -1.022  -0.440 -1.065  -0.274 -1.089  -0.217 -1.221  -0.027 -1.221  0.163 -1.221  0.351 -1.220  0.386 -1.065  0.575 -1.065  0.765 -1.065  0.954 -1.065  0.965 -0.902  0.804 -0.802  0.643 -0.702  0.483 -0.601  0.322 -0.501  0.161 -0.400  0.000 -0.300  -0.161 -0.199  -0.218 -0.128  -0.118 -0.217  0.005 -0.284  0.195 -0.284
1b#apa#apa01#app0140/T  -0.171 0.491  -0.023 0.475  -0.001 0.321  0.114 0.206  0.126 0.049  0.271 0.031  0.271 -0.132  0.271 -0.295  0.271 -0.459  0.271 -0.622  0.271 -0.785  0.271 -0.948  0.271 -1.111  0.271 -1.275  0.271 -1.438  0.255 -1.547  0.164 -1.411  0.074 -1.276  -0.017 -1.140  -0.107 -1.004  -0.198 -0.868  -0.288 -0.733  -0.379 -0.597  -0.469 -0.461  -0.560 -0.325  -0.650 -0.189  -0.741 -0.054  -0.831 0.082  -0.922 0.218  -1.012 0.354  -1.103 0.489  -1.193 0.625  -1.055 0.638  -0.892 0.638  -0.728 0.638  -0.565 0.638  -0.402 0.638  -0.239 0.638  -0.076 0.638  0.087 0.638  0.251 0.638  0.372 0.739  0.516 0.786  0.679 0.786  0.842 0.786  1.006 0.786  1.122 0.900  1.271 0.933  1.434 0.933  1.597 0.933
