1c#apa#apa13#app1353/x  1.379 1.331  1.309 1.212  1.160 1.112  1.098 0.973  0.941 0.893  0.842 0.734  0.743 0.575  0.629 0.426  0.544 0.257  0.409 0.122  0.275 -0.012  0.158 -0.158  0.073 -0.328  -0.058 -0.464  -0.192 -0.598  -0.313 -0.742  -0.398 -0.912  -0.453 -1.056  -0.530 -1.169  -0.536 -1.230  -0.554 -1.041  -0.572 -0.852  -0.590 -0.664  -0.608 -0.475  -0.626 -0.286  -0.644 -0.097  -0.662 0.092  -0.680 0.281  -0.698 0.470  -0.716 0.659  -0.734 0.848  -0.752 1.036  -0.755 1.212  -0.590 1.152  -0.530 0.987  -0.490 0.814  -0.376 0.665  -0.291 0.496  -0.167 0.356  -0.121 0.172  -0.075 -0.012  0.017 -0.170  0.120 -0.327  0.216 -0.489  0.350 -0.623  0.484 -0.757  0.591 -0.911  0.691 -1.056  0.783 -1.154  0.902 -1.294
1c#apa#apa13#app1353/y  1.430 1.290  1.361 1.186  1.302 1.058  1.179 0.936  1.057 0.813  0.935 0.691  0.848 0.543  0.736 0.422  0.586 0.339  0.482 0.200  0.378 0.061  0.276 -0.079  0.199 -0.233  0.121 -0.388  0.026 -0.531  -0.096 -0.653  -0.188 -0.798  -0.265 -0.953  -0.343 -1.108  -0.447 -1.238  -0.447 -1.411  -0.551 -1.541  -0.551 -1.545  -0.551 -1.372  -0.551 -1.199  -0.551 -1.025  -0.551 -0.852  -0.551 -0.679  -0.551 -0.506  -0.551 -0.333  -0.551 -0.159  -0.551 0.014  -0.551 0.187  -0.551 0.360  -0.551 0.534  -0.551 0.707  -0.551 0.880  -0.551 1.053  -0.407 1.082  -0.239 1.077  -0.239 0.904  -0.138 0.772  -0.030 0.705  -0.010 0.540  0.074 0.401  0.088 0.234  0.179 0.098  0.259 -0.042  0.318 -0.170  0.387 -0.274
1c#apa#apa13#app1353/z  -0.564 1.154  -0.478 1.187  -0.413 1.241  -0.295 1.241  -0.176 1.241  -0.057 1.241  0.061 1.241  0.180 1.241  0.299 1.241  0.408 1.218  0.472 1.126  0.472 1.007  0.467 0.891  0.383 0.807  0.299 0.723  0.276 0.614  0.193 0.530  0.109 0.446  0.025 0.362  -0.056 0.276  -0.122 0.177  -0.188 0.078  -0.275 0.004  -0.381 -0.049  -0.467 -0.130  -0.524 -0.234  -0.585 -0.334  -0.669 -0.418  -0.753 -0.502  -0.823 -0.592  -0.823 -0.710  -0.823 -0.829  -0.719 -0.884  -0.609 -0.918  -0.490 -0.918  -0.372 -0.918  -0.253 -0.918  -0.134 -0.918  -0.016 -0.918  0.103 -0.918  0.222 -0.918  0.340 -0.918  0.451 -0.885  0.557 -0.832  0.676 -0.832  0.788 -0.803  0.894 -0.750  1.012 -0.745  1.130 -0.745  1.249 -0.745
1c#apa#apa13#app1353/z  -1.132 0.923  -1.016 0.923  -0.900 0.923  -0.784 0.923  -0.668 0.923  -0.552 0.923  -0.447 0.948  -0.359 1.017  -0.243 1.017  -0.127 1.017  -0.011 1.017  0.104 1.017  0.220 1.017  0.336 1.017  0.452 1.017  0.472 0.921  0.472 0.805  0.472 0.689  0.425 0.593  0.343 0.511  0.262 0.429  0.180 0.347  0.098 0.265  0.016 0.183  -0.066 0.101  -0.148 0.019  -0.230 -0.063  -0.312 -0.145  -0.394 -0.227  -0.471 -0.311  -0.471 -0.427  -0.471 -0.543  -0.471 -0.659  -0.471 -0.775  -0.451 -0.870  -0.347 -0.900  -0.258 -0.965  -0.142 -0.965  -0.033 -0.995  0.071 -1.047  0.184 -1.059  0.300 -1.059  0.416 -1.059  0.532 -1.059  0.648 -1.059  0.764 -1.059  0.879 -1.059  0.995 -1.059  1.111 -1.059  1.227 -1.059
1c#apa#apa13#app1353/y  1.495 1.226  1.388 1.119  1.281 1.012  1.173 0.904  1.066 0.797  0.995 0.664  0.928 0.529  0.860 0.393  0.765 0.278  0.658 0.170  0.577 0.045  0.509 -0.091  0.441 -0.226  0.356 -0.349  0.249 -0.457  0.158 -0.575  0.090 -0.710  -0.009 -0.824  -0.098 -0.945  -0.182 -1.071  -0.253 -1.201  -0.253 -1.353  -0.330 -1.472  -0.380 -1.401  -0.406 -1.251  -0.432 -1.102  -0.458 -0.953  -0.484 -0.804  -0.510 -0.655  -0.536 -0.505  -0.562 -0.356  -0.588 -0.207  -0.614 -0.058  -0.640 0.092  -0.666 0.241  -0.692 0.390  -0.717 0.539  -0.743 0.688  -0.769 0.838  -0.795 0.987  -0.675 0.992  -0.567 0.885  -0.456 0.789  -0.321 0.748  -0.214 0.641  -0.107 0.534  -0.034 0.413  0.041 0.302  0.167 0.218  0.293 0.134
1c#apa#apa13#app1353/w  -1.359 0.524  -1.316 0.615  -1.268 0.701  -1.268 0.576  -1.268 0.442  -1.268 0.307  -1.268 0.173  -1.268 0.038  -1.216 -0.075  -1.177 -0.193  -1.122 -0.315  -1.033 -0.388  -0.899 -0.388  -0.764 -0.388  -0.630 -0.388  -0.495 -0.388  -0.386 -0.327  -0.291 -0.232  -0.196 -0.137  -0.101 -0.042  -0.006 0.054  0.009 0.182  0.009 0.317  -0.083 0.360  -0.083 0.370  -0.083 0.236  -0.083 0.102  -0.083 -0.033  -0.083 -0.167  -0.015 -0.274  0.081 -0.369  0.176 -0.464  0.304 -0.479  0.438 -0.479  0.573 -0.479  0.707 -0.479  0.842 -0.479  0.960 -0.440  1.073 -0.388  1.177 -0.314  1.272 -0.219  1.367 -0.124  1.376 0.007  1.376 0.141  1.376 0.276  1.376 0.410  1.297 0.512  1.202 0.607  1.107 0.702  1.012 0.797
1c#apa#apa13#app1353/h  -0.556 1.932  -0.556 1.798  -0.556 1.664  -0.556 1.530  -0.556 1.396  -0.556 1.262  -0.556 1.128  -0.556 0.994  -0.556 0.860  -0.556 0.726  -0.556 0.592  -0.556 0.458  -0.556 0.324  -0.556 0.190  -0.556 0.056  -0.556 -0.078  -0.556 -0.212  -0.540 -0.340  -0.453 -0.437  -0.453 -0.571  -0.401 -0.684  -0.288 -0.734  -0.248 -0.640  -0.232 -0.513  -0.145 -0.415  -0.126 -0.286  -0.066 -0.166  0.015 -0.061  0.091 0.047  0.151 0.167  0.168 0.294  0.288 0.354  0.413 0.394  0.470 0.316  0.470 0.182  0.470 0.049  0.470 -0.085  0.470 -0.219  0.470 -0.353  0.470 -0.487  0.470 -0.621  0.557 -0.719  0.579 -0.844  0.674 -0.939  0.696 -1.063  0.797 -1.144  0.916 -1.180  1.022 -1.247  1.085 -1.318  1.187 -1.350
1c#apa#apa13#app1353/e  -0.639 -0.448  -0.523 -0.563  -0.370 -0.561  -0.253 -0.448  -0.101 -0.419  0.020 -0.310  0.166 -0.236  0.300 -0.146  0.416 -0.030  0.532 0.086  0.648 0.202  0.764 0.318  0.880 0.434  0.996 0.549  1.018 0.704  0.990 0.856  0.891 0.979  0.831 1.082  0.667 1.082  0.503 1.082  0.339 1.082  0.175 1.082  0.011 1.082  -0.150 1.071  -0.297 0.998  -0.431 0.908  -0.547 0.792  -0.663 0.676  -0.778 0.560  -0.894 0.444  -0.894 0.280  -0.946 0.138  -1.021 0.005  -1.021 -0.159  -1.021 -0.323  -0.994 -0.475  -0.878 -0.591  -0.761 -0.705  -0.614 -0.779  -0.463 -0.830  -0.308 -0.868  -0.161 -0.941  -0.001 -0.957  0.163 -0.957  0.327 -0.957  0.490 -0.957  0.654 -0.957  0.818 -0.957  0.982 -0.957  1.146 -0.957
1c#apa#apa13#app1353/e  -0.782 -0.111  -0.652 -0.139  -0.596 -0.241  -0.438 -0.241  -0.280 -0.241  -0.122 -0.241  0.025 -0.213  0.137 -0.101  0.249 0.010  0.387 0.035  0.418 0.180  0.517 0.297  0.517 0.456  0.517 0.614  0.517 0.772  0.516 0.930  0.405 1.041  0.384 1.189  0.225 1.189  0.067 1.189  -0.091 1.189  -0.249 1.189  -0.365 1.086  -0.499 1.006  -0.640 0.935  -0.755 0.827  -0.782 0.680  -0.848 0.537  -0.912 0.394  -0.912 0.236  -0.912 0.078  -0.912 -0.080  -0.822 -0.201  -0.710 -0.313  -0.599 -0.425  -0.477 -0.523  -0.336 -0.594  -0.194 -0.665  -0.053 -0.735  0.096 -0.785  0.250 -0.824  0.403 -0.862  0.546 -0.919  0.662 -1.021  0.820 -1.021  0.978 -1.021  1.107 -1.091  1.241 -1.151  1.399 -1.151  1.557 -1.151
1c#apa#apa13#app1353/z  0.047 1.412  0.157 1.412  0.266 1.412  0.375 1.412  0.413 1.339  0.503 1.320  0.595 1.303  0.595 1.194  0.595 1.085  0.545 0.996  0.468 0.919  0.390 0.841  0.313 0.764  0.236 0.687  0.158 0.609  0.081 0.532  0.004 0.455  -0.074 0.377  -0.155 0.306  -0.253 0.257  -0.344 0.198  -0.421 0.121  -0.499 0.044  -0.576 -0.034  -0.592 -0.136  -0.666 -0.215  -0.743 -0.292  -0.775 -0.389  -0.834 -0.474  -0.866 -0.570  -0.866 -0.679  -0.775 -0.697  -0.748 -0.780  -0.639 -0.780  -0.529 -0.780  -0.420 -0.780  -0.340 -0.850  -0.239 -0.871  -0.130 -0.871  -0.020 -0.871  0.089 -0.871  0.198 -0.871  0.308 -0.871  0.417 -0.871  0.527 -0.871  0.636 -0.871  0.745 -0.871  0.846 -0.906  0.944 -0.955  1.052 -0.963
1c#apa#apa13#app1353/e  -0.999 -0.108  -0.827 -0.108  -0.679 -0.165  -0.538 -0.240  -0.366 -0.240  -0.199 -0.230  -0.078 -0.109  0.054 -0.069  0.134 0.023  0.293 0.077  0.447 0.154  0.569 0.274  0.713 0.309  0.757 0.463  0.844 0.598  0.844 0.770  0.753 0.904  0.632 1.025  0.481 1.076  0.309 1.076  0.138 1.076  -0.034 1.076  -0.206 1.076  -0.328 0.957  -0.488 0.929  -0.609 0.807  -0.731 0.686  -0.852 0.565  -0.974 0.443  -0.999 0.282  -0.999 0.110  -0.999 -0.061  -0.999 -0.233  -0.975 -0.395  -0.850 -0.512  -0.697 -0.589  -0.536 -0.635  -0.376 -0.683  -0.222 -0.760  -0.052 -0.767  0.113 -0.796  0.266 -0.873  0.432 -0.898  0.604 -0.898  0.775 -0.898  0.947 -0.898  1.119 -0.898  1.291 -0.898  1.462 -0.898  1.634 -0.898
