1c#apa#apa00#app0070/t  0.420 1.977  0.277 1.938  0.211 1.806  0.125 1.682  0.107 1.530  0.047 1.395  0.002 1.254  0.002 1.095  0.002 0.935  0.002 0.776  -0.045 0.627  -0.102 0.481  -0.102 0.322  -0.102 0.162  -0.102 0.003  -0.102 -0.157  -0.102 -0.316  -0.102 -0.476  -0.102 -0.635  -0.102 -0.795  -0.102 -0.954  -0.044 -1.055  0.011 -1.159  0.171 -1.159  0.330 -1.159  0.490 -1.159  0.649 -1.159  0.809 -1.159  0.864 -1.055  0.876 -1.010  0.743 -0.922  0.611 -0.833  0.478 -0.745  0.345 -0.656  0.212 -0.568  0.080 -0.479  -0.053 -0.391  -0.186 -0.302  -0.318 -0.214  -0.451 -0.126  -0.584 -0.037  -0.716 0.051  -0.849 0.140  -0.887 0.200  -0.730 0.202  -0.672 0.304  -0.546 0.383  -0.399 0.417  -0.256 0.489  -0.102 0.513
1c#apa#apa00#app0070/h  -0.105 2.145  -0.126 2.006  -0.191 1.878  -0.200 1.735  -0.200 1.591  -0.257 1.461  -0.295 1.326  -0.295 1.182  -0.295 1.037  -0.295 0.893  -0.315 0.752  -0.361 0.616  -0.390 0.476  -0.390 0.332  -0.390 0.188  -0.390 0.044  -0.390 -0.100  -0.390 -0.244  -0.390 -0.388  -0.390 -0.532  -0.390 -0.676  -0.390 -0.821  -0.390 -0.965  -0.372 -1.091  -0.295 -1.158  -0.281 -1.077  -0.200 -0.966  -0.144 -0.845  -0.105 -0.717  -0.075 -0.585  -0.009 -0.468  0.036 -0.335  0.086 -0.203  0.086 -0.058  0.181 -0.010  0.240 0.110  0.276 0.239  0.418 0.242  0.534 0.174  0.562 0.041  0.562 -0.103  0.562 -0.247  0.562 -0.391  0.562 -0.535  0.562 -0.679  0.574 -0.818  0.657 -0.928  0.657 -1.072  0.745 -1.179  0.847 -1.281
1c#apa#apa00#app0070/e  -0.352 0.139  -0.227 0.139  -0.205 0.242  -0.147 0.344  -0.059 0.432  0.066 0.434  0.161 0.505  0.255 0.581  0.380 0.581  0.470 0.666  0.570 0.729  0.680 0.743  0.680 0.869  0.680 0.994  0.613 1.091  0.521 1.171  0.395 1.171  0.270 1.171  0.145 1.171  0.040 1.121  -0.048 1.033  -0.137 0.944  -0.205 0.847  -0.210 0.724  -0.298 0.635  -0.374 0.537  -0.430 0.425  -0.486 0.314  -0.499 0.191  -0.499 0.066  -0.499 -0.059  -0.499 -0.184  -0.499 -0.309  -0.499 -0.435  -0.499 -0.560  -0.499 -0.685  -0.499 -0.810  -0.469 -0.923  -0.381 -1.012  -0.292 -1.100  -0.204 -1.189  -0.115 -1.277  -0.014 -1.335  0.109 -1.345  0.221 -1.401  0.333 -1.457  0.452 -1.483  0.577 -1.483  0.702 -1.483  0.828 -1.483
1c#apa#apa00#app0070/i  -0.316 0.733  -0.316 0.604  -0.316 0.476  -0.348 0.361  -0.429 0.267  -0.429 0.139  -0.429 0.011  -0.429 -0.117  -0.429 -0.245  -0.429 -0.373  -0.429 -0.501  -0.429 -0.630  -0.429 -0.758  -0.429 -0.886  -0.429 -1.014  -0.429 -1.142  -0.429 -1.270  -0.336 -1.305  -0.208 -1.305  -0.116 -1.219  0.001 -1.192  0.098 -1.117  0.189 -1.027  0.291 -0.966  0.403 -0.926  0.494 -0.835  0.584 -0.745  0.595 -0.621  0.685 -0.530  0.664 -0.417  0.617 -0.298  0.569 -0.179  0.522 -0.060  0.474 0.059  0.427 0.178  0.379 0.297  0.331 0.416  0.284 0.535  0.236 0.653  0.189 0.772  0.141 0.891  0.094 1.010  0.046 1.129  -0.002 1.248  -0.049 1.367  -0.097 1.486  -0.144 1.605  -0.192 1.724  -0.203 1.850  -0.090 1.865
1c#apa#apa00#app0070/c  0.659 1.303  0.574 1.303  0.489 1.303  0.404 1.303  0.319 1.303  0.256 1.251  0.196 1.191  0.135 1.131  0.052 1.128  -0.033 1.128  -0.096 1.075  -0.156 1.015  -0.216 0.955  -0.219 0.871  -0.219 0.786  -0.272 0.723  -0.332 0.663  -0.393 0.603  -0.394 0.519  -0.394 0.434  -0.394 0.349  -0.394 0.264  -0.394 0.179  -0.394 0.094  -0.394 0.009  -0.394 -0.076  -0.394 -0.161  -0.394 -0.246  -0.394 -0.331  -0.394 -0.416  -0.359 -0.486  -0.299 -0.546  -0.239 -0.606  -0.219 -0.683  -0.219 -0.768  -0.174 -0.825  -0.098 -0.863  -0.022 -0.901  0.054 -0.939  0.130 -0.977  0.191 -1.036  0.251 -1.096  0.312 -1.153  0.397 -1.153  0.482 -1.153  0.543 -1.213  0.603 -1.273  0.664 -1.329  0.749 -1.329  0.834 -1.329
1c#apa#apa00#app0070/o  0.553 1.447  0.434 1.447  0.322 1.415  0.215 1.361  0.109 1.308  0.057 1.220  0.042 1.117  -0.078 1.117  -0.171 1.054  -0.255 0.969  -0.340 0.885  -0.424 0.801  -0.439 0.688  -0.462 0.574  -0.516 0.467  -0.569 0.360  -0.604 0.249  -0.604 0.130  -0.685 0.044  -0.769 -0.040  -0.770 -0.159  -0.770 -0.279  -0.770 -0.398  -0.770 -0.517  -0.725 -0.626  -0.672 -0.733  -0.619 -0.840  -0.542 -0.930  -0.458 -1.014  -0.347 -1.033  -0.227 -1.033  -0.108 -1.033  0.011 -1.033  0.131 -1.033  0.250 -1.033  0.369 -1.033  0.388 -0.932  0.427 -0.829  0.511 -0.745  0.595 -0.660  0.680 -0.576  0.739 -0.476  0.777 -0.363  0.814 -0.250  0.852 -0.136  0.884 -0.022  0.884 0.097  0.884 0.216  0.884 0.336  0.884 0.455
1c#apa#apa00#app0070/n  -0.915 1.233  -0.915 1.068  -0.809 0.946  -0.733 0.812  -0.733 0.646  -0.733 0.481  -0.733 0.316  -0.733 0.150  -0.733 -0.015  -0.733 -0.181  -0.733 -0.346  -0.733 -0.512  -0.733 -0.677  -0.733 -0.843  -0.733 -1.008  -0.683 -1.123  -0.552 -1.158  -0.552 -1.286  -0.550 -1.122  -0.433 -1.005  -0.371 -0.865  -0.343 -0.706  -0.269 -0.558  -0.195 -0.410  -0.190 -0.246  -0.190 -0.081  -0.104 0.049  -0.008 0.175  0.001 0.337  0.118 0.454  0.235 0.571  0.352 0.688  0.517 0.689  0.536 0.836  0.667 0.871  0.717 0.986  0.816 1.052  0.898 0.968  0.898 0.803  0.898 0.637  0.898 0.472  0.898 0.306  0.898 0.141  0.898 -0.025  0.898 -0.190  0.898 -0.355  0.898 -0.521  0.898 -0.686  0.962 -0.825  1.079 -0.942
1c#apa#apa00#app0070/o  0.221 1.233  0.081 1.233  0.032 1.142  -0.011 1.043  -0.151 1.043  -0.252 0.949  -0.352 0.849  -0.451 0.750  -0.537 0.645  -0.537 0.505  -0.615 0.396  -0.715 0.297  -0.727 0.162  -0.727 0.021  -0.727 -0.119  -0.727 -0.260  -0.727 -0.400  -0.727 -0.541  -0.714 -0.676  -0.614 -0.776  -0.537 -0.884  -0.537 -1.025  -0.450 -1.129  -0.351 -1.228  -0.212 -1.232  -0.071 -1.232  0.069 -1.232  0.210 -1.232  0.350 -1.232  0.467 -1.176  0.567 -1.076  0.601 -0.950  0.601 -0.809  0.601 -0.669  0.601 -0.528  0.601 -0.388  0.601 -0.247  0.601 -0.107  0.601 0.034  0.601 0.174  0.601 0.315  0.601 0.456  0.515 0.560  0.415 0.660  0.411 0.799  0.411 0.939  0.385 1.069  0.286 1.168  0.221 1.282  0.221 1.423
1c#apa#apa00#app0070/g  -0.040 0.652  0.120 0.652  0.168 0.764  0.168 0.924  0.154 1.069  -0.006 1.069  -0.160 1.054  -0.283 0.965  -0.417 0.901  -0.458 0.758  -0.569 0.645  -0.666 0.525  -0.666 0.365  -0.666 0.205  -0.666 0.044  -0.524 0.026  -0.364 0.026  -0.217 0.058  -0.104 0.171  0.009 0.284  0.101 0.413  0.168 0.557  0.168 0.717  0.168 0.877  0.240 0.965  0.296 1.069  0.377 0.990  0.377 0.830  0.377 0.670  0.377 0.510  0.377 0.350  0.424 0.197  0.475 0.046  0.481 -0.113  0.481 -0.273  0.481 -0.434  0.481 -0.594  0.481 -0.754  0.480 -0.913  0.377 -1.030  0.377 -1.190  0.288 -1.314  0.175 -1.427  0.034 -1.501  -0.095 -1.593  -0.235 -1.642  -0.395 -1.642  -0.555 -1.642  -0.715 -1.642  -0.875 -1.642
1c#apa#apa00#app0070/r  -0.440 1.220  -0.440 1.082  -0.440 0.944  -0.440 0.806  -0.440 0.668  -0.440 0.530  -0.440 0.392  -0.440 0.254  -0.440 0.116  -0.440 -0.022  -0.440 -0.160  -0.440 -0.298  -0.440 -0.436  -0.440 -0.574  -0.440 -0.712  -0.440 -0.850  -0.440 -0.988  -0.440 -1.126  -0.440 -1.263  -0.440 -1.401  -0.440 -1.500  -0.440 -1.362  -0.440 -1.224  -0.376 -1.112  -0.278 -1.015  -0.269 -0.881  -0.269 -0.743  -0.228 -0.622  -0.130 -0.524  -0.098 -0.400  -0.098 -0.262  -0.080 -0.132  0.018 -0.034  0.073 0.081  0.073 0.219  0.073 0.357  0.204 0.364  0.244 0.462  0.309 0.535  0.438 0.557  0.535 0.655  0.633 0.752  0.730 0.850  0.857 0.877  0.995 0.877  1.123 0.900  1.221 0.998  1.338 1.048  1.476 1.048  1.614 1.048
1c#apa#apa00#app0070/a  -1.087 1.147  -0.931 1.147  -0.775 1.147  -0.619 1.147  -0.463 1.147  -0.307 1.147  -0.151 1.147  0.005 1.147  0.161 1.147  0.317 1.147  0.325 0.999  0.235 0.881  0.125 0.770  0.014 0.660  -0.028 0.521  -0.104 0.441  -0.205 0.386  -0.205 0.230  -0.219 0.088  -0.375 0.088  -0.448 -0.046  -0.518 -0.186  -0.558 -0.332  -0.558 -0.488  -0.558 -0.644  -0.558 -0.800  -0.558 -0.957  -0.558 -1.113  -0.473 -1.233  -0.354 -1.325  -0.198 -1.325  -0.042 -1.325  0.114 -1.325  0.234 -1.239  0.353 -1.148  0.502 -1.141  0.502 -0.985  0.502 -0.829  0.624 -0.795  0.678 -0.693  0.678 -0.537  0.678 -0.381  0.678 -0.225  0.678 -0.069  0.678 0.087  0.678 0.243  0.583 0.360  0.502 0.482  0.502 0.638  0.502 0.794
