1c#apb#apb40#app4065/u  0.138 0.955  0.174 1.129  0.051 1.139  -0.111 1.063  -0.221 0.922  -0.329 0.781  -0.438 0.639  -0.551 0.501  -0.666 0.364  -0.781 0.227  -0.896 0.090  -1.000 -0.054  -1.100 -0.203  -1.199 -0.351  -1.297 -0.500  -1.347 -0.672  -1.368 -0.841  -1.247 -0.947  -1.076 -0.964  -0.910 -0.898  -0.744 -0.831  -0.588 -0.746  -0.441 -0.645  -0.294 -0.544  -0.147 -0.443  -0.002 -0.338  0.142 -0.233  0.286 -0.127  0.430 -0.022  0.558 0.103  0.685 0.229  0.811 0.356  0.922 0.494  1.020 0.644  1.117 0.793  1.211 0.932  1.107 0.788  0.997 0.647  0.893 0.502  0.794 0.353  0.695 0.205  0.596 0.056  0.505 -0.098  0.415 -0.252  0.334 -0.409  0.320 -0.587  0.400 -0.740  0.542 -0.831  0.716 -0.836  0.891 -0.801
1c#apb#apb40#app4065/n  -0.937 0.181  -0.988 0.359  -0.854 0.506  -0.699 0.630  -0.540 0.749  -0.370 0.853  -0.197 0.946  -0.068 0.877  -0.145 0.695  -0.231 0.516  -0.344 0.352  -0.456 0.188  -0.578 0.031  -0.714 -0.114  -0.849 -0.260  -0.989 -0.402  -1.133 -0.538  -1.283 -0.669  -1.383 -0.744  -1.255 -0.601  -1.100 -0.475  -0.947 -0.349  -0.794 -0.221  -0.642 -0.093  -0.490 0.036  -0.340 0.166  -0.189 0.296  -0.036 0.423  0.118 0.548  0.293 0.633  0.442 0.561  0.425 0.368  0.381 0.175  0.312 -0.011  0.242 -0.198  0.180 -0.385  0.243 -0.564  0.413 -0.632  0.610 -0.600  0.791 -0.518  0.971 -0.434  1.146 -0.341  1.315 -0.235  1.483 -0.129  1.610 0.023  1.661 0.050  1.588 -0.135  1.515 -0.320  1.441 -0.505  1.368 -0.690
1c#apb#apb40#app4065/t  -1.642 -1.497  -1.491 -1.284  -1.284 -1.115  -1.082 -0.941  -0.881 -0.766  -0.684 -0.585  -0.488 -0.405  -0.287 -0.230  -0.086 -0.054  0.113 0.124  0.309 0.304  0.501 0.489  0.671 0.695  0.840 0.901  0.998 1.115  1.161 1.325  0.998 1.218  0.797 1.043  0.605 0.859  0.420 0.666  0.236 0.473  0.059 0.273  -0.114 0.070  -0.287 -0.133  -0.405 -0.369  -0.493 -0.617  -0.416 -0.871  -0.184 -0.993  0.078 -0.973  0.321 -0.863  0.563 -0.752  0.804 -0.636  1.033 -0.500  1.154 -0.392  0.898 -0.316  0.643 -0.241  0.387 -0.165  0.131 -0.089  -0.125 -0.014  -0.381 0.062  -0.636 0.138  -0.892 0.213  -1.076 0.392  -0.903 0.554  -0.645 0.614  -0.382 0.655  -0.115 0.655  0.152 0.655  0.419 0.655  0.685 0.655
1c#apb#apb40#app4065/o  -0.081 0.505  -0.288 0.529  -0.469 0.423  -0.636 0.299  -0.751 0.122  -0.866 -0.054  -0.978 -0.233  -1.048 -0.432  -1.118 -0.631  -1.106 -0.833  -1.002 -0.993  -0.806 -1.072  -0.605 -1.086  -0.400 -1.037  -0.196 -0.986  -0.022 -0.867  0.153 -0.748  0.327 -0.630  0.454 -0.461  0.581 -0.293  0.659 -0.100  0.712 0.103  0.652 0.306  0.592 0.507  0.464 0.675  0.336 0.843  0.168 0.957  -0.030 1.031  -0.234 1.042  -0.444 1.014  -0.610 0.890  -0.771 0.754  -0.819 0.551  -0.861 0.344  -0.814 0.151  -0.710 -0.033  -0.556 -0.153  -0.353 -0.212  -0.151 -0.271  0.057 -0.280  0.267 -0.264  0.478 -0.248  0.678 -0.189  0.873 -0.109  1.069 -0.030  1.262 0.054  1.453 0.145  1.643 0.235  1.831 0.332  2.016 0.432
1c#apb#apb40#app4065/y  0.093 1.355  -0.063 1.340  -0.169 1.215  -0.257 1.078  -0.333 0.934  -0.380 0.777  -0.340 0.625  -0.223 0.536  -0.064 0.513  0.097 0.544  0.249 0.599  0.394 0.675  0.529 0.766  0.659 0.865  0.764 0.990  0.863 1.120  0.870 1.176  0.786 1.037  0.704 0.895  0.627 0.751  0.554 0.604  0.481 0.458  0.410 0.310  0.353 0.157  0.296 0.004  0.239 -0.150  0.182 -0.303  0.123 -0.456  0.065 -0.609  0.007 -0.762  -0.053 -0.914  -0.113 -1.066  -0.174 -1.218  -0.250 -1.363  -0.336 -1.500  -0.462 -1.605  -0.596 -1.589  -0.683 -1.453  -0.715 -1.293  -0.740 -1.132  -0.715 -0.970  -0.691 -0.809  -0.638 -0.657  -0.552 -0.518  -0.467 -0.378  -0.353 -0.265  -0.218 -0.173  -0.079 -0.089  0.079 -0.046  0.237 -0.004
1c#apb#apb40#app4065/n  -0.751 0.311  -0.642 0.426  -0.522 0.524  -0.377 0.585  -0.330 0.461  -0.340 0.303  -0.388 0.155  -0.454 0.011  -0.528 -0.127  -0.618 -0.257  -0.708 -0.387  -0.808 -0.509  -0.917 -0.624  -1.026 -0.738  -1.143 -0.844  -1.270 -0.908  -1.203 -0.767  -1.117 -0.634  -1.028 -0.504  -0.936 -0.375  -0.845 -0.246  -0.750 -0.120  -0.648 0.001  -0.546 0.121  -0.444 0.242  -0.335 0.356  -0.218 0.463  -0.101 0.569  0.044 0.620  0.165 0.563  0.226 0.421  0.261 0.267  0.251 0.110  0.237 -0.048  0.254 -0.204  0.312 -0.348  0.434 -0.429  0.588 -0.435  0.743 -0.404  0.883 -0.337  1.014 -0.249  1.145 -0.160  1.263 -0.055  1.380 0.051  1.474 0.177  1.562 0.308  1.634 0.448  1.692 0.595  1.743 0.744  1.686 0.875
1c#apb#apb40#app4065/e  -1.431 -1.080  -1.333 -1.059  -1.184 -0.970  -1.035 -0.882  -0.888 -0.790  -0.747 -0.689  -0.606 -0.588  -0.465 -0.486  -0.325 -0.384  -0.191 -0.274  -0.057 -0.164  0.077 -0.054  0.211 0.057  0.342 0.171  0.467 0.291  0.592 0.412  0.717 0.532  0.836 0.657  0.931 0.802  1.025 0.948  1.069 1.111  1.042 1.258  0.879 1.317  0.718 1.255  0.558 1.189  0.397 1.124  0.257 1.023  0.121 0.915  -0.016 0.808  -0.152 0.701  -0.276 0.582  -0.379 0.442  -0.482 0.302  -0.584 0.162  -0.663 0.011  -0.698 -0.159  -0.733 -0.328  -0.707 -0.496  -0.658 -0.662  -0.518 -0.751  -0.360 -0.818  -0.188 -0.798  -0.015 -0.777  0.154 -0.744  0.319 -0.689  0.483 -0.634  0.648 -0.579  0.798 -0.492  0.948 -0.405  1.098 -0.318
1c#apb#apb40#app4065/r  -1.640 -0.875  -1.573 -0.760  -1.476 -0.664  -1.381 -0.566  -1.288 -0.465  -1.196 -0.364  -1.103 -0.264  -1.009 -0.164  -0.912 -0.067  -0.816 0.029  -0.719 0.126  -0.619 0.219  -0.515 0.308  -0.411 0.397  -0.306 0.486  -0.204 0.576  -0.105 0.671  -0.006 0.766  0.092 0.860  0.195 0.950  0.314 1.018  0.433 1.086  0.553 1.151  0.673 1.169  0.740 1.065  0.743 0.929  0.722 0.794  0.687 0.662  0.643 0.533  0.578 0.413  0.527 0.286  0.419 0.205  0.349 0.104  0.295 -0.020  0.240 -0.145  0.217 -0.280  0.190 -0.414  0.140 -0.537  0.220 -0.494  0.140 -0.586  0.108 -0.716  0.164 -0.835  0.270 -0.907  0.407 -0.907  0.542 -0.893  0.673 -0.853  0.804 -0.814  0.935 -0.776  1.067 -0.737  1.198 -0.699
1c#apb#apb40#app4065/a  0.369 0.283  0.415 0.444  0.465 0.604  0.534 0.756  0.570 0.918  0.560 1.081  0.441 1.142  0.288 1.075  0.135 1.008  0.012 0.896  -0.106 0.778  -0.224 0.659  -0.343 0.541  -0.450 0.414  -0.543 0.274  -0.636 0.135  -0.729 -0.004  -0.822 -0.143  -0.914 -0.283  -1.002 -0.425  -1.090 -0.568  -1.178 -0.710  -1.254 -0.856  -1.254 -1.023  -1.202 -1.173  -1.060 -1.177  -0.904 -1.119  -0.769 -1.020  -0.634 -0.920  -0.500 -0.821  -0.371 -0.714  -0.249 -0.600  -0.126 -0.486  -0.004 -0.372  0.119 -0.258  0.230 -0.134  0.329 0.001  0.429 0.135  0.529 0.270  0.636 0.397  0.765 0.504  0.890 0.614  0.931 0.513  0.944 0.347  0.953 0.179  0.974 0.015  1.036 -0.140  1.116 -0.278  1.270 -0.345  1.423 -0.412
1c#apb#apb40#app4065/t  -1.501 -1.064  -1.505 -1.174  -1.291 -1.031  -1.095 -0.865  -0.906 -0.690  -0.718 -0.515  -0.527 -0.342  -0.337 -0.169  -0.150 0.008  0.025 0.197  0.200 0.386  0.364 0.584  0.521 0.787  0.674 0.994  0.823 1.204  0.664 1.104  0.473 0.931  0.287 0.754  0.125 0.554  -0.038 0.355  -0.195 0.151  -0.347 -0.057  -0.494 -0.268  -0.600 -0.502  -0.675 -0.744  -0.647 -0.991  -0.438 -1.112  -0.186 -1.060  0.047 -0.953  0.280 -0.844  0.516 -0.741  0.759 -0.659  0.543 -0.518  0.328 -0.377  0.113 -0.236  -0.102 -0.094  -0.317 0.047  -0.533 0.188  -0.748 0.329  -0.674 0.408  -0.420 0.450  -0.165 0.486  0.090 0.522  0.345 0.558  0.600 0.594  0.856 0.621  1.112 0.648  1.367 0.677  1.622 0.715  1.876 0.753
1c#apb#apb40#app4065/z  -0.021 1.502  -0.186 1.444  -0.318 1.324  -0.448 1.201  -0.572 1.072  -0.687 0.936  -0.797 0.797  -0.835 0.622  -0.729 0.504  -0.560 0.471  -0.382 0.471  -0.212 0.510  -0.049 0.585  0.113 0.661  0.267 0.751  0.417 0.847  0.573 0.935  0.736 1.003  0.738 0.840  0.722 0.662  0.653 0.499  0.573 0.339  0.493 0.179  0.413 0.020  0.331 -0.139  0.250 -0.298  0.168 -0.458  0.089 -0.618  0.015 -0.780  -0.059 -0.943  -0.133 -1.106  -0.206 -1.269  -0.278 -1.432  -0.355 -1.594  -0.440 -1.751  -0.484 -1.618  -0.447 -1.444  -0.410 -1.269  -0.369 -1.095  -0.289 -0.935  -0.210 -0.775  -0.130 -0.615  -0.041 -0.461  0.073 -0.323  0.187 -0.186  0.301 -0.048  0.420 0.085  0.563 0.192  0.706 0.299  0.849 0.407
