3#app#app06#app0629/A  -0.284 1.648  -0.284 1.390  -0.218 1.158  -0.218 0.899  -0.218 0.640  -0.218 0.381  -0.218 0.123  -0.218 -0.136  -0.218 -0.395  -0.218 -0.654  -0.284 -0.902  -0.284 -1.161  -0.337 -1.414  -0.351 -1.667  -0.351 -1.408  -0.375 -1.155  -0.417 -0.906  -0.483 -0.663  -0.483 -0.404  -0.512 -0.152  -0.550 0.098  -0.550 0.357  -0.483 0.600  -0.483 0.859  -0.424 1.104  -0.351 1.334  -0.284 1.527  -0.168 1.598  -0.074 1.360  0.024 1.121  0.131 0.885  0.180 0.638  0.288 0.412  0.379 0.191  0.494 -0.041  0.648 -0.247  0.776 -0.471  0.910 -0.675  1.043 -0.879  1.175 -1.083  1.006 -1.025  0.791 -0.882  0.575 -0.738  0.360 -0.594  0.144 -0.451  -0.071 -0.307  -0.160 -0.151  0.053 -0.010  0.296 0.056  0.512 0.189
3#app#app06#app0629/Q  -0.799 0.390  -0.799 0.586  -0.735 0.719  -0.671 0.888  -0.587 1.050  -0.479 1.202  -0.335 1.301  -0.223 1.413  -0.027 1.413  0.155 1.352  0.287 1.285  0.423 1.145  0.510 0.969  0.622 0.810  0.677 0.626  0.725 0.436  0.736 0.241  0.736 0.044  0.736 -0.152  0.721 -0.345  0.661 -0.527  0.574 -0.703  0.486 -0.879  0.387 -1.047  0.222 -1.148  0.062 -1.259  -0.131 -1.273  -0.316 -1.227  -0.445 -1.086  -0.533 -0.910  -0.632 -0.741  -0.733 -0.573  -0.735 -0.377  -0.798 -0.191  -0.799 0.006  -0.799 0.202  -0.799 0.398  -0.678 0.381  -0.510 0.280  -0.341 0.179  -0.173 0.078  -0.004 -0.023  0.163 -0.125  0.288 -0.232  0.369 -0.395  0.463 -0.553  0.557 -0.710  0.696 -0.849  0.834 -0.988  0.992 -1.082
3#app#app06#app0629/u  -1.137 1.024  -1.063 0.864  -1.050 0.679  -0.965 0.508  -0.857 0.356  -0.797 0.176  -0.713 0.004  -0.596 -0.143  -0.511 -0.314  -0.450 -0.490  -0.364 -0.645  -0.325 -0.819  -0.251 -0.979  -0.116 -1.114  -0.020 -1.215  0.090 -1.296  0.152 -1.167  0.152 -0.976  0.152 -0.785  0.152 -0.595  0.152 -0.404  0.152 -0.214  0.152 -0.023  0.152 0.168  0.103 0.347  0.066 0.529  0.066 0.719  0.020 0.903  -0.020 1.087  -0.020 1.277  -0.106 1.432  -0.106 1.623  -0.106 1.437  -0.020 1.282  -0.007 1.097  0.105 0.946  0.179 0.770  0.237 0.589  0.248 0.401  0.331 0.229  0.391 0.049  0.468 -0.125  0.537 -0.303  0.603 -0.481  0.667 -0.656  0.714 -0.827  0.753 -1.002  0.863 -1.147  0.937 -1.307  1.011 -1.467
3#app#app06#app0629/i  -0.438 0.798  -0.313 0.782  -0.220 0.689  -0.205 0.564  -0.112 0.471  -0.109 0.341  -0.109 0.209  -0.082 0.085  -0.023 -0.033  0.001 -0.159  0.046 -0.280  0.105 -0.397  0.117 -0.525  0.210 -0.618  0.257 -0.739  0.298 -0.864  0.330 -0.990  0.368 -1.106  0.439 -1.208  0.477 -1.324  0.570 -1.417  0.656 -1.500  0.606 -1.379  0.555 -1.258  0.504 -1.136  0.453 -1.015  0.402 -0.894  0.351 -0.773  0.300 -0.651  0.250 -0.530  0.199 -0.409  0.148 -0.288  0.097 -0.167  0.046 -0.045  -0.005 0.076  -0.055 0.197  -0.106 0.318  -0.157 0.440  -0.208 0.561  -0.259 0.682  -0.310 0.803  -0.360 0.925  -0.411 1.046  -0.462 1.167  -0.513 1.288  -0.564 1.410  -0.615 1.531  -0.665 1.652  -0.716 1.773  -0.767 1.894
3#app#app06#app0629/c  0.272 1.275  0.272 1.368  0.191 1.381  0.098 1.381  0.060 1.325  0.017 1.275  -0.046 1.244  -0.064 1.169  -0.152 1.164  -0.152 1.070  -0.213 1.002  -0.271 0.931  -0.313 0.847  -0.355 0.764  -0.415 0.694  -0.469 0.623  -0.469 0.529  -0.469 0.436  -0.530 0.368  -0.575 0.293  -0.575 0.200  -0.575 0.106  -0.575 0.013  -0.575 -0.080  -0.575 -0.174  -0.533 -0.250  -0.469 -0.316  -0.469 -0.410  -0.410 -0.479  -0.351 -0.550  -0.309 -0.633  -0.268 -0.717  -0.208 -0.787  -0.137 -0.843  -0.044 -0.843  0.049 -0.843  0.119 -0.901  0.192 -0.949  0.286 -0.949  0.379 -0.949  0.472 -0.949  0.566 -0.949  0.659 -0.949  0.752 -0.949  0.833 -0.917  0.899 -0.851  0.989 -0.843  1.082 -0.843  1.159 -0.803  1.225 -0.737
3#app#app06#app0629/k  -0.889 1.561  -0.889 1.363  -0.889 1.164  -0.889 0.965  -0.811 0.785  -0.786 0.592  -0.726 0.408  -0.637 0.230  -0.579 0.045  -0.535 -0.135  -0.395 -0.276  -0.298 -0.447  -0.247 -0.630  -0.107 -0.770  -0.002 -0.937  0.041 -1.125  0.120 -1.179  0.031 -1.001  -0.058 -0.824  -0.147 -0.646  -0.236 -0.468  -0.325 -0.291  -0.373 -0.104  -0.336 0.086  -0.269 0.269  -0.166 0.425  -0.124 0.614  -0.063 0.798  0.049 0.950  0.144 1.110  0.215 1.292  0.206 1.233  0.144 1.045  0.081 0.856  0.018 0.668  -0.045 0.480  -0.063 0.284  0.040 0.188  0.129 0.027  0.197 -0.144  0.337 -0.285  0.478 -0.425  0.618 -0.565  0.722 -0.732  0.839 -0.890  1.020 -0.943  1.176 -1.044  1.296 -1.124  1.391 -1.227  1.590 -1.227
3#app#app06#app0629/B  -0.579 0.808  -0.480 0.610  -0.400 0.397  -0.317 0.182  -0.235 -0.034  -0.116 -0.232  -0.073 -0.448  0.015 -0.643  0.118 -0.832  0.208 -1.033  0.285 -1.235  0.328 -1.336  0.217 -1.171  0.051 -1.022  -0.100 -0.847  -0.234 -0.663  -0.324 -0.453  -0.427 -0.246  -0.514 -0.031  -0.602 0.182  -0.666 0.404  -0.686 0.633  -0.686 0.864  -0.680 1.095  -0.620 1.316  -0.556 1.528  -0.382 1.666  -0.210 1.570  -0.097 1.385  -0.043 1.166  -0.043 0.934  -0.097 0.716  -0.150 0.497  -0.257 0.300  -0.365 0.119  -0.257 0.275  -0.131 0.379  0.101 0.379  0.317 0.342  0.531 0.280  0.670 0.103  0.820 -0.057  0.922 -0.258  0.976 -0.477  0.976 -0.708  0.976 -0.940  0.905 -1.155  0.821 -1.370  0.649 -1.497  0.439 -1.443
3#app#app06#app0629/r  -0.384 0.778  -0.384 0.646  -0.330 0.528  -0.271 0.410  -0.194 0.305  -0.127 0.194  -0.068 0.076  -0.010 -0.042  0.054 -0.155  0.147 -0.248  0.219 -0.357  0.270 -0.477  0.312 -0.602  0.390 -0.704  0.394 -0.834  0.476 -0.931  0.557 -1.033  0.616 -1.151  0.674 -1.268  0.677 -1.399  0.645 -1.454  0.552 -1.361  0.461 -1.267  0.403 -1.149  0.344 -1.031  0.285 -0.914  0.211 -0.807  0.118 -0.714  0.082 -0.589  0.050 -0.462  -0.011 -0.347  -0.084 -0.238  -0.133 -0.117  -0.174 0.008  -0.216 0.133  -0.264 0.255  -0.323 0.372  -0.381 0.490  -0.424 0.614  -0.455 0.741  -0.455 0.872  -0.455 1.004  -0.455 1.135  -0.455 1.267  -0.455 1.398  -0.455 1.530  -0.368 1.587  -0.308 1.703  -0.203 1.768  -0.101 1.839
3#app#app06#app0629/o  -0.967 0.582  -0.856 0.582  -0.755 0.593  -0.744 0.700  -0.665 0.778  -0.560 0.795  -0.476 0.861  -0.397 0.940  -0.315 1.015  -0.216 1.064  -0.116 1.114  -0.004 1.114  0.107 1.114  0.214 1.102  0.293 1.024  0.397 1.008  0.457 0.923  0.507 0.824  0.600 0.795  0.627 0.711  0.627 0.599  0.627 0.488  0.627 0.376  0.627 0.265  0.627 0.153  0.627 0.042  0.627 -0.070  0.619 -0.179  0.569 -0.279  0.521 -0.379  0.521 -0.491  0.511 -0.598  0.432 -0.676  0.353 -0.755  0.287 -0.843  0.237 -0.943  0.178 -1.036  0.099 -1.115  0.021 -1.194  -0.078 -1.225  -0.190 -1.225  -0.301 -1.225  -0.404 -1.188  -0.503 -1.138  -0.590 -1.070  -0.661 -0.986  -0.711 -0.886  -0.761 -0.786  -0.811 -0.687  -0.861 -0.587
3#app#app06#app0629/w  -1.649 0.933  -1.522 0.806  -1.399 0.678  -1.399 0.499  -1.319 0.353  -1.274 0.193  -1.154 0.064  -1.028 -0.063  -0.901 -0.189  -0.863 -0.352  -0.737 -0.479  -0.610 -0.605  -0.524 -0.749  -0.424 -0.866  -0.275 -0.952  -0.209 -1.066  -0.030 -1.066  -0.025 -0.892  -0.025 -0.713  -0.025 -0.534  -0.025 -0.355  -0.025 -0.176  -0.025 0.003  -0.025 0.182  -0.025 0.360  -0.025 0.539  0.100 0.523  0.163 0.370  0.290 0.243  0.416 0.117  0.475 -0.038  0.475 -0.217  0.531 -0.372  0.600 -0.523  0.725 -0.577  0.770 -0.737  0.849 -0.749  0.849 -0.570  0.849 -0.391  0.849 -0.212  0.849 -0.033  0.849 0.146  0.805 0.318  0.748 0.487  0.725 0.663  0.725 0.841  0.725 1.020  0.725 1.199  0.725 1.378  0.725 1.557
3#app#app06#app0629/n  -0.646 0.582  -0.646 0.407  -0.646 0.232  -0.569 0.088  -0.506 -0.062  -0.506 -0.237  -0.506 -0.413  -0.506 -0.588  -0.506 -0.763  -0.415 -0.901  -0.367 -1.057  -0.363 -1.230  -0.239 -1.355  -0.228 -1.484  -0.228 -1.308  -0.228 -1.133  -0.320 -0.995  -0.367 -0.840  -0.367 -0.664  -0.367 -0.489  -0.367 -0.313  -0.367 -0.138  -0.367 0.038  -0.367 0.213  -0.367 0.388  -0.367 0.564  -0.367 0.739  -0.367 0.915  -0.303 1.064  -0.228 1.208  -0.123 1.278  -0.087 1.417  0.089 1.417  0.189 1.342  0.301 1.278  0.394 1.146  0.468 0.988  0.489 0.817  0.568 0.661  0.607 0.494  0.695 0.355  0.746 0.201  0.746 0.026  0.772 -0.139  0.885 -0.268  0.921 -0.428  1.024 -0.561  1.024 -0.736  1.127 -0.809  1.163 -0.948
