2#app#app33#app3319/A  -0.305 1.579  -0.305 1.479  -0.305 1.215  -0.305 0.952  -0.305 0.688  -0.305 0.424  -0.338 0.166  -0.387 -0.090  -0.387 -0.354  -0.387 -0.618  -0.387 -0.881  -0.470 -1.111  -0.552 -1.341  -0.552 -1.315  -0.552 -1.051  -0.508 -0.797  -0.467 -0.543  -0.415 -0.284  -0.387 -0.023  -0.317 0.229  -0.305 0.491  -0.280 0.750  -0.223 1.005  -0.165 1.259  -0.094 1.508  0.072 1.612  0.211 1.450  0.329 1.214  0.434 0.975  0.448 0.714  0.532 0.463  0.598 0.211  0.598 -0.053  0.674 -0.299  0.680 -0.561  0.762 -0.806  0.762 -1.069  0.762 -1.333  0.762 -1.486  0.601 -1.286  0.421 -1.093  0.242 -0.899  0.063 -0.706  -0.117 -0.513  -0.296 -0.320  -0.302 -0.225  -0.116 -0.038  0.071 0.148  0.305 0.218  0.516 0.347
2#app#app33#app3319/s  0.079 1.358  -0.044 1.358  -0.167 1.358  -0.264 1.295  -0.351 1.208  -0.459 1.171  -0.527 1.082  -0.585 0.975  -0.672 0.888  -0.759 0.801  -0.816 0.692  -0.879 0.588  -0.951 0.495  -0.951 0.372  -0.951 0.249  -0.841 0.235  -0.718 0.235  -0.596 0.235  -0.473 0.235  -0.350 0.235  -0.227 0.235  -0.104 0.235  0.019 0.235  0.142 0.235  0.265 0.235  0.352 0.149  0.466 0.128  0.555 0.044  0.665 -0.011  0.766 -0.079  0.864 -0.139  0.950 -0.199  1.005 -0.309  1.014 -0.430  1.014 -0.552  0.966 -0.655  0.861 -0.700  0.764 -0.763  0.677 -0.850  0.577 -0.919  0.467 -0.974  0.350 -0.990  0.262 -1.075  0.139 -1.075  0.023 -1.102  -0.087 -1.157  -0.208 -1.168  -0.330 -1.168  -0.453 -1.168  -0.483 -1.075
2#app#app33#app3319/m  -0.991 0.852  -0.991 0.647  -0.991 0.442  -0.991 0.237  -0.909 0.066  -0.903 -0.136  -0.903 -0.340  -0.903 -0.545  -0.841 -0.740  -0.815 -0.941  -0.815 -1.022  -0.815 -0.817  -0.815 -0.612  -0.815 -0.407  -0.736 -0.221  -0.723 -0.020  -0.639 0.165  -0.639 0.370  -0.534 0.534  -0.430 0.709  -0.248 0.764  -0.151 0.628  -0.068 0.457  -0.023 0.271  -0.023 0.067  -0.023 -0.138  -0.023 -0.343  -0.023 -0.548  -0.023 -0.753  -0.023 -0.858  -0.023 -0.653  -0.009 -0.454  0.065 -0.280  0.122 -0.089  0.214 0.094  0.306 0.278  0.397 0.461  0.489 0.644  0.624 0.795  0.806 0.852  1.010 0.852  1.162 0.723  1.271 0.552  1.323 0.359  1.384 0.169  1.467 -0.016  1.533 -0.210  1.560 -0.410  1.560 -0.615  1.560 -0.820
2#app#app33#app3319/a  0.362 0.768  0.426 0.873  0.467 1.000  0.406 1.143  0.287 1.262  0.236 1.396  0.068 1.396  -0.088 1.365  -0.207 1.246  -0.304 1.112  -0.384 0.965  -0.502 0.846  -0.606 0.716  -0.681 0.566  -0.757 0.415  -0.808 0.256  -0.841 0.092  -0.874 -0.073  -0.894 -0.240  -0.894 -0.408  -0.894 -0.576  -0.894 -0.744  -0.894 -0.912  -0.845 -1.060  -0.726 -1.179  -0.575 -1.221  -0.407 -1.221  -0.277 -1.127  -0.119 -1.095  0.031 -1.019  0.154 -0.905  0.257 -0.780  0.296 -0.621  0.362 -0.468  0.421 -0.324  0.467 -0.175  0.494 -0.014  0.570 0.137  0.571 0.304  0.571 0.473  0.571 0.477  0.571 0.309  0.571 0.141  0.571 -0.027  0.571 -0.196  0.632 -0.339  0.751 -0.458  0.870 -0.577  0.927 -0.697  0.990 -0.802
2#app#app33#app3319/l  0.048 1.695  0.048 1.623  0.048 1.552  0.022 1.487  -0.010 1.423  -0.030 1.356  -0.030 1.284  -0.030 1.213  -0.034 1.143  -0.066 1.079  -0.098 1.015  -0.107 0.946  -0.107 0.874  -0.107 0.803  -0.107 0.731  -0.107 0.660  -0.107 0.588  -0.107 0.517  -0.107 0.446  -0.107 0.374  -0.107 0.303  -0.107 0.231  -0.107 0.160  -0.107 0.088  -0.107 0.017  -0.107 -0.054  -0.107 -0.126  -0.107 -0.197  -0.100 -0.268  -0.077 -0.335  -0.054 -0.403  -0.032 -0.471  -0.030 -0.542  -0.030 -0.613  -0.006 -0.679  0.026 -0.743  0.048 -0.809  0.048 -0.881  0.054 -0.950  0.105 -1.000  0.126 -1.063  0.126 -1.134  0.147 -1.197  0.197 -1.248  0.203 -1.316  0.203 -1.388  0.203 -1.459  0.235 -1.518  0.281 -1.570  0.281 -1.641
2#app#app33#app3319/l  0.077 1.605  0.150 1.605  0.176 1.558  0.176 1.486  0.176 1.413  0.176 1.341  0.176 1.268  0.176 1.196  0.176 1.124  0.131 1.070  0.080 1.018  0.077 0.947  0.077 0.875  0.077 0.802  0.077 0.730  0.049 0.664  0.017 0.600  -0.016 0.535  -0.021 0.464  -0.021 0.391  -0.025 0.320  -0.057 0.255  -0.090 0.190  -0.119 0.125  -0.119 0.053  -0.119 -0.020  -0.119 -0.092  -0.119 -0.165  -0.119 -0.237  -0.119 -0.309  -0.119 -0.382  -0.119 -0.454  -0.119 -0.527  -0.119 -0.599  -0.119 -0.671  -0.119 -0.744  -0.119 -0.816  -0.119 -0.888  -0.119 -0.961  -0.119 -1.033  -0.119 -1.106  -0.095 -1.168  -0.044 -1.219  -0.021 -1.282  -0.011 -1.350  0.040 -1.402  0.077 -1.459  0.077 -1.531  0.124 -1.584  0.176 -1.635
2#app#app33#app3319/,  0.089 1.722  0.089 1.651  0.089 1.579  0.089 1.507  0.089 1.435  0.089 1.363  0.089 1.292  0.089 1.220  0.089 1.148  0.089 1.076  0.089 1.004  0.089 0.932  0.089 0.861  0.089 0.789  0.089 0.717  0.089 0.645  0.089 0.573  0.089 0.502  0.089 0.430  0.089 0.358  0.089 0.286  0.089 0.214  0.089 0.143  0.089 0.071  0.089 -0.001  0.089 -0.073  0.089 -0.145  0.089 -0.217  0.089 -0.288  0.089 -0.360  0.089 -0.432  0.089 -0.504  0.089 -0.576  0.086 -0.646  0.035 -0.697  -0.015 -0.748  -0.066 -0.798  -0.117 -0.849  -0.168 -0.900  -0.219 -0.951  -0.249 -1.010  -0.249 -1.082  -0.249 -1.154  -0.249 -1.226  -0.249 -1.297  -0.249 -1.369  -0.249 -1.441  -0.249 -1.513  -0.249 -1.585  -0.249 -1.656
2#app#app33#app3319/g  -0.155 0.383  -0.092 0.483  -0.092 0.646  -0.092 0.808  -0.092 0.971  -0.092 1.133  -0.092 1.296  -0.227 1.324  -0.352 1.243  -0.436 1.106  -0.521 0.969  -0.629 0.850  -0.696 0.705  -0.781 0.572  -0.782 0.410  -0.845 0.273  -0.845 0.111  -0.845 -0.051  -0.782 -0.188  -0.675 -0.244  -0.513 -0.244  -0.350 -0.244  -0.214 -0.157  -0.090 -0.053  0.025 0.062  0.051 0.213  0.096 0.357  0.103 0.516  0.158 0.656  0.099 0.760  0.164 0.629  0.221 0.490  0.274 0.340  0.347 0.195  0.409 0.047  0.436 -0.109  0.509 -0.254  0.568 -0.405  0.628 -0.556  0.701 -0.701  0.723 -0.858  0.785 -1.006  0.785 -1.169  0.770 -1.325  0.723 -1.468  0.629 -1.591  0.506 -1.686  0.357 -1.743  0.195 -1.748  0.033 -1.748
2#app#app33#app3319/r  -0.269 0.714  -0.279 0.583  -0.339 0.464  -0.379 0.340  -0.379 0.207  -0.379 0.074  -0.378 -0.059  -0.318 -0.178  -0.269 -0.300  -0.236 -0.419  -0.159 -0.521  -0.159 -0.654  -0.109 -0.767  -0.049 -0.875  -0.049 -1.008  0.046 -1.047  0.061 -1.164  0.061 -1.298  0.061 -1.431  -0.016 -1.487  -0.119 -1.416  -0.193 -1.308  -0.253 -1.188  -0.269 -1.059  -0.269 -0.926  -0.269 -0.792  -0.269 -0.659  -0.269 -0.526  -0.269 -0.393  -0.269 -0.260  -0.269 -0.126  -0.269 0.007  -0.230 0.131  -0.171 0.250  -0.111 0.369  -0.051 0.489  -0.049 0.621  -0.031 0.750  0.029 0.869  0.104 0.977  0.199 1.071  0.293 1.165  0.387 1.260  0.513 1.276  0.608 1.370  0.739 1.374  0.872 1.374  1.006 1.374  1.139 1.374  1.272 1.374
2#app#app33#app3319/e  -0.620 0.112  -0.526 0.019  -0.502 0.091  -0.391 0.112  -0.295 0.200  -0.202 0.294  -0.109 0.387  -0.010 0.466  0.112 0.490  0.206 0.583  0.324 0.643  0.442 0.702  0.452 0.829  0.545 0.923  0.670 0.938  0.678 1.062  0.678 1.194  0.644 1.292  0.512 1.292  0.398 1.248  0.324 1.146  0.295 1.027  0.202 0.933  0.108 0.840  0.015 0.747  -0.061 0.640  -0.120 0.522  -0.148 0.397  -0.185 0.274  -0.244 0.156  -0.303 0.038  -0.362 -0.080  -0.384 -0.207  -0.427 -0.329  -0.486 -0.447  -0.502 -0.575  -0.502 -0.707  -0.502 -0.839  -0.487 -0.965  -0.394 -1.058  -0.384 -1.186  -0.291 -1.279  -0.197 -1.372  -0.086 -1.422  0.038 -1.456  0.156 -1.515  0.282 -1.540  0.414 -1.540  0.546 -1.540  0.678 -1.540
2#app#app33#app3319/e  -1.129 -0.003  -1.020 -0.112  -0.873 -0.128  -0.719 -0.128  -0.584 -0.082  -0.463 -0.003  -0.310 -0.003  -0.156 -0.003  -0.040 0.088  0.100 0.122  0.214 0.218  0.356 0.247  0.505 0.259  0.614 0.367  0.742 0.395  0.795 0.496  0.867 0.578  0.945 0.699  0.992 0.834  0.992 0.987  0.867 1.016  0.817 1.120  0.663 1.120  0.509 1.120  0.356 1.120  0.214 1.091  0.105 0.982  -0.004 0.873  -0.112 0.764  -0.221 0.656  -0.330 0.547  -0.380 0.414  -0.380 0.260  -0.480 0.147  -0.505 0.004  -0.505 -0.150  -0.505 -0.303  -0.505 -0.457  -0.505 -0.611  -0.505 -0.765  -0.475 -0.906  -0.369 -1.017  -0.284 -1.145  -0.199 -1.273  -0.109 -1.397  0.002 -1.500  0.119 -1.538  0.185 -1.625  0.339 -1.625  0.368 -1.750
