1c#apb#apb17#app1793/a  0.317 0.070  0.387 0.252  0.496 0.413  0.612 0.570  0.750 0.708  0.836 0.881  0.893 1.067  0.889 1.260  0.792 1.392  0.601 1.350  0.434 1.249  0.267 1.147  0.105 1.039  -0.041 0.909  -0.187 0.779  -0.332 0.649  -0.463 0.504  -0.595 0.360  -0.727 0.216  -0.858 0.072  -0.952 -0.099  -1.046 -0.271  -1.139 -0.442  -1.216 -0.621  -1.286 -0.804  -1.204 -0.971  -1.064 -1.103  -0.891 -1.128  -0.704 -1.071  -0.539 -0.972  -0.380 -0.857  -0.222 -0.743  -0.084 -0.605  0.049 -0.462  0.179 -0.317  0.287 -0.154  0.395 0.008  0.483 0.182  0.565 0.360  0.602 0.480  0.527 0.301  0.459 0.118  0.393 -0.066  0.339 -0.253  0.292 -0.442  0.277 -0.637  0.286 -0.829  0.353 -1.012  0.468 -1.166  0.599 -1.311
1c#apb#apb17#app1793/b  0.023 1.651  -0.006 1.475  -0.059 1.302  -0.126 1.134  -0.193 0.966  -0.260 0.798  -0.340 0.636  -0.421 0.474  -0.502 0.313  -0.582 0.151  -0.663 -0.011  -0.744 -0.173  -0.820 -0.337  -0.895 -0.501  -0.970 -0.666  -1.051 -0.827  -1.041 -0.794  -0.927 -0.654  -0.827 -0.504  -0.723 -0.355  -0.600 -0.223  -0.477 -0.091  -0.346 0.032  -0.198 0.136  -0.049 0.239  0.099 0.343  0.258 0.428  0.419 0.509  0.581 0.590  0.751 0.650  0.923 0.707  1.096 0.706  1.249 0.626  1.333 0.477  1.320 0.297  1.271 0.131  1.157 -0.009  1.043 -0.150  0.921 -0.283  0.786 -0.402  0.650 -0.522  0.514 -0.641  0.365 -0.743  0.215 -0.845  0.066 -0.947  -0.103 -1.001  -0.280 -1.037  -0.459 -1.055  -0.640 -1.053  -0.739 -0.950
1c#apb#apb17#app1793/c  0.535 0.766  0.582 0.626  0.584 0.486  0.544 0.345  0.535 0.199  0.535 0.052  0.526 -0.093  0.479 -0.232  0.466 -0.377  0.466 -0.365  0.490 -0.223  0.556 -0.092  0.622 0.039  0.671 0.177  0.714 0.318  0.757 0.458  0.777 0.602  0.777 0.749  0.770 0.895  0.730 1.036  0.643 1.133  0.504 1.179  0.378 1.107  0.252 1.031  0.129 0.952  0.014 0.860  -0.101 0.768  -0.215 0.677  -0.330 0.585  -0.434 0.482  -0.534 0.374  -0.633 0.266  -0.733 0.158  -0.808 0.035  -0.862 -0.102  -0.917 -0.238  -0.972 -0.374  -1.007 -0.516  -1.036 -0.660  -1.034 -0.801  -0.975 -0.935  -0.914 -1.068  -0.796 -1.157  -0.679 -1.245  -0.542 -1.282  -0.396 -1.294  -0.249 -1.306  -0.103 -1.319  0.043 -1.331  0.190 -1.343
1c#apb#apb17#app1793/d  1.173 1.743  1.102 1.602  1.033 1.461  0.973 1.316  0.913 1.171  0.853 1.025  0.792 0.880  0.731 0.735  0.670 0.590  0.610 0.445  0.553 0.298  0.496 0.152  0.439 0.005  0.383 -0.142  0.327 -0.288  0.266 -0.433  0.202 -0.577  0.131 -0.717  0.090 -0.774  0.115 -0.619  0.207 -0.491  0.267 -0.349  0.302 -0.196  0.335 -0.042  0.359 0.113  0.382 0.269  0.346 0.421  0.245 0.509  0.091 0.543  -0.048 0.475  -0.187 0.401  -0.326 0.327  -0.466 0.256  -0.607 0.186  -0.748 0.116  -0.849 -0.003  -0.946 -0.127  -1.043 -0.250  -1.135 -0.378  -1.225 -0.507  -1.251 -0.656  -1.189 -0.794  -1.087 -0.907  -0.936 -0.952  -0.783 -0.980  -0.626 -0.980  -0.469 -0.980  -0.312 -0.977  -0.155 -0.965  0.002 -0.953
1c#apb#apb17#app1793/e  -0.849 -0.023  -0.839 0.053  -0.709 -0.020  -0.578 -0.091  -0.432 -0.123  -0.285 -0.152  -0.136 -0.138  0.013 -0.125  0.156 -0.086  0.297 -0.034  0.438 0.016  0.580 0.064  0.716 0.118  0.802 0.240  0.888 0.363  0.974 0.486  1.060 0.608  1.145 0.731  1.192 0.871  1.226 1.016  1.084 1.057  0.936 1.076  0.793 1.041  0.652 0.991  0.511 0.941  0.370 0.892  0.240 0.818  0.111 0.741  -0.017 0.664  -0.144 0.586  -0.258 0.488  -0.371 0.391  -0.485 0.293  -0.594 0.193  -0.653 0.055  -0.712 -0.082  -0.771 -0.220  -0.803 -0.365  -0.828 -0.513  -0.847 -0.661  -0.832 -0.809  -0.817 -0.958  -0.722 -1.072  -0.623 -1.185  -0.500 -1.264  -0.364 -1.326  -0.227 -1.386  -0.078 -1.386  0.072 -1.386  0.222 -1.386
1c#apb#apb17#app1793/f  1.377 1.007  1.303 1.096  1.218 1.172  1.122 1.237  1.019 1.270  0.904 1.256  0.789 1.242  0.676 1.221  0.567 1.181  0.459 1.142  0.364 1.076  0.269 1.009  0.197 0.922  0.139 0.822  0.081 0.722  0.042 0.613  0.006 0.503  -0.031 0.394  -0.060 0.283  -0.067 0.167  -0.074 0.052  -0.083 -0.063  -0.099 -0.178  -0.116 -0.292  -0.125 -0.407  -0.125 -0.523  -0.125 -0.639  -0.142 -0.753  -0.161 -0.867  -0.200 -0.974  -0.257 -1.074  -0.303 -1.180  -0.352 -1.285  -0.403 -1.263  -0.454 -1.159  -0.504 -1.055  -0.555 -0.951  -0.606 -0.847  -0.657 -0.743  -0.707 -0.639  -0.758 -0.535  -0.809 -0.431  -0.746 -0.361  -0.631 -0.355  -0.515 -0.347  -0.400 -0.336  -0.287 -0.314  -0.173 -0.293  -0.060 -0.271  0.054 -0.249
1c#apb#apb17#app1793/g  0.539 0.537  0.630 0.641  0.690 0.761  0.713 0.897  0.657 1.015  0.534 1.063  0.399 1.070  0.265 1.034  0.133 0.995  0.008 0.937  -0.118 0.878  -0.240 0.814  -0.362 0.749  -0.452 0.648  -0.531 0.534  -0.555 0.406  -0.459 0.343  -0.321 0.343  -0.183 0.353  -0.046 0.369  0.091 0.386  0.226 0.417  0.358 0.455  0.484 0.512  0.607 0.576  0.675 0.593  0.675 0.455  0.656 0.321  0.599 0.195  0.552 0.065  0.511 -0.067  0.470 -0.199  0.430 -0.331  0.369 -0.455  0.303 -0.577  0.228 -0.693  0.150 -0.807  0.072 -0.920  -0.030 -1.014  -0.132 -1.107  -0.253 -1.170  -0.382 -1.222  -0.515 -1.250  -0.653 -1.250  -0.791 -1.250  -0.929 -1.250  -1.068 -1.250  -1.203 -1.225  -1.338 -1.193  -1.462 -1.133
1c#apb#apb17#app1793/h  0.044 1.576  0.058 1.529  0.033 1.384  -0.014 1.244  -0.063 1.105  -0.116 0.967  -0.170 0.830  -0.225 0.693  -0.285 0.558  -0.344 0.422  -0.419 0.296  -0.503 0.175  -0.587 0.053  -0.660 -0.075  -0.729 -0.205  -0.798 -0.336  -0.881 -0.458  -0.967 -0.577  -1.058 -0.694  -1.124 -0.824  -1.137 -0.853  -1.068 -0.722  -0.992 -0.595  -0.895 -0.489  -0.772 -0.407  -0.649 -0.326  -0.532 -0.236  -0.416 -0.144  -0.301 -0.052  -0.186 0.040  -0.055 0.108  0.079 0.167  0.214 0.227  0.358 0.254  0.505 0.271  0.652 0.287  0.799 0.298  0.946 0.310  1.075 0.239  1.171 0.140  1.218 -0.000  1.198 -0.146  1.176 -0.292  1.120 -0.428  1.062 -0.564  0.993 -0.694  0.917 -0.820  0.849 -0.951  0.782 -1.082  0.700 -1.205
1c#apb#apb17#app1793/i  0.504 0.635  0.425 0.554  0.403 0.433  0.381 0.312  0.345 0.196  0.300 0.081  0.256 -0.034  0.213 -0.149  0.171 -0.264  0.128 -0.379  0.086 -0.495  0.035 -0.606  -0.026 -0.713  -0.087 -0.820  -0.147 -0.927  -0.189 -1.042  -0.231 -1.158  -0.277 -1.271  -0.327 -1.384  -0.367 -1.499  -0.365 -1.469  -0.343 -1.348  -0.322 -1.227  -0.300 -1.106  -0.278 -0.985  -0.257 -0.864  -0.235 -0.743  -0.213 -0.622  -0.192 -0.501  -0.170 -0.380  -0.148 -0.259  -0.127 -0.138  -0.105 -0.017  -0.083 0.104  -0.062 0.225  -0.040 0.346  -0.018 0.467  0.003 0.588  0.025 0.709  0.047 0.830  0.068 0.951  0.090 1.071  0.112 1.192  0.133 1.313  0.155 1.434  0.177 1.555  0.198 1.676  0.220 1.797  0.242 1.918  0.192 2.011
1c#apb#apb17#app1793/j  0.623 0.817  0.623 0.705  0.623 0.574  0.623 0.442  0.623 0.311  0.623 0.180  0.611 0.050  0.594 -0.081  0.577 -0.211  0.554 -0.340  0.528 -0.468  0.501 -0.597  0.445 -0.715  0.390 -0.834  0.316 -0.942  0.232 -1.042  0.125 -1.110  0.001 -1.151  -0.130 -1.151  -0.259 -1.138  -0.381 -1.089  -0.501 -1.038  -0.617 -0.975  -0.727 -0.906  -0.824 -0.818  -0.927 -0.738  -1.031 -0.661  -1.045 -0.551  -0.965 -0.448  -0.882 -0.347  -0.799 -0.245  -0.716 -0.144  -0.633 -0.042  -0.550 0.059  -0.467 0.161  -0.384 0.263  -0.301 0.364  -0.217 0.466  -0.134 0.567  -0.051 0.669  0.032 0.770  0.115 0.872  0.198 0.974  0.281 1.075  0.364 1.177  0.447 1.278  0.530 1.380  0.613 1.481  0.696 1.583  0.657 1.563
1c#apb#apb17#app1793/k  -0.260 1.418  -0.200 1.522  -0.220 1.295  -0.268 1.070  -0.335 0.852  -0.415 0.637  -0.499 0.423  -0.590 0.213  -0.677 0.001  -0.759 -0.213  -0.860 -0.419  -0.974 -0.618  -1.105 -0.805  -1.229 -0.996  -1.165 -0.838  -0.983 -0.698  -0.801 -0.559  -0.619 -0.419  -0.437 -0.279  -0.255 -0.140  -0.073 -0.000  0.109 0.140  0.291 0.279  0.473 0.419  0.655 0.558  0.837 0.698  1.019 0.838  1.201 0.977  1.301 0.973  1.242 0.764  1.061 0.622  0.881 0.481  0.697 0.344  0.513 0.208  0.328 0.071  0.140 -0.058  -0.063 -0.165  -0.266 -0.272  -0.478 -0.358  -0.699 -0.418  -0.616 -0.425  -0.396 -0.489  -0.174 -0.545  0.049 -0.600  0.273 -0.648  0.491 -0.712  0.682 -0.840  0.876 -0.962  1.076 -1.074  1.223 -1.250
