1b#tos#f2#f2032060/A  -0.991 -0.594  -1.106 -0.732  -1.187 -0.893  -1.208 -1.053  -1.102 -0.935  -0.998 -0.788  -0.872 -0.658  -0.816 -0.490  -0.720 -0.339  -0.611 -0.194  -0.507 -0.047  -0.414 0.109  -0.308 0.255  -0.214 0.409  -0.133 0.571  -0.014 0.705  0.062 0.866  0.065 1.046  0.174 1.159  0.336 1.240  0.367 1.414  0.449 1.564  0.534 1.645  0.587 1.483  0.616 1.309  0.616 1.128  0.616 0.947  0.616 0.766  0.616 0.585  0.549 0.420  0.499 0.247  0.478 0.068  0.470 -0.111  0.432 -0.286  0.432 -0.467  0.432 -0.648  0.432 -0.829  0.432 -1.010  0.432 -1.191  0.397 -1.201  0.327 -1.034  0.257 -0.867  0.187 -0.700  0.117 -0.533  0.017 -0.410  -0.118 -0.456  -0.299 -0.456  -0.150 -0.375  0.021 -0.319  0.202 -0.319
1b#tos#f2#f2032060/D  0.173 1.347  0.173 1.347  0.021 1.234  -0.043 1.055  -0.121 0.882  -0.215 0.715  -0.288 0.538  -0.348 0.356  -0.452 0.195  -0.572 0.046  -0.656 -0.121  -0.706 -0.303  -0.821 -0.457  -0.921 -0.620  -0.975 -0.797  -1.023 -0.981  -1.066 -1.168  -1.001 -1.134  -0.893 -0.976  -0.785 -0.818  -0.677 -0.659  -0.568 -0.501  -0.460 -0.342  -0.352 -0.184  -0.244 -0.026  -0.136 0.133  -0.028 0.291  0.081 0.450  0.189 0.608  0.269 0.775  0.375 0.917  0.567 0.917  0.759 0.917  0.951 0.917  1.097 0.859  1.133 0.672  1.178 0.490  1.178 0.298  1.137 0.116  1.032 -0.042  0.987 -0.215  0.889 -0.377  0.735 -0.492  0.563 -0.573  0.403 -0.672  0.237 -0.761  0.065 -0.845  -0.105 -0.930  -0.287 -0.991  -0.449 -1.092
1b#tos#f2#f2032060/E  -0.125 1.386  -0.254 1.295  -0.132 1.172  0.088 1.172  0.307 1.172  0.524 1.188  0.739 1.215  0.594 1.259  0.381 1.313  0.168 1.366  -0.044 1.419  -0.168 1.334  -0.211 1.157  -0.254 0.948  -0.272 0.731  -0.310 0.517  -0.395 0.318  -0.425 0.108  -0.425 -0.112  -0.425 -0.331  -0.425 -0.550  -0.457 -0.765  -0.468 -0.982  -0.505 -1.120  -0.449 -0.908  -0.392 -0.696  -0.336 -0.484  -0.279 -0.272  -0.223 -0.060  -0.168 0.137  -0.026 0.059  0.193 0.059  0.413 0.059  0.578 0.042  0.401 -0.088  0.223 -0.217  0.046 -0.346  -0.132 -0.475  -0.309 -0.604  -0.345 -0.806  -0.488 -0.968  -0.455 -1.054  -0.235 -1.054  -0.016 -1.054  0.204 -1.054  0.423 -1.054  0.643 -1.054  0.858 -1.082  1.075 -1.097  1.287 -1.139
1b#tos#f2#f2032060/F  -0.084 1.177  -0.205 1.057  -0.189 1.009  -0.023 0.987  0.124 0.911  0.294 0.911  0.455 0.873  0.625 0.873  0.795 0.873  0.965 0.873  0.830 0.919  0.667 0.970  0.505 1.020  0.342 1.071  0.180 1.121  0.018 1.172  -0.122 1.191  -0.160 1.059  -0.209 0.900  -0.274 0.757  -0.274 0.587  -0.299 0.421  -0.312 0.253  -0.312 0.083  -0.312 -0.087  -0.312 -0.258  -0.312 -0.428  -0.312 -0.598  -0.312 -0.768  -0.312 -0.938  -0.312 -1.108  -0.312 -1.278  -0.312 -1.448  -0.312 -1.618  -0.312 -1.631  -0.312 -1.461  -0.312 -1.291  -0.312 -1.120  -0.312 -0.950  -0.312 -0.780  -0.312 -0.610  -0.312 -0.440  -0.278 -0.456  -0.135 -0.520  0.030 -0.532  0.201 -0.532  0.371 -0.532  0.536 -0.544  0.695 -0.570  0.865 -0.570
1b#tos#f2#f2032060/G  0.512 1.322  0.596 1.446  0.427 1.450  0.253 1.450  0.128 1.369  0.011 1.264  -0.161 1.236  -0.315 1.171  -0.444 1.053  -0.567 0.929  -0.690 0.806  -0.784 0.661  -0.887 0.523  -0.960 0.367  -0.990 0.198  -1.024 0.027  -1.033 -0.146  -1.033 -0.320  -0.940 -0.458  -0.861 -0.609  -0.704 -0.652  -0.586 -0.749  -0.434 -0.823  -0.260 -0.823  -0.088 -0.809  0.073 -0.742  0.244 -0.705  0.367 -0.599  0.426 -0.446  0.426 -0.271  0.341 -0.130  0.224 -0.001  0.106 0.129  -0.015 0.249  -0.172 0.209  -0.107 0.163  0.045 0.090  0.196 0.011  0.349 -0.051  0.512 -0.099  0.640 -0.145  0.726 -0.267  0.855 -0.312  0.855 -0.487  0.812 -0.654  0.769 -0.819  0.769 -0.993  0.769 -1.168  0.812 -1.335  0.812 -1.510
1b#tos#f2#f2032060/H  -0.632 1.324  -0.593 1.350  -0.612 1.189  -0.632 1.030  -0.643 0.863  -0.671 0.700  -0.671 0.531  -0.746 0.384  -0.787 0.227  -0.807 0.061  -0.853 -0.100  -0.904 -0.259  -0.904 -0.427  -0.904 -0.595  -0.904 -0.763  -0.943 -0.925  -0.922 -0.999  -0.851 -0.846  -0.780 -0.694  -0.709 -0.541  -0.638 -0.388  -0.568 -0.236  -0.497 -0.083  -0.467 0.043  -0.357 0.004  -0.189 0.004  -0.021 0.004  0.147 0.004  0.316 0.004  0.484 0.004  0.643 0.043  0.657 0.157  0.721 0.313  0.784 0.469  0.848 0.624  0.912 0.780  0.960 0.856  0.960 0.687  0.960 0.519  0.960 0.351  0.960 0.183  0.960 0.015  0.960 -0.154  0.938 -0.320  0.908 -0.486  0.875 -0.651  0.842 -0.816  0.804 -0.979  0.804 -1.147  0.804 -1.316
1b#tos#f2#f2032060/I  -0.035 1.362  -0.138 1.348  -0.185 1.270  -0.269 1.236  -0.374 1.218  -0.337 1.213  -0.239 1.193  -0.164 1.118  -0.089 1.043  0.010 1.026  0.116 1.026  0.218 1.011  0.319 0.989  0.362 1.026  0.256 1.026  0.226 0.950  0.194 0.852  0.147 0.757  0.114 0.658  0.085 0.559  0.039 0.464  0.039 0.358  0.023 0.254  -0.006 0.152  -0.054 0.057  -0.105 -0.035  -0.160 -0.126  -0.185 -0.225  -0.185 -0.331  -0.185 -0.437  -0.209 -0.539  -0.222 -0.643  -0.222 -0.749  -0.222 -0.856  -0.222 -0.962  -0.259 -1.052  -0.259 -1.158  -0.344 -1.150  -0.370 -1.136  -0.264 -1.136  -0.157 -1.136  -0.051 -1.136  0.055 -1.136  0.161 -1.136  0.267 -1.136  0.369 -1.159  0.473 -1.174  0.576 -1.191  0.679 -1.211  0.785 -1.211
1b#tos#f2#f2032060/J  -0.086 1.161  -0.104 1.071  -0.212 1.071  -0.304 1.032  -0.381 0.955  -0.409 0.936  -0.301 0.936  -0.192 0.936  -0.085 0.937  -0.008 1.013  0.095 1.026  0.203 1.026  0.311 1.026  0.401 1.071  0.397 1.071  0.289 1.071  0.195 1.037  0.184 0.934  0.184 0.826  0.184 0.717  0.184 0.609  0.170 0.504  0.139 0.404  0.139 0.296  0.160 0.196  0.184 0.098  0.184 -0.010  0.184 -0.118  0.184 -0.226  0.225 -0.317  0.229 -0.424  0.229 -0.532  0.229 -0.640  0.229 -0.749  0.229 -0.857  0.229 -0.965  0.229 -1.073  0.252 -1.175  0.258 -1.263  0.150 -1.263  0.042 -1.263  -0.066 -1.263  -0.174 -1.263  -0.283 -1.263  -0.391 -1.263  -0.499 -1.263  -0.599 -1.231  -0.704 -1.218  -0.804 -1.188  -0.894 -1.129
1b#tos#f2#f2032060/K  -0.453 1.752  -0.593 1.710  -0.560 1.510  -0.560 1.302  -0.560 1.095  -0.560 0.887  -0.594 0.684  -0.614 0.480  -0.614 0.272  -0.614 0.064  -0.668 -0.135  -0.668 -0.343  -0.668 -0.550  -0.668 -0.758  -0.722 -0.953  -0.655 -0.950  -0.536 -0.780  -0.416 -0.610  -0.297 -0.440  -0.177 -0.270  -0.058 -0.100  0.062 0.070  0.181 0.240  0.301 0.410  0.420 0.580  0.540 0.750  0.659 0.920  0.661 0.778  0.467 0.706  0.308 0.576  0.129 0.505  -0.018 0.358  -0.187 0.243  -0.352 0.138  -0.506 0.084  -0.376 -0.023  -0.168 -0.023  0.040 -0.023  0.247 -0.023  0.388 -0.111  0.496 -0.273  0.515 -0.473  0.677 -0.520  0.704 -0.724  0.785 -0.912  0.840 -1.103  0.933 -1.289  1.051 -1.438  1.136 -1.598  1.322 -1.690
1b#tos#f2#f2032060/L  -0.272 1.697  -0.316 1.649  -0.316 1.557  -0.316 1.465  -0.316 1.373  -0.316 1.281  -0.316 1.189  -0.316 1.097  -0.316 1.005  -0.336 0.916  -0.358 0.827  -0.360 0.735  -0.385 0.651  -0.436 0.574  -0.447 0.485  -0.447 0.393  -0.447 0.301  -0.447 0.209  -0.468 0.122  -0.491 0.036  -0.491 -0.056  -0.491 -0.148  -0.491 -0.240  -0.491 -0.332  -0.491 -0.424  -0.491 -0.516  -0.535 -0.590  -0.524 -0.675  -0.441 -0.713  -0.349 -0.713  -0.257 -0.713  -0.165 -0.713  -0.073 -0.713  0.019 -0.713  0.111 -0.713  0.202 -0.706  0.293 -0.688  0.383 -0.670  0.472 -0.648  0.561 -0.625  0.653 -0.625  0.745 -0.625  0.837 -0.625  0.929 -0.625  1.021 -0.625  1.113 -0.625  1.205 -0.625  1.297 -0.625  1.389 -0.625  1.481 -0.625
1b#tos#f2#f2032060/N  -1.285 -0.698  -1.436 -0.698  -1.461 -0.572  -1.389 -0.451  -1.300 -0.332  -1.202 -0.220  -1.149 -0.081  -1.023 0.003  -0.933 0.123  -0.826 0.228  -0.714 0.323  -0.693 0.464  -0.587 0.571  -0.476 0.672  -0.341 0.739  -0.319 0.876  -0.174 0.882  -0.078 0.970  -0.012 0.885  0.042 0.767  0.076 0.638  0.076 0.487  0.076 0.337  0.076 0.186  0.076 0.035  0.076 -0.116  0.076 -0.266  0.076 -0.417  0.076 -0.568  0.076 -0.718  0.076 -0.869  0.076 -1.020  0.109 -1.137  0.194 -1.046  0.241 -0.903  0.305 -0.767  0.372 -0.632  0.453 -0.505  0.555 -0.394  0.607 -0.254  0.714 -0.148  0.802 -0.026  0.903 0.085  1.009 0.192  1.109 0.304  1.198 0.424  1.305 0.531  1.404 0.643  1.512 0.722  1.656 0.750
