2#app#app34#app3468/b  -0.898 1.483  -0.898 1.302  -0.841 1.144  -0.756 0.998  -0.756 0.817  -0.756 0.635  -0.756 0.454  -0.701 0.295  -0.614 0.150  -0.614 -0.031  -0.614 -0.212  -0.614 -0.394  -0.614 -0.575  -0.614 -0.756  -0.601 -0.641  -0.473 -0.588  -0.473 -0.407  -0.473 -0.225  -0.451 -0.053  -0.331 0.078  -0.331 0.260  -0.240 0.350  -0.190 0.481  -0.161 0.633  0.000 0.682  0.143 0.775  0.235 0.864  0.364 0.917  0.537 0.898  0.668 0.775  0.802 0.728  0.863 0.572  0.943 0.424  1.019 0.274  1.085 0.120  1.085 -0.061  1.085 -0.243  1.085 -0.424  1.085 -0.605  0.982 -0.744  0.943 -0.909  0.777 -0.924  0.596 -0.924  0.445 -0.998  0.292 -1.066  0.111 -1.066  -0.071 -1.066  -0.252 -1.066  -0.433 -1.066  -0.614 -1.066
2#app#app34#app3468/i  -0.089 0.043  0.025 0.043  0.066 -0.032  0.066 -0.146  0.066 -0.260  0.066 -0.375  0.066 -0.489  0.066 -0.604  0.066 -0.718  0.167 -0.732  0.221 -0.792  0.221 -0.907  0.221 -1.021  0.221 -1.136  0.221 -1.250  0.221 -1.365  0.221 -1.479  0.208 -1.420  0.192 -1.307  0.176 -1.193  0.160 -1.080  0.143 -0.967  0.127 -0.853  0.111 -0.740  0.095 -0.627  0.079 -0.513  0.062 -0.400  0.046 -0.287  0.030 -0.173  0.014 -0.060  -0.002 0.053  -0.019 0.167  -0.035 0.280  -0.051 0.393  -0.067 0.507  -0.083 0.620  -0.099 0.733  -0.116 0.847  -0.132 0.960  -0.148 1.073  -0.164 1.187  -0.180 1.300  -0.197 1.413  -0.213 1.526  -0.229 1.640  -0.251 1.746  -0.365 1.746  -0.399 1.666  -0.399 1.551  -0.399 1.437
2#app#app34#app3468/g  0.064 1.111  0.007 1.200  -0.049 1.289  -0.195 1.289  -0.304 1.200  -0.382 1.133  -0.495 1.086  -0.598 0.983  -0.649 0.859  -0.738 0.750  -0.738 0.604  -0.738 0.459  -0.653 0.398  -0.596 0.309  -0.540 0.220  -0.394 0.220  -0.249 0.220  -0.103 0.220  0.042 0.220  0.152 0.308  0.242 0.417  0.242 0.562  0.242 0.708  0.242 0.853  0.242 0.867  0.242 0.721  0.242 0.576  0.242 0.430  0.253 0.287  0.318 0.157  0.343 0.017  0.408 -0.113  0.420 -0.256  0.481 -0.376  0.517 -0.508  0.582 -0.638  0.598 -0.780  0.598 -0.926  0.598 -1.071  0.586 -1.205  0.509 -1.273  0.421 -1.382  0.291 -1.448  0.151 -1.472  0.005 -1.472  -0.140 -1.472  -0.262 -1.414  -0.391 -1.374  -0.503 -1.294  -0.560 -1.205
2#app#app34#app3468/i  -0.134 0.390  -0.048 0.305  0.022 0.213  0.022 0.092  0.022 -0.029  0.022 -0.151  0.022 -0.272  0.022 -0.393  0.022 -0.514  0.110 -0.547  0.179 -0.600  0.179 -0.721  0.179 -0.842  0.179 -0.963  0.247 -1.016  0.335 -1.049  0.335 -1.171  0.335 -1.292  0.335 -1.413  0.324 -1.438  0.297 -1.320  0.271 -1.202  0.244 -1.084  0.217 -0.965  0.190 -0.847  0.163 -0.729  0.136 -0.611  0.110 -0.493  0.083 -0.375  0.056 -0.257  0.029 -0.139  0.002 -0.020  -0.025 0.098  -0.052 0.216  -0.078 0.334  -0.105 0.452  -0.132 0.570  -0.159 0.688  -0.186 0.806  -0.213 0.925  -0.239 1.043  -0.266 1.161  -0.293 1.279  -0.320 1.397  -0.347 1.515  -0.374 1.633  -0.401 1.751  -0.427 1.870  -0.446 1.918  -0.446 1.797
2#app#app34#app3468/n  -1.084 0.492  -0.944 0.492  -0.934 0.362  -0.934 0.222  -0.934 0.082  -0.934 -0.058  -0.934 -0.198  -0.876 -0.314  -0.785 -0.416  -0.785 -0.556  -0.785 -0.696  -0.691 -0.797  -0.636 -0.914  -0.636 -0.949  -0.636 -0.809  -0.636 -0.670  -0.636 -0.530  -0.636 -0.390  -0.631 -0.255  -0.491 -0.255  -0.486 -0.119  -0.486 0.020  -0.486 0.160  -0.411 0.269  -0.337 0.378  -0.337 0.518  -0.320 0.641  -0.188 0.649  -0.188 0.789  -0.050 0.791  0.090 0.791  0.230 0.791  0.370 0.791  0.510 0.791  0.623 0.727  0.722 0.628  0.821 0.529  0.920 0.430  1.007 0.326  1.014 0.193  1.154 0.193  1.156 0.056  1.156 -0.084  1.240 -0.189  1.306 -0.302  1.306 -0.442  1.306 -0.582  1.306 -0.722  1.306 -0.862  1.306 -1.002
2#app#app34#app3468/k  -1.105 1.887  -1.038 1.708  -0.892 1.562  -0.879 1.361  -0.879 1.154  -0.773 0.992  -0.766 0.787  -0.766 0.581  -0.654 0.421  -0.654 0.214  -0.654 0.007  -0.541 -0.153  -0.541 -0.359  -0.541 -0.566  -0.511 -0.766  -0.428 -0.953  -0.377 -0.942  -0.284 -0.757  -0.192 -0.572  -0.099 -0.387  -0.007 -0.202  0.086 -0.018  0.178 0.167  0.270 0.352  0.363 0.537  0.455 0.722  0.548 0.907  0.587 0.866  0.587 0.660  0.450 0.510  0.361 0.340  0.249 0.180  0.171 0.005  0.025 -0.141  -0.122 -0.287  -0.202 -0.460  -0.315 -0.407  -0.202 -0.313  -0.054 -0.255  0.151 -0.263  0.336 -0.355  0.520 -0.414  0.667 -0.560  0.813 -0.706  0.925 -0.801  1.038 -0.895  1.095 -1.045  1.189 -1.157  1.151 -1.139  1.264 -1.045
2#app#app34#app3468/y  -0.758 1.275  -0.662 1.223  -0.652 1.084  -0.567 1.021  -0.485 0.906  -0.447 0.773  -0.375 0.654  -0.375 0.506  -0.319 0.413  -0.279 0.304  -0.233 0.175  -0.183 0.047  -0.090 -0.063  0.057 -0.066  0.176 0.006  0.214 0.139  0.319 0.244  0.392 0.363  0.393 0.511  0.487 0.621  0.487 0.769  0.583 0.822  0.583 0.971  0.583 1.119  0.583 1.091  0.483 0.984  0.392 0.873  0.392 0.725  0.379 0.579  0.312 0.446  0.284 0.306  0.191 0.194  0.144 0.053  0.104 -0.090  0.104 -0.238  0.080 -0.377  0.008 -0.496  0.008 -0.645  0.008 -0.793  -0.001 -0.938  -0.087 -1.051  -0.144 -1.176  -0.183 -1.308  -0.279 -1.417  -0.279 -1.566  -0.361 -1.681  -0.375 -1.824  -0.289 -1.886  -0.236 -1.791  -0.087 -1.791
2#app#app34#app3468/d  -0.122 -0.088  -0.205 0.029  -0.357 -0.019  -0.475 -0.103  -0.573 -0.206  -0.656 -0.324  -0.731 -0.462  -0.829 -0.623  -0.946 -0.706  -0.946 -0.907  -0.869 -1.031  -0.786 -1.149  -0.585 -1.149  -0.384 -1.149  -0.232 -1.031  -0.030 -1.031  0.171 -1.031  0.254 -0.913  0.455 -0.913  0.436 -0.727  0.403 -0.529  0.370 -0.330  0.337 -0.132  0.304 0.067  0.271 0.265  0.238 0.463  0.205 0.662  0.172 0.860  0.139 1.058  0.106 1.257  0.073 1.455  0.040 1.654  0.007 1.852  0.010 1.783  0.114 1.625  0.114 1.423  0.114 1.222  0.162 1.041  0.232 0.869  0.232 0.668  0.232 0.467  0.232 0.266  0.269 0.073  0.350 -0.109  0.350 -0.310  0.467 -0.462  0.467 -0.663  0.467 -0.864  0.467 -1.066  0.467 -1.031
2#app#app34#app3468/e  -0.484 -0.317  -0.360 -0.192  -0.216 -0.114  -0.039 -0.114  0.123 -0.101  0.123 0.076  0.287 0.088  0.464 0.088  0.529 0.200  0.614 0.291  0.731 0.350  0.764 0.493  0.934 0.500  0.934 0.676  0.823 0.807  0.685 0.898  0.529 0.919  0.529 1.095  0.358 1.101  0.182 1.101  0.005 1.101  -0.171 1.101  -0.282 1.035  -0.321 0.898  -0.484 0.885  -0.484 0.709  -0.648 0.696  -0.687 0.559  -0.798 0.493  -0.889 0.409  -0.889 0.232  -0.889 0.056  -0.889 -0.120  -0.889 -0.297  -0.889 -0.473  -0.889 -0.649  -0.816 -0.795  -0.692 -0.920  -0.517 -0.925  -0.383 -1.026  -0.248 -1.127  -0.072 -1.127  0.104 -1.127  0.281 -1.127  0.457 -1.127  0.633 -1.127  0.810 -1.127  0.934 -1.075  0.960 -0.925  1.136 -0.925
2#app#app34#app3468/v  -1.233 1.059  -1.233 0.933  -1.223 0.817  -1.098 0.817  -0.992 0.798  -0.992 0.673  -0.963 0.576  -0.837 0.576  -0.750 0.538  -0.750 0.413  -0.750 0.287  -0.750 0.162  -0.710 0.053  -0.621 -0.035  -0.532 -0.124  -0.509 -0.240  -0.509 -0.365  -0.407 -0.388  -0.281 -0.388  -0.268 -0.500  -0.268 -0.625  -0.182 -0.715  -0.094 -0.804  -0.027 -0.902  -0.027 -1.027  0.014 -1.111  0.139 -1.111  0.250 -1.075  0.338 -0.987  0.427 -0.898  0.455 -0.784  0.455 -0.659  0.551 -0.629  0.676 -0.629  0.696 -0.524  0.696 -0.398  0.696 -0.273  0.696 -0.148  0.696 -0.022  0.696 0.103  0.696 0.228  0.704 0.352  0.760 0.464  0.816 0.576  0.872 0.688  0.928 0.800  0.937 0.924  0.937 1.049  0.937 1.174  0.937 1.300
2#app#app34#app3468/i  -0.196 0.108  -0.196 -0.001  -0.150 -0.090  -0.073 -0.167  -0.045 -0.263  -0.045 -0.372  -0.045 -0.480  -0.045 -0.589  -0.012 -0.684  0.065 -0.760  0.107 -0.851  0.107 -0.960  0.107 -1.068  0.107 -1.177  0.107 -1.285  0.107 -1.394  0.200 -1.409  0.252 -1.360  0.236 -1.252  0.221 -1.145  0.206 -1.038  0.190 -0.930  0.175 -0.823  0.160 -0.715  0.144 -0.608  0.129 -0.501  0.114 -0.393  0.098 -0.286  0.083 -0.179  0.068 -0.071  0.052 0.036  0.037 0.144  0.022 0.251  0.006 0.358  -0.009 0.466  -0.024 0.573  -0.040 0.681  -0.055 0.788  -0.070 0.895  -0.086 1.003  -0.101 1.110  -0.116 1.217  -0.132 1.325  -0.147 1.432  -0.163 1.540  -0.178 1.647  -0.193 1.754  -0.283 1.776  -0.348 1.819  -0.348 1.928
