1c#apa#apa15#app1590/p  -0.036 0.467  -0.119 0.300  -0.203 0.133  -0.220 -0.049  -0.220 -0.236  -0.220 -0.423  -0.220 -0.609  -0.151 -0.780  -0.068 -0.946  -0.036 -1.125  -0.036 -1.312  -0.036 -1.499  -0.036 -1.685  -0.036 -1.627  -0.036 -1.441  -0.036 -1.254  -0.036 -1.067  -0.036 -0.881  -0.129 -0.733  -0.246 -0.590  -0.329 -0.423  -0.413 -0.256  -0.496 -0.089  -0.580 0.078  -0.706 0.214  -0.775 0.372  -0.775 0.559  -0.775 0.745  -0.775 0.932  -0.677 1.021  -0.520 1.091  -0.380 1.206  -0.194 1.206  -0.007 1.206  0.180 1.206  0.366 1.206  0.553 1.206  0.729 1.180  0.861 1.048  0.954 0.888  1.038 0.722  1.024 0.555  0.941 0.388  0.839 0.234  0.707 0.102  0.575 -0.030  0.430 -0.146  0.275 -0.250  0.120 -0.353  -0.036 -0.457
1c#apa#apa15#app1590/i  0.152 0.057  0.152 -0.045  0.152 -0.147  0.152 -0.250  0.152 -0.352  0.152 -0.454  0.152 -0.556  0.152 -0.658  0.152 -0.761  0.152 -0.863  0.152 -0.965  0.152 -1.067  0.152 -1.169  0.152 -1.272  0.152 -1.374  0.150 -1.442  0.138 -1.340  0.125 -1.239  0.112 -1.138  0.100 -1.036  0.087 -0.935  0.074 -0.833  0.061 -0.732  0.049 -0.631  0.036 -0.529  0.023 -0.428  0.011 -0.326  -0.002 -0.225  -0.015 -0.124  -0.027 -0.022  -0.040 0.079  -0.053 0.181  -0.065 0.282  -0.078 0.384  -0.091 0.485  -0.103 0.586  -0.116 0.688  -0.129 0.789  -0.141 0.891  -0.154 0.992  -0.167 1.093  -0.179 1.195  -0.192 1.296  -0.205 1.398  -0.217 1.499  -0.230 1.601  -0.243 1.702  -0.255 1.803  -0.268 1.905  -0.281 2.006
1c#apa#apa15#app1590/n  -0.453 0.491  -0.453 0.332  -0.453 0.173  -0.453 0.013  -0.453 -0.146  -0.453 -0.306  -0.453 -0.465  -0.453 -0.624  -0.453 -0.784  -0.453 -0.943  -0.453 -1.102  -0.453 -1.262  -0.453 -1.292  -0.453 -1.132  -0.490 -0.979  -0.541 -0.828  -0.591 -0.677  -0.642 -0.525  -0.692 -0.374  -0.717 -0.219  -0.717 -0.059  -0.717 0.100  -0.717 0.259  -0.717 0.419  -0.630 0.491  -0.470 0.491  -0.389 0.618  -0.318 0.761  -0.247 0.903  -0.168 1.040  -0.055 1.153  0.058 1.266  0.195 1.223  0.338 1.152  0.481 1.081  0.603 0.997  0.603 0.838  0.658 0.701  0.770 0.588  0.873 0.470  0.911 0.315  0.950 0.160  0.989 0.006  1.027 -0.149  1.066 -0.304  1.105 -0.458  1.131 -0.614  1.131 -0.774  1.131 -0.933  1.131 -1.092
1c#apa#apa15#app1590/k  -1.149 1.639  -1.051 1.444  -0.954 1.249  -0.921 1.038  -0.878 0.827  -0.809 0.620  -0.740 0.413  -0.671 0.206  -0.602 -0.000  -0.533 -0.207  -0.466 -0.414  -0.466 -0.633  -0.466 -0.851  -0.401 -1.058  -0.332 -1.265  -0.263 -1.472  -0.181 -1.422  -0.091 -1.223  -0.000 -1.025  0.090 -0.826  0.180 -0.628  0.270 -0.429  0.360 -0.231  0.451 -0.032  0.541 0.166  0.631 0.365  0.721 0.563  0.812 0.762  0.900 0.961  0.900 1.179  1.113 1.184  1.036 1.001  0.939 0.806  0.791 0.656  0.609 0.535  0.428 0.414  0.246 0.293  0.088 0.144  -0.081 0.010  -0.276 -0.087  -0.470 -0.187  -0.624 -0.341  -0.573 -0.410  -0.355 -0.410  -0.137 -0.410  0.072 -0.451  0.267 -0.548  0.464 -0.637  0.682 -0.637  0.900 -0.637
1c#apa#apa15#app1590/i  -0.051 -0.253  -0.051 -0.347  -0.051 -0.440  -0.051 -0.534  -0.051 -0.627  -0.051 -0.721  -0.051 -0.814  -0.051 -0.908  -0.051 -1.001  -0.051 -1.095  -0.051 -1.188  -0.051 -1.282  -0.039 -1.363  0.054 -1.363  0.085 -1.303  0.081 -1.210  0.077 -1.116  0.073 -1.023  0.069 -0.929  0.065 -0.836  0.061 -0.743  0.058 -0.649  0.054 -0.556  0.050 -0.462  0.046 -0.369  0.042 -0.276  0.038 -0.182  0.034 -0.089  0.030 0.005  0.026 0.098  0.023 0.191  0.019 0.285  0.015 0.378  0.011 0.472  0.007 0.565  0.003 0.659  -0.001 0.752  -0.005 0.845  -0.009 0.939  -0.012 1.032  -0.016 1.126  -0.020 1.219  -0.024 1.312  -0.028 1.406  -0.032 1.499  -0.036 1.593  -0.040 1.686  -0.044 1.779  -0.047 1.873  -0.051 1.966
1c#apa#apa15#app1590/s  0.564 0.985  0.436 0.985  0.308 0.985  0.180 0.985  0.051 0.985  -0.077 0.985  -0.205 0.985  -0.334 0.985  -0.428 0.903  -0.519 0.812  -0.609 0.721  -0.700 0.631  -0.791 0.540  -0.882 0.449  -0.972 0.358  -1.063 0.268  -1.154 0.177  -1.245 0.086  -1.145 0.074  -1.017 0.074  -0.889 0.074  -0.760 0.074  -0.632 0.074  -0.504 0.074  -0.375 0.074  -0.247 0.074  -0.119 0.074  0.010 0.074  0.138 0.074  0.266 0.074  0.394 0.074  0.523 0.074  0.651 0.074  0.779 0.074  0.868 0.035  0.868 -0.094  0.868 -0.222  0.868 -0.350  0.868 -0.479  0.835 -0.599  0.777 -0.714  0.720 -0.829  0.663 -0.943  0.605 -1.058  0.548 -1.173  0.490 -1.288  0.433 -1.402  0.376 -1.517  0.318 -1.632  0.261 -1.747
1c#apa#apa15#app1590/t  -0.547 1.900  -0.547 1.735  -0.547 1.570  -0.511 1.409  -0.471 1.249  -0.431 1.089  -0.391 0.929  -0.374 0.766  -0.374 0.601  -0.374 0.436  -0.374 0.271  -0.374 0.106  -0.374 -0.059  -0.374 -0.224  -0.374 -0.389  -0.370 -0.553  -0.342 -0.716  -0.315 -0.879  -0.288 -1.042  -0.261 -1.205  -0.234 -1.367  -0.207 -1.530  -0.127 -1.469  -0.030 -1.336  0.067 -1.202  0.164 -1.069  0.261 -0.935  0.358 -0.802  0.455 -0.668  0.553 -0.535  0.650 -0.401  0.747 -0.268  0.844 -0.135  0.941 -0.001  1.038 0.132  1.135 0.266  1.117 0.362  0.960 0.414  0.804 0.467  0.647 0.505  0.490 0.453  0.334 0.401  0.177 0.349  0.014 0.339  -0.151 0.339  -0.304 0.287  -0.451 0.213  -0.599 0.139  -0.747 0.065  -0.894 -0.008
1c#apa#apa15#app1590/h  -0.539 1.955  -0.539 1.821  -0.539 1.688  -0.539 1.554  -0.539 1.420  -0.513 1.289  -0.487 1.158  -0.461 1.027  -0.435 0.897  -0.409 0.766  -0.382 0.635  -0.359 0.503  -0.359 0.370  -0.359 0.236  -0.359 0.103  -0.359 -0.031  -0.359 -0.164  -0.359 -0.298  -0.359 -0.432  -0.359 -0.565  -0.359 -0.699  -0.359 -0.832  -0.359 -0.966  -0.359 -1.099  -0.359 -0.973  -0.359 -0.840  -0.359 -0.706  -0.359 -0.573  -0.303 -0.452  -0.243 -0.333  -0.184 -0.213  -0.124 -0.094  -0.064 0.026  -0.004 0.145  0.122 0.156  0.256 0.156  0.390 0.156  0.523 0.156  0.623 0.074  0.717 -0.020  0.778 -0.139  0.838 -0.258  0.898 -0.378  0.941 -0.504  0.983 -0.631  1.025 -0.758  1.067 -0.884  1.080 -1.016  1.080 -1.149  1.080 -1.283
1c#apa#apa15#app1590/e  -0.822 -0.880  -0.930 -0.772  -1.039 -0.664  -1.048 -0.597  -0.894 -0.597  -0.741 -0.597  -0.588 -0.597  -0.539 -0.493  -0.539 -0.340  -0.434 -0.243  -0.306 -0.158  -0.179 -0.073  -0.052 0.012  0.076 0.097  0.203 0.181  0.328 0.270  0.436 0.378  0.544 0.486  0.653 0.594  0.761 0.703  0.869 0.811  0.880 0.960  0.880 1.113  0.880 1.266  0.849 1.389  0.696 1.389  0.559 1.351  0.450 1.243  0.342 1.135  0.234 1.027  0.126 0.918  0.021 0.807  -0.047 0.670  -0.115 0.533  -0.184 0.396  -0.252 0.259  -0.255 0.107  -0.255 -0.046  -0.255 -0.199  -0.245 -0.351  -0.208 -0.500  -0.171 -0.648  -0.134 -0.797  -0.097 -0.945  -0.060 -1.094  -0.023 -1.242  0.015 -1.391  0.096 -1.515  0.204 -1.623  0.312 -1.731
1c#apa#apa15#app1590/r  -0.395 0.940  -0.486 0.848  -0.578 0.757  -0.670 0.665  -0.761 0.574  -0.748 0.465  -0.690 0.349  -0.632 0.233  -0.574 0.117  -0.516 0.001  -0.458 -0.114  -0.400 -0.230  -0.395 -0.359  -0.395 -0.488  -0.395 -0.618  -0.395 -0.747  -0.395 -0.877  -0.395 -1.006  -0.395 -1.136  -0.395 -1.266  -0.395 -1.395  -0.395 -1.318  -0.395 -1.189  -0.395 -1.059  -0.395 -0.930  -0.395 -0.800  -0.395 -0.671  -0.329 -0.568  -0.237 -0.477  -0.146 -0.385  -0.054 -0.294  -0.001 -0.186  -0.001 -0.056  -0.001 0.073  0.044 0.175  0.159 0.233  0.275 0.291  0.391 0.349  0.507 0.407  0.623 0.465  0.739 0.523  0.840 0.601  0.932 0.692  1.023 0.784  1.115 0.875  1.207 0.967  1.298 1.059  1.390 1.150  1.481 1.242  1.573 1.333
1c#apa#apa15#app1590/e  -0.459 -0.636  -0.459 -0.494  -0.459 -0.353  -0.365 -0.250  -0.265 -0.150  -0.165 -0.050  -0.066 0.049  0.034 0.149  0.125 0.253  0.125 0.394  0.125 0.536  0.125 0.677  0.125 0.818  0.186 0.945  0.249 1.072  0.312 1.198  0.375 1.325  0.369 1.408  0.227 1.408  0.098 1.380  -0.002 1.280  -0.102 1.180  -0.202 1.080  -0.302 0.981  -0.402 0.881  -0.459 0.763  -0.459 0.621  -0.459 0.480  -0.459 0.339  -0.459 0.197  -0.459 0.056  -0.459 -0.085  -0.459 -0.226  -0.459 -0.368  -0.459 -0.509  -0.448 -0.646  -0.348 -0.746  -0.248 -0.846  -0.148 -0.946  -0.048 -1.046  0.051 -1.146  0.162 -1.219  0.304 -1.219  0.445 -1.219  0.586 -1.219  0.728 -1.219  0.869 -1.219  1.010 -1.219  1.152 -1.219  1.293 -1.219
1c#apa#apa15#app1590/f  0.194 0.351  0.194 0.511  0.194 0.670  0.194 0.830  0.194 0.990  0.194 1.149  0.157 1.300  0.086 1.443  0.008 1.575  -0.152 1.575  -0.295 1.506  -0.437 1.434  -0.505 1.316  -0.505 1.157  -0.505 0.997  -0.505 0.838  -0.505 0.678  -0.505 0.518  -0.505 0.359  -0.505 0.199  -0.505 0.039  -0.505 -0.120  -0.458 -0.269  -0.386 -0.411  -0.319 -0.556  -0.269 -0.707  -0.218 -0.859  -0.168 -1.010  -0.056 -1.115  0.077 -1.203  0.210 -1.292  0.343 -1.380  0.369 -1.526  0.397 -1.464  0.435 -1.309  0.474 -1.154  0.513 -0.999  0.551 -0.844  0.590 -0.689  0.629 -0.535  0.668 -0.380  0.706 -0.225  0.612 -0.174  0.453 -0.174  0.293 -0.174  0.133 -0.174  -0.026 -0.174  -0.186 -0.174  -0.345 -0.174  -0.505 -0.174
1c#apa#apa15#app1590/y  -1.054 1.228  -1.054 1.111  -1.054 0.995  -1.028 0.884  -0.976 0.779  -0.924 0.675  -0.906 0.562  -0.906 0.445  -0.899 0.330  -0.846 0.225  -0.794 0.121  -0.720 0.051  -0.604 0.051  -0.487 0.051  -0.398 0.118  -0.315 0.201  -0.232 0.284  -0.150 0.366  -0.067 0.449  0.015 0.532  0.098 0.614  0.124 0.721  0.124 0.837  0.124 0.914  0.124 0.797  0.124 0.680  0.178 0.586  0.260 0.503  0.327 0.408  0.392 0.310  0.457 0.213  0.522 0.116  0.577 0.014  0.614 -0.097  0.651 -0.208  0.688 -0.319  0.712 -0.432  0.712 -0.548  0.712 -0.665  0.712 -0.782  0.712 -0.899  0.712 -1.016  0.712 -1.133  0.712 -1.250  0.634 -1.325  0.537 -1.390  0.440 -1.455  0.343 -1.519  0.240 -1.567  0.124 -1.567
