1a#apb#apb38#app3868/4  -0.459 0.388  -0.338 0.550  -0.213 0.708  -0.083 0.863  0.036 1.026  -0.076 0.979  -0.193 0.815  -0.301 0.644  -0.416 0.478  -0.533 0.314  -0.645 0.146  -0.756 -0.023  -0.847 -0.203  -0.941 -0.381  -0.924 -0.499  -0.725 -0.466  -0.526 -0.432  -0.327 -0.397  -0.126 -0.395  0.075 -0.410  0.273 -0.448  0.430 -0.353  0.497 -0.163  0.564 0.028  0.631 0.218  0.698 0.409  0.765 0.599  0.833 0.790  0.900 0.980  0.967 1.171  1.020 1.320  0.953 1.130  0.883 0.941  0.790 0.761  0.698 0.581  0.606 0.402  0.499 0.230  0.390 0.060  0.281 -0.110  0.172 -0.279  0.058 -0.446  -0.057 -0.613  -0.171 -0.779  -0.286 -0.945  -0.402 -1.111  -0.519 -1.275  -0.637 -1.439  -0.753 -1.604  -0.840 -1.787  -0.927 -1.969
1a#apb#apb38#app3868/8  0.300 1.255  0.193 1.120  0.095 0.973  -0.015 0.834  -0.124 0.694  -0.199 0.534  -0.242 0.366  -0.232 0.193  -0.120 0.056  0.009 -0.065  0.141 -0.182  0.246 -0.325  0.340 -0.474  0.411 -0.636  0.394 -0.800  0.330 -0.965  0.221 -1.102  0.099 -1.231  -0.048 -1.325  -0.206 -1.405  -0.371 -1.459  -0.548 -1.468  -0.715 -1.436  -0.869 -1.348  -0.909 -1.182  -0.936 -1.007  -0.851 -0.854  -0.761 -0.701  -0.670 -0.549  -0.561 -0.410  -0.451 -0.271  -0.341 -0.132  -0.231 0.006  -0.112 0.138  0.009 0.267  0.130 0.396  0.251 0.526  0.377 0.650  0.505 0.773  0.632 0.895  0.761 1.017  0.891 1.138  0.929 1.243  0.763 1.182  0.605 1.102  0.446 1.023  0.309 0.911  0.174 0.797  0.041 0.680  -0.090 0.560
1a#apb#apb38#app3868/1  0.942 1.412  0.904 1.354  0.869 1.294  0.834 1.234  0.798 1.174  0.763 1.114  0.724 1.057  0.679 1.004  0.635 0.951  0.590 0.897  0.546 0.844  0.501 0.790  0.457 0.737  0.413 0.684  0.373 0.627  0.333 0.570  0.293 0.513  0.254 0.456  0.214 0.399  0.174 0.342  0.134 0.285  0.095 0.228  0.055 0.171  0.017 0.112  -0.017 0.052  -0.052 -0.008  -0.087 -0.068  -0.122 -0.128  -0.157 -0.188  -0.192 -0.248  -0.227 -0.308  -0.262 -0.368  -0.297 -0.429  -0.332 -0.489  -0.367 -0.549  -0.402 -0.609  -0.437 -0.669  -0.472 -0.728  -0.507 -0.788  -0.543 -0.848  -0.578 -0.908  -0.613 -0.968  -0.648 -1.028  -0.684 -1.088  -0.716 -1.149  -0.739 -1.215  -0.762 -1.280  -0.785 -1.346  -0.808 -1.411  -0.792 -1.479
1a#apb#apb38#app3868/0  0.470 1.302  0.336 1.268  0.243 1.175  0.163 1.062  0.084 0.950  0.005 0.836  -0.072 0.721  -0.149 0.607  -0.227 0.493  -0.304 0.378  -0.381 0.264  -0.452 0.146  -0.514 0.022  -0.576 -0.101  -0.638 -0.225  -0.699 -0.348  -0.761 -0.472  -0.799 -0.603  -0.825 -0.739  -0.851 -0.875  -0.877 -1.010  -0.831 -1.129  -0.748 -1.240  -0.644 -1.297  -0.507 -1.274  -0.371 -1.251  -0.248 -1.194  -0.132 -1.119  -0.017 -1.044  0.099 -0.968  0.197 -0.874  0.277 -0.761  0.356 -0.649  0.436 -0.536  0.515 -0.423  0.567 -0.295  0.620 -0.167  0.673 -0.040  0.726 0.088  0.757 0.218  0.739 0.355  0.722 0.492  0.705 0.630  0.656 0.756  0.589 0.877  0.522 0.998  0.448 1.113  0.344 1.204  0.240 1.294  0.136 1.385
1a#apb#apb38#app3868/5  0.274 0.883  0.143 0.871  0.034 0.713  -0.072 0.554  -0.187 0.400  -0.304 0.248  -0.406 0.085  -0.511 -0.075  -0.389 -0.144  -0.198 -0.122  -0.008 -0.138  0.180 -0.170  0.350 -0.260  0.484 -0.392  0.562 -0.559  0.533 -0.742  0.438 -0.906  0.280 -1.015  0.115 -1.111  -0.054 -1.202  -0.232 -1.270  -0.419 -1.316  -0.607 -1.344  -0.799 -1.344  -0.987 -1.315  -1.023 -1.162  -0.924 -0.998  -0.825 -0.834  -0.725 -0.670  -0.626 -0.506  -0.526 -0.342  -0.427 -0.177  -0.327 -0.013  -0.228 0.151  -0.128 0.315  -0.029 0.479  0.071 0.643  0.170 0.807  0.270 0.971  0.305 1.073  0.135 0.994  -0.029 0.940  0.162 0.940  0.354 0.956  0.544 0.975  0.735 0.996  0.926 1.018  1.117 1.038  1.309 1.038  1.500 1.038
1a#apb#apb38#app3868/7  -0.129 0.856  -0.108 0.934  -0.090 1.012  -0.089 1.062  -0.029 1.115  0.054 1.114  0.138 1.109  0.222 1.114  0.306 1.121  0.390 1.124  0.475 1.124  0.548 1.087  0.607 1.031  0.629 0.951  0.608 0.869  0.588 0.787  0.561 0.708  0.512 0.639  0.462 0.571  0.413 0.502  0.365 0.432  0.323 0.359  0.280 0.286  0.238 0.213  0.195 0.140  0.150 0.069  0.099 0.001  0.049 -0.067  -0.001 -0.135  -0.051 -0.202  -0.098 -0.272  -0.139 -0.346  -0.181 -0.420  -0.222 -0.494  -0.263 -0.568  -0.304 -0.642  -0.341 -0.718  -0.377 -0.794  -0.413 -0.870  -0.450 -0.947  -0.478 -1.025  -0.495 -1.108  -0.511 -1.191  -0.528 -1.274  -0.531 -1.358  -0.531 -1.443  -0.531 -1.527  -0.501 -1.605  -0.452 -1.662  -0.367 -1.662
1a#apb#apb38#app3868/1  0.388 1.124  0.380 1.164  0.376 1.214  0.378 1.216  0.356 1.249  0.368 1.303  0.339 1.328  0.323 1.307  0.323 1.232  0.323 1.158  0.315 1.084  0.304 1.010  0.293 0.936  0.282 0.862  0.271 0.788  0.260 0.714  0.242 0.642  0.222 0.570  0.203 0.498  0.183 0.426  0.163 0.354  0.144 0.282  0.124 0.210  0.103 0.138  0.079 0.068  0.055 -0.003  0.031 -0.074  0.007 -0.144  -0.018 -0.215  -0.042 -0.286  -0.066 -0.356  -0.090 -0.427  -0.114 -0.498  -0.140 -0.568  -0.165 -0.638  -0.191 -0.708  -0.217 -0.778  -0.242 -0.848  -0.268 -0.918  -0.294 -0.988  -0.327 -1.055  -0.362 -1.121  -0.396 -1.187  -0.431 -1.254  -0.466 -1.320  -0.509 -1.380  -0.556 -1.438  -0.604 -1.496  -0.647 -1.556  -0.689 -1.618
1a#apb#apb38#app3868/2  -0.706 1.186  -0.614 1.287  -0.475 1.334  -0.335 1.374  -0.190 1.392  -0.044 1.410  0.099 1.386  0.242 1.355  0.379 1.314  0.456 1.190  0.534 1.066  0.593 0.934  0.619 0.790  0.646 0.646  0.629 0.503  0.596 0.361  0.562 0.218  0.513 0.082  0.435 -0.042  0.357 -0.166  0.275 -0.287  0.180 -0.399  0.086 -0.511  -0.009 -0.622  -0.127 -0.709  -0.245 -0.795  -0.364 -0.881  -0.492 -0.949  -0.630 -1.000  -0.767 -1.051  -0.911 -1.065  -1.023 -1.015  -1.033 -0.883  -0.954 -0.760  -0.862 -0.647  -0.751 -0.552  -0.639 -0.458  -0.512 -0.386  -0.382 -0.318  -0.250 -0.256  -0.105 -0.240  0.041 -0.224  0.182 -0.242  0.318 -0.295  0.454 -0.351  0.579 -0.427  0.704 -0.502  0.840 -0.556  0.979 -0.602  1.121 -0.640
1a#apb#apb38#app3868/6  0.807 1.768  0.699 1.775  0.616 1.692  0.540 1.603  0.465 1.512  0.393 1.419  0.322 1.326  0.251 1.232  0.181 1.138  0.119 1.038  0.057 0.938  -0.005 0.838  -0.067 0.738  -0.128 0.638  -0.188 0.536  -0.248 0.435  -0.308 0.334  -0.368 0.233  -0.428 0.132  -0.470 0.023  -0.507 -0.089  -0.543 -0.201  -0.580 -0.312  -0.616 -0.424  -0.641 -0.538  -0.648 -0.656  -0.655 -0.773  -0.647 -0.885  -0.570 -0.974  -0.494 -1.063  -0.399 -1.123  -0.284 -1.150  -0.170 -1.177  -0.056 -1.151  0.059 -1.124  0.157 -1.069  0.238 -0.984  0.319 -0.899  0.385 -0.802  0.441 -0.699  0.486 -0.591  0.513 -0.477  0.521 -0.363  0.486 -0.251  0.411 -0.166  0.310 -0.160  0.201 -0.205  0.106 -0.272  0.015 -0.347  -0.076 -0.421
1a#apb#apb38#app3868/3  -0.956 0.629  -0.955 0.673  -0.844 0.696  -0.737 0.732  -0.631 0.771  -0.525 0.811  -0.420 0.854  -0.316 0.896  -0.212 0.941  -0.110 0.990  -0.008 1.039  0.094 1.089  0.204 1.114  0.315 1.137  0.422 1.137  0.516 1.078  0.551 0.975  0.500 0.874  0.440 0.779  0.369 0.691  0.298 0.603  0.229 0.514  0.159 0.424  0.077 0.347  0.002 0.264  -0.051 0.165  -0.027 0.059  0.039 -0.032  0.126 -0.104  0.211 -0.179  0.294 -0.256  0.378 -0.332  0.461 -0.409  0.502 -0.510  0.525 -0.620  0.518 -0.731  0.493 -0.841  0.424 -0.931  0.348 -1.013  0.256 -1.079  0.164 -1.145  0.066 -1.202  -0.032 -1.259  -0.131 -1.313  -0.231 -1.365  -0.337 -1.402  -0.449 -1.416  -0.561 -1.409  -0.672 -1.390  -0.777 -1.348
1a#apb#apb38#app3868/1  -0.613 0.246  -0.755 0.246  -0.832 0.229  -0.687 0.232  -0.525 0.314  -0.365 0.399  -0.218 0.504  -0.073 0.614  0.066 0.730  0.205 0.846  0.346 0.960  0.475 1.087  0.585 1.231  0.705 1.366  0.820 1.506  0.774 1.458  0.647 1.330  0.553 1.175  0.499 1.002  0.437 0.832  0.373 0.663  0.319 0.489  0.264 0.317  0.201 0.147  0.138 -0.023  0.070 -0.192  0.003 -0.360  -0.089 -0.516  -0.169 -0.679  -0.245 -0.842  -0.355 -0.966  -0.515 -0.906  -0.690 -0.938  -0.864 -0.974  -1.045 -0.983  -1.178 -0.928  -1.025 -0.947  -0.848 -0.908  -0.674 -0.857  -0.498 -0.812  -0.320 -0.779  -0.142 -0.745  0.035 -0.705  0.212 -0.664  0.389 -0.623  0.565 -0.582  0.742 -0.543  0.921 -0.513  1.100 -0.483  1.279 -0.453
