2#apa#apa15#app1587/S  0.158 1.016  0.158 1.146  0.069 1.186  -0.061 1.186  -0.191 1.186  -0.320 1.186  -0.421 1.116  -0.513 1.024  -0.604 0.933  -0.698 0.846  -0.828 0.846  -0.860 0.749  -0.860 0.620  -0.844 0.507  -0.714 0.507  -0.595 0.459  -0.480 0.401  -0.364 0.343  -0.238 0.314  -0.110 0.289  0.017 0.263  0.144 0.238  0.271 0.213  0.398 0.187  0.526 0.167  0.655 0.167  0.785 0.167  0.872 0.098  0.930 -0.018  0.988 -0.134  1.007 -0.259  1.007 -0.389  1.003 -0.517  0.911 -0.608  0.816 -0.696  0.708 -0.768  0.600 -0.840  0.493 -0.912  0.385 -0.984  0.266 -1.021  0.137 -1.021  0.007 -1.021  -0.123 -1.021  -0.252 -1.021  -0.382 -1.021  -0.512 -1.021  -0.641 -1.021  -0.771 -1.021  -0.901 -1.021  -1.030 -1.021
2#apa#apa15#app1587/e  -1.194 -0.828  -1.029 -0.828  -0.868 -0.812  -0.720 -0.738  -0.573 -0.664  -0.425 -0.590  -0.310 -0.496  -0.310 -0.331  -0.246 -0.206  -0.098 -0.132  0.049 -0.059  0.197 0.015  0.312 0.122  0.385 0.269  0.459 0.417  0.533 0.564  0.573 0.720  0.573 0.885  0.495 1.018  0.378 1.134  0.255 1.234  0.090 1.234  -0.075 1.234  -0.240 1.234  -0.377 1.167  -0.494 1.050  -0.608 0.932  -0.660 0.775  -0.712 0.619  -0.764 0.462  -0.816 0.306  -0.868 0.149  -0.852 0.009  -0.736 -0.108  -0.619 -0.225  -0.475 -0.303  -0.328 -0.377  -0.180 -0.451  -0.032 -0.525  0.128 -0.562  0.290 -0.594  0.451 -0.627  0.613 -0.659  0.775 -0.691  0.937 -0.724  1.098 -0.756  1.260 -0.788  1.422 -0.821  1.586 -0.828  1.751 -0.828
2#apa#apa15#app1587/e  -0.506 -0.917  -0.506 -0.755  -0.488 -0.602  -0.374 -0.488  -0.260 -0.374  -0.146 -0.260  -0.032 -0.146  0.082 -0.032  0.241 -0.028  0.391 -0.010  0.463 0.134  0.535 0.278  0.607 0.422  0.680 0.566  0.794 0.680  0.908 0.794  0.974 0.928  0.974 1.089  0.880 1.156  0.719 1.156  0.558 1.156  0.397 1.156  0.236 1.156  0.078 1.148  -0.036 1.034  -0.150 0.920  -0.278 0.826  -0.422 0.754  -0.566 0.682  -0.710 0.610  -0.802 0.505  -0.802 0.344  -0.802 0.183  -0.802 0.022  -0.802 -0.139  -0.802 -0.300  -0.802 -0.461  -0.801 -0.622  -0.687 -0.736  -0.573 -0.850  -0.442 -0.933  -0.285 -0.972  -0.129 -1.011  0.027 -1.050  0.184 -1.089  0.340 -1.128  0.496 -1.167  0.653 -1.206  0.813 -1.213  0.974 -1.213
2#apa#apa15#app1587/?  -0.785 0.741  -0.785 0.835  -0.742 0.910  -0.676 0.976  -0.590 0.994  -0.497 0.994  -0.404 0.996  -0.338 1.062  -0.270 1.116  -0.181 1.087  -0.092 1.057  -0.004 1.028  0.085 0.998  0.177 0.994  0.271 0.994  0.351 0.981  0.351 0.888  0.351 0.794  0.351 0.701  0.351 0.608  0.351 0.514  0.303 0.441  0.237 0.375  0.171 0.309  0.105 0.243  0.099 0.152  0.062 0.074  -0.004 0.008  -0.028 -0.076  -0.028 -0.169  -0.028 -0.262  0.059 -0.269  0.099 -0.323  0.099 -0.416  0.099 -0.509  0.099 -0.603  0.099 -0.696  0.099 -0.789  0.099 -0.883  0.099 -0.976  0.099 -1.070  0.099 -1.163  0.099 -1.256  0.099 -1.350  0.099 -1.443  0.099 -1.536  0.099 -1.630  0.099 -1.723  0.099 -1.816  0.099 -1.910
2#apa#apa15#app1587/\"  -0.665 1.069  -0.665 0.909  -0.665 0.749  -0.665 0.589  -0.665 0.429  -0.665 0.270  -0.665 0.110  -0.665 -0.050  -0.665 -0.210  -0.665 -0.370  -0.665 -0.530  -0.665 -0.689  -0.665 -0.849  -0.665 -1.009  -0.665 -1.169  -0.665 -1.329  -0.665 -1.489  -0.612 -1.425  -0.541 -1.282  -0.469 -1.139  -0.398 -0.996  -0.326 -0.853  -0.255 -0.710  -0.183 -0.567  -0.112 -0.424  -0.040 -0.281  0.031 -0.138  0.103 0.005  0.174 0.148  0.246 0.291  0.317 0.434  0.388 0.577  0.460 0.720  0.531 0.863  0.603 1.006  0.634 1.158  0.634 1.318  0.634 1.310  0.634 1.150  0.634 0.990  0.634 0.830  0.658 0.674  0.708 0.522  0.759 0.371  0.809 0.219  0.860 0.068  0.910 -0.084  0.959 -0.236  0.959 -0.396  0.959 -0.556
2#apa#apa15#app1587/s  0.054 1.270  -0.038 1.178  -0.132 1.090  -0.255 1.049  -0.378 1.008  -0.502 0.967  -0.625 0.925  -0.724 0.846  -0.816 0.754  -0.939 0.738  -1.009 0.678  -0.997 0.555  -0.881 0.497  -0.765 0.439  -0.648 0.384  -0.518 0.384  -0.388 0.384  -0.258 0.384  -0.128 0.384  0.001 0.384  0.130 0.369  0.257 0.344  0.384 0.318  0.512 0.293  0.639 0.267  0.766 0.242  0.894 0.216  0.998 0.148  1.090 0.056  1.116 -0.063  1.096 -0.188  1.038 -0.304  0.980 -0.420  0.912 -0.529  0.820 -0.621  0.728 -0.712  0.636 -0.804  0.529 -0.869  0.403 -0.901  0.277 -0.932  0.151 -0.964  0.025 -0.995  -0.101 -1.027  -0.230 -1.032  -0.360 -1.032  -0.489 -1.032  -0.619 -1.032  -0.749 -1.032  -0.879 -1.032  -1.009 -1.032
2#apa#apa15#app1587/c  0.600 1.378  0.518 1.378  0.437 1.378  0.356 1.378  0.293 1.333  0.236 1.275  0.178 1.218  0.121 1.160  0.063 1.103  0.006 1.045  -0.052 0.988  -0.109 0.931  -0.166 0.873  -0.224 0.816  -0.281 0.758  -0.339 0.701  -0.396 0.643  -0.446 0.582  -0.446 0.501  -0.446 0.420  -0.446 0.339  -0.446 0.257  -0.446 0.176  -0.446 0.095  -0.428 0.016  -0.402 -0.061  -0.377 -0.138  -0.351 -0.215  -0.325 -0.292  -0.299 -0.369  -0.274 -0.446  -0.248 -0.523  -0.222 -0.600  -0.197 -0.677  -0.154 -0.744  -0.097 -0.802  -0.039 -0.859  0.018 -0.917  0.076 -0.974  0.133 -1.031  0.191 -1.089  0.248 -1.146  0.306 -1.204  0.373 -1.236  0.455 -1.236  0.536 -1.236  0.617 -1.236  0.699 -1.236  0.780 -1.236  0.861 -1.236
2#apa#apa15#app1587/r  -0.401 0.059  -0.518 0.059  -0.635 0.059  -0.676 -0.017  -0.676 -0.133  -0.676 -0.250  -0.676 -0.366  -0.676 -0.483  -0.627 -0.588  -0.575 -0.692  -0.523 -0.797  -0.471 -0.901  -0.418 -1.005  -0.401 -1.118  -0.401 -1.234  -0.401 -1.277  -0.401 -1.160  -0.401 -1.044  -0.401 -0.927  -0.401 -0.810  -0.401 -0.694  -0.401 -0.577  -0.401 -0.461  -0.401 -0.344  -0.401 -0.227  -0.401 -0.111  -0.401 0.006  -0.401 0.122  -0.401 0.239  -0.385 0.349  -0.303 0.432  -0.221 0.514  -0.138 0.596  -0.026 0.608  0.090 0.608  0.207 0.608  0.324 0.608  0.439 0.613  0.550 0.650  0.661 0.687  0.771 0.724  0.882 0.761  0.992 0.798  1.103 0.835  1.214 0.872  1.328 0.882  1.445 0.882  1.562 0.882  1.678 0.882  1.795 0.882
2#apa#apa15#app1587/e  -1.100 -0.334  -0.987 -0.448  -0.873 -0.562  -0.757 -0.662  -0.613 -0.590  -0.469 -0.518  -0.325 -0.446  -0.180 -0.373  -0.069 -0.269  0.003 -0.125  0.075 0.019  0.147 0.163  0.219 0.307  0.291 0.451  0.363 0.595  0.435 0.739  0.507 0.883  0.541 1.021  0.427 1.135  0.313 1.249  0.186 1.331  0.025 1.331  -0.136 1.331  -0.297 1.331  -0.435 1.307  -0.435 1.146  -0.435 0.985  -0.435 0.824  -0.435 0.663  -0.435 0.502  -0.435 0.341  -0.435 0.180  -0.435 0.019  -0.435 -0.142  -0.435 -0.303  -0.435 -0.464  -0.435 -0.625  -0.321 -0.705  -0.169 -0.756  -0.016 -0.807  0.137 -0.858  0.290 -0.908  0.442 -0.959  0.597 -1.000  0.758 -1.000  0.919 -1.000  1.080 -1.000  1.241 -1.000  1.402 -1.000  1.563 -1.000
2#apa#apa15#app1587/e  -0.477 -0.471  -0.585 -0.363  -0.693 -0.256  -0.744 -0.171  -0.592 -0.171  -0.477 -0.133  -0.477 0.019  -0.447 0.159  -0.339 0.267  -0.231 0.374  -0.101 0.428  0.051 0.428  0.180 0.486  0.287 0.593  0.395 0.701  0.422 0.842  0.422 0.994  0.338 1.112  0.231 1.220  0.123 1.328  -0.029 1.328  -0.180 1.325  -0.288 1.217  -0.396 1.109  -0.477 0.991  -0.477 0.838  -0.477 0.686  -0.477 0.534  -0.477 0.381  -0.477 0.229  -0.477 0.076  -0.477 -0.076  -0.477 -0.228  -0.477 -0.381  -0.433 -0.515  -0.326 -0.623  -0.218 -0.730  -0.110 -0.838  -0.002 -0.946  0.105 -1.054  0.251 -1.071  0.403 -1.071  0.555 -1.071  0.708 -1.071  0.860 -1.071  1.012 -1.071  1.165 -1.071  1.317 -1.071  1.470 -1.071  1.622 -1.071
2#apa#apa15#app1587/c  0.157 1.036  0.066 1.036  -0.025 1.036  -0.115 1.036  -0.206 1.036  -0.296 1.036  -0.387 1.036  -0.477 1.036  -0.540 1.007  -0.540 0.917  -0.540 0.826  -0.608 0.804  -0.698 0.804  -0.772 0.787  -0.772 0.696  -0.772 0.606  -0.772 0.515  -0.772 0.424  -0.769 0.334  -0.729 0.253  -0.688 0.172  -0.648 0.091  -0.607 0.010  -0.567 -0.071  -0.518 -0.146  -0.454 -0.210  -0.390 -0.274  -0.326 -0.338  -0.250 -0.385  -0.169 -0.426  -0.088 -0.466  -0.007 -0.507  0.074 -0.547  0.155 -0.588  0.236 -0.628  0.317 -0.669  0.398 -0.709  0.479 -0.750  0.560 -0.790  0.643 -0.821  0.734 -0.821  0.824 -0.821  0.915 -0.821  1.006 -0.821  1.096 -0.821  1.187 -0.821  1.277 -0.821  1.368 -0.821  1.458 -0.821  1.549 -0.821
