1b#tos#f3#f3011063/A  -0.960 -0.547  -1.079 -0.684  -1.189 -0.849  -1.289 -1.009  -1.206 -1.038  -1.166 -0.849  -1.035 -0.704  -0.909 -0.552  -0.763 -0.420  -0.631 -0.273  -0.509 -0.117  -0.405 0.049  -0.340 0.237  -0.200 0.377  -0.092 0.543  0.054 0.670  0.150 0.814  0.183 0.996  0.295 1.143  0.364 1.329  0.438 1.513  0.517 1.632  0.635 1.477  0.685 1.299  0.714 1.104  0.726 0.907  0.726 0.708  0.726 0.509  0.726 0.310  0.726 0.111  0.726 -0.087  0.726 -0.286  0.707 -0.482  0.685 -0.677  0.685 -0.876  0.644 -1.034  0.534 -1.123  0.426 -1.024  0.311 -0.862  0.195 -0.700  0.080 -0.539  -0.036 -0.377  -0.151 -0.215  -0.314 -0.136  -0.506 -0.095  -0.516 -0.054  -0.318 -0.054  -0.121 -0.039  0.075 -0.013  0.274 -0.013
1b#tos#f3#f3011063/B  -0.225 0.738  -0.052 0.891  -0.150 0.755  -0.185 0.492  -0.271 0.260  -0.326 -0.001  -0.419 -0.250  -0.518 -0.497  -0.564 -0.753  -0.632 -1.004  -0.714 -1.237  -0.704 -1.055  -0.640 -0.797  -0.575 -0.538  -0.510 -0.279  -0.446 -0.020  -0.381 0.238  -0.316 0.497  -0.251 0.756  -0.225 1.020  -0.039 1.209  0.161 1.369  0.402 1.430  0.669 1.430  0.904 1.341  1.118 1.185  1.118 0.918  0.977 0.704  0.831 0.492  0.642 0.303  0.414 0.169  0.156 0.126  -0.097 0.046  -0.364 0.046  -0.163 0.118  0.098 0.158  0.363 0.169  0.630 0.169  0.792 0.006  0.833 -0.254  0.749 -0.486  0.670 -0.727  0.474 -0.906  0.247 -1.044  0.005 -1.148  -0.227 -1.268  -0.484 -1.297  -0.751 -1.297  -0.987 -1.210  -1.039 -0.971
1b#tos#f3#f3011063/G  0.245 0.351  0.414 0.343  0.501 0.515  0.588 0.694  0.661 0.881  0.683 1.091  0.683 1.303  0.554 1.387  0.468 1.535  0.258 1.547  0.054 1.507  -0.093 1.376  -0.267 1.259  -0.454 1.157  -0.544 0.970  -0.679 0.807  -0.784 0.624  -0.859 0.425  -0.872 0.215  -0.872 0.002  -0.872 -0.211  -0.866 -0.423  -0.785 -0.619  -0.672 -0.775  -0.553 -0.868  -0.381 -0.965  -0.168 -0.965  -0.005 -0.885  0.141 -0.756  0.324 -0.646  0.354 -0.474  0.340 -0.262  0.327 -0.049  0.193 -0.048  -0.020 -0.048  0.005 -0.128  0.218 -0.128  0.430 -0.128  0.643 -0.128  0.632 -0.094  0.441 -0.189  0.285 -0.259  0.200 -0.422  0.165 -0.629  0.101 -0.823  0.085 -1.031  0.019 -1.224  -0.040 -1.422  -0.074 -1.629  -0.154 -1.762
1b#tos#f3#f3011063/I  -0.625 1.015  -0.518 1.015  -0.415 1.023  -0.354 1.098  -0.246 1.098  -0.142 1.112  -0.041 1.139  0.066 1.139  0.143 1.189  0.230 1.222  0.338 1.222  0.373 1.205  0.277 1.157  0.180 1.109  0.084 1.061  -0.013 1.015  -0.047 0.943  -0.047 0.835  -0.047 0.728  -0.047 0.620  -0.006 0.530  -0.006 0.423  -0.006 0.315  -0.006 0.208  -0.006 0.100  -0.006 -0.007  -0.006 -0.115  -0.006 -0.222  0.002 -0.328  0.035 -0.430  0.035 -0.538  0.035 -0.645  0.035 -0.753  0.035 -0.860  0.035 -0.968  -0.025 -1.038  -0.113 -1.090  -0.171 -1.139  -0.236 -1.196  -0.295 -1.255  -0.312 -1.296  -0.207 -1.281  -0.103 -1.255  0.003 -1.243  0.107 -1.217  0.211 -1.196  0.305 -1.150  0.403 -1.119  0.506 -1.090  0.613 -1.090
1b#tos#f3#f3011063/O  0.117 0.935  0.117 1.080  0.067 1.176  -0.078 1.176  -0.182 1.077  -0.223 0.946  -0.304 0.825  -0.380 0.702  -0.445 0.572  -0.510 0.443  -0.575 0.313  -0.634 0.180  -0.685 0.045  -0.685 -0.100  -0.725 -0.239  -0.725 -0.384  -0.750 -0.526  -0.765 -0.670  -0.765 -0.815  -0.765 -0.960  -0.765 -1.105  -0.707 -1.209  -0.569 -1.255  -0.426 -1.270  -0.281 -1.270  -0.144 -1.250  -0.041 -1.148  0.094 -1.094  0.212 -1.014  0.306 -0.905  0.400 -0.797  0.516 -0.710  0.604 -0.594  0.666 -0.465  0.726 -0.333  0.809 -0.216  0.879 -0.100  0.879 0.046  0.879 0.191  0.879 0.336  0.857 0.478  0.811 0.615  0.741 0.741  0.638 0.841  0.512 0.910  0.371 0.935  0.226 0.939  0.087 0.975  -0.059 0.975  -0.204 0.975
1b#tos#f3#f3011063/Q  -0.460 -0.561  -0.541 -0.601  -0.731 -0.563  -0.813 -0.389  -0.813 -0.190  -0.813 0.008  -0.813 0.207  -0.781 0.401  -0.728 0.592  -0.639 0.770  -0.550 0.948  -0.400 1.075  -0.269 1.217  -0.122 1.349  0.038 1.443  0.205 1.522  0.404 1.522  0.561 1.463  0.675 1.335  0.759 1.162  0.798 0.968  0.798 0.769  0.798 0.570  0.795 0.372  0.738 0.181  0.652 0.005  0.596 -0.185  0.511 -0.363  0.447 -0.549  0.306 -0.679  0.210 -0.853  0.081 -1.003  -0.089 -1.103  -0.208 -1.190  -0.406 -1.190  -0.547 -1.124  -0.578 -0.930  -0.578 -0.732  -0.557 -0.541  -0.465 -0.387  -0.342 -0.248  -0.201 -0.137  -0.003 -0.129  0.145 -0.205  0.213 -0.366  0.366 -0.446  0.368 -0.644  0.501 -0.783  0.648 -0.876  0.837 -0.915
1b#tos#f3#f3011063/T  -1.271 0.449  -1.382 0.449  -1.260 0.475  -1.144 0.529  -1.016 0.529  -0.887 0.529  -0.760 0.544  -0.634 0.569  -0.506 0.569  -0.378 0.569  -0.249 0.569  -0.121 0.569  0.008 0.569  0.136 0.569  0.265 0.569  0.393 0.569  0.521 0.569  0.650 0.569  0.778 0.569  0.907 0.569  1.035 0.569  1.162 0.569  1.035 0.553  0.907 0.537  0.780 0.521  0.652 0.505  0.525 0.489  0.398 0.474  0.270 0.458  0.205 0.466  0.205 0.338  0.177 0.221  0.086 0.131  0.046 0.019  0.046 -0.110  0.046 -0.238  0.046 -0.367  0.046 -0.495  0.003 -0.615  -0.045 -0.734  -0.093 -0.854  -0.131 -0.976  -0.154 -1.101  -0.154 -1.230  -0.154 -1.358  -0.154 -1.487  -0.176 -1.612  -0.194 -1.737  -0.230 -1.857  -0.234 -1.985
1b#tos#f3#f3011063/U  -0.085 1.386  -0.085 1.394  -0.154 1.335  -0.161 1.212  -0.241 1.124  -0.281 1.003  -0.346 0.893  -0.358 0.769  -0.426 0.670  -0.460 0.556  -0.487 0.439  -0.568 0.344  -0.601 0.221  -0.667 0.112  -0.692 -0.013  -0.729 -0.135  -0.733 -0.262  -0.733 -0.390  -0.733 -0.518  -0.733 -0.646  -0.733 -0.774  -0.661 -0.829  -0.576 -0.911  -0.562 -1.034  -0.472 -1.124  -0.358 -1.145  -0.289 -1.204  -0.164 -1.192  -0.046 -1.145  0.066 -1.086  0.117 -0.971  0.220 -0.898  0.271 -0.781  0.332 -0.671  0.415 -0.575  0.502 -0.491  0.534 -0.367  0.595 -0.262  0.664 -0.171  0.686 -0.047  0.720 0.077  0.776 0.190  0.827 0.306  0.860 0.429  0.903 0.548  0.903 0.676  0.934 0.798  0.937 0.926  0.937 1.054  0.937 1.181
1b#tos#f3#f3011063/V  -0.608 1.171  -0.567 1.294  -0.565 1.180  -0.536 1.055  -0.490 0.935  -0.446 0.814  -0.435 0.686  -0.435 0.557  -0.435 0.428  -0.435 0.299  -0.435 0.170  -0.435 0.041  -0.435 -0.088  -0.435 -0.217  -0.435 -0.346  -0.434 -0.475  -0.394 -0.597  -0.392 -0.726  -0.392 -0.855  -0.392 -0.984  -0.392 -1.113  -0.392 -1.242  -0.363 -1.354  -0.305 -1.447  -0.233 -1.413  -0.176 -1.297  -0.135 -1.175  -0.047 -1.081  -0.005 -0.959  0.082 -0.866  0.141 -0.751  0.186 -0.631  0.220 -0.507  0.277 -0.391  0.325 -0.272  0.370 -0.151  0.418 -0.031  0.460 0.091  0.512 0.209  0.566 0.326  0.597 0.451  0.636 0.574  0.677 0.696  0.738 0.809  0.777 0.926  0.777 1.055  0.777 1.184  0.827 1.283  0.865 1.388  0.950 1.345
1b#tos#f3#f3011063/W  -0.944 0.858  -0.878 0.969  -0.859 0.755  -0.845 0.540  -0.845 0.321  -0.845 0.102  -0.845 -0.117  -0.851 -0.335  -0.878 -0.552  -0.878 -0.771  -0.878 -0.990  -0.845 -1.195  -0.723 -1.292  -0.653 -1.100  -0.547 -0.924  -0.460 -0.732  -0.354 -0.541  -0.301 -0.330  -0.249 -0.121  -0.181 0.079  -0.055 0.258  0.007 0.467  0.029 0.683  0.078 0.887  0.147 1.088  0.147 1.307  0.213 1.182  0.213 0.963  0.210 0.745  0.180 0.529  0.180 0.311  0.180 0.092  0.180 -0.127  0.180 -0.346  0.180 -0.565  0.213 -0.778  0.213 -0.997  0.316 -1.159  0.456 -1.016  0.548 -0.825  0.633 -0.630  0.739 -0.439  0.809 -0.233  0.892 -0.031  0.965 0.174  1.074 0.364  1.144 0.570  1.205 0.778  1.271 0.969  1.305 1.155
1b#tos#f3#f3011063/X  -0.631 1.299  -0.631 1.493  -0.611 1.404  -0.570 1.218  -0.483 1.044  -0.451 0.857  -0.370 0.681  -0.317 0.494  -0.270 0.306  -0.223 0.117  -0.176 -0.071  -0.140 -0.261  -0.123 -0.451  -0.065 -0.636  -0.059 -0.829  -0.050 -1.022  -0.018 -1.213  0.023 -1.390  0.121 -1.262  0.196 -1.083  0.271 -0.904  0.347 -0.725  0.422 -0.546  0.498 -0.367  0.573 -0.188  0.648 -0.009  0.724 0.170  0.799 0.349  0.874 0.528  0.950 0.708  1.025 0.887  1.016 1.074  0.881 1.095  0.739 0.996  0.612 0.861  0.493 0.711  0.341 0.589  0.217 0.441  0.085 0.299  -0.039 0.150  -0.168 0.005  -0.294 -0.141  -0.395 -0.307  -0.512 -0.462  -0.650 -0.599  -0.745 -0.767  -0.835 -0.935  -0.892 -1.084  -1.058 -1.171  -1.080 -1.356
