3#app#app12#app1259/w  -0.887 1.105  -0.887 0.936  -0.887 0.766  -0.887 0.597  -1.037 0.577  -1.064 0.434  -1.064 0.265  -1.064 0.095  -1.064 -0.074  -1.064 -0.244  -1.064 -0.413  -0.991 -0.553  -0.887 -0.679  -0.887 -0.849  -0.878 -1.009  -0.709 -1.007  -0.589 -0.887  -0.494 -0.750  -0.418 -0.598  -0.359 -0.443  -0.337 -0.282  -0.217 -0.163  -0.097 -0.043  -0.006 0.089  -0.006 0.259  -0.006 0.428  0.014 0.577  0.170 0.591  0.170 0.746  0.170 0.576  0.170 0.407  0.170 0.237  0.170 0.068  0.170 -0.102  0.271 -0.229  0.410 -0.304  0.522 -0.361  0.572 -0.480  0.742 -0.480  0.901 -0.454  1.020 -0.335  1.051 -0.178  1.171 -0.128  1.227 -0.015  1.333 0.048  1.403 0.148  1.403 0.317  1.464 0.462  1.579 0.583  1.579 0.753
3#app#app12#app1259/a  -0.644 1.558  -0.506 1.558  -0.387 1.511  -0.289 1.413  -0.178 1.348  -0.039 1.348  -0.015 1.235  0.015 1.109  0.113 1.011  0.211 0.913  0.309 0.815  0.407 0.717  0.505 0.619  0.603 0.521  0.615 0.388  0.615 0.348  0.615 0.487  0.499 0.509  0.373 0.477  0.276 0.379  0.170 0.299  0.032 0.299  -0.079 0.234  -0.177 0.136  -0.296 0.089  -0.434 0.089  -0.434 -0.049  -0.482 -0.168  -0.580 -0.266  -0.644 -0.378  -0.644 -0.516  -0.644 -0.655  -0.644 -0.793  -0.644 -0.931  -0.644 -1.070  -0.606 -1.170  -0.468 -1.170  -0.329 -1.170  -0.191 -1.170  -0.052 -1.170  -0.015 -1.069  0.014 -0.960  0.153 -0.960  0.291 -0.960  0.422 -0.943  0.520 -0.845  0.620 -0.750  0.758 -0.750  0.896 -0.750  1.035 -0.750
3#app#app12#app1259/n  -1.315 1.082  -1.150 1.082  -1.018 1.002  -0.901 0.885  -0.882 0.728  -0.821 0.588  -0.704 0.471  -0.665 0.322  -0.665 0.157  -0.665 -0.008  -0.665 -0.173  -0.665 -0.338  -0.665 -0.503  -0.652 -0.663  -0.535 -0.780  -0.449 -0.909  -0.449 -1.074  -0.449 -1.239  -0.344 -1.299  -0.232 -1.246  -0.232 -1.080  -0.232 -0.915  -0.232 -0.750  -0.187 -0.604  -0.070 -0.487  -0.016 -0.344  -0.016 -0.179  -0.016 -0.014  0.052 0.135  0.126 0.283  0.200 0.430  0.201 0.595  0.279 0.728  0.396 0.845  0.417 1.001  0.501 1.082  0.634 1.050  0.634 0.885  0.634 0.720  0.701 0.582  0.817 0.466  0.850 0.314  0.850 0.149  0.862 -0.012  0.978 -0.128  1.067 -0.257  1.067 -0.422  1.136 -0.571  1.209 -0.719  1.283 -0.866
3#app#app12#app1259/t  -0.215 1.863  -0.215 1.695  -0.215 1.527  -0.215 1.360  -0.215 1.192  -0.147 1.052  -0.030 0.933  -0.030 0.765  -0.030 0.597  -0.030 0.430  -0.030 0.262  -0.030 0.094  -0.030 -0.074  -0.030 -0.242  -0.030 -0.409  -0.030 -0.577  -0.023 -0.742  0.096 -0.861  0.156 -1.004  0.156 -1.172  0.156 -1.339  0.185 -1.478  0.341 -1.489  0.341 -1.657  0.341 -1.502  0.262 -1.358  0.169 -1.219  0.075 -1.079  -0.018 -0.939  -0.111 -0.800  -0.204 -0.660  -0.297 -0.520  -0.390 -0.381  -0.483 -0.241  -0.576 -0.102  -0.669 0.038  -0.762 0.178  -0.622 0.193  -0.493 0.286  -0.364 0.378  -0.202 0.392  -0.083 0.511  0.063 0.564  0.231 0.564  0.382 0.604  0.500 0.723  0.619 0.841  0.748 0.935  0.916 0.935  1.084 0.935
3#app#app12#app1259/e  -1.067 -0.347  -0.901 -0.347  -0.736 -0.347  -0.571 -0.347  -0.405 -0.347  -0.240 -0.347  -0.233 -0.188  -0.117 -0.139  0.027 -0.087  0.144 0.030  0.261 0.147  0.378 0.263  0.494 0.380  0.600 0.502  0.600 0.668  0.698 0.792  0.808 0.912  0.808 1.077  0.808 1.243  0.719 1.319  0.554 1.319  0.389 1.319  0.223 1.319  0.183 1.194  0.101 1.111  -0.025 1.071  -0.025 0.906  -0.140 0.788  -0.233 0.662  -0.233 0.496  -0.389 0.486  -0.442 0.374  -0.442 0.208  -0.442 0.043  -0.442 -0.123  -0.442 -0.288  -0.442 -0.453  -0.442 -0.619  -0.442 -0.784  -0.442 -0.950  -0.442 -1.115  -0.371 -1.251  -0.254 -1.368  -0.098 -1.389  0.068 -1.389  0.233 -1.389  0.396 -1.384  0.513 -1.267  0.643 -1.181  0.808 -1.181
3#app#app12#app1259/d  -0.369 1.807  -0.214 1.804  -0.145 1.665  -0.075 1.525  -0.063 1.372  0.069 1.348  0.090 1.213  0.090 1.057  0.190 0.943  0.243 0.809  0.243 0.653  0.304 0.522  0.396 0.405  0.396 0.249  0.396 0.093  0.431 -0.028  0.549 -0.066  0.578 -0.210  0.688 -0.320  0.838 -0.334  0.854 -0.194  0.753 -0.080  0.702 0.055  0.616 0.125  0.460 0.125  0.331 0.190  0.212 0.278  0.056 0.278  -0.100 0.278  -0.216 0.238  -0.259 0.125  -0.369 0.079  -0.404 -0.063  -0.514 -0.173  -0.624 -0.283  -0.674 -0.418  -0.736 -0.548  -0.827 -0.667  -0.827 -0.823  -0.827 -0.978  -0.791 -1.098  -0.674 -1.137  -0.632 -1.251  -0.476 -1.251  -0.320 -1.251  -0.165 -1.251  -0.009 -1.251  0.147 -1.251  0.286 -1.208  0.396 -1.098
3#app#app12#app1259/p  -0.421 0.695  -0.421 0.522  -0.421 0.349  -0.421 0.176  -0.319 0.045  -0.284 -0.113  -0.284 -0.285  -0.284 -0.458  -0.284 -0.631  -0.193 -0.766  -0.147 -0.920  -0.147 -1.092  -0.117 -1.253  -0.010 -1.381  -0.010 -1.554  -0.010 -1.727  -0.010 -1.643  -0.010 -1.471  -0.054 -1.316  -0.147 -1.182  -0.147 -1.009  -0.147 -0.836  -0.147 -0.664  -0.168 -0.496  -0.245 -0.341  -0.284 -0.178  -0.284 -0.005  -0.284 0.168  -0.284 0.341  -0.349 0.486  -0.421 0.630  -0.421 0.802  -0.421 0.975  -0.421 1.148  -0.343 1.243  -0.170 1.243  0.003 1.243  0.176 1.243  0.348 1.243  0.521 1.243  0.648 1.133  0.771 1.010  0.893 0.888  0.949 0.739  0.949 0.566  0.922 0.421  0.768 0.376  0.646 0.254  0.524 0.132  0.401 0.010
3#app#app12#app1259/i  -0.327 1.536  -0.327 1.461  -0.327 1.387  -0.327 1.312  -0.327 1.237  -0.274 1.215  -0.199 1.215  -0.124 1.215  -0.050 1.215  -0.006 1.184  -0.006 1.109  -0.006 1.034  -0.006 0.959  -0.006 0.885  -0.006 0.810  -0.006 0.735  -0.006 0.660  -0.006 0.585  -0.006 0.510  -0.006 0.435  -0.006 0.361  -0.006 0.286  -0.006 0.211  -0.006 0.136  -0.006 0.061  -0.006 -0.014  -0.006 -0.088  -0.006 -0.163  -0.006 -0.238  -0.006 -0.313  -0.006 -0.388  -0.006 -0.463  -0.006 -0.538  -0.006 -0.612  -0.006 -0.687  -0.006 -0.762  -0.006 -0.837  -0.006 -0.912  -0.006 -0.987  0.014 -1.054  0.066 -1.106  0.119 -1.159  0.172 -1.212  0.225 -1.265  0.278 -1.318  0.316 -1.377  0.316 -1.452  0.316 -1.527  0.316 -1.602  0.316 -1.677
3#app#app12#app1259/n  -1.271 1.033  -1.271 0.879  -1.198 0.798  -1.045 0.798  -1.036 0.653  -1.036 0.500  -1.036 0.346  -0.940 0.233  -0.831 0.124  -0.802 -0.017  -0.802 -0.171  -0.802 -0.324  -0.699 -0.375  -0.567 -0.397  -0.567 -0.550  -0.567 -0.704  -0.554 -0.844  -0.400 -0.844  -0.333 -0.758  -0.333 -0.604  -0.333 -0.451  -0.333 -0.297  -0.333 -0.144  -0.226 -0.034  -0.118 0.075  -0.098 0.220  -0.098 0.373  -0.098 0.527  0.019 0.564  0.137 0.599  0.137 0.753  0.245 0.798  0.391 0.779  0.499 0.670  0.606 0.561  0.606 0.408  0.681 0.329  0.834 0.329  0.841 0.182  0.841 0.028  0.841 -0.126  0.939 -0.238  1.047 -0.347  1.075 -0.489  1.108 -0.609  1.262 -0.609  1.310 -0.715  1.327 -0.861  1.436 -0.970  1.544 -1.079
3#app#app12#app1259/k  -0.902 2.017  -0.769 1.884  -0.758 1.701  -0.685 1.586  -0.615 1.468  -0.615 1.280  -0.615 1.092  -0.615 0.904  -0.609 0.718  -0.476 0.585  -0.471 0.399  -0.471 0.211  -0.471 0.023  -0.471 -0.165  -0.471 -0.353  -0.420 -0.529  -0.336 -0.698  -0.309 -0.876  -0.183 -1.012  -0.183 -1.200  -0.084 -1.290  -0.040 -1.433  -0.028 -1.247  0.024 -1.066  0.076 -0.886  0.127 -0.705  0.179 -0.524  0.231 -0.343  0.283 -0.162  0.334 0.019  0.386 0.200  0.438 0.380  0.489 0.561  0.535 0.704  0.471 0.579  0.392 0.471  0.284 0.328  0.151 0.195  0.104 0.026  -0.014 -0.113  -0.040 -0.291  -0.003 -0.464  0.141 -0.571  0.329 -0.571  0.517 -0.571  0.698 -0.552  0.834 -0.427  1.022 -0.427  1.210 -0.427  1.398 -0.427
3#app#app12#app1259/y  -1.219 1.156  -1.077 1.156  -1.065 1.026  -1.065 0.884  -1.065 0.742  -1.065 0.601  -1.007 0.483  -0.911 0.381  -0.911 0.239  -0.911 0.097  -0.786 0.081  -0.758 -0.032  -0.686 -0.144  -0.578 -0.226  -0.436 -0.226  -0.295 -0.226  -0.153 -0.226  -0.011 -0.226  0.010 -0.105  0.087 0.005  0.187 0.105  0.287 0.205  0.317 0.335  0.317 0.476  0.371 0.596  0.470 0.696  0.470 0.838  0.601 0.849  0.624 0.968  0.624 0.895  0.593 0.758  0.549 0.624  0.504 0.489  0.470 0.353  0.470 0.211  0.470 0.069  0.470 -0.072  0.470 -0.214  0.470 -0.356  0.470 -0.497  0.470 -0.639  0.470 -0.781  0.470 -0.922  0.470 -1.064  0.470 -1.206  0.470 -1.348  0.470 -1.489  0.470 -1.631  0.470 -1.773  0.470 -1.914
