2#apa#apa13#app1389/b  -0.350 2.333  -0.350 2.151  -0.253 2.010  -0.238 1.836  -0.238 1.654  -0.238 1.473  -0.238 1.292  -0.238 1.111  -0.125 0.976  -0.125 0.795  -0.125 0.614  -0.125 0.433  -0.051 0.269  -0.012 0.097  -0.012 -0.084  -0.012 -0.265  -0.012 -0.447  0.002 -0.624  0.083 -0.786  0.121 -0.955  0.183 -1.004  0.080 -0.856  -0.024 -0.708  -0.128 -0.559  -0.232 -0.411  -0.336 -0.262  -0.440 -0.114  -0.544 0.035  -0.463 0.093  -0.381 0.192  -0.244 0.299  -0.065 0.305  0.116 0.305  0.273 0.246  0.401 0.117  0.529 -0.011  0.577 -0.172  0.664 -0.317  0.674 -0.494  0.776 -0.633  0.776 -0.814  0.649 -0.934  0.551 -1.017  0.399 -1.047  0.218 -1.047  0.037 -1.047  -0.145 -1.047  -0.326 -1.047  -0.463 -1.002  -0.575 -0.934
2#apa#apa13#app1389/e  -0.515 -0.377  -0.360 -0.377  -0.232 -0.313  -0.122 -0.204  0.013 -0.157  0.145 -0.134  0.145 0.021  0.225 0.143  0.335 0.253  0.444 0.362  0.554 0.472  0.586 0.614  0.586 0.769  0.586 0.924  0.451 0.944  0.366 1.013  0.362 1.164  0.207 1.164  0.052 1.164  -0.103 1.164  -0.258 1.164  -0.413 1.164  -0.553 1.127  -0.662 1.017  -0.735 0.893  -0.735 0.738  -0.735 0.583  -0.735 0.428  -0.735 0.273  -0.735 0.118  -0.735 -0.037  -0.735 -0.192  -0.735 -0.347  -0.735 -0.502  -0.693 -0.639  -0.583 -0.749  -0.457 -0.817  -0.302 -0.817  -0.147 -0.817  -0.016 -0.876  0.093 -0.985  0.227 -1.037  0.382 -1.037  0.537 -1.037  0.692 -1.037  0.847 -1.037  1.002 -1.037  1.157 -1.037  1.311 -1.037  1.466 -1.037
2#apa#apa13#app1389/w  -1.051 0.508  -1.000 0.626  -0.933 0.729  -0.824 0.854  -0.842 0.717  -0.933 0.585  -0.933 0.415  -0.968 0.249  -1.009 0.084  -1.050 -0.081  -1.051 -0.251  -1.051 -0.421  -1.019 -0.559  -0.933 -0.642  -0.798 -0.677  -0.696 -0.609  -0.577 -0.558  -0.501 -0.406  -0.405 -0.268  -0.285 -0.148  -0.222 -0.003  -0.128 0.128  -0.104 0.287  -0.172 0.389  -0.222 0.269  -0.222 0.099  -0.222 -0.071  -0.222 -0.241  -0.159 -0.385  -0.104 -0.532  -0.002 -0.660  0.161 -0.677  0.331 -0.677  0.501 -0.677  0.671 -0.677  0.841 -0.677  0.962 -0.559  1.082 -0.439  1.200 -0.318  1.239 -0.164  1.359 -0.044  1.437 0.094  1.437 0.264  1.321 0.386  1.284 0.541  1.200 0.676  1.103 0.777  0.942 0.830  0.844 0.930  0.726 0.981
2#apa#apa13#app1389/i  -0.040 0.079  0.034 0.005  0.098 -0.074  0.098 -0.179  0.098 -0.284  0.098 -0.389  0.098 -0.494  0.098 -0.599  0.098 -0.704  0.098 -0.809  0.098 -0.914  0.098 -1.019  0.098 -1.125  0.098 -1.230  0.118 -1.327  0.192 -1.401  0.230 -1.405  0.214 -1.301  0.197 -1.197  0.181 -1.093  0.164 -0.989  0.147 -0.886  0.131 -0.782  0.114 -0.678  0.098 -0.574  0.081 -0.471  0.064 -0.367  0.048 -0.263  0.031 -0.159  0.014 -0.055  -0.002 0.048  -0.019 0.152  -0.035 0.256  -0.052 0.360  -0.069 0.463  -0.085 0.567  -0.102 0.671  -0.118 0.775  -0.135 0.878  -0.152 0.982  -0.168 1.086  -0.185 1.190  -0.201 1.294  -0.218 1.397  -0.235 1.501  -0.251 1.605  -0.268 1.709  -0.284 1.812  -0.301 1.916  -0.318 2.020
2#apa#apa13#app1389/l  -0.454 1.473  -0.382 1.473  -0.310 1.473  -0.238 1.473  -0.220 1.419  -0.220 1.347  -0.220 1.275  -0.195 1.214  -0.144 1.163  -0.103 1.108  -0.103 1.036  -0.103 0.964  -0.103 0.892  -0.103 0.820  -0.103 0.748  -0.103 0.676  -0.103 0.604  -0.101 0.532  -0.079 0.464  -0.056 0.395  -0.033 0.327  -0.010 0.259  0.012 0.190  0.014 0.119  0.014 0.047  0.014 -0.025  0.014 -0.097  0.014 -0.169  0.014 -0.241  0.024 -0.312  0.047 -0.380  0.069 -0.448  0.092 -0.517  0.115 -0.585  0.131 -0.654  0.131 -0.726  0.131 -0.798  0.131 -0.870  0.131 -0.942  0.131 -1.014  0.131 -1.087  0.172 -1.142  0.222 -1.193  0.248 -1.254  0.248 -1.326  0.248 -1.398  0.248 -1.470  0.248 -1.542  0.248 -1.614  0.248 -1.686
2#apa#apa13#app1389/d  0.227 2.159  0.227 2.003  0.227 1.847  0.227 1.691  0.227 1.534  0.227 1.378  0.227 1.222  0.227 1.066  0.227 0.910  0.227 0.753  0.227 0.597  0.281 0.454  0.341 0.312  0.341 0.156  0.341 -0.000  0.341 -0.157  0.394 -0.291  0.455 -0.422  0.455 -0.578  0.570 -0.620  0.570 -0.614  0.483 -0.494  0.455 -0.349  0.423 -0.206  0.313 -0.096  0.202 0.014  0.092 0.125  -0.026 0.218  -0.182 0.218  -0.338 0.218  -0.494 0.218  -0.627 0.163  -0.738 0.052  -0.800 -0.078  -0.878 -0.202  -0.915 -0.343  -0.915 -0.499  -0.915 -0.655  -0.913 -0.811  -0.803 -0.921  -0.692 -1.032  -0.539 -1.038  -0.383 -1.038  -0.226 -1.038  -0.070 -1.038  0.086 -1.038  0.229 -0.980  0.371 -0.924  0.528 -0.924  0.684 -0.924
2#apa#apa13#app1389/e  0.018 -0.668  0.125 -0.561  0.263 -0.526  0.303 -0.414  0.389 -0.297  0.445 -0.169  0.445 -0.017  0.509 0.108  0.588 0.228  0.588 0.380  0.588 0.532  0.588 0.684  0.588 0.835  0.525 0.961  0.418 1.069  0.310 1.176  0.161 1.184  0.010 1.184  -0.142 1.184  -0.286 1.164  -0.394 1.057  -0.525 0.983  -0.661 0.915  -0.776 0.817  -0.866 0.698  -0.934 0.562  -0.979 0.421  -0.979 0.269  -0.979 0.117  -0.979 -0.035  -0.979 -0.187  -0.979 -0.339  -0.979 -0.491  -0.874 -0.578  -0.738 -0.646  -0.592 -0.668  -0.473 -0.747  -0.347 -0.811  -0.195 -0.811  -0.043 -0.811  0.109 -0.811  0.261 -0.811  0.413 -0.811  0.565 -0.811  0.716 -0.811  0.868 -0.811  1.020 -0.808  1.156 -0.740  1.292 -0.672  1.442 -0.668
2#apa#apa13#app1389/r  -0.520 -0.752  -0.390 -0.752  -0.340 -0.832  -0.311 -0.932  -0.182 -0.932  -0.161 -1.040  -0.120 -1.152  -0.028 -1.244  0.082 -1.291  0.198 -1.278  0.198 -1.149  0.198 -1.019  0.157 -0.932  0.027 -0.932  -0.035 -0.824  -0.093 -0.708  -0.151 -0.592  -0.161 -0.465  -0.201 -0.353  -0.293 -0.261  -0.384 -0.170  -0.476 -0.078  -0.520 0.033  -0.537 0.145  -0.666 0.145  -0.767 0.213  -0.859 0.304  -0.879 0.425  -0.879 0.555  -0.878 0.684  -0.749 0.684  -0.619 0.684  -0.490 0.684  -0.361 0.684  -0.231 0.684  -0.102 0.684  0.027 0.684  0.157 0.684  0.286 0.684  0.415 0.684  0.545 0.684  0.640 0.766  0.731 0.858  0.858 0.863  0.988 0.863  1.117 0.863  1.246 0.863  1.376 0.863  1.505 0.863  1.634 0.863
2#apa#apa13#app1389/e  -0.583 -0.763  -0.421 -0.763  -0.259 -0.763  -0.097 -0.763  0.020 -0.653  0.074 -0.514  0.133 -0.376  0.238 -0.258  0.246 -0.099  0.361 0.016  0.402 0.161  0.402 0.323  0.402 0.485  0.402 0.647  0.335 0.781  0.220 0.895  0.106 1.010  0.074 1.159  -0.041 1.206  -0.203 1.206  -0.365 1.206  -0.527 1.206  -0.689 1.206  -0.747 1.101  -0.819 0.969  -0.911 0.845  -0.911 0.683  -0.911 0.521  -0.911 0.359  -0.911 0.197  -0.911 0.035  -0.897 -0.121  -0.782 -0.236  -0.668 -0.350  -0.553 -0.465  -0.438 -0.579  -0.285 -0.599  -0.123 -0.599  0.039 -0.599  0.188 -0.656  0.333 -0.729  0.487 -0.763  0.649 -0.763  0.811 -0.763  0.973 -0.763  1.135 -0.763  1.275 -0.711  1.391 -0.599  1.553 -0.599  1.715 -0.599
2#apa#apa13#app1389/d  0.028 1.999  0.121 1.897  0.121 1.757  0.121 1.618  0.121 1.478  0.168 1.349  0.213 1.219  0.213 1.080  0.256 0.946  0.300 0.814  0.306 0.675  0.360 0.557  0.398 0.433  0.398 0.293  0.398 0.153  0.429 0.026  0.491 -0.088  0.491 -0.214  0.491 -0.074  0.391 -0.029  0.287 0.056  0.166 0.103  0.045 0.149  -0.095 0.149  -0.235 0.149  -0.338 0.060  -0.462 -0.004  -0.575 -0.084  -0.674 -0.183  -0.772 -0.282  -0.871 -0.381  -0.970 -0.480  -0.989 -0.612  -0.989 -0.752  -0.969 -0.879  -0.843 -0.941  -0.708 -0.961  -0.568 -0.961  -0.428 -0.961  -0.288 -0.961  -0.148 -0.961  -0.014 -0.936  0.111 -0.873  0.250 -0.869  0.390 -0.869  0.516 -0.810  0.641 -0.747  0.766 -0.685  0.906 -0.684  1.046 -0.684
2#apa#apa13#app1389/c  0.106 0.953  0.106 0.839  0.106 0.724  0.106 0.610  0.106 0.512  0.106 0.626  0.097 0.737  0.016 0.818  -0.006 0.923  -0.066 1.013  -0.119 1.105  -0.161 1.178  -0.275 1.178  -0.364 1.137  -0.415 1.034  -0.456 0.929  -0.474 0.822  -0.555 0.742  -0.611 0.643  -0.662 0.540  -0.681 0.430  -0.681 0.316  -0.681 0.201  -0.681 0.087  -0.681 -0.028  -0.681 -0.142  -0.681 -0.256  -0.681 -0.371  -0.681 -0.485  -0.616 -0.573  -0.535 -0.654  -0.453 -0.733  -0.342 -0.761  -0.231 -0.789  -0.120 -0.817  -0.009 -0.844  0.106 -0.845  0.220 -0.845  0.334 -0.845  0.449 -0.845  0.563 -0.845  0.678 -0.845  0.792 -0.845  0.907 -0.845  1.021 -0.845  1.136 -0.845  1.250 -0.845  1.362 -0.835  1.464 -0.784  1.567 -0.732
