1c#app#app36#app3692/a  0.513 0.627  0.513 0.405  0.419 0.409  0.357 0.605  0.215 0.769  0.058 0.926  0.011 1.129  -0.110 1.301  -0.227 1.407  -0.442 1.387  -0.607 1.251  -0.734 1.155  -0.734 0.933  -0.785 0.732  -0.890 0.553  -0.890 0.331  -0.890 0.108  -0.890 -0.114  -0.890 -0.336  -0.890 -0.559  -0.777 -0.734  -0.620 -0.891  -0.462 -1.048  -0.413 -1.244  -0.190 -1.244  0.032 -1.244  0.193 -1.097  0.226 -0.884  0.325 -0.685  0.357 -0.470  0.357 -0.248  0.357 -0.025  0.357 0.197  0.357 0.419  0.357 0.642  0.357 0.864  0.210 0.939  0.201 0.725  0.201 0.503  0.201 0.280  0.201 0.058  0.201 -0.164  0.256 -0.364  0.357 -0.544  0.423 -0.751  0.527 -0.946  0.669 -1.110  0.731 -1.306  0.915 -1.400  0.981 -1.244
1c#app#app36#app3692/b  -0.566 2.031  -0.542 1.839  -0.518 1.647  -0.494 1.455  -0.470 1.263  -0.446 1.072  -0.439 0.879  -0.439 0.685  -0.439 0.492  -0.439 0.299  -0.419 0.114  -0.313 -0.036  -0.313 -0.229  -0.313 -0.422  -0.313 -0.616  -0.255 -0.751  -0.186 -0.876  -0.186 -0.939  -0.186 -0.745  -0.186 -0.552  -0.186 -0.359  -0.243 -0.189  -0.313 -0.024  -0.313 0.169  -0.313 0.362  -0.271 0.513  -0.186 0.622  -0.025 0.675  0.130 0.766  0.323 0.764  0.496 0.678  0.681 0.640  0.823 0.516  0.870 0.342  1.007 0.206  1.078 0.042  1.078 -0.152  1.008 -0.316  0.901 -0.474  0.808 -0.642  0.671 -0.779  0.519 -0.877  0.325 -0.877  0.184 -1.004  0.013 -1.057  -0.124 -1.194  -0.291 -1.257  -0.434 -1.378  -0.439 -1.197  -0.313 -1.130
1c#app#app36#app3692/c  0.676 0.654  0.676 0.544  0.676 0.433  0.676 0.403  0.676 0.513  0.676 0.624  0.620 0.711  0.542 0.789  0.530 0.895  0.530 1.006  0.506 1.092  0.396 1.092  0.285 1.092  0.174 1.092  0.064 1.092  -0.047 1.092  -0.127 1.019  -0.205 0.940  -0.283 0.862  -0.361 0.784  -0.440 0.706  -0.491 0.616  -0.493 0.507  -0.571 0.428  -0.637 0.345  -0.637 0.234  -0.637 0.124  -0.637 0.013  -0.637 -0.097  -0.637 -0.208  -0.637 -0.319  -0.637 -0.429  -0.618 -0.532  -0.539 -0.610  -0.491 -0.700  -0.486 -0.809  -0.408 -0.887  -0.330 -0.966  -0.252 -1.044  -0.173 -1.122  -0.095 -1.200  -0.002 -1.242  0.109 -1.242  0.219 -1.242  0.330 -1.242  0.440 -1.242  0.545 -1.228  0.623 -1.150  0.712 -1.096  0.822 -1.096
1c#app#app36#app3692/d  0.211 -0.046  0.195 0.158  0.086 0.283  -0.094 0.369  -0.220 0.463  -0.440 0.463  -0.618 0.361  -0.799 0.267  -0.957 0.163  -1.010 -0.045  -1.010 -0.265  -1.010 -0.486  -1.010 -0.706  -0.964 -0.907  -0.808 -1.062  -0.652 -1.218  -0.452 -1.267  -0.251 -1.221  -0.066 -1.137  0.060 -0.960  0.158 -0.763  0.283 -0.585  0.393 -0.396  0.491 -0.199  0.517 0.015  0.517 0.236  0.517 0.456  0.584 0.665  0.619 0.880  0.607 1.097  0.517 1.296  0.501 1.513  0.395 1.705  0.239 1.713  0.211 1.504  0.211 1.284  0.176 1.069  0.110 0.860  0.110 0.640  0.110 0.420  0.110 0.199  0.110 -0.021  0.110 -0.241  0.188 -0.429  0.211 -0.640  0.257 -0.849  0.313 -1.056  0.415 -1.234  0.415 -1.284  0.415 -1.064
1c#app#app36#app3692/e  -0.520 -0.148  -0.371 -0.114  -0.257 0.000  -0.128 0.080  0.006 0.149  0.121 0.264  0.236 0.378  0.351 0.493  0.494 0.537  0.613 0.642  0.728 0.757  0.738 0.915  0.738 1.077  0.607 1.109  0.463 1.154  0.330 1.223  0.167 1.223  0.019 1.190  -0.096 1.075  -0.225 0.994  -0.377 0.952  -0.520 0.877  -0.520 0.715  -0.589 0.582  -0.733 0.537  -0.748 0.390  -0.805 0.251  -0.862 0.113  -0.862 -0.049  -0.862 -0.212  -0.784 -0.341  -0.748 -0.489  -0.716 -0.638  -0.634 -0.766  -0.634 -0.928  -0.507 -1.012  -0.356 -1.063  -0.204 -1.106  -0.059 -1.177  0.103 -1.177  0.266 -1.177  0.428 -1.177  0.582 -1.141  0.727 -1.068  0.763 -0.923  0.888 -0.834  0.966 -0.749  0.966 -0.587  0.966 -0.425  0.852 -0.377
1c#app#app36#app3692/f  0.869 0.713  0.844 0.640  0.742 0.713  0.675 0.778  0.604 0.881  0.511 0.974  0.391 1.004  0.364 1.121  0.270 1.214  0.172 1.296  0.040 1.296  -0.093 1.296  -0.218 1.278  -0.317 1.198  -0.419 1.149  -0.478 1.031  -0.491 0.902  -0.491 0.769  -0.491 0.637  -0.491 0.505  -0.491 0.373  -0.491 0.240  -0.491 0.108  -0.491 -0.024  -0.491 -0.156  -0.491 -0.289  -0.491 -0.421  -0.491 -0.553  -0.464 -0.674  -0.394 -0.777  -0.394 -0.910  -0.321 -1.012  -0.296 -1.134  -0.203 -1.227  -0.169 -1.328  -0.168 -1.328  -0.271 -1.257  -0.229 -1.163  -0.136 -1.070  -0.042 -0.976  0.051 -0.883  0.145 -0.789  0.238 -0.696  0.332 -0.602  0.443 -0.550  0.547 -0.484  0.667 -0.453  0.799 -0.453  0.931 -0.453  0.869 -0.453
1c#app#app36#app3692/g  0.285 1.291  0.102 1.291  0.032 1.178  -0.123 1.109  -0.252 0.980  -0.344 0.824  -0.393 0.652  -0.495 0.511  -0.506 0.333  -0.506 0.150  -0.506 -0.033  -0.506 -0.216  -0.395 -0.289  -0.325 -0.402  -0.182 -0.305  -0.052 -0.176  0.059 -0.104  0.159 0.037  0.285 0.168  0.338 0.329  0.398 0.487  0.398 0.670  0.398 0.854  0.398 1.037  0.398 1.220  0.398 1.403  0.398 1.223  0.398 1.040  0.398 0.857  0.398 0.674  0.398 0.491  0.398 0.308  0.398 0.125  0.398 -0.058  0.398 -0.241  0.398 -0.425  0.398 -0.608  0.398 -0.791  0.393 -0.972  0.263 -1.101  0.172 -1.246  0.084 -1.393  -0.045 -1.522  -0.225 -1.531  -0.408 -1.531  -0.566 -1.470  -0.727 -1.418  -0.858 -1.291  -0.957 -1.149  -0.957 -0.966
1c#app#app36#app3692/h  -0.699 1.811  -0.699 1.652  -0.699 1.493  -0.699 1.333  -0.699 1.174  -0.699 1.015  -0.699 0.855  -0.699 0.696  -0.699 0.537  -0.699 0.378  -0.699 0.218  -0.693 0.061  -0.622 -0.082  -0.555 -0.225  -0.555 -0.385  -0.555 -0.544  -0.518 -0.688  -0.414 -0.801  -0.527 -0.913  -0.555 -1.061  -0.420 -1.086  -0.410 -0.937  -0.404 -0.778  -0.354 -0.627  -0.303 -0.476  -0.238 -0.334  -0.125 -0.222  -0.113 -0.072  0.040 -0.057  0.153 0.056  0.265 0.169  0.314 0.308  0.388 0.436  0.459 0.566  0.532 0.652  0.604 0.565  0.706 0.508  0.865 0.508  0.894 0.377  0.894 0.217  0.894 0.058  0.894 -0.101  0.894 -0.260  0.894 -0.420  0.894 -0.579  0.894 -0.738  0.894 -0.898  0.894 -1.057  0.894 -1.216  0.894 -1.086
1c#app#app36#app3692/i  -0.157 -0.210  -0.157 -0.311  -0.157 -0.413  -0.114 -0.497  -0.042 -0.569  -0.035 -0.668  -0.035 -0.769  -0.035 -0.871  -0.035 -0.973  -0.035 -1.074  -0.035 -1.176  -0.035 -1.278  -0.035 -1.379  0.016 -1.430  0.087 -1.398  0.086 -1.297  0.082 -1.195  0.078 -1.093  0.074 -0.992  0.070 -0.890  0.066 -0.789  0.062 -0.687  0.058 -0.585  0.054 -0.484  0.050 -0.382  0.045 -0.281  0.041 -0.179  0.037 -0.077  0.033 0.024  0.029 0.126  0.025 0.228  0.021 0.329  0.017 0.431  0.013 0.532  0.009 0.634  0.005 0.736  0.001 0.837  -0.003 0.939  -0.007 1.040  -0.011 1.142  -0.016 1.244  -0.020 1.345  -0.024 1.447  -0.028 1.548  -0.032 1.650  -0.035 1.732  -0.035 1.630  -0.035 1.529  0.015 1.448  0.087 1.376
1c#app#app36#app3692/j  0.218 0.677  0.309 0.586  0.311 0.458  0.311 0.329  0.311 0.200  0.311 0.071  0.311 -0.058  0.311 -0.187  0.311 -0.316  0.315 -0.444  0.373 -0.559  0.404 -0.681  0.404 -0.810  0.404 -0.939  0.404 -1.068  0.298 -1.099  0.207 -1.190  0.111 -1.271  -0.018 -1.271  -0.147 -1.271  -0.263 -1.216  -0.383 -1.178  -0.488 -1.121  -0.579 -1.030  -0.671 -0.939  -0.710 -0.826  -0.668 -0.705  -0.620 -0.586  -0.571 -0.467  -0.522 -0.347  -0.474 -0.228  -0.425 -0.108  -0.376 0.011  -0.328 0.131  -0.279 0.250  -0.230 0.369  -0.182 0.489  -0.133 0.608  -0.084 0.728  -0.036 0.847  0.013 0.967  0.062 1.086  0.110 1.205  0.159 1.325  0.208 1.444  0.256 1.564  0.305 1.683  0.404 1.677  0.460 1.605  0.589 1.605
1c#app#app36#app3692/k  -0.281 2.135  -0.281 1.999  -0.281 1.863  -0.281 1.727  -0.281 1.590  -0.281 1.454  -0.281 1.318  -0.281 1.182  -0.281 1.046  -0.281 0.910  -0.281 0.774  -0.281 0.638  -0.281 0.502  -0.281 0.366  -0.281 0.230  -0.247 0.108  -0.164 0.006  -0.164 -0.130  -0.164 -0.266  -0.164 -0.402  -0.164 -0.538  -0.164 -0.674  -0.164 -0.810  -0.164 -0.878  -0.217 -0.795  -0.281 -0.723  -0.281 -0.587  -0.281 -0.450  -0.290 -0.318  -0.386 -0.222  -0.482 -0.125  -0.516 -0.180  -0.516 -0.316  -0.389 -0.326  -0.253 -0.326  -0.131 -0.359  -0.030 -0.443  0.096 -0.469  0.194 -0.560  0.330 -0.560  0.466 -0.560  0.602 -0.560  0.656 -0.642  0.757 -0.678  0.858 -0.762  0.981 -0.795  1.085 -0.872  1.204 -0.912  1.242 -0.814  1.359 -0.795
