2#apa#apa02#app0255/V  -0.814 0.794  -0.814 0.921  -0.814 1.047  -0.831 1.156  -0.934 1.132  -0.904 1.035  -0.814 0.999  -0.814 0.873  -0.780 0.760  -0.693 0.670  -0.689 0.544  -0.632 0.431  -0.575 0.318  -0.572 0.192  -0.572 0.066  -0.567 -0.060  -0.511 -0.173  -0.454 -0.286  -0.366 -0.376  -0.331 -0.489  -0.331 -0.615  -0.268 -0.715  -0.211 -0.818  -0.174 -0.930  -0.085 -1.019  0.004 -1.108  0.030 -1.224  0.126 -1.255  0.253 -1.255  0.271 -1.146  0.352 -1.053  0.423 -0.951  0.480 -0.837  0.512 -0.719  0.554 -0.610  0.633 -0.515  0.633 -0.389  0.633 -0.262  0.657 -0.146  0.746 -0.056  0.753 0.067  0.753 0.194  0.753 0.320  0.763 0.443  0.852 0.532  0.874 0.650  0.874 0.776  0.874 0.903  0.874 1.029  0.874 1.156
2#apa#apa02#app0255/E  -0.308 1.001  -0.308 0.818  -0.319 0.640  -0.448 0.511  -0.541 0.367  -0.542 0.185  -0.657 0.049  -0.696 -0.124  -0.773 -0.289  -0.773 -0.471  -0.773 -0.654  -0.773 -0.837  -0.773 -1.019  -0.773 -1.202  -0.657 -1.269  -0.533 -1.327  -0.351 -1.327  -0.175 -1.311  -0.033 -1.211  0.149 -1.211  0.284 -1.095  0.391 -1.019  0.491 -0.878  0.394 -0.748  0.265 -0.619  0.136 -0.490  0.006 -0.361  -0.123 -0.232  -0.105 -0.163  0.077 -0.163  0.260 -0.163  0.443 -0.163  0.591 -0.080  0.754 -0.033  0.831 0.098  0.709 0.234  0.587 0.370  0.464 0.505  0.342 0.641  0.220 0.777  0.098 0.913  -0.024 1.049  -0.147 1.185  -0.075 1.234  0.108 1.234  0.286 1.245  0.425 1.350  0.608 1.350  0.790 1.350  0.973 1.350
2#apa#apa02#app0255/X  -1.344 0.970  -1.156 0.970  -0.967 0.970  -0.826 0.855  -0.672 0.809  -0.615 0.644  -0.482 0.511  -0.348 0.377  -0.268 0.222  -0.177 0.071  -0.134 -0.100  -0.005 -0.235  0.128 -0.368  0.166 -0.541  0.269 -0.687  0.269 -0.875  0.269 -1.064  0.340 -1.182  0.439 -1.062  0.492 -0.881  0.546 -0.700  0.599 -0.520  0.652 -0.339  0.705 -0.158  0.758 0.023  0.812 0.204  0.865 0.385  0.918 0.566  0.971 0.747  1.025 0.928  1.072 1.104  0.900 1.063  0.750 0.970  0.673 0.859  0.556 0.718  0.423 0.585  0.289 0.452  0.156 0.318  0.023 0.185  -0.111 0.052  -0.244 -0.082  -0.406 -0.175  -0.556 -0.278  -0.641 -0.447  -0.725 -0.616  -0.811 -0.783  -0.944 -0.916  -1.078 -1.050  -1.211 -1.183  -1.344 -1.316
2#apa#apa02#app0255/I  0.279 1.067  0.279 0.824  0.279 0.580  0.279 0.336  0.184 0.132  0.139 -0.093  0.139 -0.337  0.063 -0.549  -0.001 -0.766  -0.001 -1.010  -0.058 -1.230  -0.162 -1.190  -0.202 -0.950  -0.242 -0.709  -0.282 -0.469  -0.322 -0.229  -0.362 0.012  -0.402 0.252  -0.443 0.493  -0.483 0.733  -0.523 0.973  -0.555 1.207  -0.422 1.317  -0.208 1.348  0.036 1.348  0.279 1.347  0.465 1.207  0.709 1.207  0.952 1.207  1.056 1.067  0.996 0.936  0.829 0.758  0.662 0.580  0.496 0.402  0.329 0.225  0.162 0.047  -0.004 -0.131  -0.171 -0.309  -0.338 -0.487  -0.504 -0.664  -0.671 -0.842  -0.838 -1.020  -0.949 -1.174  -0.705 -1.174  -0.462 -1.174  -0.218 -1.174  -0.114 -1.034  0.130 -1.034  0.346 -0.967  0.559 -0.894
2#apa#apa02#app0255/N  -1.358 -1.106  -1.233 -1.082  -1.185 -0.982  -1.109 -0.910  -1.013 -0.858  -0.985 -0.738  -0.971 -0.595  -0.866 -0.490  -0.797 -0.359  -0.736 -0.225  -0.736 -0.077  -0.694 0.055  -0.611 0.169  -0.611 0.317  -0.556 0.442  -0.487 0.562  -0.487 0.711  -0.417 0.830  -0.362 0.956  -0.267 1.009  -0.238 0.889  -0.238 0.741  -0.238 0.592  -0.208 0.451  -0.142 0.318  -0.114 0.176  -0.114 0.028  -0.107 -0.118  -0.002 -0.223  0.103 -0.327  0.135 -0.462  0.260 -0.486  0.278 -0.627  0.383 -0.732  0.524 -0.717  0.629 -0.612  0.771 -0.595  0.876 -0.490  0.892 -0.349  0.997 -0.244  1.014 -0.103  1.119 0.002  1.130 0.146  1.130 0.294  1.130 0.443  1.130 0.591  1.130 0.739  1.130 0.888  1.111 1.028  1.006 1.133
2#apa#apa02#app0255/G  -0.367 1.305  -0.492 1.185  -0.606 1.123  -0.724 1.066  -0.780 0.946  -0.846 0.836  -0.963 0.709  -0.966 0.535  -1.014 0.371  -1.085 0.212  -1.085 0.036  -1.085 -0.139  -1.085 -0.315  -1.085 -0.490  -0.962 -0.612  -0.846 -0.672  -0.730 -0.732  -0.555 -0.732  -0.379 -0.732  -0.203 -0.732  -0.028 -0.732  0.148 -0.732  0.233 -0.641  0.148 -0.493  0.046 -0.350  -0.057 -0.207  -0.159 -0.064  -0.261 0.078  -0.363 0.221  -0.198 0.227  -0.022 0.227  0.149 0.245  0.306 0.323  0.440 0.434  0.602 0.466  0.778 0.466  0.834 0.586  1.009 0.586  1.185 0.586  1.191 0.417  1.191 0.241  1.173 0.070  1.094 -0.087  1.068 -0.256  0.952 -0.383  0.952 -0.559  0.950 -0.733  0.832 -0.860  0.832 -1.036  0.832 -1.211
2#apa#apa02#app0255/D  -0.249 0.912  -0.249 0.706  -0.136 0.547  -0.123 0.347  -0.123 0.141  -0.123 -0.064  -0.123 -0.270  -0.123 -0.475  -0.123 -0.681  -0.196 -0.869  -0.249 -1.062  -0.368 -1.219  -0.386 -1.283  -0.420 -1.081  -0.454 -0.878  -0.488 -0.675  -0.522 -0.472  -0.555 -0.269  -0.589 -0.067  -0.623 0.136  -0.657 0.339  -0.691 0.542  -0.724 0.745  -0.788 0.912  -0.878 1.028  -0.752 1.107  -0.602 1.163  -0.397 1.163  -0.191 1.163  0.015 1.163  0.220 1.163  0.375 1.042  0.527 0.912  0.703 0.840  0.848 0.694  0.994 0.549  1.008 0.350  1.107 0.185  1.134 -0.009  1.134 -0.215  1.008 -0.295  0.988 -0.492  0.843 -0.637  0.673 -0.723  0.484 -0.797  0.317 -0.912  0.138 -0.975  -0.016 -1.100  -0.221 -1.100  -0.375 -1.226
2#apa#apa02#app0255/A  -1.043 -1.082  -0.908 -1.005  -1.016 -0.838  -1.043 -0.637  -1.043 -0.425  -1.004 -0.229  -0.908 -0.057  -0.800 0.111  -0.746 0.301  -0.618 0.465  -0.551 0.666  -0.464 0.855  -0.365 1.026  -0.260 1.195  -0.094 1.259  0.017 1.360  0.229 1.360  0.441 1.360  0.498 1.176  0.585 1.000  0.702 0.836  0.720 0.632  0.720 0.420  0.720 0.207  0.785 0.010  0.856 -0.185  0.856 -0.397  0.856 -0.609  0.856 -0.822  0.856 -1.034  0.856 -1.246  0.751 -1.353  0.598 -1.219  0.454 -1.063  0.311 -0.906  0.167 -0.750  0.024 -0.593  -0.119 -0.437  -0.263 -0.281  -0.406 -0.124  -0.550 0.032  -0.693 0.189  -0.677 0.275  -0.515 0.154  -0.309 0.139  -0.096 0.139  0.108 0.106  0.298 0.011  0.508 0.004  0.720 0.004
2#apa#apa02#app0255/F  -0.054 0.451  -0.168 0.337  -0.168 0.109  -0.168 -0.119  -0.270 -0.323  -0.282 -0.548  -0.343 -0.751  -0.414 -0.953  -0.519 -1.155  -0.625 -1.339  -0.703 -1.489  -0.727 -1.526  -0.693 -1.300  -0.659 -1.074  -0.626 -0.849  -0.592 -0.623  -0.558 -0.398  -0.524 -0.172  -0.490 0.053  -0.456 0.279  -0.423 0.505  -0.396 0.731  -0.231 0.794  -0.117 0.908  0.111 0.908  0.339 0.908  0.567 0.908  0.790 0.930  0.996 1.022  1.225 1.022  1.453 1.022  1.637 1.011  1.435 0.905  1.233 0.799  1.031 0.694  0.829 0.588  0.627 0.482  0.425 0.376  0.223 0.270  0.021 0.164  -0.181 0.059  -0.383 -0.047  -0.585 -0.153  -0.739 -0.288  -0.684 -0.462  -0.474 -0.537  -0.255 -0.576  -0.027 -0.576  0.186 -0.513  0.402 -0.462
2#apa#apa02#app0255/T  0.366 0.570  0.366 0.419  0.366 0.268  0.366 0.117  0.366 -0.035  0.283 -0.152  0.259 -0.293  0.234 -0.438  0.167 -0.574  0.147 -0.720  0.079 -0.855  0.012 -0.991  -0.056 -1.126  -0.160 -1.235  -0.274 -1.276  -0.330 -1.404  -0.399 -1.376  -0.434 -1.229  -0.469 -1.082  -0.504 -0.935  -0.539 -0.788  -0.574 -0.640  -0.609 -0.493  -0.644 -0.346  -0.679 -0.199  -0.714 -0.052  -0.749 0.095  -0.784 0.242  -0.819 0.389  -0.854 0.536  -0.889 0.683  -0.913 0.735  -0.820 0.677  -0.668 0.677  -0.517 0.677  -0.366 0.677  -0.215 0.677  -0.064 0.677  0.088 0.677  0.239 0.677  0.390 0.677  0.541 0.677  0.692 0.677  0.844 0.677  0.995 0.677  1.146 0.677  1.297 0.677  1.449 0.677  1.600 0.677  1.751 0.677
2#apa#apa02#app0255/J  0.294 0.802  0.294 0.848  0.294 0.698  0.335 0.565  0.392 0.438  0.392 0.288  0.392 0.138  0.392 -0.012  0.392 -0.162  0.392 -0.312  0.392 -0.463  0.392 -0.613  0.392 -0.763  0.392 -0.913  0.389 -1.062  0.283 -1.168  0.177 -1.274  0.060 -1.354  -0.090 -1.354  -0.240 -1.354  -0.390 -1.354  -0.490 -1.303  -0.588 -1.251  -0.588 -1.101  -0.588 -0.951  -0.588 -0.800  -0.588 -0.650  -0.588 -0.500  -0.588 -0.350  -0.588 -0.200  -0.588 -0.050  -0.588 0.100  -0.588 0.250  -0.588 0.400  -0.588 0.551  -0.588 0.701  -0.588 0.851  -0.585 0.998  -0.435 0.998  -0.285 0.998  -0.135 0.998  0.015 0.998  0.166 0.998  0.316 0.998  0.466 0.998  0.616 0.998  0.766 0.998  0.877 0.904  1.026 0.900  1.176 0.900
2#apa#apa02#app0255/I  0.308 1.064  0.308 0.833  0.308 0.602  0.286 0.374  0.213 0.154  0.184 -0.072  0.184 -0.304  0.059 -0.483  0.036 -0.705  -0.066 -0.894  -0.077 -0.738  -0.091 -0.507  -0.104 -0.276  -0.118 -0.045  -0.132 0.186  -0.145 0.417  -0.159 0.648  -0.172 0.879  -0.186 1.109  -0.039 1.189  0.192 1.189  0.412 1.137  0.626 1.064  0.857 1.064  1.088 1.064  1.295 1.056  1.108 0.920  0.921 0.784  0.734 0.648  0.547 0.512  0.360 0.376  0.173 0.240  -0.014 0.104  -0.201 -0.032  -0.388 -0.168  -0.576 -0.304  -0.763 -0.440  -0.950 -0.577  -1.137 -0.713  -1.324 -0.849  -1.374 -0.996  -1.168 -1.056  -0.937 -1.056  -0.705 -1.056  -0.474 -1.056  -0.243 -1.056  -0.011 -1.056  0.220 -1.056  0.451 -1.056  0.683 -1.056
2#apa#apa02#app0255/M  -1.028 0.441  -1.028 0.620  -0.931 0.515  -0.931 0.336  -0.994 0.183  -1.028 0.019  -1.028 -0.160  -1.028 -0.339  -1.126 -0.477  -1.143 -0.649  -1.224 -0.794  -1.175 -0.729  -1.103 -0.609  -0.955 -0.534  -0.891 -0.397  -0.764 -0.270  -0.638 -0.144  -0.539 0.005  -0.439 0.153  -0.312 0.279  -0.248 0.432  -0.150 0.570  -0.150 0.525  -0.150 0.346  -0.150 0.167  -0.150 -0.012  -0.150 -0.191  -0.150 -0.369  -0.136 -0.534  0.015 -0.467  0.141 -0.341  0.279 -0.242  0.422 -0.157  0.549 -0.030  0.675 0.096  0.802 0.223  0.926 0.350  1.006 0.510  1.124 0.643  1.216 0.783  1.313 0.799  1.313 0.620  1.313 0.441  1.256 0.286  1.216 0.124  1.216 -0.055  1.216 -0.233  1.216 -0.412  1.216 -0.591  1.313 -0.729
