1b#apa#apa15#app1502/V  -0.912 1.018  -0.912 0.902  -0.896 0.790  -0.844 0.687  -0.793 0.584  -0.741 0.480  -0.702 0.372  -0.674 0.260  -0.646 0.148  -0.618 0.036  -0.590 -0.076  -0.562 -0.188  -0.534 -0.300  -0.522 -0.414  -0.522 -0.530  -0.490 -0.640  -0.453 -0.750  -0.417 -0.859  -0.380 -0.969  -0.343 -1.078  -0.283 -1.173  -0.201 -1.255  -0.124 -1.311  -0.072 -1.208  -0.020 -1.104  0.031 -1.001  0.094 -0.905  0.175 -0.824  0.257 -0.742  0.295 -0.633  0.331 -0.524  0.368 -0.414  0.405 -0.304  0.441 -0.195  0.472 -0.084  0.500 0.028  0.528 0.140  0.556 0.253  0.584 0.365  0.612 0.477  0.640 0.589  0.668 0.701  0.696 0.813  0.724 0.925  0.752 1.037  0.781 1.149  0.809 1.261  0.837 1.373  0.845 1.488  0.845 1.603
1b#apa#apa15#app1502/E  -0.670 0.905  -0.670 0.705  -0.670 0.506  -0.670 0.307  -0.670 0.107  -0.670 -0.092  -0.670 -0.291  -0.670 -0.491  -0.670 -0.690  -0.670 -0.889  -0.619 -1.067  -0.478 -1.208  -0.471 -1.397  -0.282 -1.334  -0.093 -1.271  0.097 -1.208  0.296 -1.208  0.494 -1.204  0.684 -1.141  0.873 -1.078  1.057 -1.012  1.002 -0.821  0.948 -0.629  0.893 -0.437  0.838 -0.246  0.783 -0.054  0.729 0.138  0.673 0.329  0.474 0.329  0.275 0.329  0.075 0.329  -0.121 0.315  -0.299 0.226  -0.477 0.137  -0.665 0.140  -0.503 0.256  -0.341 0.372  -0.178 0.488  -0.016 0.604  0.146 0.720  0.308 0.835  0.471 0.951  0.633 1.067  0.526 1.097  0.326 1.097  0.127 1.097  -0.072 1.097  -0.272 1.097  -0.471 1.097  -0.670 1.097
1b#apa#apa15#app1502/X  -0.619 0.870  -0.812 0.870  -1.004 0.870  -0.960 0.870  -0.849 0.789  -0.849 0.597  -0.844 0.406  -0.708 0.270  -0.572 0.134  -0.436 -0.002  -0.319 -0.154  -0.212 -0.314  -0.106 -0.474  0.001 -0.634  0.091 -0.802  0.152 -0.985  0.213 -1.167  0.274 -1.350  0.299 -1.538  0.353 -1.601  0.489 -1.465  0.541 -1.290  0.558 -1.098  0.576 -0.906  0.593 -0.715  0.611 -0.523  0.628 -0.331  0.645 -0.140  0.663 0.052  0.680 0.244  0.698 0.435  0.715 0.627  0.732 0.818  0.750 1.010  0.686 1.172  0.550 1.308  0.529 1.167  0.403 1.100  0.250 1.026  0.143 0.866  0.037 0.706  -0.070 0.546  -0.178 0.387  -0.294 0.233  -0.409 0.079  -0.525 -0.075  -0.640 -0.229  -0.756 -0.383  -0.849 -0.544  -0.849 -0.737
1b#apa#apa15#app1502/I  -0.036 1.749  -0.036 1.676  -0.036 1.603  -0.036 1.530  -0.036 1.457  -0.036 1.384  -0.036 1.311  -0.036 1.238  -0.036 1.165  -0.036 1.092  -0.036 1.019  -0.036 0.946  -0.036 0.873  -0.036 0.800  -0.036 0.727  -0.036 0.654  -0.036 0.581  -0.036 0.508  -0.036 0.435  -0.036 0.362  -0.036 0.289  -0.036 0.216  -0.036 0.143  -0.036 0.070  -0.036 -0.004  -0.036 -0.077  -0.036 -0.150  -0.036 -0.223  -0.036 -0.296  -0.036 -0.369  -0.036 -0.442  -0.036 -0.515  -0.036 -0.588  -0.036 -0.661  -0.036 -0.734  -0.036 -0.807  -0.036 -0.880  -0.036 -0.953  -0.036 -1.026  -0.036 -1.099  -0.036 -1.172  0.006 -1.228  0.058 -1.279  0.110 -1.331  0.161 -1.382  0.213 -1.434  0.231 -1.404  0.231 -1.331  0.231 -1.258  0.231 -1.185
1b#apa#apa15#app1502/N  -0.598 -1.103  -0.698 -1.003  -0.799 -0.902  -0.815 -0.767  -0.815 -0.625  -0.815 -0.483  -0.815 -0.340  -0.815 -0.198  -0.815 -0.056  -0.815 0.086  -0.815 0.228  -0.815 0.370  -0.815 0.512  -0.815 0.655  -0.815 0.797  -0.815 0.939  -0.810 1.069  -0.710 0.969  -0.609 0.868  -0.598 0.731  -0.570 0.597  -0.491 0.479  -0.412 0.361  -0.333 0.242  -0.254 0.124  -0.176 0.006  -0.097 -0.112  -0.018 -0.231  0.061 -0.349  0.140 -0.467  0.219 -0.586  0.304 -0.698  0.405 -0.799  0.511 -0.885  0.653 -0.885  0.770 -0.824  0.870 -0.724  0.926 -0.605  0.926 -0.463  0.958 -0.324  0.992 -0.186  1.027 -0.049  1.061 0.089  1.096 0.227  1.130 0.365  1.144 0.506  1.144 0.648  1.144 0.790  1.144 0.932  1.144 1.074
1b#apa#apa15#app1502/G  0.089 0.372  0.089 0.533  0.089 0.694  0.089 0.854  0.043 0.970  -0.118 0.970  -0.279 0.970  -0.439 0.970  -0.600 0.970  -0.738 0.926  -0.827 0.793  -0.916 0.659  -1.006 0.525  -1.095 0.391  -1.108 0.234  -1.108 0.073  -1.108 -0.088  -1.108 -0.249  -1.108 -0.410  -1.043 -0.555  -0.971 -0.699  -0.890 -0.834  -0.746 -0.906  -0.602 -0.978  -0.455 -1.006  -0.302 -0.955  -0.150 -0.904  0.003 -0.853  0.152 -0.793  0.296 -0.721  0.440 -0.649  0.584 -0.577  0.728 -0.505  0.871 -0.433  0.988 -0.324  1.102 -0.210  1.216 -0.096  1.285 0.036  1.285 0.148  1.285 -0.013  1.285 0.120  1.176 0.172  1.016 0.172  0.855 0.172  0.694 0.172  0.533 0.172  0.372 0.172  0.211 0.172  0.050 0.172  -0.111 0.172
1b#apa#apa15#app1502/D  -0.470 0.491  -0.470 0.304  -0.470 0.117  -0.470 -0.070  -0.470 -0.257  -0.470 -0.443  -0.470 -0.630  -0.470 -0.817  -0.470 -1.004  -0.459 -1.143  -0.375 -0.976  -0.291 -0.808  -0.355 -0.637  -0.428 -0.465  -0.502 -0.293  -0.576 -0.122  -0.649 0.050  -0.723 0.222  -0.796 0.394  -0.838 0.572  -0.838 0.759  -0.838 0.946  -0.748 1.043  -0.562 1.043  -0.375 1.043  -0.188 1.043  -0.001 1.043  0.186 1.043  0.373 1.043  0.548 0.994  0.715 0.910  0.869 0.808  1.001 0.676  1.133 0.544  1.265 0.412  1.370 0.269  1.370 0.082  1.339 -0.092  1.207 -0.224  1.046 -0.316  0.878 -0.399  0.711 -0.483  0.544 -0.566  0.392 -0.671  0.258 -0.799  0.077 -0.845  -0.105 -0.890  -0.286 -0.935  -0.467 -0.981  -0.654 -0.981
1b#apa#apa15#app1502/A  -0.743 -1.019  -0.880 -0.882  -0.953 -0.718  -0.953 -0.524  -0.953 -0.331  -0.953 -0.137  -0.940 0.054  -0.854 0.227  -0.767 0.400  -0.743 0.588  -0.743 0.782  -0.743 0.976  -0.660 1.118  -0.487 1.205  -0.316 1.294  -0.179 1.431  -0.042 1.423  0.095 1.286  0.232 1.149  0.333 0.990  0.394 0.806  0.456 0.622  0.514 0.438  0.514 0.244  0.514 0.051  0.555 -0.138  0.602 -0.326  0.649 -0.514  0.696 -0.702  0.723 -0.892  0.723 -1.086  0.723 -1.279  0.723 -1.402  0.723 -1.208  0.723 -1.015  0.723 -0.821  0.723 -0.627  0.723 -0.434  0.723 -0.240  0.723 -0.046  0.605 0.029  0.441 -0.044  0.304 -0.181  0.110 -0.181  -0.064 -0.101  -0.238 -0.014  -0.421 0.029  -0.606 -0.007  -0.780 -0.094  -0.953 -0.181
1b#apa#apa15#app1502/F  -0.988 0.413  -0.988 0.573  -0.988 0.335  -0.988 0.098  -0.988 -0.140  -0.988 -0.378  -0.931 -0.608  -0.874 -0.839  -0.816 -1.070  -0.789 -1.304  -0.673 -1.494  -0.552 -1.464  -0.477 -1.239  -0.402 -1.013  -0.247 -0.837  -0.079 -0.669  0.089 -0.501  0.257 -0.333  0.425 -0.164  0.593 0.004  0.761 0.172  0.929 0.340  1.097 0.508  1.265 0.676  1.433 0.844  1.596 1.010  1.358 1.010  1.144 0.953  0.966 0.803  0.733 0.757  0.500 0.710  0.267 0.664  0.034 0.617  -0.181 0.517  -0.394 0.413  -0.550 0.401  -0.321 0.336  -0.093 0.271  0.136 0.205  0.365 0.140  0.593 0.075  0.784 0.015  0.547 0.015  0.309 0.015  0.071 0.015  -0.166 0.015  -0.382 -0.080  -0.595 -0.184  -0.820 -0.215  -0.988 -0.383
1b#apa#apa15#app1502/T  -0.375 0.378  -0.481 0.485  -0.588 0.591  -0.598 0.467  -0.598 0.316  -0.598 0.166  -0.598 0.016  -0.598 -0.134  -0.598 -0.284  -0.553 -0.427  -0.505 -0.569  -0.458 -0.712  -0.411 -0.854  -0.358 -0.995  -0.291 -1.129  -0.224 -1.263  -0.157 -1.398  -0.152 -1.547  -0.126 -1.568  -0.069 -1.429  -0.011 -1.291  0.047 -1.152  0.105 -1.013  0.162 -0.875  0.220 -0.736  0.278 -0.598  0.336 -0.459  0.393 -0.320  0.451 -0.182  0.509 -0.043  0.567 0.095  0.624 0.234  0.682 0.373  0.740 0.511  0.798 0.650  0.855 0.788  0.913 0.927  0.944 1.048  0.794 1.048  0.644 1.048  0.494 1.048  0.344 1.048  0.193 1.048  0.043 1.048  -0.107 1.048  -0.252 1.015  -0.394 0.967  -0.537 0.920  -0.679 0.872  -0.821 0.825
1b#apa#apa15#app1502/J  0.409 1.594  0.409 1.507  0.409 1.420  0.409 1.333  0.409 1.246  0.409 1.159  0.409 1.072  0.409 0.985  0.425 0.902  0.464 0.824  0.503 0.746  0.542 0.668  0.581 0.590  0.620 0.512  0.629 0.427  0.629 0.340  0.629 0.253  0.629 0.166  0.629 0.079  0.629 -0.009  0.629 -0.096  0.629 -0.183  0.629 -0.270  0.629 -0.357  0.573 -0.404  0.491 -0.432  0.408 -0.459  0.325 -0.487  0.243 -0.514  0.160 -0.542  0.077 -0.569  -0.005 -0.597  -0.091 -0.606  -0.178 -0.606  -0.265 -0.606  -0.352 -0.606  -0.439 -0.606  -0.526 -0.606  -0.613 -0.606  -0.701 -0.606  -0.788 -0.606  -0.875 -0.606  -0.962 -0.606  -1.049 -0.606  -1.136 -0.606  -1.223 -0.606  -1.310 -0.606  -1.397 -0.606  -1.484 -0.606  -1.572 -0.606
1b#apa#apa15#app1502/I  -0.086 1.697  -0.086 1.627  -0.086 1.558  -0.086 1.488  -0.086 1.418  -0.086 1.349  -0.086 1.279  -0.086 1.209  -0.086 1.139  -0.086 1.070  -0.086 1.000  -0.086 0.930  -0.086 0.861  -0.086 0.791  -0.086 0.721  -0.086 0.652  -0.086 0.582  -0.086 0.512  -0.086 0.442  -0.086 0.373  -0.086 0.303  -0.086 0.233  -0.086 0.164  -0.086 0.094  -0.086 0.024  -0.086 -0.045  -0.086 -0.115  -0.076 -0.184  -0.059 -0.251  -0.042 -0.319  -0.026 -0.386  -0.009 -0.454  0.008 -0.522  0.025 -0.589  0.042 -0.657  0.059 -0.725  0.076 -0.792  0.093 -0.860  0.110 -0.927  0.127 -0.995  0.143 -1.063  0.160 -1.130  0.177 -1.198  0.194 -1.265  0.211 -1.333  0.221 -1.402  0.221 -1.471  0.221 -1.541  0.221 -1.611  0.221 -1.680
