3#apb#apb15#app1544/H  -0.572 1.628  -0.593 1.350  -0.618 1.073  -0.637 0.795  -0.658 0.517  -0.683 0.240  -0.707 -0.038  -0.717 -0.316  -0.726 -0.595  -0.728 -0.873  -0.720 -1.151  -0.684 -1.427  -0.541 -1.499  -0.433 -1.242  -0.325 -0.986  -0.217 -0.729  -0.109 -0.472  -0.001 -0.215  0.107 0.041  0.216 0.298  0.324 0.555  0.432 0.812  0.540 1.069  0.648 1.325  0.756 1.582  0.712 1.407  0.663 1.133  0.620 0.858  0.588 0.581  0.557 0.304  0.529 0.027  0.502 -0.250  0.502 -0.529  0.518 -0.806  0.552 -1.083  0.617 -1.353  0.437 -1.154  0.252 -0.945  0.067 -0.737  -0.118 -0.529  -0.302 -0.320  -0.487 -0.112  -0.672 0.097  -0.672 0.180  -0.395 0.174  -0.118 0.197  0.158 0.234  0.435 0.268  0.712 0.294  0.990 0.320
3#apb#apb15#app1544/e  -0.816 -0.255  -0.723 -0.162  -0.567 -0.115  -0.412 -0.066  -0.258 -0.015  -0.104 0.036  0.050 0.086  0.206 0.132  0.362 0.177  0.518 0.223  0.673 0.271  0.828 0.318  0.982 0.369  1.127 0.442  1.234 0.544  1.214 0.685  1.085 0.782  0.925 0.810  0.765 0.839  0.605 0.867  0.444 0.878  0.282 0.878  0.119 0.878  -0.043 0.878  -0.203 0.858  -0.363 0.826  -0.522 0.794  -0.656 0.715  -0.770 0.600  -0.883 0.484  -0.947 0.335  -1.011 0.186  -1.075 0.036  -1.050 -0.124  -1.026 -0.285  -0.969 -0.430  -0.858 -0.549  -0.748 -0.668  -0.638 -0.787  -0.491 -0.849  -0.336 -0.900  -0.182 -0.951  -0.028 -1.003  0.126 -1.054  0.286 -1.077  0.447 -1.094  0.609 -1.111  0.770 -1.127  0.932 -1.144  1.093 -1.161
3#apb#apb15#app1544/r  -0.207 0.458  -0.184 0.331  -0.162 0.204  -0.140 0.077  -0.117 -0.050  -0.082 -0.174  -0.046 -0.298  -0.011 -0.422  0.033 -0.543  0.083 -0.662  0.132 -0.781  0.166 -0.904  0.189 -1.031  0.212 -1.158  0.213 -1.287  0.188 -1.412  0.081 -1.385  -0.037 -1.332  -0.142 -1.258  -0.248 -1.184  -0.338 -1.098  -0.383 -0.978  -0.429 -0.857  -0.474 -0.736  -0.510 -0.613  -0.524 -0.485  -0.537 -0.357  -0.551 -0.229  -0.564 -0.100  -0.544 0.026  -0.517 0.152  -0.490 0.278  -0.464 0.404  -0.424 0.526  -0.359 0.637  -0.294 0.748  -0.225 0.856  -0.122 0.933  -0.019 1.011  0.084 1.088  0.203 1.129  0.330 1.148  0.458 1.167  0.585 1.186  0.712 1.205  0.840 1.190  0.968 1.172  1.095 1.153  1.223 1.135  1.351 1.117
3#apb#apb15#app1544/e  -0.620 0.079  -0.641 0.157  -0.500 0.085  -0.347 0.036  -0.192 0.004  -0.031 0.013  0.129 0.022  0.288 0.039  0.446 0.072  0.603 0.105  0.758 0.144  0.908 0.202  1.058 0.259  1.195 0.344  1.279 0.463  1.262 0.610  1.157 0.732  1.015 0.802  0.866 0.862  0.714 0.908  0.554 0.908  0.393 0.908  0.232 0.908  0.076 0.876  -0.078 0.830  -0.232 0.784  -0.383 0.730  -0.528 0.662  -0.674 0.595  -0.781 0.483  -0.869 0.348  -0.956 0.213  -1.024 0.070  -1.063 -0.086  -1.102 -0.242  -1.071 -0.394  -1.014 -0.544  -0.958 -0.695  -0.820 -0.777  -0.682 -0.859  -0.543 -0.940  -0.390 -0.985  -0.234 -1.021  -0.077 -1.057  0.079 -1.093  0.238 -1.111  0.399 -1.111  0.559 -1.111  0.720 -1.111  0.881 -1.111
3#apb#apb15#app1544/  -1.638 -0.252  -1.578 -0.216  -1.518 -0.180  -1.458 -0.144  -1.398 -0.108  -1.338 -0.072  -1.278 -0.036  -1.218 0.000  -1.158 0.036  -1.092 0.052  -1.022 0.052  -0.952 0.052  -0.882 0.052  -0.812 0.052  -0.742 0.052  -0.672 0.052  -0.602 0.052  -0.532 0.052  -0.462 0.052  -0.392 0.052  -0.322 0.052  -0.252 0.052  -0.182 0.052  -0.112 0.052  -0.042 0.052  0.028 0.052  0.098 0.052  0.168 0.052  0.238 0.048  0.308 0.044  0.377 0.039  0.447 0.034  0.517 0.030  0.587 0.025  0.657 0.020  0.727 0.016  0.797 0.011  0.867 0.006  0.936 0.002  1.006 -0.003  1.076 -0.008  1.146 -0.012  1.216 -0.017  1.286 -0.022  1.356 -0.026  1.425 -0.031  1.495 -0.036  1.565 -0.040  1.635 -0.045  1.705 -0.049
3#apb#apb15#app1544/m  -1.110 0.318  -1.122 0.143  -1.123 -0.036  -1.159 -0.213  -1.159 -0.394  -1.159 -0.575  -1.165 -0.755  -1.151 -0.802  -1.079 -0.636  -1.009 -0.469  -0.928 -0.307  -0.848 -0.146  -0.765 0.015  -0.681 0.175  -0.597 0.335  -0.509 0.493  -0.417 0.649  -0.326 0.805  -0.202 0.936  -0.189 0.884  -0.223 0.707  -0.267 0.531  -0.311 0.356  -0.334 0.176  -0.355 -0.003  -0.329 -0.178  -0.276 -0.351  -0.192 -0.511  -0.083 -0.647  0.082 -0.586  0.217 -0.469  0.338 -0.335  0.446 -0.190  0.551 -0.043  0.648 0.109  0.737 0.267  0.826 0.424  0.929 0.573  1.032 0.721  1.133 0.788  1.109 0.609  1.085 0.431  1.085 0.250  1.091 0.070  1.126 -0.108  1.206 -0.268  1.256 -0.440  1.317 -0.606  1.407 -0.760  1.446 -0.937
3#apb#apb15#app1544/a  0.986 0.589  0.897 0.714  0.804 0.837  0.687 0.933  0.543 0.987  0.395 1.014  0.242 0.998  0.092 0.972  -0.048 0.908  -0.188 0.844  -0.325 0.774  -0.460 0.701  -0.596 0.627  -0.714 0.529  -0.832 0.430  -0.949 0.330  -1.054 0.221  -1.123 0.083  -1.192 -0.055  -1.240 -0.198  -1.254 -0.351  -1.268 -0.505  -1.193 -0.639  -1.118 -0.774  -0.986 -0.835  -0.837 -0.875  -0.687 -0.903  -0.533 -0.903  -0.379 -0.903  -0.227 -0.884  -0.077 -0.850  0.073 -0.815  0.208 -0.747  0.336 -0.662  0.444 -0.559  0.508 -0.419  0.573 -0.279  0.635 -0.139  0.693 0.004  0.750 0.147  0.774 0.299  0.807 0.448  0.809 0.379  0.794 0.226  0.787 0.072  0.787 -0.082  0.787 -0.236  0.860 -0.364  0.956 -0.484  1.052 -0.604
3#apb#apb15#app1544/i  -0.149 0.122  -0.222 0.046  -0.232 -0.059  -0.243 -0.165  -0.236 -0.270  -0.222 -0.375  -0.198 -0.478  -0.172 -0.581  -0.145 -0.684  -0.109 -0.784  -0.073 -0.883  -0.035 -0.982  0.004 -1.081  0.044 -1.179  0.077 -1.280  0.102 -1.383  0.116 -1.454  0.112 -1.348  0.109 -1.242  0.105 -1.136  0.101 -1.030  0.097 -0.924  0.094 -0.818  0.090 -0.712  0.086 -0.606  0.083 -0.500  0.079 -0.394  0.075 -0.288  0.071 -0.182  0.068 -0.076  0.064 0.030  0.060 0.136  0.056 0.242  0.053 0.348  0.049 0.454  0.045 0.560  0.041 0.666  0.038 0.772  0.034 0.878  0.030 0.984  0.027 1.090  0.023 1.196  0.019 1.302  0.015 1.408  0.012 1.514  0.008 1.620  0.004 1.726  0.000 1.832  -0.003 1.938  -0.052 2.029
3#apb#apb15#app1544/l  0.215 1.679  0.215 1.609  0.215 1.540  0.208 1.471  0.186 1.405  0.164 1.339  0.142 1.273  0.120 1.207  0.098 1.141  0.079 1.074  0.070 1.005  0.062 0.936  0.053 0.867  0.044 0.798  0.036 0.729  0.027 0.660  0.018 0.591  0.010 0.522  0.001 0.453  -0.007 0.384  -0.016 0.315  -0.025 0.246  -0.033 0.177  -0.042 0.108  -0.051 0.039  -0.059 -0.030  -0.068 -0.099  -0.076 -0.168  -0.080 -0.237  -0.080 -0.307  -0.080 -0.376  -0.080 -0.446  -0.080 -0.516  -0.080 -0.585  -0.080 -0.655  -0.080 -0.724  -0.080 -0.794  -0.080 -0.863  -0.080 -0.933  -0.080 -1.002  -0.080 -1.072  -0.080 -1.142  -0.080 -1.211  -0.080 -1.281  -0.076 -1.350  -0.066 -1.419  -0.056 -1.488  -0.046 -1.556  -0.036 -1.625  -0.026 -1.694
3#apb#apb15#app1544/i  -0.112 0.659  -0.147 0.662  -0.109 0.542  -0.080 0.420  -0.051 0.298  -0.023 0.176  -0.003 0.053  0.008 -0.072  0.019 -0.197  0.030 -0.321  0.041 -0.446  0.053 -0.571  0.065 -0.696  0.078 -0.820  0.090 -0.945  0.116 -1.067  0.153 -1.187  0.191 -1.306  0.228 -1.426  0.262 -1.547  0.266 -1.529  0.246 -1.405  0.226 -1.282  0.206 -1.158  0.186 -1.034  0.166 -0.910  0.146 -0.787  0.126 -0.663  0.106 -0.539  0.086 -0.416  0.066 -0.292  0.046 -0.168  0.026 -0.044  0.006 0.079  -0.014 0.203  -0.034 0.327  -0.054 0.451  -0.074 0.574  -0.094 0.698  -0.114 0.822  -0.134 0.945  -0.154 1.069  -0.174 1.193  -0.194 1.317  -0.214 1.440  -0.234 1.564  -0.254 1.688  -0.274 1.811  -0.298 1.931  -0.397 1.905
3#apb#apb15#app1544/s  0.784 1.081  0.658 1.071  0.532 1.062  0.407 1.052  0.284 1.024  0.161 0.996  0.038 0.967  -0.085 0.942  -0.209 0.918  -0.333 0.893  -0.457 0.872  -0.582 0.861  -0.708 0.850  -0.815 0.789  -0.919 0.743  -0.902 0.641  -0.797 0.571  -0.682 0.520  -0.567 0.469  -0.451 0.421  -0.334 0.373  -0.217 0.325  -0.101 0.277  0.018 0.234  0.137 0.194  0.257 0.154  0.377 0.115  0.491 0.065  0.595 -0.007  0.698 -0.079  0.773 -0.173  0.812 -0.292  0.836 -0.413  0.811 -0.537  0.787 -0.660  0.701 -0.749  0.608 -0.834  0.515 -0.919  0.410 -0.984  0.290 -1.022  0.170 -1.060  0.049 -1.098  -0.071 -1.137  -0.191 -1.173  -0.316 -1.187  -0.442 -1.202  -0.567 -1.216  -0.692 -1.231  -0.817 -1.245  -0.943 -1.260
