2#apb#apb31#app3172/P  -0.276 0.158  -0.305 -0.003  -0.339 -0.163  -0.375 -0.323  -0.404 -0.484  -0.429 -0.646  -0.457 -0.807  -0.488 -0.968  -0.520 -1.128  -0.567 -1.285  -0.618 -1.440  -0.683 -1.573  -0.735 -1.434  -0.715 -1.272  -0.686 -1.111  -0.641 -0.954  -0.595 -0.797  -0.549 -0.640  -0.495 -0.485  -0.441 -0.331  -0.388 -0.176  -0.332 -0.022  -0.277 0.132  -0.221 0.286  -0.151 0.433  -0.075 0.578  0.001 0.723  0.098 0.855  0.199 0.983  0.317 1.095  0.447 1.194  0.590 1.271  0.741 1.332  0.903 1.308  1.032 1.215  1.121 1.086  1.156 0.926  1.116 0.769  1.049 0.622  0.957 0.486  0.841 0.372  0.718 0.265  0.581 0.174  0.443 0.087  0.301 0.005  0.150 -0.052  -0.010 -0.087  -0.171 -0.092  -0.333 -0.067  -0.487 -0.013
2#apb#apb31#app3172/e  -1.272 -0.411  -1.211 -0.536  -1.080 -0.606  -0.931 -0.638  -0.779 -0.635  -0.627 -0.620  -0.477 -0.594  -0.331 -0.551  -0.184 -0.509  -0.044 -0.450  0.086 -0.370  0.216 -0.290  0.347 -0.210  0.459 -0.107  0.567 0.001  0.675 0.109  0.783 0.217  0.879 0.335  0.973 0.456  1.066 0.577  1.131 0.712  1.168 0.860  1.196 1.007  1.111 1.134  0.974 1.184  0.824 1.214  0.680 1.164  0.536 1.114  0.394 1.059  0.271 0.967  0.149 0.876  0.027 0.784  -0.077 0.674  -0.166 0.550  -0.255 0.426  -0.345 0.302  -0.423 0.171  -0.501 0.039  -0.579 -0.092  -0.645 -0.228  -0.669 -0.379  -0.694 -0.530  -0.708 -0.681  -0.690 -0.833  -0.650 -0.970  -0.520 -1.051  -0.390 -1.132  -0.239 -1.152  -0.087 -1.170  0.064 -1.188
2#apb#apb31#app3172/g  0.045 1.055  -0.056 0.943  -0.123 0.809  -0.182 0.671  -0.236 0.530  -0.289 0.389  -0.343 0.248  -0.386 0.104  -0.426 -0.041  -0.435 -0.190  -0.366 -0.312  -0.238 -0.262  -0.131 -0.160  -0.042 -0.039  0.041 0.086  0.106 0.222  0.172 0.357  0.238 0.493  0.302 0.629  0.365 0.766  0.426 0.904  0.480 1.044  0.531 1.186  0.565 1.332  0.527 1.369  0.442 1.245  0.365 1.116  0.312 0.975  0.262 0.833  0.211 0.691  0.159 0.550  0.108 0.408  0.064 0.264  0.030 0.118  -0.005 -0.029  -0.039 -0.175  -0.053 -0.325  -0.066 -0.475  -0.079 -0.625  -0.094 -0.775  -0.110 -0.925  -0.127 -1.075  -0.143 -1.224  -0.165 -1.373  -0.189 -1.522  -0.213 -1.670  -0.242 -1.818  -0.273 -1.966  -0.322 -2.108  -0.375 -2.249
2#apb#apb31#app3172/g  0.230 1.159  0.075 1.076  -0.038 0.944  -0.144 0.804  -0.248 0.663  -0.354 0.523  -0.465 0.387  -0.563 0.243  -0.636 0.084  -0.690 -0.082  -0.730 -0.253  -0.735 -0.428  -0.663 -0.583  -0.516 -0.572  -0.373 -0.475  -0.242 -0.358  -0.115 -0.237  0.011 -0.115  0.127 0.016  0.236 0.154  0.328 0.302  0.405 0.459  0.479 0.618  0.535 0.785  0.590 0.951  0.650 1.116  0.671 1.285  0.571 1.390  0.437 1.279  0.326 1.145  0.226 1.001  0.153 0.842  0.079 0.682  0.035 0.513  -0.004 0.342  -0.016 0.167  -0.024 -0.008  -0.012 -0.183  0.004 -0.358  0.033 -0.531  0.061 -0.704  0.087 -0.878  0.112 -1.051  0.119 -1.227  0.125 -1.402  0.099 -1.576  0.064 -1.746  -0.004 -1.908  -0.098 -2.056  -0.200 -2.199
2#apb#apb31#app3172/y  -0.424 0.681  -0.438 0.541  -0.453 0.402  -0.456 0.261  -0.456 0.121  -0.475 -0.018  -0.479 -0.156  -0.423 -0.278  -0.329 -0.214  -0.243 -0.103  -0.158 0.009  -0.073 0.120  0.013 0.231  0.098 0.342  0.183 0.454  0.268 0.565  0.354 0.676  0.439 0.788  0.524 0.899  0.610 1.010  0.695 1.122  0.780 1.233  0.865 1.344  0.828 1.242  0.767 1.117  0.697 0.995  0.627 0.874  0.557 0.752  0.487 0.631  0.420 0.507  0.365 0.378  0.309 0.250  0.252 0.122  0.188 -0.003  0.124 -0.128  0.060 -0.253  -0.003 -0.378  -0.066 -0.503  -0.128 -0.629  -0.193 -0.753  -0.259 -0.877  -0.325 -1.001  -0.391 -1.124  -0.462 -1.246  -0.535 -1.365  -0.608 -1.485  -0.681 -1.605  -0.749 -1.727  -0.817 -1.849  -0.886 -1.972
2#apb#apb31#app3172/S  0.639 1.429  0.523 1.400  0.407 1.371  0.295 1.331  0.186 1.284  0.076 1.237  -0.029 1.182  -0.128 1.115  -0.227 1.048  -0.326 0.981  -0.413 0.900  -0.495 0.814  -0.578 0.728  -0.656 0.638  -0.729 0.544  -0.789 0.444  -0.805 0.326  -0.742 0.237  -0.641 0.181  -0.525 0.155  -0.408 0.130  -0.291 0.108  -0.174 0.086  -0.056 0.064  0.061 0.047  0.180 0.036  0.299 0.024  0.415 0.002  0.524 -0.046  0.633 -0.095  0.724 -0.165  0.788 -0.265  0.832 -0.373  0.846 -0.491  0.799 -0.597  0.738 -0.699  0.638 -0.764  0.537 -0.827  0.426 -0.872  0.316 -0.917  0.205 -0.960  0.093 -1.001  -0.019 -1.043  -0.128 -1.092  -0.236 -1.142  -0.344 -1.192  -0.453 -1.242  -0.561 -1.291  -0.664 -1.351  -0.762 -1.419
2#apb#apb31#app3172/u  -0.407 1.264  -0.516 1.130  -0.621 0.994  -0.704 0.844  -0.783 0.691  -0.827 0.525  -0.870 0.358  -0.892 0.188  -0.912 0.017  -0.919 -0.155  -0.919 -0.327  -0.919 -0.499  -0.907 -0.671  -0.893 -0.843  -0.848 -1.006  -0.782 -1.166  -0.647 -1.259  -0.504 -1.164  -0.365 -1.063  -0.262 -0.925  -0.160 -0.787  -0.058 -0.648  0.036 -0.504  0.131 -0.360  0.225 -0.216  0.317 -0.071  0.403 0.078  0.489 0.228  0.575 0.377  0.638 0.537  0.697 0.698  0.756 0.860  0.792 1.028  0.818 1.198  0.829 1.298  0.797 1.129  0.748 0.965  0.691 0.802  0.654 0.634  0.623 0.465  0.594 0.295  0.570 0.125  0.547 -0.046  0.516 -0.215  0.483 -0.384  0.449 -0.553  0.400 -0.718  0.350 -0.882  0.311 -1.050  0.275 -1.218
2#apb#apb31#app3172/e  -1.235 -0.245  -1.171 -0.389  -1.016 -0.432  -0.850 -0.419  -0.692 -0.376  -0.545 -0.298  -0.411 -0.201  -0.290 -0.086  -0.171 0.029  -0.063 0.156  0.045 0.283  0.138 0.420  0.224 0.562  0.310 0.705  0.372 0.859  0.433 1.014  0.495 1.168  0.558 1.322  0.516 1.401  0.399 1.284  0.289 1.159  0.170 1.043  0.048 0.930  -0.075 0.818  -0.188 0.696  -0.295 0.569  -0.403 0.442  -0.506 0.312  -0.605 0.178  -0.704 0.044  -0.792 -0.096  -0.856 -0.249  -0.883 -0.407  -0.834 -0.555  -0.687 -0.633  -0.537 -0.701  -0.373 -0.731  -0.209 -0.761  -0.045 -0.788  0.121 -0.788  0.287 -0.788  0.454 -0.788  0.620 -0.785  0.785 -0.763  0.950 -0.740  1.115 -0.718  1.279 -0.695  1.445 -0.675  1.610 -0.654  1.775 -0.633
2#apb#apb31#app3172/S  0.811 1.141  0.718 1.214  0.607 1.247  0.492 1.271  0.375 1.265  0.258 1.260  0.147 1.222  0.037 1.180  -0.071 1.136  -0.171 1.074  -0.271 1.012  -0.362 0.939  -0.448 0.859  -0.529 0.775  -0.599 0.680  -0.669 0.586  -0.714 0.478  -0.725 0.365  -0.673 0.274  -0.567 0.224  -0.451 0.207  -0.334 0.193  -0.219 0.171  -0.105 0.143  0.009 0.114  0.116 0.068  0.218 0.011  0.320 -0.047  0.402 -0.131  0.483 -0.216  0.556 -0.307  0.611 -0.411  0.662 -0.516  0.692 -0.630  0.693 -0.744  0.651 -0.848  0.568 -0.931  0.472 -0.998  0.372 -1.061  0.265 -1.105  0.151 -1.134  0.037 -1.160  -0.081 -1.160  -0.198 -1.160  -0.315 -1.151  -0.431 -1.135  -0.547 -1.119  -0.664 -1.103  -0.758 -1.036  -0.818 -1.007
2#apb#apb31#app3172/h  -0.071 1.796  -0.135 1.921  -0.200 1.849  -0.233 1.711  -0.256 1.571  -0.275 1.431  -0.277 1.289  -0.277 1.148  -0.277 1.006  -0.277 0.864  -0.277 0.722  -0.279 0.581  -0.283 0.439  -0.287 0.297  -0.295 0.156  -0.309 0.015  -0.323 -0.126  -0.337 -0.267  -0.351 -0.409  -0.366 -0.550  -0.380 -0.691  -0.395 -0.832  -0.412 -0.972  -0.431 -1.113  -0.450 -1.253  -0.452 -1.387  -0.438 -1.249  -0.409 -1.111  -0.368 -0.975  -0.313 -0.845  -0.254 -0.716  -0.186 -0.592  -0.118 -0.467  -0.039 -0.350  0.051 -0.241  0.142 -0.132  0.242 -0.033  0.355 0.053  0.468 0.139  0.594 0.202  0.722 0.261  0.843 0.196  0.903 0.068  0.889 -0.069  0.862 -0.208  0.843 -0.348  0.812 -0.486  0.775 -0.623  0.766 -0.764  0.765 -0.906
2#apb#apb31#app3172/i  0.206 1.557  0.188 1.617  0.206 1.554  0.206 1.484  0.206 1.415  0.205 1.345  0.198 1.275  0.191 1.206  0.184 1.136  0.177 1.067  0.171 0.997  0.164 0.928  0.159 0.858  0.154 0.788  0.150 0.719  0.145 0.649  0.141 0.579  0.136 0.510  0.131 0.440  0.127 0.370  0.121 0.301  0.107 0.232  0.093 0.164  0.078 0.096  0.064 0.027  0.050 -0.041  0.036 -0.110  0.022 -0.178  0.008 -0.246  -0.008 -0.314  -0.027 -0.382  -0.046 -0.449  -0.065 -0.516  -0.085 -0.583  -0.104 -0.650  -0.123 -0.717  -0.142 -0.785  -0.161 -0.852  -0.181 -0.919  -0.200 -0.986  -0.219 -1.053  -0.238 -1.120  -0.257 -1.187  -0.277 -1.255  -0.295 -1.322  -0.303 -1.391  -0.311 -1.461  -0.319 -1.530  -0.327 -1.599  -0.335 -1.669
