2#apb#apb41#app4125/R  -0.685 0.484  -0.691 0.427  -0.714 0.223  -0.732 0.017  -0.754 -0.187  -0.779 -0.392  -0.807 -0.596  -0.843 -0.798  -0.886 -1.000  -0.939 -1.186  -0.913 -0.982  -0.887 -0.778  -0.847 -0.576  -0.803 -0.375  -0.743 -0.178  -0.676 0.017  -0.602 0.209  -0.519 0.397  -0.424 0.579  -0.307 0.748  -0.171 0.901  -0.016 1.036  0.159 1.144  0.348 1.224  0.546 1.269  0.752 1.268  0.948 1.206  1.093 1.064  1.149 0.868  1.144 0.662  1.084 0.469  0.983 0.292  0.838 0.146  0.674 0.023  0.499 -0.085  0.305 -0.155  0.104 -0.193  -0.099 -0.167  -0.260 -0.054  -0.244 0.093  -0.102 -0.055  0.014 -0.225  0.126 -0.398  0.253 -0.560  0.360 -0.735  0.503 -0.884  0.663 -1.013  0.845 -1.100  1.049 -1.122  1.002 -0.972
2#apb#apb41#app4125/a  0.218 0.655  0.296 0.768  0.277 0.906  0.163 0.978  0.016 0.978  -0.132 0.978  -0.267 0.923  -0.399 0.856  -0.513 0.763  -0.628 0.669  -0.730 0.563  -0.825 0.450  -0.920 0.337  -1.020 0.228  -1.120 0.119  -1.192 -0.007  -1.245 -0.145  -1.274 -0.290  -1.245 -0.433  -1.120 -0.511  -0.974 -0.529  -0.828 -0.520  -0.683 -0.491  -0.548 -0.433  -0.416 -0.367  -0.298 -0.278  -0.183 -0.186  -0.091 -0.070  -0.033 0.062  0.002 0.206  0.031 0.350  0.097 0.479  0.152 0.354  0.189 0.211  0.212 0.065  0.249 -0.078  0.297 -0.217  0.367 -0.347  0.451 -0.468  0.550 -0.578  0.684 -0.637  0.822 -0.689  0.970 -0.697  1.117 -0.702  1.262 -0.675  1.407 -0.645  1.549 -0.604  1.678 -0.537  1.796 -0.448  1.833 -0.314
2#apb#apb41#app4125/b  -0.253 1.793  -0.194 1.867  -0.243 1.715  -0.290 1.564  -0.318 1.408  -0.337 1.250  -0.356 1.092  -0.383 0.936  -0.410 0.779  -0.437 0.623  -0.468 0.467  -0.500 0.311  -0.532 0.156  -0.567 0.001  -0.604 -0.154  -0.638 -0.309  -0.664 -0.466  -0.698 -0.621  -0.686 -0.654  -0.614 -0.515  -0.525 -0.383  -0.409 -0.274  -0.293 -0.166  -0.177 -0.057  -0.062 0.052  0.057 0.157  0.193 0.239  0.331 0.318  0.473 0.389  0.624 0.421  0.782 0.412  0.913 0.337  0.989 0.197  1.039 0.048  1.068 -0.108  1.068 -0.267  1.027 -0.414  0.941 -0.548  0.832 -0.661  0.711 -0.764  0.580 -0.852  0.443 -0.933  0.300 -1.002  0.153 -1.062  0.004 -1.115  -0.149 -1.159  -0.306 -1.168  -0.450 -1.104  -0.509 -0.965  -0.459 -0.814
2#apb#apb41#app4125/b  -0.527 1.577  -0.462 1.644  -0.520 1.474  -0.559 1.299  -0.575 1.120  -0.596 0.942  -0.626 0.764  -0.655 0.587  -0.688 0.410  -0.721 0.234  -0.753 0.057  -0.779 -0.121  -0.806 -0.299  -0.827 -0.477  -0.838 -0.657  -0.850 -0.791  -0.807 -0.617  -0.733 -0.455  -0.636 -0.304  -0.507 -0.180  -0.370 -0.064  -0.226 0.044  -0.078 0.146  0.075 0.237  0.242 0.304  0.410 0.368  0.584 0.412  0.759 0.452  0.939 0.452  1.116 0.437  1.287 0.380  1.423 0.263  1.482 0.094  1.440 -0.079  1.337 -0.221  1.214 -0.352  1.053 -0.431  0.890 -0.505  0.729 -0.585  0.568 -0.665  0.405 -0.742  0.238 -0.806  0.063 -0.847  -0.116 -0.861  -0.295 -0.856  -0.442 -0.772  -0.520 -0.624  -0.425 -0.482  -0.248 -0.451  -0.068 -0.451
2#apb#apb41#app4125/i  -0.058 0.333  -0.008 0.255  0.001 0.137  0.001 0.018  0.008 -0.100  0.027 -0.217  0.047 -0.335  0.066 -0.452  0.086 -0.569  0.105 -0.686  0.127 -0.803  0.154 -0.918  0.182 -1.034  0.205 -1.150  0.225 -1.267  0.236 -1.385  0.236 -1.504  0.212 -1.446  0.146 -1.347  0.075 -1.252  -0.009 -1.168  -0.093 -1.084  -0.097 -0.967  -0.096 -0.849  -0.095 -0.730  -0.094 -0.611  -0.093 -0.492  -0.092 -0.374  -0.092 -0.255  -0.091 -0.136  -0.090 -0.017  -0.089 0.101  -0.088 0.220  -0.088 0.339  -0.087 0.457  -0.086 0.576  -0.085 0.695  -0.084 0.814  -0.083 0.932  -0.083 1.051  -0.082 1.170  -0.081 1.289  -0.080 1.407  -0.079 1.526  -0.078 1.645  -0.089 1.759  -0.022 1.770  0.040 1.669  0.055 1.552  0.060 1.433
2#apb#apb41#app4125/E  -0.382 0.882  -0.527 0.920  -0.655 0.685  -0.759 0.438  -0.884 0.201  -1.008 -0.036  -1.124 -0.277  -1.202 -0.528  -1.132 -0.778  -0.908 -0.909  -0.650 -0.955  -0.382 -0.955  -0.115 -0.941  0.152 -0.918  0.418 -0.894  0.685 -0.869  0.952 -0.855  1.220 -0.849  1.428 -0.807  1.175 -0.725  0.916 -0.658  0.657 -0.590  0.398 -0.522  0.139 -0.454  -0.120 -0.386  -0.379 -0.317  -0.636 -0.244  -0.539 -0.192  -0.281 -0.121  -0.013 -0.111  0.252 -0.087  0.513 -0.025  0.779 0.001  0.861 0.116  0.598 0.148  0.338 0.201  0.084 0.285  -0.171 0.365  -0.427 0.444  -0.684 0.519  -0.928 0.615  -0.750 0.689  -0.487 0.739  -0.231 0.816  0.014 0.925  0.259 1.031  0.506 1.135  0.750 1.246  1.008 1.310  1.272 1.291
2#apb#apb41#app4125/s  1.170 0.275  1.230 0.415  1.243 0.568  1.213 0.717  1.107 0.820  0.968 0.883  0.814 0.883  0.660 0.883  0.507 0.873  0.354 0.856  0.201 0.840  0.048 0.822  -0.102 0.789  -0.252 0.756  -0.403 0.723  -0.552 0.688  -0.695 0.632  -0.839 0.576  -0.981 0.518  -1.101 0.422  -1.203 0.310  -1.158 0.183  -1.032 0.106  -0.888 0.052  -0.738 0.028  -0.584 0.028  -0.431 0.028  -0.277 0.025  -0.123 0.018  0.031 0.011  0.182 -0.012  0.332 -0.046  0.471 -0.102  0.591 -0.199  0.689 -0.315  0.752 -0.450  0.749 -0.603  0.659 -0.727  0.559 -0.842  0.439 -0.939  0.306 -1.013  0.163 -1.070  0.014 -1.098  -0.139 -1.107  -0.292 -1.103  -0.444 -1.077  -0.596 -1.054  -0.749 -1.042  -0.897 -1.005  -0.977 -0.922
2#apb#apb41#app4125/q  0.534 0.829  0.584 0.997  0.476 1.158  0.281 1.196  0.091 1.125  -0.092 1.036  -0.268 0.931  -0.446 0.832  -0.597 0.701  -0.744 0.565  -0.847 0.388  -0.959 0.220  -0.999 0.021  -0.957 -0.178  -0.883 -0.367  -0.761 -0.529  -0.584 -0.630  -0.389 -0.690  -0.192 -0.637  -0.003 -0.560  0.170 -0.458  0.320 -0.319  0.455 -0.166  0.559 0.005  0.618 0.200  0.618 0.404  0.597 0.607  0.563 0.808  0.503 1.003  0.420 1.190  0.237 1.185  0.125 1.046  0.206 0.895  0.222 0.695  0.206 0.491  0.171 0.291  0.123 0.092  0.073 -0.105  0.019 -0.302  -0.035 -0.499  -0.079 -0.698  -0.119 -0.899  -0.153 -1.100  -0.163 -1.304  -0.149 -1.506  -0.069 -1.686  0.120 -1.697  0.299 -1.611  0.428 -1.460  0.467 -1.510
2#apb#apb41#app4125/.  0.664 -1.937  0.531 -1.804  0.399 -1.672  0.266 -1.539  0.134 -1.407  0.002 -1.275  -0.131 -1.142  -0.263 -1.010  -0.396 -0.877  -0.528 -0.745  -0.660 -0.613  -0.793 -0.480  -0.925 -0.348  -1.058 -0.215  -1.190 -0.083  -1.323 0.050  -1.242 0.147  -1.074 0.231  -0.907 0.315  -0.739 0.399  -0.572 0.482  -0.404 0.566  -0.237 0.650  -0.069 0.733  0.098 0.817  0.266 0.901  0.433 0.985  0.601 1.068  0.664 0.983  0.664 0.796  0.664 0.609  0.664 0.422  0.664 0.234  0.623 0.088  0.436 0.088  0.248 0.088  0.061 0.088  -0.126 0.088  -0.313 0.088  -0.197 0.088  -0.009 0.088  0.178 0.088  0.365 0.088  0.552 0.088  0.664 0.164  0.664 0.351  0.664 0.538  0.664 0.726  0.664 0.913  0.664 1.100
2#apb#apb41#app4125/F  -0.132 0.582  -0.154 0.452  -0.209 0.191  -0.271 -0.068  -0.341 -0.326  -0.411 -0.583  -0.493 -0.837  -0.575 -1.091  -0.624 -1.353  -0.666 -1.616  -0.579 -1.741  -0.421 -1.530  -0.314 -1.287  -0.244 -1.030  -0.220 -0.764  -0.211 -0.498  -0.215 -0.232  -0.268 0.030  -0.335 0.287  -0.441 0.532  -0.586 0.754  -0.812 0.882  -1.077 0.884  -0.969 0.782  -0.704 0.762  -0.438 0.779  -0.172 0.791  0.095 0.798  0.361 0.815  0.625 0.852  0.890 0.884  1.156 0.893  1.423 0.897  1.605 0.875  1.363 0.762  1.137 0.625  0.922 0.466  0.707 0.308  0.493 0.149  0.278 -0.010  0.064 -0.168  -0.151 -0.327  -0.365 -0.485  -0.540 -0.590  -0.320 -0.476  -0.075 -0.372  0.173 -0.272  0.426 -0.188  0.675 -0.094  0.940 -0.096
2#apb#apb41#app4125/a  0.289 0.431  0.257 0.586  0.163 0.713  0.034 0.806  -0.125 0.809  -0.282 0.790  -0.437 0.752  -0.587 0.697  -0.736 0.641  -0.869 0.553  -0.998 0.459  -1.110 0.348  -1.206 0.220  -1.281 0.080  -1.344 -0.066  -1.386 -0.220  -1.358 -0.368  -1.272 -0.494  -1.123 -0.554  -0.965 -0.555  -0.806 -0.546  -0.656 -0.500  -0.512 -0.432  -0.367 -0.364  -0.238 -0.270  -0.108 -0.177  0.017 -0.078  0.130 0.034  0.243 0.147  0.335 0.278  0.426 0.409  0.481 0.559  0.507 0.714  0.499 0.705  0.471 0.548  0.467 0.389  0.467 0.229  0.478 0.070  0.495 -0.089  0.526 -0.244  0.593 -0.389  0.670 -0.527  0.783 -0.640  0.910 -0.734  1.053 -0.805  1.204 -0.853  1.358 -0.865  1.512 -0.823  1.656 -0.753  1.739 -0.622
