1c#apa#apa09#app0952/q  0.336 1.111  0.280 1.248  0.198 1.361  0.033 1.373  -0.140 1.286  -0.314 1.199  -0.487 1.112  -0.649 1.005  -0.810 0.898  -0.904 0.754  -0.904 0.560  -0.904 0.366  -0.798 0.249  -0.614 0.188  -0.427 0.146  -0.246 0.200  -0.072 0.287  0.101 0.373  0.225 0.503  0.287 0.687  0.336 0.873  0.336 0.879  0.315 0.687  0.287 0.495  0.260 0.303  0.233 0.111  0.205 -0.081  0.198 -0.274  0.198 -0.468  0.179 -0.660  0.147 -0.851  0.115 -1.043  0.083 -1.234  0.047 -1.424  -0.000 -1.612  -0.047 -1.800  -0.077 -1.849  -0.077 -1.656  -0.033 -1.467  0.014 -1.279  0.061 -1.091  0.108 -0.903  0.155 -0.715  0.203 -0.527  0.265 -0.343  0.326 -0.159  0.387 0.025  0.449 0.209  0.525 0.386  0.611 0.560
1c#apa#apa09#app0952/u  -0.258 1.166  -0.338 1.246  -0.418 1.326  -0.498 1.406  -0.519 1.343  -0.519 1.230  -0.531 1.118  -0.559 1.009  -0.586 0.899  -0.614 0.789  -0.641 0.679  -0.668 0.569  -0.696 0.459  -0.723 0.350  -0.751 0.240  -0.778 0.130  -0.780 0.017  -0.780 -0.096  -0.730 -0.189  -0.650 -0.269  -0.570 -0.349  -0.490 -0.429  -0.410 -0.509  -0.330 -0.589  -0.253 -0.671  -0.202 -0.773  -0.152 -0.874  -0.101 -0.975  -0.050 -1.076  0.000 -1.178  0.079 -1.106  0.159 -1.026  0.239 -0.946  0.319 -0.866  0.399 -0.786  0.479 -0.706  0.559 -0.626  0.639 -0.546  0.719 -0.466  0.799 -0.385  0.879 -0.305  0.960 -0.225  1.040 -0.145  1.046 -0.035  1.046 0.078  1.046 0.191  1.046 0.305  1.046 0.418  1.046 0.531  1.046 0.644
1c#apa#apa09#app0952/i  0.181 -0.028  0.093 0.061  0.004 0.149  -0.040 0.132  -0.040 0.007  -0.131 -0.028  -0.256 -0.028  -0.299 -0.141  -0.339 -0.259  -0.378 -0.378  -0.418 -0.497  -0.458 -0.615  -0.463 -0.732  -0.408 -0.844  -0.352 -0.955  -0.296 -1.067  -0.227 -1.170  -0.139 -1.258  -0.050 -1.347  0.071 -1.357  0.192 -1.346  0.280 -1.258  0.369 -1.169  0.403 -1.059  0.403 -0.934  0.403 -0.808  0.401 -0.684  0.377 -0.561  0.352 -0.438  0.328 -0.316  0.303 -0.193  0.278 -0.070  0.254 0.052  0.229 0.175  0.205 0.298  0.180 0.420  0.156 0.543  0.131 0.666  0.107 0.788  0.082 0.911  0.058 1.033  0.033 1.156  0.009 1.279  -0.016 1.401  -0.041 1.524  -0.129 1.612  -0.218 1.701  -0.306 1.789  -0.395 1.877  -0.483 1.966
1c#apa#apa09#app0952/c  1.431 0.000  1.384 0.095  1.337 0.189  1.289 0.284  1.242 0.378  1.195 0.473  1.124 0.550  1.050 0.625  0.975 0.700  0.882 0.730  0.776 0.730  0.671 0.730  0.565 0.730  0.459 0.730  0.354 0.730  0.248 0.730  0.143 0.730  0.037 0.730  -0.062 0.708  -0.150 0.649  -0.238 0.591  -0.326 0.532  -0.414 0.473  -0.501 0.415  -0.589 0.356  -0.677 0.298  -0.764 0.238  -0.839 0.163  -0.914 0.088  -0.988 0.014  -1.002 -0.086  -1.002 -0.192  -1.002 -0.298  -1.002 -0.403  -0.983 -0.499  -0.895 -0.557  -0.807 -0.616  -0.719 -0.675  -0.631 -0.733  -0.543 -0.792  -0.456 -0.850  -0.368 -0.909  -0.280 -0.968  -0.176 -0.973  -0.070 -0.973  0.036 -0.973  0.141 -0.973  0.247 -0.973  0.352 -0.973  0.458 -0.973
1c#apa#apa09#app0952/k  -0.227 1.953  -0.227 2.090  -0.227 1.929  -0.236 1.769  -0.275 1.613  -0.314 1.457  -0.353 1.301  -0.376 1.143  -0.376 0.982  -0.376 0.821  -0.376 0.660  -0.376 0.499  -0.376 0.338  -0.376 0.177  -0.376 0.016  -0.376 -0.145  -0.376 -0.306  -0.376 -0.466  -0.376 -0.627  -0.376 -0.788  -0.376 -0.949  -0.376 -1.110  -0.376 -1.081  -0.376 -0.920  -0.347 -0.763  -0.308 -0.607  -0.269 -0.451  -0.230 -0.295  -0.122 -0.177  0.004 -0.079  0.138 0.011  0.272 0.100  0.408 0.185  0.552 0.257  0.700 0.314  0.816 0.270  0.791 0.115  0.719 -0.029  0.630 -0.158  0.496 -0.247  0.362 -0.337  0.228 -0.426  0.220 -0.583  0.220 -0.744  0.220 -0.905  0.256 -1.039  0.409 -1.090  0.562 -1.141  0.702 -1.212  0.816 -1.325
1c#apa#apa09#app0952/z  -0.552 0.876  -0.645 0.914  -0.645 1.045  -0.718 1.063  -0.593 1.089  -0.475 1.148  -0.346 1.156  -0.214 1.156  -0.083 1.156  0.048 1.156  0.180 1.156  0.308 1.146  0.426 1.087  0.475 0.986  0.458 0.863  0.353 0.785  0.247 0.706  0.142 0.627  0.037 0.548  -0.068 0.469  -0.173 0.391  -0.277 0.311  -0.359 0.220  -0.241 0.161  -0.124 0.102  -0.007 0.044  0.111 -0.015  0.228 -0.074  0.346 -0.132  0.428 -0.229  0.496 -0.341  0.564 -0.454  0.631 -0.567  0.661 -0.690  0.635 -0.818  0.603 -0.945  0.571 -1.072  0.461 -1.137  0.343 -1.196  0.226 -1.255  0.103 -1.301  -0.021 -1.342  -0.147 -1.348  -0.275 -1.316  -0.402 -1.284  -0.510 -1.218  -0.552 -1.104  -0.552 -0.973  -0.552 -0.842  -0.552 -0.710
1c#apa#apa09#app0952/e  -0.055 -0.009  -0.159 0.096  -0.264 0.200  -0.141 0.210  -0.011 0.167  0.093 0.062  0.211 -0.009  0.359 -0.009  0.507 -0.009  0.639 0.028  0.744 0.132  0.848 0.237  0.953 0.341  1.057 0.445  1.162 0.550  1.255 0.654  1.151 0.759  1.046 0.863  0.901 0.868  0.753 0.868  0.605 0.868  0.458 0.868  0.310 0.868  0.162 0.868  0.014 0.868  -0.133 0.868  -0.279 0.863  -0.383 0.759  -0.488 0.654  -0.592 0.550  -0.697 0.445  -0.743 0.308  -0.778 0.165  -0.814 0.021  -0.850 -0.122  -0.886 -0.265  -0.922 -0.408  -0.897 -0.549  -0.851 -0.690  -0.804 -0.830  -0.757 -0.970  -0.708 -1.109  -0.604 -1.213  -0.500 -1.317  -0.355 -1.324  -0.207 -1.324  -0.059 -1.324  0.088 -1.324  0.236 -1.324  0.384 -1.324
1c#apa#apa09#app0952/p  0.184 0.570  0.041 0.570  0.036 0.708  0.036 0.586  0.036 0.443  0.036 0.300  0.036 0.157  0.036 0.014  0.036 -0.129  0.036 -0.272  0.036 -0.415  0.036 -0.558  0.004 -0.695  -0.049 -0.827  -0.102 -0.960  -0.155 -1.093  -0.208 -1.226  -0.262 -1.358  -0.363 -1.459  -0.409 -1.583  -0.409 -1.579  -0.409 -1.436  -0.409 -1.293  -0.409 -1.150  -0.409 -1.007  -0.409 -0.864  -0.409 -0.721  -0.409 -0.578  -0.409 -0.435  -0.401 -0.293  -0.362 -0.156  -0.323 -0.018  -0.283 0.119  -0.244 0.257  -0.205 0.394  -0.166 0.532  -0.126 0.669  -0.047 0.783  0.054 0.884  0.155 0.986  0.256 1.087  0.357 1.188  0.458 1.289  0.559 1.390  0.673 1.460  0.787 1.422  0.821 1.283  0.856 1.144  0.891 1.006  0.925 0.867
1c#apa#apa09#app0952/h  -0.005 1.782  -0.005 1.913  0.115 1.925  0.138 1.816  0.138 1.685  0.138 1.554  0.138 1.423  0.118 1.295  0.077 1.171  0.035 1.046  -0.005 0.922  -0.024 0.792  -0.043 0.662  -0.061 0.532  -0.080 0.403  -0.098 0.273  -0.117 0.143  -0.135 0.013  -0.164 -0.114  -0.213 -0.236  -0.262 -0.357  -0.311 -0.479  -0.359 -0.601  -0.408 -0.722  -0.479 -0.830  -0.571 -0.922  -0.575 -1.052  -0.575 -1.183  -0.575 -1.107  -0.533 -0.985  -0.475 -0.868  -0.411 -0.754  -0.332 -0.649  -0.253 -0.545  -0.175 -0.440  -0.096 -0.335  -0.017 -0.230  0.100 -0.178  0.224 -0.137  0.348 -0.095  0.460 -0.108  0.553 -0.200  0.565 -0.326  0.565 -0.458  0.565 -0.589  0.565 -0.720  0.565 -0.851  0.591 -0.976  0.649 -1.093  0.708 -1.211
1c#apa#apa09#app0952/y  -0.329 1.174  -0.416 1.086  -0.439 0.972  -0.439 0.849  -0.439 0.726  -0.417 0.624  -0.309 0.654  -0.241 0.756  -0.172 0.859  -0.102 0.961  -0.015 1.048  0.072 1.135  0.159 1.222  0.257 1.284  0.330 1.233  0.351 1.113  0.390 0.996  0.429 0.879  0.451 0.758  0.466 0.636  0.482 0.514  0.497 0.391  0.512 0.269  0.528 0.146  0.543 0.024  0.550 -0.099  0.550 -0.222  0.550 -0.346  0.533 -0.467  0.513 -0.589  0.492 -0.711  0.472 -0.832  0.452 -0.954  0.396 -1.053  0.294 -1.121  0.191 -1.190  0.084 -1.243  -0.040 -1.243  -0.163 -1.243  -0.286 -1.243  -0.401 -1.207  -0.511 -1.152  -0.594 -1.065  -0.662 -0.963  -0.731 -0.860  -0.768 -0.748  -0.768 -0.625  -0.768 -0.501  -0.768 -0.378  -0.768 -0.255
1c#apa#apa09#app0952/r  -0.288 0.038  -0.288 0.176  -0.288 0.314  -0.288 0.451  -0.288 0.512  -0.288 0.374  -0.288 0.237  -0.288 0.099  -0.264 -0.035  -0.221 -0.165  -0.177 -0.296  -0.134 -0.426  -0.090 -0.557  -0.046 -0.688  -0.032 -0.823  -0.032 -0.961  -0.032 -1.098  -0.032 -1.236  -0.032 -1.373  -0.046 -1.498  -0.184 -1.498  -0.288 -1.465  -0.288 -1.327  -0.288 -1.190  -0.288 -1.052  -0.288 -0.914  -0.288 -0.777  -0.288 -0.639  -0.288 -0.501  -0.288 -0.364  -0.288 -0.226  -0.288 -0.088  -0.281 0.046  -0.184 0.143  -0.086 0.241  -0.013 0.353  0.031 0.483  0.074 0.614  0.118 0.745  0.161 0.875  0.205 1.006  0.288 1.106  0.403 1.182  0.517 1.258  0.632 1.335  0.746 1.411  0.861 1.487  0.975 1.564  1.110 1.574  1.247 1.574
