2#app#app40#app4056/f  0.919 0.636  0.919 0.800  0.863 0.907  0.783 0.991  0.705 1.121  0.648 1.261  0.537 1.314  0.509 1.449  0.346 1.449  0.183 1.449  0.019 1.449  -0.029 1.335  -0.130 1.213  -0.165 1.064  -0.165 0.901  -0.165 0.738  -0.165 0.575  -0.165 0.411  -0.165 0.248  -0.165 0.085  -0.165 -0.078  -0.165 -0.242  -0.165 -0.405  -0.165 -0.568  -0.165 -0.732  -0.165 -0.895  -0.116 -1.038  -0.029 -1.165  0.039 -1.260  0.106 -1.356  0.106 -1.520  0.013 -1.411  -0.087 -1.282  -0.188 -1.153  -0.288 -1.025  -0.388 -0.896  -0.488 -0.767  -0.589 -0.638  -0.689 -0.509  -0.789 -0.380  -0.765 -0.312  -0.602 -0.312  -0.478 -0.218  -0.332 -0.176  -0.169 -0.176  -0.005 -0.176  0.158 -0.176  0.321 -0.176  0.485 -0.176  0.648 -0.176
2#app#app40#app4056/e  -0.623 0.241  -0.463 0.241  -0.330 0.213  -0.330 0.053  -0.274 -0.052  -0.114 -0.052  0.047 -0.052  0.208 -0.052  0.368 -0.052  0.529 -0.052  0.689 -0.052  0.843 -0.045  0.843 0.115  0.843 0.276  0.843 0.436  0.843 0.597  0.843 0.758  0.843 0.918  0.843 1.079  0.725 1.121  0.564 1.121  0.404 1.121  0.243 1.121  0.083 1.121  -0.078 1.121  -0.238 1.121  -0.330 1.052  -0.330 0.891  -0.330 0.731  -0.330 0.570  -0.418 0.446  -0.532 0.333  -0.623 0.210  -0.623 0.049  -0.623 -0.111  -0.623 -0.272  -0.623 -0.432  -0.623 -0.593  -0.623 -0.753  -0.623 -0.914  -0.481 -0.932  -0.330 -0.942  -0.330 -1.103  -0.303 -1.252  -0.190 -1.366  -0.076 -1.479  0.068 -1.519  0.229 -1.519  0.257 -1.651  0.257 -1.812
2#app#app40#app4056/w  -1.330 0.494  -1.330 0.320  -1.330 0.146  -1.330 -0.028  -1.330 -0.202  -1.216 -0.329  -1.093 -0.452  -1.093 -0.627  -0.981 -0.688  -0.821 -0.653  -0.698 -0.530  -0.575 -0.407  -0.452 -0.284  -0.383 -0.138  -0.383 0.036  -0.383 0.210  -0.257 0.258  -0.147 0.322  -0.147 0.496  -0.147 0.670  -0.147 0.617  -0.198 0.494  -0.372 0.494  -0.383 0.331  -0.383 0.157  -0.383 -0.017  -0.383 -0.191  -0.234 -0.215  -0.147 -0.303  -0.129 -0.469  -0.006 -0.593  0.128 -0.688  0.302 -0.688  0.477 -0.688  0.651 -0.688  0.799 -0.663  0.799 -0.489  0.936 -0.452  1.036 -0.377  1.045 -0.206  1.168 -0.083  1.272 0.048  1.272 0.222  1.272 0.396  1.272 0.570  1.272 0.744  1.272 0.918  1.147 0.967  1.036 1.030  1.036 1.204
2#app#app40#app4056/q  0.564 0.733  0.564 0.899  0.564 1.064  0.398 1.064  0.232 1.064  0.066 1.064  -0.100 1.064  -0.266 1.063  -0.383 0.946  -0.430 0.799  -0.530 0.733  -0.666 0.662  -0.762 0.536  -0.762 0.370  -0.762 0.204  -0.730 0.070  -0.564 0.070  -0.398 0.070  -0.232 0.070  -0.099 0.103  -0.065 0.235  0.067 0.269  0.101 0.401  0.233 0.435  0.233 0.601  0.267 0.733  0.399 0.767  0.374 0.874  0.256 0.756  0.233 0.600  0.233 0.434  0.233 0.268  0.233 0.102  0.138 -0.025  0.067 -0.161  0.067 -0.327  0.021 -0.474  -0.097 -0.591  -0.099 -0.756  -0.099 -0.922  -0.099 -1.088  -0.099 -1.254  -0.099 -1.420  -0.099 -1.586  -0.099 -1.752  0.066 -1.753  0.232 -1.753  0.398 -1.753  0.564 -1.753  0.730 -1.753
2#app#app40#app4056/u  -1.140 0.940  -1.140 0.778  -1.140 0.615  -1.140 0.452  -1.140 0.289  -1.140 0.126  -1.140 -0.036  -1.140 -0.199  -1.140 -0.362  -1.140 -0.525  -1.140 -0.688  -1.032 -0.805  -0.916 -0.921  -0.774 -0.969  -0.611 -0.969  -0.491 -0.866  -0.376 -0.750  -0.236 -0.696  -0.073 -0.696  -0.049 -0.557  -0.049 -0.394  -0.049 -0.232  0.033 -0.151  0.196 -0.151  0.224 -0.016  0.224 0.147  0.224 0.310  0.279 0.450  0.394 0.565  0.496 0.685  0.496 0.848  0.496 1.011  0.496 1.174  0.496 1.090  0.496 0.927  0.496 0.764  0.496 0.602  0.496 0.439  0.615 0.395  0.769 0.386  0.769 0.223  0.769 0.060  0.769 -0.102  0.769 -0.265  0.774 -0.424  0.936 -0.424  1.099 -0.424  1.262 -0.424  1.315 -0.534  1.315 -0.696
2#app#app40#app4056/i  -0.107 -0.398  -0.107 -0.490  -0.107 -0.583  -0.107 -0.676  -0.107 -0.769  -0.107 -0.862  -0.107 -0.954  -0.107 -1.047  -0.081 -1.114  0.011 -1.114  0.104 -1.114  0.131 -1.179  0.131 -1.272  0.131 -1.341  0.123 -1.248  0.116 -1.156  0.109 -1.063  0.102 -0.971  0.095 -0.878  0.088 -0.786  0.081 -0.693  0.074 -0.601  0.066 -0.508  0.059 -0.416  0.052 -0.323  0.045 -0.231  0.038 -0.138  0.031 -0.045  0.024 0.047  0.017 0.140  0.010 0.232  0.002 0.325  -0.005 0.417  -0.012 0.510  -0.019 0.602  -0.026 0.695  -0.033 0.787  -0.040 0.880  -0.047 0.972  -0.054 1.065  -0.062 1.157  -0.069 1.250  -0.076 1.342  -0.083 1.435  -0.090 1.527  -0.097 1.620  -0.104 1.712  -0.054 1.752  0.039 1.752  0.131 1.752
2#app#app40#app4056/p  -0.547 0.436  -0.547 0.270  -0.547 0.104  -0.547 -0.062  -0.526 -0.219  -0.409 -0.336  -0.336 -0.472  -0.336 -0.638  -0.336 -0.804  -0.336 -0.970  -0.336 -1.136  -0.336 -1.302  -0.336 -1.468  -0.336 -1.634  -0.213 -1.677  -0.125 -1.599  -0.125 -1.433  -0.125 -1.267  -0.125 -1.101  -0.125 -0.935  -0.125 -0.769  -0.125 -0.603  -0.125 -0.438  -0.125 -0.272  -0.125 -0.106  -0.125 0.060  -0.124 0.226  -0.006 0.343  0.087 0.471  0.087 0.636  0.087 0.802  0.087 0.968  0.087 1.134  0.087 1.300  0.087 1.466  0.226 1.492  0.392 1.492  0.544 1.458  0.661 1.340  0.721 1.199  0.721 1.033  0.721 0.867  0.721 0.701  0.641 0.568  0.524 0.451  0.407 0.333  0.289 0.216  0.172 0.099  0.087 -0.032  0.087 -0.198
2#app#app40#app4056/s  0.042 1.195  -0.061 1.195  -0.164 1.195  -0.267 1.195  -0.371 1.195  -0.474 1.195  -0.572 1.182  -0.645 1.109  -0.718 1.036  -0.791 0.963  -0.859 0.888  -0.859 0.785  -0.859 0.682  -0.848 0.583  -0.776 0.510  -0.703 0.437  -0.630 0.364  -0.556 0.294  -0.453 0.294  -0.349 0.294  -0.258 0.281  -0.258 0.178  -0.258 0.075  -0.237 -0.007  -0.134 -0.007  -0.031 -0.007  0.072 -0.007  0.176 -0.007  0.279 -0.007  0.342 -0.046  0.342 -0.149  0.342 -0.253  0.391 -0.307  0.494 -0.307  0.597 -0.307  0.643 -0.365  0.643 -0.468  0.643 -0.571  0.643 -0.674  0.643 -0.778  0.643 -0.881  0.643 -0.984  0.643 -1.087  0.643 -1.190  0.643 -1.293  0.643 -1.397  0.643 -1.500  0.549 -1.509  0.446 -1.509  0.342 -1.509
2#app#app40#app4056/g  0.063 0.959  0.048 1.105  -0.113 1.105  -0.274 1.105  -0.434 1.105  -0.595 1.105  -0.668 1.017  -0.771 0.959  -0.815 0.842  -0.815 0.681  -0.815 0.520  -0.701 0.406  -0.553 0.374  -0.393 0.374  -0.232 0.374  -0.217 0.520  -0.084 0.547  -0.084 0.708  -0.027 0.813  0.063 0.884  0.063 1.044  0.063 1.005  0.063 0.844  0.154 0.721  0.209 0.583  0.209 0.422  0.209 0.261  0.299 0.138  0.355 0.000  0.355 -0.161  0.433 -0.289  0.501 -0.422  0.501 -0.583  0.568 -0.716  0.648 -0.844  0.648 -1.005  0.648 -1.165  0.648 -1.326  0.648 -1.487  0.526 -1.527  0.366 -1.527  0.249 -1.420  0.104 -1.381  -0.022 -1.296  -0.084 -1.161  -0.171 -1.088  -0.230 -0.986  -0.230 -0.825  -0.230 -0.664  -0.084 -0.649
2#app#app40#app4056/a  0.187 1.111  0.046 1.111  -0.095 1.111  -0.237 1.111  -0.378 1.111  -0.519 1.111  -0.660 1.111  -0.691 1.000  -0.691 0.859  -0.762 0.747  -0.862 0.647  -0.962 0.547  -0.983 0.415  -0.983 0.273  -0.983 0.132  -0.983 -0.009  -0.983 -0.150  -0.983 -0.292  -0.902 -0.352  -0.761 -0.352  -0.691 -0.423  -0.691 -0.564  -0.630 -0.645  -0.489 -0.645  -0.347 -0.645  -0.206 -0.645  -0.077 -0.616  0.023 -0.516  0.123 -0.416  0.187 -0.302  0.187 -0.160  0.187 -0.019  0.187 0.122  0.218 0.233  0.359 0.233  0.480 0.213  0.480 0.072  0.487 -0.067  0.587 -0.167  0.687 -0.267  0.793 -0.352  0.934 -0.352  1.065 -0.362  1.065 -0.504  1.065 -0.645  1.206 -0.645  1.348 -0.645  1.450 -0.738  1.550 -0.837  1.650 -0.937
2#app#app40#app4056/l  -0.210 1.709  -0.210 1.636  -0.210 1.562  -0.210 1.489  -0.210 1.415  -0.210 1.342  -0.210 1.268  -0.210 1.195  -0.210 1.121  -0.210 1.048  -0.210 0.974  -0.210 0.901  -0.210 0.827  -0.210 0.754  -0.196 0.686  -0.144 0.634  -0.092 0.582  -0.040 0.530  -0.008 0.470  -0.008 0.397  -0.008 0.323  -0.008 0.250  -0.008 0.176  -0.008 0.103  -0.008 0.029  -0.008 -0.044  -0.008 -0.118  -0.008 -0.191  -0.008 -0.265  -0.008 -0.338  -0.008 -0.412  -0.008 -0.485  0.025 -0.545  0.077 -0.597  0.129 -0.649  0.181 -0.701  0.194 -0.769  0.194 -0.843  0.194 -0.916  0.194 -0.990  0.194 -1.063  0.194 -1.137  0.194 -1.210  0.194 -1.284  0.194 -1.357  0.194 -1.431  0.194 -1.504  0.249 -1.523  0.323 -1.523  0.396 -1.523
