2#tos#t1#t1013062/!  0.045 1.638  -0.027 1.637  -0.025 1.566  0.009 1.526  0.027 1.456  0.045 1.387  0.045 1.313  0.045 1.239  0.045 1.165  0.045 1.091  0.045 1.017  0.015 0.956  0.009 0.885  0.009 0.811  0.009 0.737  0.009 0.663  0.009 0.589  0.009 0.515  -0.027 0.457  -0.027 0.383  -0.027 0.309  -0.027 0.235  -0.027 0.161  -0.027 0.087  -0.027 0.014  -0.027 -0.060  -0.027 -0.134  -0.027 -0.208  -0.027 -0.282  -0.027 -0.356  -0.044 -0.426  -0.064 -0.495  -0.041 -0.559  -0.027 -0.628  -0.011 -0.699  0.011 -0.769  0.032 -0.840  0.054 -0.911  0.076 -0.981  0.097 -1.052  0.113 -1.120  0.047 -1.153  -0.019 -1.186  -0.027 -1.255  -0.057 -1.299  -0.064 -1.366  -0.064 -1.440  -0.030 -1.480  -0.027 -1.551  0.009 -1.589
2#tos#t1#t1013062/$  1.042 0.359  0.866 0.498  0.738 0.659  0.563 0.744  0.320 0.787  0.059 0.787  -0.190 0.732  -0.358 0.605  -0.497 0.456  -0.497 0.196  -0.338 -0.003  -0.112 -0.132  0.098 -0.280  0.303 -0.385  0.519 -0.507  0.700 -0.645  0.786 -0.820  0.668 -1.025  0.455 -1.173  0.206 -1.223  -0.054 -1.223  -0.312 -1.208  -0.527 -1.079  -0.705 -0.929  -0.691 -0.725  -0.594 -0.483  -0.498 -0.241  -0.401 0.001  -0.304 0.243  -0.207 0.484  -0.110 0.726  -0.014 0.968  0.083 1.210  0.180 1.452  0.273 1.695  0.151 1.739  0.132 1.482  0.054 1.237  -0.009 0.984  -0.026 0.725  -0.104 0.486  -0.155 0.239  -0.197 -0.017  -0.197 -0.278  -0.197 -0.538  -0.197 -0.799  -0.197 -1.060  -0.197 -1.320  -0.197 -1.581  -0.112 -1.821
2#tos#t1#t1013062/%  0.995 1.360  0.833 1.226  0.734 0.973  0.608 0.743  0.464 0.568  0.316 0.341  0.205 0.093  0.026 -0.109  -0.104 -0.344  -0.190 -0.602  -0.252 -0.845  -0.422 -1.044  -0.495 -1.265  -0.594 -1.151  -0.583 -0.879  -0.572 -0.607  -0.562 -0.336  -0.551 -0.064  -0.540 0.208  -0.530 0.480  -0.519 0.751  -0.573 0.961  -0.800 1.006  -1.019 1.029  -1.126 0.794  -1.131 0.523  -1.087 0.296  -0.902 0.208  -0.630 0.208  -0.511 0.361  -0.547 0.627  -0.694 0.784  -0.534 0.674  -0.312 0.516  -0.091 0.358  0.130 0.200  0.352 0.042  0.573 -0.117  0.794 -0.275  0.682 -0.368  0.552 -0.510  0.508 -0.738  0.641 -0.877  0.750 -1.052  1.012 -1.076  1.188 -0.972  1.297 -0.766  1.263 -0.545  1.084 -0.418  0.863 -0.368
2#tos#t1#t1013062/&  0.741 -0.220  0.605 -0.305  0.539 -0.463  0.464 -0.622  0.350 -0.749  0.290 -0.913  0.161 -1.008  0.013 -1.103  -0.143 -1.156  -0.338 -1.191  -0.532 -1.156  -0.678 -1.054  -0.750 -0.915  -0.750 -0.707  -0.670 -0.527  -0.517 -0.407  -0.404 -0.255  -0.254 -0.145  -0.126 -0.016  -0.063 0.141  0.049 0.292  0.184 0.436  0.282 0.604  0.374 0.759  0.429 0.950  0.464 1.124  0.464 1.333  0.394 1.519  0.253 1.589  0.117 1.686  -0.088 1.671  -0.181 1.521  -0.265 1.349  -0.334 1.183  -0.440 1.026  -0.507 0.865  -0.507 0.656  -0.507 0.448  -0.427 0.266  -0.363 0.087  -0.299 -0.096  -0.188 -0.220  -0.093 -0.388  0.081 -0.497  0.205 -0.624  0.312 -0.740  0.459 -0.839  0.603 -0.948  0.748 -1.052  0.845 -1.191
2#tos#t1#t1013062/'  0.003 1.109  -0.083 1.109  -0.169 1.109  -0.244 1.109  -0.158 1.109  -0.072 1.109  0.014 1.109  0.100 1.109  0.186 1.109  0.256 1.126  0.256 1.212  0.256 1.174  0.256 1.088  0.256 1.002  0.256 0.915  0.256 0.829  0.256 0.743  0.256 0.657  0.224 0.603  0.138 0.603  0.130 0.525  0.130 0.439  0.130 0.353  0.130 0.266  0.130 0.180  0.130 0.094  0.130 0.008  0.118 -0.077  0.097 -0.160  0.076 -0.244  0.055 -0.328  0.034 -0.411  0.013 -0.495  0.003 -0.580  0.003 -0.666  0.003 -0.752  -0.032 -0.824  -0.093 -0.885  -0.154 -0.946  -0.215 -1.007  -0.250 -1.078  -0.250 -1.164  -0.250 -1.251  -0.250 -1.337  -0.251 -1.423  -0.312 -1.483  -0.373 -1.544  -0.376 -1.629  -0.376 -1.715  -0.376 -1.801
2#tos#t1#t1013062/)  -0.132 1.347  -0.213 1.316  -0.298 1.296  -0.273 1.296  -0.180 1.296  -0.086 1.296  -0.031 1.258  0.001 1.196  0.094 1.196  0.138 1.146  0.169 1.084  0.174 0.995  0.268 0.995  0.270 0.904  0.270 0.810  0.298 0.744  0.370 0.694  0.370 0.600  0.370 0.507  0.370 0.413  0.370 0.320  0.370 0.226  0.370 0.133  0.370 0.039  0.370 -0.055  0.370 -0.148  0.370 -0.242  0.320 -0.285  0.320 -0.379  0.320 -0.472  0.264 -0.510  0.171 -0.510  0.151 -0.598  0.096 -0.661  0.069 -0.727  0.042 -0.815  -0.022 -0.861  -0.097 -0.892  -0.143 -0.973  -0.209 -1.039  -0.282 -1.073  -0.337 -1.112  -0.430 -1.112  -0.524 -1.112  -0.583 -1.146  -0.610 -1.213  -0.684 -1.233  -0.697 -1.313  -0.791 -1.313  -0.884 -1.313
2#tos#t1#t1013062/*  0.165 1.294  -0.047 1.124  -0.047 0.802  -0.047 0.480  -0.047 0.158  -0.047 -0.164  -0.047 -0.486  0.008 -0.795  0.024 -1.113  0.068 -1.392  -0.011 -1.123  -0.163 -0.839  -0.316 -0.555  -0.468 -0.271  -0.620 0.012  -0.772 0.296  -0.924 0.580  -1.200 0.658  -1.257 0.658  -0.979 0.523  -0.676 0.446  -0.541 0.258  -0.314 0.163  -0.020 0.065  0.236 -0.068  0.377 -0.331  0.617 -0.430  0.801 -0.593  1.002 -0.756  1.155 -0.869  1.155 -0.547  1.135 -0.226  1.109 0.095  1.084 0.416  1.058 0.738  1.032 1.059  0.927 1.294  0.746 1.152  0.707 0.870  0.504 0.698  0.260 0.524  0.161 0.291  -0.018 0.092  -0.252 -0.049  -0.427 -0.316  -0.667 -0.473  -0.824 -0.638  -0.965 -0.818  -1.248 -0.858  -1.389 -1.038
2#tos#t1#t1013062/  -1.031 -0.069  -1.111 -0.069  -1.189 -0.076  -1.265 -0.101  -1.341 -0.126  -1.419 -0.137  -1.442 -0.080  -1.373 -0.069  -1.293 -0.069  -1.213 -0.069  -1.133 -0.069  -1.053 -0.069  -0.973 -0.069  -0.893 -0.069  -0.814 -0.069  -0.734 -0.069  -0.654 -0.069  -0.574 -0.069  -0.551 -0.011  -0.483 -0.000  -0.403 -0.000  -0.323 -0.000  -0.243 -0.000  -0.163 -0.000  -0.083 -0.000  -0.072 0.068  0.008 0.068  0.088 0.068  0.168 0.068  0.248 0.068  0.328 0.068  0.408 0.068  0.488 0.068  0.567 0.068  0.647 0.068  0.727 0.068  0.807 0.068  0.887 0.068  0.967 0.068  1.047 0.068  1.127 0.068  1.207 0.068  1.286 0.068  1.366 0.068  1.435 0.057  1.458 -0.000  1.538 -0.000  1.617 -0.000  1.697 -0.000  1.709 0.068
2#tos#t1#t1013062/:  0.173 1.358  0.096 1.358  0.020 1.358  -0.057 1.358  -0.133 1.358  -0.163 1.311  -0.163 1.234  -0.163 1.158  -0.138 1.106  -0.079 1.089  -0.079 1.012  -0.076 0.938  0.000 0.938  0.077 0.938  0.086 0.874  0.083 0.797  0.080 0.721  0.076 0.645  0.073 0.568  0.070 0.492  0.066 0.415  0.063 0.339  0.060 0.262  0.056 0.186  0.053 0.109  0.050 0.033  0.046 -0.044  0.043 -0.120  0.040 -0.196  0.036 -0.273  0.033 -0.349  0.030 -0.426  0.026 -0.502  0.023 -0.579  0.020 -0.655  0.016 -0.732  0.013 -0.808  0.010 -0.885  0.007 -0.961  0.005 -1.038  0.005 -1.114  -0.008 -1.187  -0.042 -1.256  -0.077 -1.324  -0.079 -1.400  -0.079 -1.477  -0.079 -1.553  -0.079 -1.630  -0.049 -1.694  0.005 -1.748
2#tos#t1#t1013062/;  0.357 1.585  0.325 1.537  0.260 1.521  0.260 1.441  0.181 1.440  0.163 1.377  0.163 1.297  0.212 1.265  0.212 1.185  0.212 1.105  0.212 1.024  0.212 0.944  0.212 0.863  0.212 0.783  0.212 0.703  0.212 0.622  0.212 0.542  0.212 0.462  0.212 0.381  0.212 0.301  0.212 0.220  0.212 0.140  0.212 0.060  0.188 -0.015  0.138 -0.065  0.120 -0.119  0.163 -0.182  0.163 -0.262  0.163 -0.342  0.163 -0.423  0.118 -0.475  0.066 -0.523  0.066 -0.604  0.066 -0.684  0.011 -0.715  -0.014 -0.791  -0.054 -0.857  -0.121 -0.901  -0.188 -0.944  -0.260 -0.980  -0.310 -1.041  -0.355 -1.108  -0.422 -1.132  -0.502 -1.132  -0.546 -1.192  -0.603 -1.230  -0.677 -1.245  -0.744 -1.278  -0.824 -1.278  -0.904 -1.278
2#tos#t1#t1013062/<  0.798 1.421  0.692 1.421  0.585 1.421  0.540 1.360  0.475 1.318  0.385 1.302  0.385 1.195  0.364 1.101  0.269 1.053  0.178 1.003  0.172 0.898  0.126 0.811  0.029 0.801  -0.022 0.711  -0.120 0.697  -0.133 0.603  -0.179 0.542  -0.285 0.542  -0.334 0.449  -0.370 0.348  -0.430 0.283  -0.485 0.200  -0.546 0.147  -0.614 0.096  -0.650 -0.002  -0.732 -0.027  -0.753 -0.112  -0.695 -0.196  -0.645 -0.290  -0.558 -0.337  -0.495 -0.411  -0.429 -0.462  -0.370 -0.550  -0.296 -0.625  -0.207 -0.684  -0.133 -0.727  -0.102 -0.803  -0.047 -0.854  0.060 -0.854  0.074 -0.947  0.170 -0.958  0.263 -0.991  0.281 -1.090  0.365 -1.113  0.472 -1.113  0.488 -1.203  0.530 -1.268  0.592 -1.313  0.643 -1.368  0.695 -1.423
