2#app#app14#app1425/!  -0.310 -1.809  -0.192 -1.809  -0.073 -1.809  0.012 -1.776  0.012 -1.658  0.012 -1.539  0.012 -1.420  0.012 -1.302  0.012 -1.183  0.012 -1.065  0.012 -0.946  0.012 -0.828  0.012 -0.709  0.012 -0.591  0.012 -0.472  0.012 -0.354  0.012 -0.235  0.012 -0.117  0.012 0.002  0.012 0.121  0.012 0.239  0.012 0.358  0.012 0.476  0.012 0.595  0.012 0.713  0.012 0.832  0.012 0.950  0.012 1.069  0.012 1.187  0.012 1.306  0.012 1.424  0.012 1.543  0.012 1.497  0.012 1.378  0.012 1.260  0.012 1.141  0.012 1.023  0.012 0.904  0.012 0.786  0.012 0.667  0.012 0.549  0.012 0.430  0.012 0.311  0.012 0.193  0.012 0.074  0.012 -0.044  0.012 -0.163  0.012 -0.281  0.012 -0.400  0.012 -0.518
2#app#app14#app1425/@  0.178 0.202  0.315 0.294  0.131 0.339  -0.097 0.337  -0.266 0.185  -0.471 0.083  -0.543 -0.109  -0.643 -0.296  -0.601 -0.482  -0.372 -0.482  -0.143 -0.482  0.086 -0.482  0.275 -0.385  0.193 -0.467  0.041 -0.633  0.147 -0.756  0.376 -0.756  0.468 -0.619  0.696 -0.619  0.867 -0.478  0.999 -0.304  1.093 -0.114  1.136 0.097  1.136 0.326  1.136 0.555  1.015 0.734  0.950 0.936  0.788 1.097  0.626 1.259  0.413 1.297  0.184 1.297  -0.045 1.297  -0.273 1.297  -0.370 1.164  -0.569 1.098  -0.698 0.913  -0.780 0.704  -0.781 0.475  -0.917 0.303  -0.917 0.074  -0.917 -0.155  -0.917 -0.384  -0.787 -0.482  -0.780 -0.705  -0.655 -0.881  -0.493 -1.043  -0.331 -1.205  -0.143 -1.303  0.086 -1.303  0.178 -1.440
2#app#app14#app1425/#  1.271 0.491  0.938 0.491  0.630 0.381  0.320 0.281  -0.011 0.271  -0.309 0.122  -0.567 -0.084  -0.864 -0.171  -1.001 -0.285  -0.816 -0.008  -0.631 0.270  -0.446 0.547  -0.261 0.824  -0.202 0.684  -0.302 0.392  -0.413 0.104  -0.413 -0.229  -0.623 -0.352  -0.623 -0.686  -0.660 -0.982  -0.834 -1.142  -0.765 -1.380  -0.449 -1.275  -0.132 -1.169  0.184 -1.064  0.500 -0.959  0.817 -0.853  0.984 -0.772  0.709 -0.913  0.405 -0.982  0.071 -0.982  -0.262 -0.982  -0.362 -0.806  -0.271 -0.486  -0.179 -0.165  -0.088 0.156  0.004 0.476  0.096 0.797  0.187 1.118  0.279 1.438  0.370 1.759  0.514 1.880  0.640 1.599  0.640 1.265  0.505 0.988  0.429 0.685  0.331 0.393  0.219 0.106  0.219 -0.228  0.219 -0.561
2#app#app14#app1425/$  0.908 0.836  0.533 0.836  0.230 0.642  -0.121 0.546  -0.351 0.402  -0.250 0.131  0.040 -0.039  0.249 -0.242  0.474 -0.524  0.474 -0.898  0.313 -1.206  -0.008 -1.335  -0.323 -1.479  -0.681 -1.467  -0.590 -1.103  -0.499 -0.740  -0.408 -0.377  -0.317 -0.013  -0.227 0.350  -0.136 0.713  -0.045 1.076  0.046 1.440  0.137 1.803  0.151 1.849  0.040 1.586  -0.051 1.233  -0.105 0.871  -0.105 0.496  -0.105 0.122  -0.204 -0.229  -0.250 -0.593  -0.250 -0.967  -0.250 -1.342  -0.237 -1.533  -0.184 -1.162  -0.131 -0.791  -0.078 -0.421  -0.025 -0.050  0.028 0.321  0.081 0.691  0.134 1.062  0.184 1.396  0.184 1.022  0.184 0.648  0.184 0.273  0.329 -0.041  0.329 -0.416  0.329 -0.790  0.184 -1.105  0.184 -1.479
2#app#app14#app1425/%  -0.961 0.844  -0.821 0.976  -0.557 0.984  -0.343 1.124  -0.071 1.124  0.018 0.941  0.002 0.673  -0.119 0.430  -0.310 0.237  -0.502 0.044  -0.758 0.005  -0.821 0.214  -0.821 0.486  -0.821 0.757  -0.642 0.889  -0.378 0.955  -0.114 1.021  0.150 1.087  0.413 1.153  0.677 1.219  0.857 1.177  0.717 0.963  0.568 0.835  0.437 0.617  0.381 0.369  0.189 0.176  0.158 -0.083  0.008 -0.294  -0.114 -0.537  -0.262 -0.749  -0.429 -0.918  -0.548 -1.114  -0.681 -1.252  -0.456 -1.103  -0.230 -0.953  -0.004 -0.802  0.235 -0.694  0.449 -0.554  0.717 -0.558  0.853 -0.694  0.857 -0.962  0.736 -1.114  0.717 -1.366  0.472 -1.393  0.229 -1.325  0.158 -1.082  0.158 -0.811  0.158 -0.539  0.158 -0.267  0.297 -0.135
2#app#app14#app1425/^  -1.744 -1.106  -1.652 -1.014  -1.561 -0.922  -1.469 -0.830  -1.371 -0.753  -1.241 -0.753  -1.111 -0.753  -0.998 -0.712  -0.906 -0.620  -0.814 -0.528  -0.722 -0.436  -0.631 -0.344  -0.539 -0.252  -0.447 -0.160  -0.355 -0.068  -0.263 0.023  -0.171 0.115  -0.079 0.207  0.012 0.299  0.104 0.391  0.196 0.483  0.288 0.575  0.369 0.671  0.369 0.801  0.369 0.931  0.422 1.008  0.552 1.008  0.682 1.008  0.632 1.008  0.502 1.008  0.372 1.008  0.369 0.881  0.369 0.751  0.369 0.621  0.369 0.491  0.369 0.361  0.369 0.231  0.369 0.101  0.369 -0.029  0.479 -0.049  0.609 -0.049  0.722 -0.066  0.722 -0.196  0.722 -0.326  0.722 -0.456  0.722 -0.586  0.722 -0.716  0.814 -0.753  0.944 -0.753  1.074 -0.753
2#app#app14#app1425/&  -0.925 -0.994  -0.796 -0.925  -0.661 -0.859  -0.521 -0.719  -0.381 -0.579  -0.242 -0.439  -0.102 -0.300  0.038 -0.160  0.178 -0.020  0.317 0.120  0.457 0.260  0.597 0.399  0.737 0.539  0.785 0.717  0.880 0.875  0.880 1.073  0.809 1.199  0.743 1.336  0.596 1.456  0.398 1.456  0.200 1.456  0.003 1.456  -0.144 1.334  -0.322 1.286  -0.409 1.124  -0.409 0.927  -0.409 0.729  -0.393 0.538  -0.253 0.398  -0.151 0.243  -0.029 0.167  0.115 0.038  0.290 -0.016  0.365 -0.183  0.479 -0.334  0.460 -0.511  0.365 -0.669  0.272 -0.829  0.218 -0.994  0.107 -1.080  -0.022 -1.149  -0.117 -1.252  -0.315 -1.252  -0.409 -1.148  -0.538 -1.079  -0.650 -0.994  -0.667 -0.813  -0.667 -0.615  -0.478 -0.607  -0.280 -0.607
2#app#app14#app1425/*  1.288 0.300  0.921 0.300  0.593 0.391  0.314 0.602  -0.053 0.602  -0.419 0.602  -0.785 0.602  -1.129 0.579  -1.129 0.387  -1.129 0.753  -0.913 0.904  -0.827 0.624  -0.583 0.358  -0.324 0.099  -0.223 -0.225  0.065 -0.304  0.114 -0.641  0.373 -0.900  0.633 -1.159  0.978 -1.210  0.993 -1.456  1.045 -1.094  1.097 -0.731  1.149 -0.368  1.201 -0.006  1.253 0.357  1.203 0.518  0.927 0.300  0.561 0.300  0.249 0.168  -0.010 -0.091  -0.269 -0.350  -0.528 -0.609  -0.787 -0.868  -0.825 -1.203  -0.745 -0.845  -0.666 -0.487  -0.587 -0.130  -0.507 0.228  -0.428 0.585  -0.348 0.943  -0.269 1.301  -0.223 1.354  -0.223 0.988  -0.223 0.621  -0.223 0.255  -0.223 -0.111  -0.223 -0.478  -0.223 -0.844  0.079 -0.908
2#app#app14#app1425/(  0.467 1.332  0.552 1.332  0.633 1.332  0.549 1.332  0.465 1.330  0.405 1.270  0.346 1.211  0.280 1.165  0.195 1.165  0.123 1.146  0.085 1.070  0.047 0.995  0.009 0.919  -0.029 0.844  -0.084 0.781  -0.144 0.721  -0.203 0.661  -0.203 0.576  -0.205 0.493  -0.265 0.433  -0.324 0.373  -0.370 0.308  -0.370 0.223  -0.370 0.139  -0.370 0.054  -0.370 -0.030  -0.370 -0.115  -0.370 -0.199  -0.370 -0.284  -0.370 -0.368  -0.370 -0.453  -0.370 -0.537  -0.370 -0.622  -0.350 -0.698  -0.291 -0.758  -0.231 -0.818  -0.171 -0.877  -0.111 -0.937  -0.051 -0.997  -0.035 -1.075  -0.035 -1.159  0.028 -1.180  0.112 -1.180  0.197 -1.180  0.281 -1.180  0.347 -1.227  0.406 -1.287  0.466 -1.347  0.550 -1.348  0.635 -1.348
2#app#app14#app1425/)  -0.584 1.317  -0.502 1.317  -0.420 1.317  -0.338 1.317  -0.256 1.317  -0.175 1.317  -0.102 1.308  -0.102 1.226  -0.093 1.148  -0.036 1.090  0.022 1.032  0.080 0.974  0.138 0.917  0.196 0.859  0.219 0.787  0.219 0.705  0.256 0.638  0.314 0.580  0.371 0.523  0.380 0.444  0.380 0.363  0.380 0.281  0.380 0.199  0.380 0.117  0.380 0.035  0.380 -0.046  0.380 -0.128  0.322 -0.186  0.264 -0.244  0.219 -0.307  0.219 -0.389  0.210 -0.468  0.173 -0.541  0.137 -0.615  0.100 -0.688  0.063 -0.761  0.008 -0.821  -0.049 -0.878  -0.102 -0.939  -0.102 -1.020  -0.111 -1.096  -0.184 -1.133  -0.258 -1.169  -0.331 -1.206  -0.404 -1.242  -0.423 -1.313  -0.423 -1.394  -0.468 -1.457  -0.526 -1.515  -0.584 -1.573
2#app#app14#app1425/`  -1.460 0.824  -1.384 0.824  -1.308 0.824  -1.232 0.824  -1.156 0.824  -1.080 0.824  -1.004 0.824  -0.928 0.824  -0.852 0.824  -0.779 0.816  -0.726 0.762  -0.672 0.708  -0.618 0.655  -0.565 0.601  -0.511 0.547  -0.457 0.494  -0.404 0.440  -0.350 0.386  -0.296 0.332  -0.242 0.279  -0.189 0.225  -0.135 0.171  -0.081 0.118  -0.028 0.064  0.026 0.010  0.080 -0.044  0.134 -0.097  0.187 -0.151  0.249 -0.185  0.325 -0.185  0.401 -0.185  0.477 -0.185  0.553 -0.185  0.557 -0.257  0.557 -0.332  0.557 -0.408  0.557 -0.484  0.585 -0.549  0.639 -0.602  0.692 -0.656  0.746 -0.710  0.800 -0.764  0.854 -0.817  0.907 -0.871  0.961 -0.925  1.015 -0.978  1.068 -1.032  1.122 -1.086  1.176 -1.140  1.230 -1.193
