2#app#app13#app1333/8  0.132 1.130  0.056 1.041  -0.091 0.996  -0.224 0.938  -0.288 0.799  -0.402 0.681  -0.402 0.516  -0.402 0.351  -0.347 0.240  -0.271 0.151  -0.140 0.067  -0.046 -0.007  0.043 -0.083  0.132 -0.211  0.191 -0.352  0.221 -0.505  0.221 -0.670  0.221 -0.836  0.221 -1.001  0.150 -1.149  0.132 -1.310  0.115 -1.468  -0.002 -1.585  -0.149 -1.629  -0.313 -1.628  -0.368 -1.485  -0.402 -1.334  -0.402 -1.169  -0.402 -1.003  -0.402 -0.838  -0.402 -0.673  -0.402 -0.507  -0.310 -0.380  -0.224 -0.251  -0.139 -0.120  -0.064 0.026  -0.013 0.167  0.132 0.243  0.188 0.385  0.305 0.502  0.422 0.619  0.488 0.756  0.577 0.885  0.577 1.050  0.577 1.215  0.526 1.359  0.409 1.476  0.337 1.575  0.186 1.540  0.043 1.486
2#app#app13#app1333/:  0.271 1.228  0.186 1.228  0.101 1.228  0.017 1.228  -0.006 1.290  -0.006 1.375  -0.006 1.460  -0.006 1.465  -0.006 1.381  -0.006 1.296  -0.006 1.211  -0.006 1.126  -0.006 1.042  -0.006 0.957  -0.006 0.872  -0.006 0.787  -0.006 0.703  -0.006 0.618  -0.006 0.533  -0.006 0.448  -0.006 0.363  -0.006 0.279  -0.006 0.194  -0.006 0.109  -0.006 0.024  -0.006 -0.060  -0.006 -0.145  -0.006 -0.230  -0.006 -0.315  -0.006 -0.399  -0.006 -0.484  -0.006 -0.569  -0.006 -0.654  -0.006 -0.738  -0.006 -0.823  -0.006 -0.908  -0.006 -0.993  -0.006 -1.078  -0.006 -1.162  -0.006 -1.247  -0.074 -1.264  -0.159 -1.264  -0.243 -1.264  -0.238 -1.264  -0.153 -1.264  -0.068 -1.264  0.017 -1.264  0.101 -1.264  0.186 -1.264  0.271 -1.264
2#app#app13#app1333/4  -1.157 1.136  -1.157 0.981  -1.157 0.826  -1.157 0.670  -1.157 0.515  -1.157 0.360  -1.157 0.204  -1.157 0.049  -1.157 -0.106  -1.110 -0.215  -0.954 -0.215  -0.819 -0.234  -0.813 -0.384  -0.657 -0.384  -0.502 -0.384  -0.347 -0.384  -0.312 -0.263  -0.205 -0.215  -0.050 -0.215  0.025 -0.135  0.072 0.001  0.182 0.111  0.332 0.123  0.363 0.248  0.474 0.292  0.532 0.389  0.532 0.545  0.532 0.700  0.532 0.855  0.532 1.011  0.532 1.106  0.532 0.951  0.534 0.797  0.644 0.687  0.701 0.555  0.701 0.400  0.701 0.245  0.701 0.089  0.701 -0.066  0.701 -0.221  0.701 -0.377  0.634 -0.516  0.565 -0.655  0.532 -0.803  0.532 -0.958  0.532 -1.113  0.532 -1.268  0.532 -1.424  0.532 -1.579  0.532 -1.734
2#app#app13#app1333/&  -0.810 1.203  -0.658 1.083  -0.506 0.963  -0.315 0.860  -0.203 0.634  -0.051 0.426  0.011 0.169  0.151 -0.061  0.252 -0.291  0.404 -0.499  0.405 -0.770  0.556 -0.980  0.693 -1.049  0.546 -0.821  0.399 -0.592  0.252 -0.364  0.105 -0.135  -0.042 0.093  -0.189 0.322  -0.336 0.550  -0.483 0.779  -0.630 1.007  -0.506 1.119  -0.374 1.336  -0.120 1.396  0.126 1.507  0.355 1.404  0.556 1.304  0.556 1.033  0.556 0.761  0.404 0.552  0.392 0.293  0.252 0.161  0.029 0.070  -0.163 -0.122  -0.399 -0.207  -0.626 -0.314  -0.720 -0.528  -0.810 -0.763  -0.810 -1.034  -0.658 -1.154  -0.608 -1.376  -0.336 -1.376  -0.064 -1.376  0.207 -1.376  0.305 -1.171  0.497 -0.979  0.689 -0.787  0.859 -0.586  0.859 -0.314
2#app#app13#app1333/4  -1.015 1.129  -1.112 1.032  -1.179 0.923  -1.179 0.786  -1.179 0.649  -1.179 0.512  -1.179 0.375  -1.179 0.238  -1.179 0.101  -1.163 -0.020  -1.026 -0.020  -0.926 -0.109  -0.829 -0.206  -0.732 -0.303  -0.614 -0.349  -0.477 -0.349  -0.345 -0.336  -0.248 -0.239  -0.134 -0.184  -0.006 -0.161  0.091 -0.064  0.187 0.033  0.284 0.130  0.381 0.227  0.463 0.330  0.463 0.467  0.595 0.472  0.627 0.577  0.627 0.714  0.627 0.851  0.627 0.942  0.627 0.805  0.627 0.668  0.627 0.531  0.627 0.394  0.627 0.257  0.627 0.119  0.627 -0.018  0.627 -0.155  0.627 -0.292  0.627 -0.429  0.627 -0.566  0.627 -0.703  0.627 -0.840  0.627 -0.977  0.627 -1.114  0.627 -1.251  0.627 -1.388  0.627 -1.526  0.627 -1.663
2#app#app13#app1333/:  -0.317 1.440  -0.244 1.440  -0.170 1.440  -0.097 1.440  -0.024 1.440  0.043 1.433  0.043 1.359  0.043 1.286  0.043 1.213  0.043 1.139  0.043 1.066  0.043 0.992  0.043 0.919  0.043 0.845  0.043 0.772  0.043 0.698  0.043 0.625  0.043 0.551  0.043 0.478  0.043 0.404  0.043 0.331  0.043 0.257  0.043 0.184  0.043 0.110  0.043 0.037  0.043 -0.037  0.043 -0.110  0.043 -0.184  0.043 -0.257  0.043 -0.331  0.043 -0.404  0.043 -0.478  0.043 -0.551  0.043 -0.625  0.043 -0.698  0.043 -0.772  0.043 -0.845  0.043 -0.919  0.043 -0.992  0.043 -1.066  0.043 -1.139  0.043 -1.213  0.043 -1.286  0.043 -1.359  0.043 -1.433  -0.024 -1.440  -0.097 -1.440  -0.170 -1.440  -0.244 -1.440  -0.317 -1.440
2#app#app13#app1333/2  -0.880 1.015  -0.742 1.015  -0.633 1.084  -0.536 1.182  -0.525 1.315  -0.442 1.369  -0.304 1.369  -0.166 1.369  -0.029 1.369  0.109 1.369  0.184 1.306  0.207 1.192  0.345 1.192  0.361 1.070  0.361 0.933  0.361 0.795  0.361 0.657  0.361 0.519  0.361 0.381  0.361 0.244  0.361 0.106  0.361 -0.032  0.361 -0.170  0.361 -0.307  0.320 -0.404  0.184 -0.406  0.184 -0.543  0.184 -0.681  0.184 -0.819  0.169 -0.951  0.072 -1.048  -0.026 -1.145  -0.123 -1.243  -0.241 -1.290  -0.379 -1.290  -0.517 -1.290  -0.525 -1.161  -0.525 -1.024  -0.525 -0.886  -0.518 -0.751  -0.421 -0.654  -0.313 -0.581  -0.175 -0.581  -0.037 -0.581  0.100 -0.581  0.238 -0.581  0.372 -0.571  0.469 -0.473  0.578 -0.404  0.716 -0.404
2#app#app13#app1333/&  -0.576 0.926  -0.437 0.787  -0.306 0.565  -0.170 0.423  -0.035 0.203  -0.035 -0.073  0.100 -0.294  0.100 -0.570  0.167 -0.831  0.236 -1.091  0.293 -1.354  0.371 -1.612  0.371 -1.402  0.270 -1.147  0.158 -0.895  0.045 -0.642  -0.067 -0.390  -0.179 -0.137  -0.291 0.116  -0.404 0.368  -0.516 0.621  -0.628 0.873  -0.712 1.132  -0.556 1.332  -0.415 1.467  -0.156 1.542  0.106 1.603  0.371 1.591  0.506 1.450  0.506 1.173  0.506 0.897  0.386 0.670  0.236 0.456  0.091 0.240  -0.133 0.114  -0.278 -0.100  -0.496 -0.212  -0.739 -0.292  -0.847 -0.461  -0.769 -0.719  -0.576 -0.846  -0.422 -0.969  -0.146 -0.969  0.122 -0.947  0.351 -0.833  0.552 -0.652  0.776 -0.496  0.912 -0.304  1.177 -0.292  1.183 -0.021
2#app#app13#app1333/2  -0.730 0.970  -0.730 1.078  -0.688 1.143  -0.581 1.143  -0.499 1.202  -0.423 1.278  -0.331 1.315  -0.224 1.315  -0.116 1.315  -0.009 1.315  0.098 1.315  0.131 1.241  0.137 1.136  0.213 1.061  0.289 0.985  0.304 0.883  0.304 0.776  0.304 0.669  0.304 0.562  0.304 0.455  0.304 0.347  0.304 0.240  0.304 0.133  0.304 0.026  0.304 -0.081  0.304 -0.189  0.304 -0.296  0.304 -0.403  0.231 -0.480  0.156 -0.556  0.131 -0.653  0.126 -0.758  0.050 -0.834  -0.026 -0.910  -0.041 -1.011  -0.056 -1.112  -0.131 -1.188  -0.207 -1.264  -0.312 -1.270  -0.386 -1.237  -0.386 -1.130  -0.310 -1.098  -0.206 -1.090  -0.130 -1.015  -0.055 -0.939  0.047 -0.925  0.154 -0.925  0.261 -0.925  0.304 -0.860  0.304 -0.753
2#app#app13#app1333/:  -0.176 1.739  -0.176 1.666  -0.176 1.593  -0.176 1.520  -0.176 1.447  -0.171 1.375  -0.161 1.303  -0.152 1.230  -0.143 1.158  -0.134 1.086  -0.125 1.013  -0.116 0.941  -0.107 0.869  -0.098 0.796  -0.089 0.724  -0.080 0.652  -0.071 0.580  -0.062 0.507  -0.053 0.435  -0.044 0.363  -0.035 0.290  -0.026 0.218  -0.017 0.146  -0.008 0.073  0.001 0.001  0.010 -0.071  0.019 -0.144  0.028 -0.216  0.037 -0.288  0.046 -0.360  0.055 -0.433  0.064 -0.505  0.073 -0.577  0.083 -0.650  0.092 -0.722  0.101 -0.794  0.110 -0.867  0.119 -0.939  0.128 -1.011  0.137 -1.083  0.146 -1.156  0.147 -1.229  0.147 -1.301  0.147 -1.374  0.147 -1.447  0.147 -1.457  0.147 -1.385  0.147 -1.312  0.147 -1.239  0.147 -1.166
2#app#app13#app1333/1  -0.153 1.677  -0.153 1.602  -0.153 1.526  -0.153 1.451  -0.153 1.376  -0.153 1.300  -0.153 1.225  -0.153 1.150  -0.153 1.074  -0.153 0.999  -0.153 0.924  -0.144 0.857  -0.069 0.857  0.006 0.857  0.052 0.828  0.052 0.752  0.052 0.677  0.052 0.602  0.052 0.526  0.052 0.451  0.052 0.376  0.052 0.300  0.052 0.225  0.052 0.150  0.052 0.074  0.052 -0.001  0.052 -0.076  0.052 -0.151  0.052 -0.227  0.052 -0.302  0.052 -0.377  0.052 -0.453  0.052 -0.528  0.052 -0.603  0.052 -0.679  0.052 -0.754  0.052 -0.829  0.052 -0.905  0.052 -0.980  0.052 -1.055  0.052 -1.130  0.052 -1.206  0.052 -1.281  0.052 -1.356  0.052 -1.432  0.052 -1.507  0.052 -1.582  0.052 -1.549  0.052 -1.474  0.052 -1.398
