2#apa#apa14#app1421/j  0.365 0.763  0.266 0.861  0.340 0.888  0.365 0.774  0.422 0.649  0.484 0.524  0.490 0.387  0.490 0.248  0.490 0.109  0.508 -0.025  0.570 -0.150  0.632 -0.274  0.694 -0.398  0.741 -0.526  0.741 -0.665  0.697 -0.786  0.599 -0.884  0.501 -0.982  0.366 -0.993  0.242 -1.054  0.118 -1.116  0.019 -1.213  -0.079 -1.176  -0.194 -1.118  -0.333 -1.118  -0.472 -1.118  -0.582 -1.049  -0.698 -0.993  -0.744 -0.923  -0.706 -0.789  -0.668 -0.656  -0.630 -0.522  -0.591 -0.389  -0.553 -0.255  -0.515 -0.122  -0.477 0.012  -0.439 0.146  -0.401 0.279  -0.362 0.413  -0.324 0.546  -0.286 0.680  -0.248 0.813  -0.210 0.947  -0.172 1.080  -0.133 1.214  -0.095 1.347  -0.057 1.481  -0.019 1.615  -0.012 1.752  -0.137 1.766
2#apa#apa14#app1421/o  -0.670 1.264  -0.670 1.129  -0.670 0.995  -0.670 0.861  -0.670 0.726  -0.670 0.592  -0.670 0.458  -0.670 0.323  -0.670 0.189  -0.670 0.054  -0.670 -0.080  -0.670 -0.214  -0.670 -0.349  -0.670 -0.483  -0.670 -0.617  -0.635 -0.737  -0.540 -0.832  -0.445 -0.927  -0.350 -1.022  -0.255 -1.117  -0.160 -1.212  -0.065 -1.307  0.030 -1.313  0.125 -1.218  0.220 -1.123  0.314 -1.028  0.389 -0.916  0.463 -0.804  0.538 -0.693  0.612 -0.581  0.687 -0.469  0.762 -0.357  0.836 -0.245  0.911 -0.134  0.968 -0.017  0.968 0.118  0.968 0.252  0.894 0.355  0.799 0.450  0.704 0.545  0.609 0.640  0.514 0.735  0.419 0.830  0.324 0.925  0.194 0.936  0.059 0.936  -0.057 0.979  -0.152 1.074  -0.247 1.169  -0.342 1.264
2#apa#apa14#app1421/u  -0.827 1.065  -0.699 1.065  -0.570 1.065  -0.520 0.987  -0.520 0.859  -0.540 0.739  -0.630 0.649  -0.721 0.558  -0.811 0.467  -0.827 0.345  -0.827 0.217  -0.827 0.089  -0.827 -0.039  -0.824 -0.167  -0.767 -0.281  -0.710 -0.396  -0.652 -0.511  -0.595 -0.625  -0.538 -0.740  -0.431 -0.775  -0.303 -0.775  -0.213 -0.813  -0.213 -0.942  -0.213 -1.070  -0.097 -1.081  0.031 -1.081  0.159 -1.081  0.288 -1.081  0.411 -1.070  0.502 -0.980  0.592 -0.889  0.683 -0.798  0.707 -0.680  0.707 -0.552  0.707 -0.424  0.707 -0.295  0.707 -0.167  0.707 -0.039  0.707 0.089  0.707 0.217  0.707 0.345  0.707 0.474  0.707 0.602  0.707 0.730  0.707 0.858  0.707 0.986  0.672 1.100  0.581 1.191  0.491 1.281  0.400 1.372
2#apa#apa14#app1421/r  -0.951 0.973  -0.854 0.876  -0.757 0.779  -0.666 0.679  -0.666 0.541  -0.666 0.404  -0.666 0.266  -0.666 0.129  -0.626 -0.002  -0.583 -0.132  -0.539 -0.263  -0.496 -0.393  -0.452 -0.524  -0.409 -0.654  -0.359 -0.782  -0.297 -0.905  -0.236 -1.028  -0.174 -1.150  -0.113 -1.273  0.005 -1.306  0.142 -1.306  0.189 -1.215  0.189 -1.078  0.108 -1.021  -0.030 -1.021  -0.096 -0.950  -0.096 -0.813  -0.096 -0.675  -0.096 -0.538  -0.096 -0.400  -0.096 -0.263  -0.096 -0.126  -0.096 0.012  -0.096 0.149  -0.096 0.287  -0.081 0.418  0.016 0.515  0.113 0.612  0.210 0.710  0.307 0.807  0.404 0.904  0.513 0.973  0.651 0.973  0.788 0.973  0.926 0.973  1.063 0.973  1.201 0.973  1.338 0.973  1.475 0.973  1.613 0.973
2#apa#apa14#app1421/n  -1.389 1.016  -1.257 0.950  -1.124 0.883  -0.992 0.817  -0.864 0.745  -0.760 0.640  -0.655 0.536  -0.627 0.399  -0.627 0.251  -0.627 0.103  -0.613 -0.042  -0.566 -0.183  -0.519 -0.323  -0.472 -0.463  -0.426 -0.604  -0.379 -0.744  -0.372 -0.891  -0.372 -0.996  -0.372 -0.848  -0.372 -0.700  -0.372 -0.552  -0.372 -0.404  -0.372 -0.256  -0.372 -0.108  -0.372 0.040  -0.372 0.188  -0.372 0.336  -0.372 0.484  -0.285 0.595  -0.180 0.700  -0.058 0.762  0.090 0.762  0.238 0.762  0.386 0.762  0.455 0.633  0.521 0.500  0.587 0.368  0.658 0.239  0.763 0.135  0.868 0.030  0.972 -0.075  1.077 -0.179  1.153 -0.296  1.153 -0.444  1.190 -0.583  1.256 -0.716  1.322 -0.848  1.388 -0.980  1.407 -1.124  1.407 -1.272
2#apa#apa14#app1421/e  -0.881 0.669  -0.881 0.480  -0.813 0.359  -0.623 0.359  -0.474 0.262  -0.341 0.129  -0.207 -0.005  -0.073 -0.139  0.065 -0.261  0.254 -0.261  0.443 -0.261  0.632 -0.261  0.776 -0.152  0.910 -0.019  1.044 0.115  1.177 0.249  1.264 0.382  1.130 0.516  0.997 0.650  0.863 0.783  0.729 0.917  0.566 0.978  0.377 0.978  0.188 0.978  0.013 0.943  -0.121 0.809  -0.254 0.676  -0.421 0.589  -0.590 0.504  -0.760 0.420  -0.934 0.359  -1.123 0.359  -1.191 0.237  -1.191 0.048  -1.191 -0.141  -1.133 -0.299  -0.976 -0.404  -0.818 -0.509  -0.661 -0.614  -0.504 -0.719  -0.346 -0.823  -0.175 -0.880  0.014 -0.880  0.204 -0.880  0.391 -0.891  0.570 -0.951  0.750 -1.011  0.929 -1.070  1.108 -1.130  1.288 -1.190
2#apa#apa14#app1421/y  -0.710 1.062  -0.710 0.952  -0.710 0.841  -0.710 0.731  -0.678 0.634  -0.600 0.556  -0.578 0.454  -0.520 0.402  -0.413 0.419  -0.315 0.468  -0.216 0.517  -0.150 0.599  -0.100 0.698  -0.051 0.797  -0.050 0.907  -0.050 1.018  -0.050 1.128  -0.050 1.150  -0.073 1.062  -0.182 1.061  -0.182 0.951  -0.182 0.840  -0.152 0.737  -0.102 0.638  -0.053 0.539  -0.003 0.441  0.046 0.342  0.095 0.243  0.145 0.144  0.194 0.045  0.235 -0.057  0.270 -0.162  0.305 -0.267  0.340 -0.371  0.346 -0.481  0.346 -0.591  0.346 -0.702  0.358 -0.810  0.407 -0.908  0.456 -1.007  0.478 -1.112  0.478 -1.223  0.478 -1.333  0.478 -1.444  0.478 -1.554  0.392 -1.578  0.346 -1.643  0.303 -1.711  0.192 -1.711  0.082 -1.711
2#apa#apa14#app1421/s  0.036 1.056  0.036 1.182  0.020 1.291  -0.105 1.291  -0.221 1.269  -0.310 1.181  -0.399 1.092  -0.487 1.003  -0.576 0.915  -0.664 0.826  -0.788 0.821  -0.904 0.813  -0.904 0.687  -0.904 0.562  -0.904 0.437  -0.864 0.352  -0.739 0.352  -0.614 0.352  -0.488 0.352  -0.371 0.320  -0.259 0.264  -0.146 0.208  -0.034 0.152  0.083 0.117  0.208 0.117  0.333 0.117  0.458 0.117  0.561 0.061  0.649 -0.027  0.738 -0.116  0.827 -0.205  0.915 -0.293  0.975 -0.393  0.975 -0.519  0.975 -0.644  0.975 -0.769  0.911 -0.855  0.799 -0.911  0.687 -0.967  0.575 -1.023  0.458 -1.058  0.333 -1.058  0.208 -1.058  0.082 -1.058  -0.043 -1.058  -0.168 -1.058  -0.293 -1.058  -0.419 -1.058  -0.544 -1.058  -0.669 -1.058
2#apa#apa14#app1421/h  -0.508 1.700  -0.639 1.700  -0.684 1.614  -0.684 1.484  -0.684 1.353  -0.684 1.223  -0.684 1.092  -0.684 0.962  -0.684 0.831  -0.684 0.701  -0.660 0.574  -0.619 0.450  -0.578 0.326  -0.537 0.202  -0.495 0.079  -0.454 -0.045  -0.413 -0.169  -0.371 -0.293  -0.333 -0.417  -0.333 -0.548  -0.333 -0.678  -0.333 -0.809  -0.331 -0.938  -0.238 -1.031  -0.157 -1.097  -0.157 -0.966  -0.157 -0.836  -0.157 -0.705  -0.157 -0.575  -0.157 -0.444  -0.157 -0.313  -0.121 -0.198  -0.029 -0.105  0.063 -0.013  0.156 0.079  0.270 0.118  0.401 0.118  0.531 0.118  0.662 0.118  0.771 0.068  0.864 -0.024  0.956 -0.116  1.048 -0.209  1.073 -0.329  1.073 -0.459  1.073 -0.590  1.073 -0.720  1.163 -0.761  1.294 -0.761  1.425 -0.761
2#apa#apa14#app1421/i  -0.230 0.130  -0.116 0.130  -0.002 0.130  0.039 0.029  0.075 -0.079  0.111 -0.187  0.147 -0.294  0.183 -0.402  0.219 -0.510  0.240 -0.621  0.240 -0.734  0.240 -0.848  0.240 -0.962  0.240 -1.076  0.240 -1.189  0.240 -1.303  0.240 -1.417  0.237 -1.498  0.220 -1.385  0.203 -1.273  0.186 -1.160  0.168 -1.048  0.151 -0.936  0.134 -0.823  0.116 -0.711  0.099 -0.598  0.082 -0.486  0.065 -0.373  0.047 -0.261  0.030 -0.149  0.013 -0.036  -0.005 0.076  -0.022 0.189  -0.039 0.301  -0.057 0.414  -0.074 0.526  -0.091 0.638  -0.108 0.751  -0.126 0.863  -0.143 0.976  -0.160 1.088  -0.178 1.201  -0.195 1.313  -0.212 1.425  -0.230 1.538  -0.309 1.619  -0.389 1.699  -0.472 1.774  -0.586 1.774  -0.700 1.774
2#apa#apa14#app1421/d  -0.089 1.677  -0.089 1.830  0.013 1.882  0.115 1.831  0.115 1.678  0.184 1.541  0.252 1.404  0.320 1.266  0.320 1.113  0.320 0.960  0.320 0.807  0.320 0.654  0.320 0.500  0.320 0.347  0.320 0.194  0.320 0.041  0.320 -0.112  0.320 -0.266  0.320 -0.419  0.320 -0.572  0.320 -0.725  0.320 -0.878  0.371 -0.980  0.524 -0.980  0.524 -0.827  0.524 -0.674  0.488 -0.535  0.380 -0.427  0.320 -0.299  0.308 -0.151  0.199 -0.042  0.081 0.042  -0.072 0.042  -0.225 0.042  -0.378 0.042  -0.522 0.018  -0.630 -0.090  -0.753 -0.163  -0.907 -0.163  -0.907 -0.316  -0.907 -0.469  -0.871 -0.607  -0.763 -0.715  -0.654 -0.824  -0.546 -0.932  -0.438 -1.040  -0.329 -1.149  -0.191 -1.185  -0.038 -1.185  0.115 -1.185
