1c#tos#f1#f1053060/a  -0.032 0.277  -0.032 0.067  -0.032 0.134  -0.032 0.344  -0.032 0.553  -0.102 0.693  -0.208 0.838  -0.347 0.908  -0.557 0.908  -0.648 0.744  -0.815 0.680  -0.931 0.506  -0.944 0.300  -0.944 0.091  -1.014 -0.089  -1.014 -0.299  -1.014 -0.508  -1.014 -0.718  -0.932 -0.846  -0.723 -0.846  -0.663 -0.696  -0.584 -0.565  -0.453 -0.487  -0.398 -0.300  -0.313 -0.167  -0.313 0.042  -0.267 0.206  -0.242 0.391  -0.242 0.600  -0.172 0.740  -0.131 0.908  -0.032 0.896  -0.032 0.687  -0.032 0.477  0.024 0.291  0.091 0.100  0.178 -0.035  0.249 -0.175  0.280 -0.379  0.336 -0.565  0.537 -0.615  0.728 -0.700  0.937 -0.705  1.146 -0.705  1.356 -0.705  1.533 -0.624  1.729 -0.565  1.895 -0.461  2.080 -0.409  2.142 -0.214
1c#tos#f1#f1053060/b  -0.736 2.041  -0.684 1.901  -0.595 1.757  -0.535 1.576  -0.383 1.474  -0.297 1.303  -0.248 1.124  -0.248 0.933  -0.248 0.742  -0.248 0.551  -0.248 0.360  -0.248 0.169  -0.248 -0.022  -0.248 -0.213  -0.248 -0.404  -0.248 -0.595  -0.258 -0.785  -0.305 -0.970  -0.318 -1.159  -0.366 -1.302  -0.441 -1.203  -0.409 -1.015  -0.378 -0.826  -0.347 -0.638  -0.315 -0.449  -0.284 -0.261  -0.252 -0.073  -0.415 -0.048  -0.388 0.030  -0.295 0.183  -0.153 0.300  0.038 0.300  0.158 0.415  0.329 0.469  0.514 0.509  0.705 0.509  0.866 0.479  0.878 0.300  0.935 0.167  0.935 -0.024  0.935 -0.215  0.935 -0.406  0.935 -0.597  0.822 -0.675  0.674 -0.754  0.556 -0.900  0.385 -0.985  0.203 -1.023  0.012 -1.023  -0.179 -1.023
1c#tos#f1#f1053060/c  0.088 0.885  0.088 0.988  0.088 1.092  0.088 1.195  0.018 1.228  -0.085 1.228  -0.189 1.228  -0.292 1.228  -0.356 1.164  -0.414 1.091  -0.462 1.035  -0.462 0.932  -0.518 0.885  -0.530 0.793  -0.530 0.690  -0.530 0.587  -0.530 0.483  -0.599 0.449  -0.599 0.345  -0.599 0.242  -0.599 0.138  -0.599 0.035  -0.599 -0.069  -0.599 -0.172  -0.599 -0.275  -0.587 -0.376  -0.541 -0.468  -0.524 -0.567  -0.467 -0.654  -0.409 -0.740  -0.341 -0.816  -0.244 -0.833  -0.141 -0.833  -0.037 -0.833  0.066 -0.833  0.169 -0.833  0.273 -0.833  0.376 -0.833  0.480 -0.833  0.583 -0.833  0.687 -0.833  0.765 -0.774  0.855 -0.724  0.952 -0.696  1.053 -0.691  1.110 -0.605  1.168 -0.519  1.255 -0.489  1.359 -0.489  1.462 -0.489
1c#tos#f1#f1053060/g  0.488 1.130  0.337 1.064  0.289 1.234  0.194 1.424  0.058 1.529  -0.110 1.480  -0.272 1.368  -0.426 1.213  -0.580 1.059  -0.642 0.867  -0.642 0.649  -0.632 0.432  -0.563 0.225  -0.459 0.066  -0.241 0.066  -0.090 0.132  0.048 0.235  0.139 0.398  0.156 0.599  0.222 0.802  0.222 0.708  0.222 0.490  0.249 0.278  0.289 0.069  0.289 -0.149  0.289 -0.367  0.289 -0.585  0.289 -0.803  0.289 -1.021  0.222 -1.212  0.200 -1.420  0.027 -1.531  -0.124 -1.597  -0.343 -1.597  -0.489 -1.508  -0.614 -1.359  -0.709 -1.180  -0.709 -0.962  -0.671 -0.750  -0.585 -0.551  -0.411 -0.423  -0.215 -0.333  -0.033 -0.226  0.089 -0.069  0.278 -0.001  0.482 0.062  0.699 0.066  0.917 0.066  1.069 -0.001  1.220 -0.067
1c#tos#f1#f1053060/l  -0.305 1.413  -0.362 1.355  -0.420 1.298  -0.355 1.291  -0.273 1.291  -0.192 1.291  -0.115 1.283  -0.062 1.224  -0.035 1.170  0.046 1.170  0.059 1.102  0.087 1.049  0.120 1.001  0.120 0.919  0.120 0.838  0.120 0.757  0.120 0.676  0.120 0.595  0.120 0.514  0.120 0.433  0.091 0.381  0.059 0.331  0.059 0.250  0.059 0.169  0.059 0.088  0.059 0.007  0.059 -0.074  0.059 -0.155  0.059 -0.236  0.059 -0.317  0.059 -0.399  -0.001 -0.419  -0.001 -0.500  -0.001 -0.581  -0.001 -0.662  0.013 -0.740  0.049 -0.812  0.059 -0.891  0.059 -0.972  0.059 -1.053  0.059 -1.134  0.059 -1.216  0.059 -1.297  0.059 -1.378  0.059 -1.459  0.059 -1.540  -0.001 -1.561  -0.021 -1.500  -0.102 -1.500  -0.183 -1.500
1c#tos#f1#f1053060/m  -1.076 0.701  -1.257 0.642  -1.134 0.577  -1.072 0.441  -1.014 0.255  -1.014 0.060  -1.000 -0.132  -0.952 -0.316  -0.952 -0.511  -0.952 -0.707  -0.952 -0.902  -0.952 -0.848  -0.952 -0.653  -0.952 -0.458  -0.924 -0.267  -0.828 -0.139  -0.828 0.056  -0.784 0.220  -0.597 0.267  -0.443 0.355  -0.309 0.453  -0.113 0.453  0.082 0.453  0.102 0.278  0.102 0.083  0.104 -0.112  0.164 -0.298  0.164 -0.493  0.164 -0.637  0.164 -0.442  0.164 -0.247  0.164 -0.051  0.288 0.067  0.288 0.263  0.350 0.396  0.426 0.515  0.536 0.600  0.630 0.701  0.815 0.655  0.944 0.577  1.032 0.470  1.057 0.280  1.094 0.094  1.094 -0.101  1.254 -0.211  1.298 -0.388  1.404 -0.511  1.572 -0.539  1.767 -0.539  1.838 -0.415
1c#tos#f1#f1053060/o  -0.244 0.816  -0.406 0.816  -0.456 0.704  -0.588 0.675  -0.668 0.592  -0.701 0.463  -0.809 0.409  -0.812 0.248  -0.880 0.114  -0.880 -0.048  -0.880 -0.210  -0.880 -0.372  -0.880 -0.534  -0.860 -0.688  -0.795 -0.823  -0.681 -0.938  -0.564 -1.016  -0.450 -1.095  -0.304 -1.163  -0.142 -1.163  0.020 -1.163  0.182 -1.163  0.336 -1.111  0.466 -1.022  0.605 -0.999  0.690 -0.880  0.746 -0.775  0.802 -0.668  0.817 -0.521  0.817 -0.359  0.923 -0.262  0.958 -0.122  0.958 0.040  0.958 0.202  0.958 0.364  0.824 0.392  0.803 0.534  0.712 0.604  0.676 0.730  0.600 0.816  0.438 0.816  0.322 0.863  0.255 0.958  0.093 0.958  -0.069 0.958  -0.231 0.958  -0.314 0.878  -0.414 0.816  -0.526 0.766  -0.526 0.604
1c#tos#f1#f1053060/p  -0.508 1.463  -0.508 1.244  -0.487 1.046  -0.318 0.976  -0.229 0.796  -0.175 0.632  -0.175 0.413  -0.175 0.194  -0.175 -0.025  -0.175 -0.244  -0.175 -0.463  -0.175 -0.682  -0.175 -0.901  -0.175 -1.120  -0.175 -1.339  -0.175 -1.558  -0.247 -1.705  -0.341 -1.829  -0.331 -1.695  -0.318 -1.477  -0.305 -1.258  -0.292 -1.040  -0.280 -0.821  -0.267 -0.603  -0.254 -0.384  -0.241 -0.166  -0.228 0.053  -0.215 0.271  -0.202 0.490  -0.190 0.709  -0.177 0.927  -0.358 0.962  -0.356 1.046  -0.137 1.046  0.082 1.046  0.301 1.046  0.520 1.046  0.715 0.989  0.895 0.893  0.992 0.715  0.992 0.496  0.984 0.279  0.909 0.078  0.826 -0.058  0.753 -0.204  0.534 -0.204  0.325 -0.214  0.180 -0.288  -0.039 -0.288  -0.258 -0.288
1c#tos#f1#f1053060/w  -1.336 0.655  -1.445 0.627  -1.444 0.492  -1.391 0.409  -1.321 0.299  -1.282 0.172  -1.228 0.048  -1.145 -0.038  -1.043 -0.126  -1.010 -0.249  -0.956 -0.331  -0.956 -0.468  -0.850 -0.538  -0.721 -0.522  -0.685 -0.400  -0.576 -0.373  -0.576 -0.236  -0.467 -0.209  -0.467 -0.072  -0.365 0.001  -0.304 0.079  -0.304 0.216  -0.250 0.298  -0.145 0.329  -0.033 0.306  0.051 0.221  0.130 0.164  0.192 0.058  0.279 -0.023  0.347 -0.133  0.431 -0.229  0.510 -0.316  0.510 -0.453  0.510 -0.589  0.642 -0.594  0.724 -0.648  0.782 -0.569  0.857 -0.464  0.918 -0.346  0.945 -0.214  1.018 -0.123  1.096 -0.019  1.107 0.115  1.183 0.204  1.248 0.316  1.270 0.448  1.304 0.564  1.379 0.654  1.379 0.790  1.488 0.818
1c#tos#f1#f1053060/y  -1.051 0.799  -1.190 0.707  -1.235 0.605  -1.117 0.488  -0.978 0.422  -0.829 0.348  -0.750 0.260  -0.652 0.163  -0.523 0.090  -0.415 -0.009  -0.288 -0.115  -0.157 -0.214  -0.001 -0.257  0.080 -0.342  0.167 -0.385  0.241 -0.236  0.316 -0.087  0.390 0.062  0.465 0.211  0.539 0.360  0.614 0.508  0.688 0.657  0.762 0.806  0.837 0.955  0.911 1.104  0.984 1.252  0.834 1.235  0.834 1.069  0.801 0.916  0.759 0.767  0.704 0.614  0.651 0.465  0.587 0.326  0.469 0.208  0.349 0.130  0.274 -0.019  0.231 -0.175  0.171 -0.317  0.080 -0.446  0.022 -0.598  -0.109 -0.691  -0.222 -0.758  -0.267 -0.906  -0.380 -1.027  -0.455 -1.176  -0.537 -1.313  -0.599 -1.417  -0.599 -1.583  -0.659 -1.690  -0.750 -1.765
1c#tos#f1#f1053060/z  -0.885 1.041  -0.966 0.894  -1.072 0.775  -0.891 0.775  -0.709 0.775  -0.528 0.775  -0.347 0.775  -0.165 0.775  -0.051 0.841  0.131 0.841  0.312 0.841  0.493 0.841  0.647 0.907  0.801 0.975  0.781 0.908  0.612 0.857  0.515 0.761  0.387 0.708  0.315 0.598  0.171 0.553  0.115 0.385  -0.026 0.301  -0.154 0.172  -0.285 0.084  -0.352 -0.030  -0.404 -0.159  -0.552 -0.193  -0.618 -0.359  -0.618 -0.540  -0.781 -0.559  -0.920 -0.660  -0.955 -0.825  -0.952 -0.877  -0.786 -0.892  -0.605 -0.892  -0.490 -0.959  -0.309 -0.959  -0.127 -0.959  0.054 -0.959  0.235 -0.959  0.417 -0.959  0.598 -0.959  0.779 -0.959  0.960 -0.959  1.048 -0.865  1.048 -0.684  1.048 -0.503  1.048 -0.321  1.048 -0.140  0.982 -0.025
