1c#app#app31#app3185/w  -0.445 0.159  -0.477 0.323  -0.609 0.386  -0.609 0.580  -0.483 0.649  -0.334 0.760  -0.282 0.933  -0.282 1.128  -0.445 1.159  -0.498 1.302  -0.609 1.218  -0.527 1.057  -0.445 0.896  -0.445 0.701  -0.445 0.507  -0.445 0.312  -0.445 0.117  -0.497 -0.056  -0.609 -0.204  -0.609 -0.399  -0.609 -0.594  -0.702 -0.750  -0.772 -0.915  -0.772 -1.110  -0.772 -0.988  -0.637 -0.849  -0.609 -0.666  -0.526 -0.491  -0.430 -0.330  -0.282 -0.284  -0.227 -0.112  -0.089 -0.033  0.044 -0.173  0.044 -0.367  0.044 -0.562  0.115 -0.727  0.271 -0.820  0.466 -0.820  0.623 -0.730  0.761 -0.592  0.899 -0.455  1.036 -0.317  1.174 -0.179  1.312 -0.042  1.350 0.137  1.472 0.281  1.513 0.459  1.516 0.319  1.654 0.182  1.676 -0.004
1c#app#app31#app3185/a  -0.351 -0.268  -0.351 -0.077  -0.351 0.114  -0.351 0.305  -0.351 0.496  -0.351 0.687  -0.398 0.831  -0.589 0.831  -0.626 0.676  -0.697 0.556  -0.888 0.556  -0.901 0.378  -0.967 0.214  -1.103 0.079  -1.175 -0.082  -1.175 -0.273  -1.175 -0.464  -1.064 -0.543  -0.881 -0.524  -0.746 -0.388  -0.604 -0.268  -0.413 -0.268  -0.351 -0.140  -0.319 0.038  -0.184 0.173  -0.049 0.308  0.086 0.444  0.199 0.588  0.199 0.779  0.338 0.831  0.473 0.887  0.473 1.078  0.473 0.942  0.473 0.751  0.473 0.560  0.473 0.369  0.473 0.178  0.473 -0.013  0.473 -0.204  0.473 -0.395  0.504 -0.574  0.639 -0.709  0.748 -0.855  0.748 -1.046  0.892 -1.093  1.083 -1.093  1.274 -1.093  1.465 -1.093  1.656 -1.093  1.847 -1.093
1c#app#app31#app3185/s  0.291 1.100  0.291 1.000  0.291 0.900  0.291 0.916  0.291 1.016  0.280 1.111  0.209 1.182  0.139 1.253  0.068 1.323  -0.024 1.342  -0.124 1.342  -0.193 1.311  -0.193 1.211  -0.193 1.111  -0.193 1.011  -0.193 0.911  -0.193 0.811  -0.193 0.711  -0.193 0.611  -0.193 0.511  -0.193 0.412  -0.193 0.312  -0.193 0.212  -0.178 0.118  -0.107 0.047  -0.036 -0.023  0.034 -0.094  0.105 -0.164  0.176 -0.235  0.246 -0.306  0.291 -0.387  0.291 -0.487  0.291 -0.587  0.291 -0.687  0.291 -0.787  0.291 -0.886  0.291 -0.986  0.281 -1.076  0.181 -1.076  0.081 -1.076  0.049 -1.144  0.049 -1.244  0.023 -1.318  -0.077 -1.318  -0.177 -1.318  -0.277 -1.318  -0.376 -1.318  -0.476 -1.318  -0.576 -1.318  -0.676 -1.318
1c#app#app31#app3185/o  1.010 0.732  0.840 0.732  0.670 0.732  0.499 0.732  0.329 0.732  0.159 0.732  -0.012 0.732  -0.182 0.732  -0.341 0.713  -0.417 0.561  -0.493 0.409  -0.596 0.276  -0.718 0.157  -0.888 0.157  -0.906 0.005  -0.906 -0.165  -0.984 -0.303  -1.098 -0.426  -1.098 -0.597  -1.098 -0.767  -1.002 -0.897  -0.881 -1.018  -0.761 -1.138  -0.609 -1.184  -0.439 -1.184  -0.269 -1.184  -0.098 -1.184  0.066 -1.170  0.187 -1.050  0.333 -0.993  0.484 -0.944  0.604 -0.824  0.725 -0.704  0.819 -0.572  0.819 -0.402  0.819 -0.232  0.819 -0.061  0.819 0.109  0.819 0.280  0.819 0.450  0.762 0.597  0.642 0.717  0.478 0.732  0.435 0.860  0.329 0.924  0.158 0.924  -0.012 0.924  -0.140 0.881  -0.161 0.732  -0.331 0.732
1c#app#app31#app3185/n  -0.725 0.126  -0.725 0.255  -0.777 0.332  -0.906 0.332  -1.005 0.258  -1.096 0.166  -1.137 0.054  -1.137 -0.075  -1.137 -0.205  -1.090 -0.287  -0.961 -0.287  -0.931 -0.187  -0.908 -0.081  -0.779 -0.081  -0.691 -0.014  -0.633 0.102  -0.575 0.218  -0.518 0.333  -0.518 0.463  -0.480 0.576  -0.389 0.668  -0.291 0.744  -0.162 0.744  -0.054 0.796  0.038 0.888  0.141 0.951  0.270 0.951  0.372 0.885  0.464 0.794  0.513 0.685  0.513 0.555  0.513 0.426  0.513 0.297  0.513 0.167  0.513 0.038  0.513 -0.091  0.513 -0.221  0.557 -0.331  0.649 -0.423  0.719 -0.523  0.719 -0.652  0.719 -0.782  0.723 -0.909  0.814 -1.001  0.906 -1.092  1.027 -1.112  1.156 -1.112  1.286 -1.112  1.415 -1.112  1.544 -1.112
1c#app#app31#app3185/l  0.136 1.142  0.136 1.216  0.120 1.284  0.068 1.337  0.015 1.389  -0.057 1.395  -0.117 1.380  -0.117 1.306  -0.117 1.231  -0.117 1.157  -0.117 1.082  -0.112 1.010  -0.059 0.957  -0.007 0.905  0.010 0.837  0.010 0.762  0.010 0.688  0.010 0.613  0.010 0.539  0.010 0.464  0.010 0.390  0.010 0.316  0.010 0.241  0.010 0.167  0.010 0.092  0.010 0.018  0.010 -0.057  0.010 -0.131  0.010 -0.206  0.010 -0.280  0.010 -0.355  0.010 -0.429  0.010 -0.504  0.010 -0.578  0.010 -0.653  0.010 -0.727  0.010 -0.801  0.010 -0.876  0.010 -0.950  0.010 -1.025  0.010 -1.099  0.010 -1.174  0.010 -1.248  0.010 -1.323  0.010 -1.397  0.010 -1.472  0.010 -1.546  0.010 -1.621  0.010 -1.695  0.010 -1.770
1c#app#app31#app3185/y  -0.891 0.203  -0.874 0.358  -0.736 0.391  -0.736 0.563  -0.736 0.734  -0.819 0.823  -0.891 0.923  -0.891 0.861  -0.891 0.689  -0.784 0.561  -0.736 0.410  -0.616 0.358  -0.581 0.222  -0.473 0.095  -0.426 -0.058  -0.339 -0.194  -0.196 -0.262  -0.051 -0.198  0.070 -0.076  0.192 0.045  0.313 0.166  0.434 0.288  0.556 0.409  0.677 0.531  0.799 0.652  0.920 0.773  1.041 0.895  1.070 0.978  0.898 0.978  0.814 0.890  0.814 0.718  0.728 0.582  0.659 0.439  0.595 0.294  0.504 0.160  0.504 -0.012  0.470 -0.176  0.393 -0.329  0.298 -0.469  0.194 -0.598  0.194 -0.770  0.153 -0.924  0.039 -1.049  0.019 -1.212  -0.102 -1.334  -0.223 -1.455  -0.271 -1.607  -0.392 -1.657  -0.426 -1.795  -0.271 -1.812
1c#app#app31#app3185/t  0.388 1.362  0.388 1.530  0.222 1.531  0.220 1.696  0.220 1.535  0.220 1.367  0.220 1.200  0.220 1.032  0.220 0.865  0.220 0.698  0.220 0.530  0.220 0.363  0.110 0.241  0.051 0.097  0.051 -0.070  0.051 -0.238  0.051 -0.405  0.051 -0.572  -0.005 -0.717  -0.117 -0.838  -0.117 -1.005  -0.117 -1.173  -0.117 -1.340  -0.117 -1.507  -0.119 -1.669  -0.185 -1.515  -0.251 -1.361  -0.317 -1.207  -0.383 -1.053  -0.448 -0.899  -0.514 -0.745  -0.580 -0.592  -0.682 -0.492  -0.792 -0.434  -0.792 -0.266  -0.792 -0.099  -0.753 0.052  -0.634 0.171  -0.516 0.289  -0.374 0.351  -0.206 0.351  -0.039 0.351  0.129 0.351  0.296 0.351  0.463 0.351  0.631 0.351  0.798 0.351  0.966 0.351  1.113 0.301  1.231 0.182
1c#app#app31#app3185/o  0.159 1.013  0.159 0.858  0.075 0.788  -0.080 0.788  -0.234 0.788  -0.290 0.689  -0.319 0.564  -0.474 0.564  -0.595 0.483  -0.704 0.374  -0.813 0.264  -0.923 0.155  -0.964 0.017  -0.964 -0.137  -0.964 -0.292  -0.964 -0.446  -0.934 -0.589  -0.825 -0.698  -0.716 -0.807  -0.606 -0.917  -0.497 -1.026  -0.388 -1.135  -0.274 -1.233  -0.119 -1.233  0.036 -1.233  0.181 -1.211  0.290 -1.102  0.406 -1.009  0.561 -1.009  0.684 -0.933  0.793 -0.824  0.833 -0.686  0.833 -0.531  0.833 -0.376  0.833 -0.222  0.833 -0.067  0.833 0.087  0.833 0.242  0.833 0.397  0.833 0.551  0.733 0.664  0.623 0.773  0.514 0.883  0.405 0.992  0.259 1.013  0.104 1.013  -0.051 1.013  -0.205 1.013  -0.290 0.943  -0.290 0.788
1c#app#app31#app3185/o  0.071 0.370  -0.063 0.370  -0.198 0.370  -0.333 0.370  -0.468 0.370  -0.602 0.370  -0.737 0.370  -0.872 0.370  -1.007 0.370  -1.141 0.370  -1.236 0.330  -1.236 0.195  -1.236 0.061  -1.236 -0.074  -1.236 -0.209  -1.236 -0.344  -1.173 -0.415  -1.038 -0.415  -0.904 -0.415  -0.769 -0.415  -0.657 -0.471  -0.562 -0.566  -0.467 -0.661  -0.338 -0.676  -0.203 -0.676  -0.069 -0.676  0.066 -0.676  0.201 -0.676  0.335 -0.676  0.470 -0.676  0.602 -0.669  0.697 -0.574  0.792 -0.478  0.901 -0.415  1.036 -0.415  1.117 -0.362  1.117 -0.227  1.117 -0.093  1.117 0.042  1.117 0.177  1.117 0.312  1.063 0.424  0.968 0.519  0.873 0.615  0.856 0.742  0.856 0.877  0.737 0.893  0.602 0.893  0.594 1.020  0.594 1.154
1c#app#app31#app3185/p  0.258 1.053  0.258 0.861  0.234 0.693  0.138 0.597  0.138 0.405  0.084 0.226  0.018 0.049  0.018 -0.143  -0.066 -0.315  -0.102 -0.498  -0.130 -0.684  -0.216 -0.855  -0.222 -1.046  -0.227 -1.237  -0.313 -1.409  -0.399 -1.580  -0.462 -1.758  -0.582 -1.823  -0.582 -1.631  -0.582 -1.439  -0.582 -1.247  -0.582 -1.055  -0.582 -0.863  -0.582 -0.671  -0.569 -0.482  -0.483 -0.310  -0.398 -0.138  -0.342 0.041  -0.336 0.232  -0.275 0.414  -0.211 0.595  -0.125 0.766  -0.003 0.912  0.091 1.078  0.215 1.212  0.388 1.293  0.580 1.293  0.762 1.269  0.858 1.117  0.858 0.925  0.858 0.733  0.751 0.586  0.615 0.450  0.498 0.306  0.399 0.213  0.257 0.093  0.138 0.167  0.138 0.359  0.138 0.551  0.258 0.693
