1c#tos#f3#f3014059/c  0.726 0.326  0.613 0.333  0.613 0.454  0.613 0.574  0.613 0.695  0.613 0.815  0.571 0.894  0.499 0.943  0.499 1.063  0.386 1.092  0.272 1.121  0.152 1.121  0.031 1.121  -0.089 1.121  -0.201 1.083  -0.239 0.986  -0.322 0.941  -0.437 0.903  -0.494 0.808  -0.522 0.692  -0.522 0.572  -0.522 0.451  -0.559 0.346  -0.640 0.258  -0.678 0.144  -0.716 0.029  -0.749 -0.086  -0.749 -0.206  -0.749 -0.327  -0.749 -0.447  -0.707 -0.525  -0.645 -0.620  -0.636 -0.739  -0.600 -0.844  -0.515 -0.929  -0.418 -0.995  -0.303 -1.033  -0.183 -1.036  -0.063 -1.036  0.058 -1.036  0.178 -1.036  0.299 -1.036  0.419 -1.036  0.540 -1.036  0.630 -0.962  0.729 -0.898  0.841 -0.854  0.953 -0.809  1.038 -0.724  1.123 -0.638
1c#tos#f3#f3014059/d  0.395 2.131  0.321 2.024  0.342 1.931  0.342 1.751  0.342 1.572  0.342 1.392  0.342 1.213  0.342 1.033  0.342 0.853  0.346 0.674  0.382 0.498  0.395 0.320  0.395 0.141  0.395 -0.039  0.395 -0.218  0.395 -0.398  0.397 -0.575  0.448 -0.704  0.448 -0.883  0.458 -1.052  0.395 -1.022  0.348 -0.853  0.342 -0.675  0.342 -0.496  0.282 -0.336  0.172 -0.194  0.076 -0.085  0.049 0.090  -0.021 0.221  -0.136 0.286  -0.221 0.380  -0.348 0.433  -0.527 0.433  -0.677 0.365  -0.772 0.214  -0.826 0.088  -0.826 -0.092  -0.826 -0.271  -0.826 -0.451  -0.826 -0.631  -0.826 -0.810  -0.739 -0.936  -0.666 -1.050  -0.489 -1.052  -0.309 -1.052  -0.183 -0.999  -0.028 -0.942  0.089 -0.840  0.182 -0.755  0.235 -0.628
1c#tos#f3#f3014059/e  -0.572 0.320  -0.699 0.256  -0.813 0.130  -0.773 0.130  -0.597 0.067  -0.406 0.067  -0.216 0.067  -0.025 0.067  0.166 0.067  0.357 0.067  0.497 0.188  0.686 0.193  0.871 0.220  1.005 0.347  1.103 0.510  1.198 0.630  1.071 0.694  0.945 0.807  0.786 0.858  0.608 0.889  0.480 0.952  0.289 0.952  0.099 0.952  -0.025 0.875  -0.183 0.769  -0.309 0.699  -0.500 0.699  -0.649 0.585  -0.801 0.470  -0.936 0.335  -0.952 0.151  -0.991 -0.016  -1.078 -0.152  -1.078 -0.343  -1.078 -0.534  -1.010 -0.697  -0.952 -0.863  -0.778 -0.881  -0.589 -0.893  -0.404 -0.939  -0.214 -0.944  -0.023 -0.944  0.168 -0.944  0.344 -0.881  0.535 -0.881  0.726 -0.881  0.916 -0.881  1.091 -0.826  1.260 -0.755  1.451 -0.755
1c#tos#f3#f3014059/g  0.381 1.012  0.089 1.090  -0.110 1.290  -0.402 1.368  -0.639 1.225  -0.758 1.020  -0.813 0.705  -0.829 0.384  -0.758 0.130  -0.549 0.015  -0.225 0.007  0.091 -0.056  0.239 0.121  0.381 0.302  0.411 0.514  0.452 0.737  0.474 0.798  0.544 0.654  0.358 0.389  0.172 0.123  -0.025 -0.056  -0.278 -0.127  -0.402 -0.328  -0.615 -0.534  -0.822 -0.690  -0.900 -0.940  -0.831 -1.195  -0.687 -1.434  -0.427 -1.526  -0.113 -1.551  0.182 -1.480  0.435 -1.408  0.595 -1.202  0.737 -1.020  0.737 -0.696  0.472 -0.554  0.219 -0.483  -0.030 -0.576  -0.331 -0.697  -0.589 -0.666  -0.374 -0.424  -0.159 -0.181  0.056 0.062  0.271 0.305  0.485 0.548  0.700 0.791  0.915 1.033  0.859 1.154  0.673 0.962  0.737 1.083
1c#tos#f3#f3014059/h  -0.558 1.677  -0.615 1.603  -0.615 1.472  -0.615 1.341  -0.615 1.210  -0.615 1.079  -0.615 0.948  -0.615 0.817  -0.615 0.686  -0.615 0.556  -0.579 0.430  -0.558 0.303  -0.558 0.172  -0.558 0.041  -0.558 -0.090  -0.558 -0.221  -0.558 -0.352  -0.558 -0.483  -0.558 -0.613  -0.558 -0.744  -0.558 -0.875  -0.501 -0.949  -0.444 -0.977  -0.444 -0.846  -0.444 -0.715  -0.444 -0.584  -0.425 -0.459  -0.352 -0.350  -0.273 -0.283  -0.225 -0.163  -0.138 -0.067  -0.045 0.025  0.071 0.085  0.164 0.178  0.287 0.196  0.418 0.196  0.540 0.159  0.667 0.139  0.774 0.082  0.881 0.025  1.009 0.011  1.094 -0.068  1.131 -0.183  1.151 -0.306  1.203 -0.409  1.312 -0.481  1.321 -0.607  1.321 -0.738  1.321 -0.869  1.321 -1.000
1c#tos#f3#f3014059/i  0.207 0.306  0.072 0.306  -0.064 0.306  -0.088 0.195  -0.088 0.060  -0.088 -0.076  -0.088 -0.211  -0.088 -0.347  -0.088 -0.483  -0.088 -0.618  -0.088 -0.754  -0.088 -0.889  -0.088 -1.025  -0.088 -1.160  -0.088 -1.296  -0.088 -1.431  -0.088 -1.567  -0.027 -1.677  -0.012 -1.573  -0.009 -1.438  -0.006 -1.302  -0.002 -1.167  0.001 -1.031  0.004 -0.896  0.007 -0.760  0.010 -0.625  0.013 -0.489  0.016 -0.354  0.019 -0.218  0.022 -0.083  0.025 0.053  0.028 0.188  0.031 0.324  0.034 0.459  0.038 0.595  0.041 0.730  0.044 0.866  0.047 1.001  0.050 1.137  0.053 1.272  0.056 1.408  0.059 1.543  -0.056 1.563  -0.162 1.533  -0.147 1.407  -0.026 1.347  0.109 1.341  0.219 1.306  0.262 1.178  0.281 1.045
1c#tos#f3#f3014059/j  0.152 1.760  0.051 1.760  0.043 1.667  0.128 1.651  0.152 1.574  0.152 1.472  0.164 1.372  0.184 1.273  0.204 1.174  0.224 1.074  0.243 0.975  0.263 0.876  0.283 0.776  0.303 0.677  0.280 0.613  0.207 0.585  0.207 0.484  0.207 0.383  0.207 0.281  0.207 0.180  0.207 0.079  0.207 -0.022  0.207 -0.124  0.207 -0.225  0.207 -0.326  0.207 -0.428  0.207 -0.529  0.236 -0.618  0.261 -0.709  0.264 -0.807  0.316 -0.857  0.316 -0.958  0.283 -1.026  0.181 -1.026  0.135 -0.971  0.033 -0.971  -0.067 -0.973  -0.114 -1.026  -0.216 -1.026  -0.308 -1.003  -0.395 -0.970  -0.440 -0.880  -0.531 -0.862  -0.621 -0.845  -0.667 -0.754  -0.667 -0.653  -0.755 -0.627  -0.831 -0.573  -0.831 -0.472  -0.886 -0.425
1c#tos#f3#f3014059/k  -0.625 1.925  -0.700 1.824  -0.562 1.666  -0.562 1.427  -0.562 1.189  -0.562 0.950  -0.562 0.712  -0.562 0.473  -0.526 0.238  -0.500 0.002  -0.500 -0.237  -0.500 -0.476  -0.500 -0.714  -0.500 -0.953  -0.437 -1.129  -0.409 -1.339  -0.301 -1.149  -0.216 -0.926  -0.132 -0.703  -0.047 -0.480  0.038 -0.257  0.123 -0.034  0.208 0.189  0.293 0.412  0.378 0.635  0.463 0.858  0.548 1.081  0.623 1.298  0.514 1.127  0.384 0.927  0.379 0.690  0.350 0.456  0.274 0.237  0.131 0.046  -0.076 -0.052  -0.200 -0.251  -0.248 -0.482  -0.321 -0.649  -0.226 -0.538  -0.035 -0.394  0.094 -0.272  -0.013 -0.413  0.112 -0.460  0.225 -0.586  0.442 -0.655  0.615 -0.769  0.752 -0.958  0.954 -1.061  1.160 -1.151  1.321 -1.277
1c#tos#f3#f3014059/m  -0.924 1.175  -1.060 1.116  -0.983 1.045  -0.983 0.850  -0.949 0.661  -0.924 0.470  -0.924 0.275  -0.924 0.081  -0.924 -0.114  -0.865 -0.295  -0.865 -0.490  -0.865 -0.685  -0.865 -0.879  -0.862 -1.042  -0.814 -0.853  -0.774 -0.673  -0.689 -0.513  -0.630 -0.332  -0.630 -0.138  -0.594 0.051  -0.513 0.184  -0.495 0.371  -0.340 0.467  -0.148 0.464  0.012 0.356  0.075 0.188  0.157 0.012  0.251 -0.116  0.251 -0.310  0.288 -0.501  0.310 -0.693  0.310 -0.523  0.310 -0.328  0.310 -0.134  0.312 0.060  0.474 0.168  0.486 0.356  0.508 0.529  0.679 0.588  0.874 0.588  1.007 0.512  1.133 0.408  1.250 0.330  1.250 0.136  1.287 -0.053  1.309 -0.244  1.309 -0.439  1.426 -0.516  1.485 -0.687  1.485 -0.882
1c#tos#f3#f3014059/o  0.011 0.589  -0.149 0.589  -0.174 0.723  -0.174 0.883  -0.258 0.958  -0.418 0.958  -0.454 0.835  -0.609 0.827  -0.667 0.681  -0.667 0.521  -0.705 0.385  -0.790 0.278  -0.790 0.118  -0.790 -0.042  -0.891 -0.139  -0.913 -0.285  -0.913 -0.445  -0.913 -0.605  -0.913 -0.764  -0.851 -0.863  -0.781 -0.952  -0.621 -0.952  -0.547 -1.071  -0.389 -1.075  -0.229 -1.075  -0.069 -1.075  0.091 -1.075  0.250 -1.075  0.397 -1.051  0.486 -0.918  0.598 -0.807  0.731 -0.718  0.847 -0.608  0.960 -0.495  0.997 -0.351  1.004 -0.192  1.054 -0.041  1.059 0.118  1.059 0.278  1.035 0.428  0.997 0.572  0.915 0.650  0.762 0.676  0.633 0.767  0.502 0.835  0.342 0.835  0.182 0.835  0.073 0.785  -0.076 0.774  -0.235 0.774
1c#tos#f3#f3014059/r  -0.035 1.451  -0.180 1.451  -0.326 1.451  -0.430 1.410  -0.410 1.273  -0.351 1.152  -0.351 1.007  -0.351 0.862  -0.351 0.717  -0.351 0.572  -0.351 0.427  -0.351 0.281  -0.351 0.136  -0.351 -0.009  -0.351 -0.154  -0.351 -0.299  -0.351 -0.444  -0.330 -0.586  -0.284 -0.724  -0.272 -0.867  -0.272 -1.012  -0.272 -1.157  -0.272 -1.302  -0.272 -1.447  -0.272 -1.592  -0.272 -1.517  -0.272 -1.372  -0.212 -1.252  -0.193 -1.115  -0.193 -0.969  -0.193 -0.824  -0.192 -0.680  -0.090 -0.577  -0.035 -0.454  0.025 -0.323  0.090 -0.194  0.194 -0.128  0.263 -0.005  0.289 0.135  0.335 0.273  0.407 0.394  0.461 0.503  0.606 0.503  0.675 0.580  0.675 0.725  0.805 0.740  0.950 0.740  1.095 0.740  1.240 0.740  1.385 0.740
