1d#app#app31#app3165/{  0.954 0.955  0.856 1.059  0.804 1.150  0.661 1.152  0.613 1.247  0.468 1.247  0.324 1.247  0.180 1.247  0.048 1.219  -0.068 1.150  -0.185 1.084  -0.315 1.051  -0.379 0.922  -0.412 0.785  -0.509 0.738  -0.509 0.594  -0.412 0.547  -0.348 0.467  -0.236 0.389  -0.100 0.369  0.025 0.323  0.148 0.272  0.292 0.272  0.369 0.204  0.466 0.157  0.421 0.032  0.369 -0.091  0.258 -0.132  0.156 -0.234  0.044 -0.313  -0.100 -0.313  -0.207 -0.402  -0.309 -0.504  -0.452 -0.508  -0.570 -0.570  -0.700 -0.606  -0.565 -0.606  -0.420 -0.606  -0.412 -0.741  -0.412 -0.885  -0.412 -1.030  -0.412 -1.174  -0.293 -1.212  -0.185 -1.305  -0.056 -1.369  0.085 -1.386  0.174 -1.441  0.275 -1.484  0.420 -1.484  0.564 -1.484
1d#app#app31#app3165/#  0.360 1.415  0.193 1.150  0.054 0.776  -0.210 0.442  -0.306 0.033  -0.473 -0.232  -0.640 -0.595  -0.806 -0.958  -0.973 -1.320  -0.900 -1.432  -0.715 -1.042  -0.529 -0.652  -0.344 -0.263  -0.158 0.127  0.027 0.517  0.213 0.906  0.399 1.296  0.584 1.686  0.693 1.737  0.616 1.338  0.527 0.943  0.527 0.511  0.451 0.098  0.360 -0.313  0.360 -0.744  0.476 -1.149  0.678 -1.417  0.357 -1.172  0.008 -0.918  -0.341 -0.665  -0.690 -0.411  -1.040 -0.157  -1.039 0.182  -0.685 0.370  -0.273 0.416  0.159 0.416  0.591 0.416  1.022 0.416  0.632 0.251  0.233 0.085  -0.165 -0.081  -0.563 -0.247  -0.962 -0.413  -0.806 -0.497  -0.492 -0.260  -0.131 -0.084  0.300 -0.084  0.732 -0.084  1.164 -0.084  1.526 -0.251
1d#app#app31#app3165/'  0.454 1.351  0.377 1.351  0.300 1.351  0.222 1.351  0.145 1.351  0.068 1.351  -0.009 1.351  -0.086 1.351  -0.086 1.274  -0.086 1.197  -0.086 1.119  -0.086 1.042  -0.086 0.965  -0.086 0.888  -0.086 0.811  -0.086 0.733  -0.086 0.656  -0.086 0.579  -0.086 0.502  -0.086 0.425  -0.086 0.347  -0.086 0.270  -0.086 0.193  -0.086 0.116  -0.086 0.039  -0.086 -0.039  -0.086 -0.116  -0.086 -0.193  -0.086 -0.270  -0.086 -0.347  -0.086 -0.425  -0.086 -0.502  -0.086 -0.579  -0.086 -0.656  -0.086 -0.733  -0.086 -0.811  -0.086 -0.888  -0.086 -0.965  -0.086 -1.042  -0.086 -1.119  -0.086 -1.197  -0.086 -1.274  -0.086 -1.351  -0.009 -1.351  0.068 -1.351  0.145 -1.351  0.222 -1.351  0.300 -1.351  0.377 -1.351  0.454 -1.351
1d#app#app31#app3165/}  -0.288 1.525  -0.278 1.417  -0.160 1.417  -0.051 1.395  0.032 1.312  0.147 1.304  0.231 1.221  0.341 1.202  0.459 1.202  0.464 1.089  0.452 0.976  0.369 0.893  0.356 0.780  0.249 0.769  0.235 0.665  0.141 0.641  0.107 0.558  0.002 0.526  -0.082 0.442  -0.165 0.359  -0.248 0.276  -0.350 0.236  -0.396 0.164  -0.396 0.046  -0.303 0.021  -0.185 0.021  -0.067 0.021  0.046 0.009  0.129 -0.075  0.070 -0.158  -0.013 -0.242  -0.073 -0.335  -0.030 -0.409  0.034 -0.463  0.034 -0.581  0.109 -0.624  0.141 -0.710  0.209 -0.799  0.249 -0.901  0.249 -1.019  0.190 -1.113  0.107 -1.196  0.023 -1.279  -0.060 -1.363  -0.173 -1.376  -0.183 -1.483  -0.297 -1.493  -0.381 -1.576  -0.493 -1.591  -0.503 -1.698
1d#app#app31#app3165/~  -0.866 -0.157  -0.866 -0.263  -0.909 -0.327  -1.016 -0.327  -1.037 -0.413  -1.059 -0.498  -1.166 -0.498  -1.208 -0.433  -1.208 -0.326  -1.208 -0.220  -1.164 -0.157  -1.057 -0.157  -0.976 -0.095  -0.900 -0.020  -0.866 0.073  -0.866 0.180  -0.764 0.185  -0.658 0.185  -0.551 0.185  -0.525 0.266  -0.508 0.356  -0.401 0.356  -0.354 0.296  -0.354 0.189  -0.251 0.185  -0.183 0.146  -0.183 0.039  -0.102 0.014  -0.000 0.002  0.075 -0.074  0.151 -0.149  0.255 -0.157  0.362 -0.157  0.468 -0.157  0.553 -0.103  0.628 -0.027  0.718 0.014  0.825 0.014  0.932 0.014  1.038 0.014  1.145 0.014  1.232 0.064  1.307 0.139  1.395 0.185  1.502 0.185  1.608 0.185  1.694 0.206  1.694 0.313  1.758 0.356  1.865 0.356
1d#app#app31#app3165/~  -0.692 -0.319  -0.692 -0.212  -0.692 -0.104  -0.692 0.004  -0.762 0.041  -0.869 0.041  -0.872 0.146  -0.904 0.222  -1.012 0.222  -1.053 0.155  -1.053 0.047  -1.155 0.041  -1.233 0.012  -1.233 -0.095  -1.188 -0.094  -1.112 -0.018  -1.028 0.041  -0.921 0.041  -0.830 0.083  -0.754 0.159  -0.672 0.222  -0.565 0.222  -0.457 0.222  -0.349 0.222  -0.242 0.222  -0.151 0.205  -0.151 0.098  -0.099 0.041  0.009 0.041  0.116 0.041  0.210 0.028  0.210 -0.080  0.259 -0.139  0.367 -0.139  0.474 -0.139  0.582 -0.139  0.690 -0.139  0.797 -0.139  0.905 -0.139  1.013 -0.139  1.120 -0.139  1.228 -0.139  1.336 -0.139  1.443 -0.139  1.551 -0.139  1.657 -0.136  1.733 -0.059  1.810 0.017  1.907 0.041  2.015 0.041
1d#app#app31#app3165/;  0.538 0.801  0.538 0.900  0.469 0.930  0.409 0.969  0.403 1.065  0.333 1.135  0.280 1.164  0.280 1.066  0.188 1.059  0.213 1.059  0.280 1.027  0.282 0.930  0.381 0.930  0.459 0.880  0.529 0.810  0.624 0.801  0.639 0.753  0.590 0.667  0.541 0.581  0.492 0.496  0.443 0.410  0.394 0.324  0.345 0.238  0.296 0.153  0.247 0.067  0.198 -0.019  0.151 -0.105  0.151 -0.204  0.078 -0.230  -0.020 -0.230  -0.119 -0.230  -0.218 -0.230  -0.236 -0.311  -0.272 -0.395  -0.342 -0.465  -0.364 -0.554  -0.390 -0.642  -0.460 -0.712  -0.493 -0.797  -0.508 -0.890  -0.578 -0.959  -0.622 -1.040  -0.627 -1.137  -0.697 -1.207  -0.751 -1.283  -0.751 -1.382  -0.751 -1.480  -0.811 -1.519  -0.880 -1.549  -0.880 -1.648
1d#app#app31#app3165/$  0.643 0.920  0.504 1.020  0.305 1.121  0.065 1.121  -0.174 1.115  -0.363 0.991  -0.363 0.751  -0.360 0.511  -0.262 0.294  -0.148 0.101  -0.009 -0.091  0.133 -0.281  0.245 -0.493  0.415 -0.663  0.442 -0.892  0.343 -1.091  0.103 -1.093  -0.137 -1.093  -0.377 -1.093  -0.602 -1.056  -0.766 -0.942  -0.777 -0.892  -0.638 -0.701  -0.505 -0.501  -0.372 -0.301  -0.238 -0.101  -0.105 0.099  0.028 0.299  0.161 0.499  0.295 0.699  0.428 0.899  0.561 1.099  0.695 1.299  0.828 1.499  0.738 1.416  0.595 1.226  0.456 1.034  0.372 0.811  0.278 0.591  0.191 0.367  0.104 0.144  0.021 -0.079  -0.026 -0.315  -0.089 -0.545  -0.197 -0.760  -0.304 -0.975  -0.369 -1.199  -0.539 -1.369  -0.566 -1.598  -0.665 -1.798
1d#app#app31#app3165/'  0.752 -0.423  0.877 -0.423  1.002 -0.423  1.128 -0.423  1.253 -0.423  1.289 -0.334  1.289 -0.209  1.289 -0.084  1.289 0.041  1.238 0.114  1.112 0.114  0.987 0.114  0.862 0.114  0.752 0.129  0.752 0.255  0.752 0.380  0.752 0.505  0.752 0.630  0.648 0.652  0.523 0.652  0.398 0.652  0.273 0.652  0.148 0.652  0.023 0.652  -0.102 0.652  -0.228 0.652  -0.322 0.621  -0.322 0.496  -0.322 0.371  -0.322 0.246  -0.322 0.121  -0.441 0.114  -0.566 0.114  -0.692 0.114  -0.817 0.114  -0.860 0.032  -0.860 -0.093  -0.860 -0.218  -0.860 -0.343  -0.905 -0.423  -1.030 -0.423  -1.155 -0.423  -1.281 -0.423  -1.391 -0.429  -1.302 -0.518  -1.214 -0.606  -1.125 -0.695  -1.037 -0.783  -0.948 -0.872  -0.860 -0.960
1d#app#app31#app3165/@  0.488 0.115  0.339 0.227  0.078 0.227  -0.136 0.115  -0.255 -0.068  -0.295 -0.312  -0.054 -0.332  0.190 -0.294  0.309 -0.108  0.376 0.085  0.259 0.232  0.043 0.339  0.041 0.081  0.177 -0.108  0.326 -0.220  0.586 -0.220  0.711 -0.085  0.823 0.064  0.935 0.213  0.935 0.473  0.935 0.734  0.838 0.897  0.729 1.104  0.522 1.233  0.261 1.233  0.045 1.126  -0.205 1.099  -0.428 1.009  -0.638 0.889  -0.822 0.705  -1.039 0.600  -1.192 0.390  -1.346 0.181  -1.412 -0.052  -1.412 -0.312  -1.412 -0.573  -1.295 -0.785  -1.111 -0.969  -0.887 -1.098  -0.636 -1.150  -0.388 -1.226  -0.128 -1.226  0.086 -1.114  0.323 -1.056  0.507 -0.872  0.691 -0.688  0.856 -0.490  0.935 -0.248  0.928 0.010  0.823 0.227
1d#app#app31#app3165/:  0.652 0.680  0.577 0.754  0.502 0.829  0.428 0.904  0.353 0.979  0.313 1.068  0.313 1.173  0.313 1.279  0.285 1.356  0.179 1.356  0.074 1.356  -0.025 1.349  -0.025 1.244  -0.025 1.138  -0.025 1.032  -0.025 0.927  -0.025 0.821  -0.025 0.715  0.024 0.630  0.099 0.555  0.174 0.481  0.249 0.406  0.307 0.329  0.260 0.234  0.213 0.140  0.165 0.045  0.118 -0.049  0.071 -0.144  0.024 -0.238  -0.024 -0.333  -0.071 -0.427  -0.118 -0.522  -0.165 -0.616  -0.213 -0.711  -0.260 -0.806  -0.307 -0.900  -0.354 -0.995  -0.363 -1.098  -0.363 -1.204  -0.363 -1.309  -0.363 -1.287  -0.363 -1.181  -0.363 -1.075  -0.363 -1.055  -0.363 -1.161  -0.363 -1.267  -0.342 -1.351  -0.236 -1.351  -0.131 -1.351  -0.025 -1.351
1d#app#app31#app3165/.  1.580 -0.815  1.517 -0.752  1.454 -0.688  1.390 -0.625  1.327 -0.562  1.263 -0.498  1.200 -0.435  1.136 -0.371  1.073 -0.308  1.009 -0.244  0.946 -0.181  0.883 -0.118  0.819 -0.054  0.756 0.009  0.692 0.073  0.629 0.136  0.565 0.200  0.502 0.263  0.439 0.326  0.375 0.390  0.312 0.453  0.230 0.472  0.140 0.472  0.050 0.472  -0.039 0.472  -0.129 0.472  -0.219 0.472  -0.309 0.472  -0.398 0.472  -0.488 0.472  -0.578 0.472  -0.667 0.472  -0.757 0.472  -0.847 0.472  -0.936 0.472  -0.995 0.441  -0.995 0.351  -0.995 0.261  -0.995 0.171  -0.995 0.082  -0.995 -0.008  -0.995 -0.098  -0.995 -0.187  -0.995 -0.277  -0.995 -0.367  -0.995 -0.456  -0.995 -0.546  -0.995 -0.636  -0.995 -0.726  -0.995 -0.815
