1c#tos#t2#t2032064/a  0.866 0.462  0.792 0.577  0.718 0.692  0.718 0.880  0.628 0.979  0.456 1.019  0.289 1.083  0.110 1.127  -0.078 1.127  -0.267 1.127  -0.363 1.007  -0.509 0.905  -0.616 0.820  -0.676 0.641  -0.760 0.528  -0.883 0.462  -0.924 0.314  -0.982 0.183  -1.051 0.023  -1.055 -0.163  -1.109 -0.330  -1.129 -0.510  -1.129 -0.699  -1.063 -0.860  -0.982 -0.972  -0.837 -1.016  -0.648 -1.016  -0.460 -1.014  -0.304 -0.917  -0.196 -0.771  -0.094 -0.646  0.085 -0.586  0.201 -0.502  0.239 -0.351  0.343 -0.214  0.443 -0.109  0.576 0.024  0.709 0.158  0.800 0.322  0.844 0.462  0.792 0.326  0.719 0.167  0.718 -0.021  0.718 -0.210  0.718 -0.399  0.644 -0.513  0.644 -0.702  0.718 -0.817  0.763 -0.987  0.866 -1.090
1c#tos#t2#t2032064/e  -0.829 0.062  -0.976 -0.015  -1.012 -0.085  -0.831 -0.085  -0.650 -0.085  -0.542 -0.011  -0.361 -0.011  -0.180 -0.011  -0.090 0.136  0.053 0.174  0.199 0.210  0.328 0.336  0.477 0.413  0.568 0.513  0.621 0.682  0.702 0.798  0.695 0.945  0.568 0.999  0.506 1.155  0.348 1.184  0.222 1.239  0.041 1.239  -0.141 1.239  -0.248 1.166  -0.314 1.051  -0.388 0.900  -0.461 0.792  -0.461 0.611  -0.461 0.430  -0.535 0.279  -0.573 0.136  -0.558 0.012  -0.535 -0.160  -0.535 -0.341  -0.535 -0.522  -0.513 -0.695  -0.388 -0.781  -0.314 -0.888  -0.221 -0.988  -0.094 -1.073  0.046 -1.115  0.154 -1.188  0.335 -1.188  0.516 -1.188  0.697 -1.188  0.878 -1.188  0.986 -1.115  1.150 -1.044  1.280 -0.918  1.378 -0.820
1c#tos#t2#t2032064/f  -0.816 -0.565  -0.852 -0.641  -0.693 -0.523  -0.540 -0.391  -0.394 -0.248  -0.256 -0.104  -0.094 0.016  0.047 0.157  0.177 0.296  0.336 0.387  0.406 0.577  0.581 0.678  0.591 0.879  0.671 1.053  0.725 1.244  0.792 1.403  0.872 1.561  0.669 1.565  0.461 1.565  0.294 1.525  0.224 1.362  0.119 1.214  0.108 1.011  0.068 0.843  0.028 0.676  -0.093 0.559  -0.099 0.354  -0.173 0.170  -0.173 -0.038  -0.293 -0.203  -0.334 -0.370  -0.414 -0.528  -0.454 -0.695  -0.494 -0.886  -0.535 -1.076  -0.575 -1.267  -0.575 -1.475  -0.454 -1.497  -0.304 -1.409  -0.173 -1.302  0.006 -1.215  0.052 -1.047  0.068 -0.856  0.032 -0.685  -0.012 -0.522  -0.093 -0.364  0.115 -0.364  0.317 -0.340  0.504 -0.283  0.631 -0.203
1c#tos#t2#t2032064/i  0.551 1.826  0.440 1.745  0.394 1.614  0.311 1.495  0.275 1.351  0.275 1.202  0.235 1.069  0.130 0.963  0.024 0.857  -0.082 0.752  -0.188 0.646  -0.293 0.540  -0.399 0.434  -0.505 0.329  -0.610 0.223  -0.716 0.117  -0.822 0.012  -0.941 -0.024  -0.820 -0.052  -0.693 0.003  -0.609 0.069  -0.505 0.114  -0.381 0.176  -0.260 0.261  -0.115 0.279  -0.034 0.390  0.116 0.390  0.118 0.445  0.109 0.305  0.099 0.159  -0.002 0.052  -0.002 -0.098  -0.057 -0.224  -0.112 -0.319  -0.112 -0.468  -0.112 -0.617  -0.112 -0.767  -0.155 -0.881  -0.112 -0.988  -0.087 -1.127  -0.002 -1.241  0.099 -1.323  0.248 -1.323  0.397 -1.323  0.547 -1.323  0.692 -1.287  0.772 -1.200  0.876 -1.136  1.023 -1.107  1.103 -0.991
1c#tos#t2#t2032064/j  0.661 1.880  0.614 1.742  0.568 1.603  0.472 1.458  0.348 1.320  0.225 1.182  0.101 1.044  -0.022 0.906  -0.145 0.768  -0.269 0.630  -0.383 0.528  -0.348 0.528  -0.183 0.575  -0.044 0.621  0.122 0.668  0.300 0.697  0.470 0.761  0.474 0.767  0.474 0.582  0.402 0.419  0.335 0.259  0.335 0.074  0.212 -0.061  0.148 -0.227  0.144 -0.412  0.012 -0.498  0.008 -0.679  -0.020 -0.852  -0.085 -1.010  -0.132 -1.176  -0.156 -1.337  -0.248 -1.430  -0.433 -1.430  -0.598 -1.410  -0.738 -1.365  -0.816 -1.212  -0.878 -1.053  -0.875 -0.871  -0.763 -0.781  -0.664 -0.647  -0.539 -0.544  -0.370 -0.503  -0.263 -0.358  -0.093 -0.319  0.068 -0.260  0.247 -0.218  0.339 -0.125  0.521 -0.122  0.662 -0.078  0.801 -0.031
1c#tos#t2#t2032064/l  -0.894 -1.194  -0.989 -1.302  -0.971 -1.255  -0.838 -1.208  -0.800 -1.057  -0.686 -0.958  -0.582 -0.861  -0.484 -0.737  -0.395 -0.607  -0.296 -0.506  -0.197 -0.409  -0.114 -0.279  -0.002 -0.167  0.107 -0.052  0.187 0.082  0.278 0.203  0.367 0.325  0.418 0.453  0.547 0.532  0.547 0.690  0.637 0.759  0.637 0.918  0.682 1.066  0.682 1.225  0.766 1.322  0.712 1.418  0.553 1.418  0.394 1.418  0.283 1.340  0.277 1.183  0.187 1.080  0.142 0.966  0.097 0.853  0.052 0.712  0.052 0.554  -0.025 0.472  -0.046 0.329  -0.083 0.186  -0.083 0.027  -0.128 -0.086  -0.147 -0.241  -0.173 -0.393  -0.173 -0.552  -0.173 -0.711  -0.173 -0.869  -0.173 -1.028  -0.128 -1.142  -0.040 -1.237  0.052 -1.305  0.142 -1.374
1c#tos#t2#t2032064/m  -1.789 0.005  -1.948 -0.035  -1.802 0.069  -1.641 0.194  -1.466 0.328  -1.258 0.414  -1.067 0.534  -0.840 0.568  -0.691 0.687  -0.486 0.738  -0.284 0.767  -0.081 0.762  -0.121 0.571  -0.162 0.357  -0.252 0.168  -0.365 0.049  -0.447 -0.155  -0.528 -0.305  -0.609 -0.479  -0.642 -0.622  -0.563 -0.442  -0.447 -0.280  -0.338 -0.157  -0.243 -0.020  -0.081 0.127  0.082 0.254  0.230 0.371  0.367 0.277  0.367 0.046  0.326 -0.145  0.204 -0.254  0.123 -0.404  0.068 -0.605  0.043 -0.401  0.204 -0.266  0.286 -0.092  0.408 0.051  0.587 0.127  0.751 0.249  0.982 0.249  1.018 0.053  1.018 -0.178  0.969 -0.361  0.977 -0.542  1.105 -0.645  1.288 -0.571  1.493 -0.489  1.628 -0.333  1.756 -0.198  1.872 -0.035
1c#tos#t2#t2032064/n  -1.507 0.179  -1.612 0.094  -1.559 0.231  -1.426 0.303  -1.296 0.425  -1.211 0.580  -1.033 0.605  -0.942 0.705  -0.803 0.758  -0.718 0.863  -0.544 0.892  -0.400 0.969  -0.209 0.969  -0.085 1.007  0.001 0.883  0.077 0.754  0.126 0.583  0.126 0.392  0.073 0.223  0.021 0.084  -0.042 -0.052  -0.137 -0.180  -0.137 -0.372  -0.186 -0.551  -0.267 -0.664  -0.295 -0.827  -0.348 -0.784  -0.298 -0.614  -0.243 -0.477  -0.198 -0.304  -0.085 -0.190  -0.022 -0.027  0.073 0.105  0.191 0.179  0.360 0.231  0.551 0.231  0.653 0.142  0.758 0.056  0.758 -0.135  0.662 -0.286  0.653 -0.474  0.653 -0.665  0.686 -0.822  0.825 -0.875  1.016 -0.875  1.207 -0.875  1.355 -0.770  1.476 -0.660  1.601 -0.560  1.706 -0.401
1c#tos#t2#t2032064/r  -0.125 1.492  -0.260 1.492  -0.321 1.418  -0.347 1.309  -0.347 1.174  -0.347 1.039  -0.347 0.904  -0.347 0.769  -0.347 0.634  -0.347 0.499  -0.347 0.364  -0.347 0.229  -0.347 0.094  -0.347 -0.040  -0.347 -0.175  -0.394 -0.299  -0.420 -0.428  -0.465 -0.544  -0.560 -0.640  -0.568 -0.771  -0.642 -0.876  -0.710 -0.942  -0.715 -1.072  -0.715 -1.207  -0.685 -1.163  -0.642 -1.071  -0.636 -0.942  -0.521 -0.895  -0.425 -0.799  -0.336 -0.700  -0.276 -0.579  -0.144 -0.573  -0.125 -0.457  -0.052 -0.353  0.082 -0.352  0.182 -0.266  0.265 -0.162  0.333 -0.049  0.454 0.011  0.574 0.072  0.678 0.156  0.779 0.238  0.890 0.295  1.006 0.361  1.127 0.422  1.253 0.459  1.388 0.459  1.523 0.459  1.645 0.472  1.719 0.533
1c#tos#t2#t2032064/v  -1.393 -0.465  -1.433 -0.578  -1.562 -0.601  -1.555 -0.634  -1.435 -0.591  -1.372 -0.465  -1.333 -0.351  -1.224 -0.266  -1.104 -0.200  -0.999 -0.107  -0.944 0.012  -0.824 0.103  -0.717 0.211  -0.631 0.310  -0.517 0.410  -0.435 0.495  -0.336 0.549  -0.229 0.475  -0.210 0.327  -0.210 0.175  -0.156 0.044  -0.153 -0.107  -0.153 -0.259  -0.153 -0.412  -0.111 -0.522  -0.041 -0.604  0.016 -0.682  0.059 -0.556  0.170 -0.459  0.258 -0.336  0.372 -0.260  0.410 -0.117  0.482 -0.023  0.523 0.123  0.579 0.219  0.635 0.315  0.692 0.444  0.795 0.492  0.835 0.605  0.917 0.647  0.917 0.495  0.917 0.342  0.938 0.211  1.016 0.112  1.163 0.098  1.309 0.125  1.368 0.241  1.490 0.277  1.614 0.362  1.762 0.380
1c#tos#t2#t2032064/x  -1.252 0.298  -1.428 0.250  -1.428 0.336  -1.311 0.511  -1.175 0.637  -1.129 0.828  -0.939 0.925  -0.822 1.061  -0.656 1.002  -0.491 0.944  -0.415 0.752  -0.326 0.592  -0.254 0.440  -0.078 0.347  -0.001 0.185  0.107 -0.005  0.156 -0.208  0.274 -0.315  0.332 -0.515  0.460 -0.651  0.508 -0.855  0.595 -0.992  0.743 -1.068  0.802 -1.220  0.686 -1.114  0.692 -0.890  0.697 -0.666  0.703 -0.442  0.709 -0.218  0.714 0.006  0.720 0.230  0.726 0.453  0.732 0.677  0.737 0.901  0.738 1.120  0.567 1.022  0.508 0.856  0.354 0.731  0.274 0.574  0.271 0.351  0.188 0.143  0.141 -0.069  -0.017 -0.227  -0.057 -0.430  -0.196 -0.580  -0.254 -0.794  -0.397 -0.959  -0.531 -1.135  -0.548 -1.355  -0.430 -1.462
