1d#tos#f2#f2004062/#  -0.987 0.881  -1.290 0.622  -0.918 0.570  -0.508 0.570  -0.097 0.570  0.313 0.570  0.723 0.570  1.091 0.674  1.220 0.690  0.825 0.578  0.430 0.467  0.035 0.356  -0.360 0.244  -0.734 0.097  -1.048 -0.145  -0.898 -0.260  -0.488 -0.260  -0.078 -0.260  0.333 -0.260  0.737 -0.208  1.135 -0.156  1.211 0.043  0.875 0.278  0.539 0.513  0.203 0.749  -0.134 0.984  -0.520 1.044  -0.520 0.974  -0.520 0.564  -0.520 0.153  -0.520 -0.257  -0.572 -0.661  -0.572 -1.071  -0.572 -1.482  -0.548 -1.641  -0.416 -1.253  -0.284 -0.864  -0.152 -0.476  -0.020 -0.087  0.112 0.301  0.244 0.690  0.362 1.081  0.310 0.738  0.362 0.334  0.362 -0.076  0.362 -0.487  0.362 -0.897  0.362 -1.307  0.362 -1.718  0.413 -2.076
1d#tos#f2#f2004062/$  0.797 1.152  0.797 0.899  0.659 1.050  0.491 1.135  0.255 1.152  0.002 1.152  -0.136 1.005  -0.292 0.827  -0.327 0.589  -0.425 0.407  -0.292 0.287  -0.090 0.236  0.091 0.134  0.281 0.032  0.471 -0.070  0.593 -0.261  0.695 -0.451  0.695 -0.704  0.593 -0.894  0.407 -1.019  0.200 -1.146  -0.036 -1.213  -0.284 -1.241  -0.364 -1.190  -0.266 -1.028  -0.241 -0.777  -0.215 -0.525  -0.189 -0.273  -0.164 -0.022  -0.138 0.230  -0.112 0.482  -0.087 0.733  -0.061 0.985  -0.035 1.237  -0.100 1.406  -0.222 1.479  -0.222 1.226  -0.222 0.973  -0.222 0.720  -0.222 0.467  -0.222 0.214  -0.222 -0.039  -0.222 -0.292  -0.222 -0.545  -0.222 -0.798  -0.222 -1.051  -0.222 -1.304  -0.222 -1.557  -0.171 -1.802  -0.120 -2.004
1d#tos#f2#f2004062/'  0.038 1.384  0.038 1.292  -0.033 1.271  -0.098 1.226  -0.139 1.144  -0.181 1.061  -0.222 0.978  -0.263 0.896  -0.299 0.817  -0.207 0.817  -0.114 0.817  -0.076 0.870  -0.047 0.945  0.036 0.986  0.119 1.027  0.151 0.988  0.151 0.896  0.161 0.807  0.226 0.742  0.265 0.666  0.265 0.573  0.265 0.481  0.265 0.389  0.265 0.296  0.265 0.204  0.265 0.112  0.265 0.019  0.265 -0.073  0.265 -0.165  0.265 -0.258  0.265 -0.350  0.265 -0.442  0.265 -0.535  0.192 -0.582  0.110 -0.624  0.032 -0.670  -0.009 -0.753  -0.050 -0.835  -0.076 -0.922  -0.076 -1.014  -0.076 -1.106  -0.123 -1.184  -0.174 -1.261  -0.225 -1.338  -0.277 -1.415  -0.335 -1.486  -0.400 -1.551  -0.447 -1.630  -0.489 -1.712  -0.530 -1.795
1d#tos#f2#f2004062/(  0.520 1.492  0.461 1.433  0.402 1.375  0.325 1.361  0.266 1.302  0.208 1.244  0.161 1.176  0.115 1.106  0.076 1.035  0.043 0.985  -0.040 0.985  -0.114 0.976  -0.114 0.894  -0.114 0.811  -0.181 0.795  -0.241 0.771  -0.241 0.688  -0.241 0.605  -0.304 0.586  -0.304 0.503  -0.304 0.420  -0.304 0.337  -0.304 0.254  -0.304 0.171  -0.304 0.088  -0.304 0.005  -0.304 -0.078  -0.304 -0.161  -0.298 -0.243  -0.278 -0.323  -0.258 -0.404  -0.235 -0.483  -0.198 -0.558  -0.151 -0.625  -0.093 -0.684  -0.051 -0.749  -0.051 -0.832  -0.051 -0.915  0.008 -0.974  0.066 -1.032  0.107 -1.104  0.149 -1.172  0.228 -1.199  0.307 -1.225  0.330 -1.291  0.330 -1.374  0.360 -1.438  0.435 -1.475  0.509 -1.512  0.583 -1.549
1d#tos#f2#f2004062/)  -0.340 1.484  -0.340 1.405  -0.380 1.365  -0.459 1.364  -0.441 1.296  -0.369 1.260  -0.314 1.207  -0.269 1.140  -0.225 1.074  -0.149 1.067  -0.101 1.035  -0.065 0.970  -0.008 0.914  0.048 0.858  0.105 0.801  0.138 0.735  0.138 0.655  0.150 0.583  0.221 0.547  0.257 0.490  0.257 0.410  0.257 0.330  0.257 0.250  0.257 0.171  0.257 0.091  0.257 0.011  0.257 -0.069  0.257 -0.149  0.257 -0.228  0.257 -0.308  0.257 -0.388  0.257 -0.468  0.229 -0.541  0.198 -0.613  0.198 -0.693  0.198 -0.773  0.149 -0.833  0.093 -0.889  0.052 -0.957  0.018 -1.028  0.018 -1.108  0.018 -1.188  -0.041 -1.231  -0.112 -1.267  -0.183 -1.303  -0.232 -1.358  -0.258 -1.433  -0.287 -1.507  -0.343 -1.563  -0.399 -1.620
1d#tos#f2#f2004062/*  0.482 1.645  0.323 1.665  0.323 1.368  0.323 1.071  0.323 0.774  0.323 0.477  0.323 0.180  0.315 -0.115  0.244 -0.396  0.244 -0.693  0.165 -0.971  0.165 -1.268  0.286 -1.035  0.415 -0.768  0.543 -0.500  0.672 -0.232  0.801 0.035  0.930 0.303  1.059 0.571  1.188 0.838  0.914 0.853  0.721 0.644  0.603 0.383  0.365 0.249  0.122 0.097  -0.088 -0.113  -0.274 -0.341  -0.514 -0.483  -0.640 -0.698  -0.835 -0.875  -0.970 -1.049  -1.181 -1.123  -1.125 -0.831  -1.069 -0.539  -1.013 -0.247  -0.957 0.044  -0.901 0.336  -0.845 0.628  -0.789 0.919  -1.024 0.886  -0.857 0.694  -0.656 0.514  -0.406 0.383  -0.289 0.152  -0.033 0.001  0.139 -0.231  0.310 -0.469  0.484 -0.693  0.640 -0.910  0.719 -1.128
1d#tos#f2#f2004062/+  -0.639 0.716  -0.801 0.716  -0.904 0.598  -1.001 0.469  -1.058 0.342  -0.923 0.276  -0.761 0.276  -0.600 0.276  -0.438 0.276  -0.276 0.276  -0.114 0.276  0.048 0.276  0.153 0.219  0.283 0.188  0.445 0.188  0.607 0.188  0.681 0.100  0.843 0.100  0.914 0.151  0.831 0.290  0.748 0.428  0.665 0.567  0.581 0.706  0.498 0.845  0.413 0.980  0.251 0.980  0.089 0.980  -0.023 1.029  -0.023 1.121  -0.023 0.960  -0.023 0.798  -0.023 0.636  -0.023 0.474  -0.023 0.312  -0.023 0.150  -0.023 -0.011  -0.023 -0.173  -0.023 -0.335  -0.023 -0.497  -0.023 -0.659  -0.023 -0.821  -0.023 -0.982  -0.023 -1.144  -0.023 -1.306  -0.023 -1.468  -0.023 -1.630  -0.023 -1.791  -0.023 -1.953  -0.023 -2.115  -0.023 -2.277
1d#tos#f2#f2004062/,  0.711 1.501  0.659 1.449  0.608 1.397  0.556 1.346  0.504 1.294  0.461 1.239  0.461 1.166  0.461 1.093  0.461 1.019  0.461 0.946  0.461 0.873  0.461 0.800  0.461 0.727  0.461 0.654  0.461 0.581  0.461 0.508  0.461 0.434  0.461 0.361  0.461 0.288  0.436 0.226  0.384 0.174  0.332 0.122  0.281 0.070  0.229 0.019  0.182 -0.037  0.138 -0.096  0.095 -0.154  0.051 -0.213  0.007 -0.271  -0.037 -0.330  -0.081 -0.388  -0.125 -0.447  -0.170 -0.503  -0.231 -0.544  -0.292 -0.585  -0.353 -0.625  -0.414 -0.666  -0.475 -0.706  -0.536 -0.747  -0.582 -0.803  -0.628 -0.860  -0.673 -0.917  -0.719 -0.974  -0.765 -1.031  -0.810 -1.088  -0.856 -1.146  -0.902 -1.203  -0.947 -1.260  -0.993 -1.317  -1.039 -1.374
1d#tos#f2#f2004062/  -1.094 0.119  -1.169 0.119  -1.243 0.119  -1.290 0.091  -1.327 0.054  -1.402 0.054  -1.420 -0.002  -1.355 -0.011  -1.281 -0.011  -1.206 -0.011  -1.132 -0.011  -1.057 -0.011  -0.982 -0.011  -0.908 -0.011  -0.833 -0.011  -0.759 -0.011  -0.684 -0.011  -0.610 -0.011  -0.535 -0.011  -0.461 -0.011  -0.386 -0.011  -0.312 -0.011  -0.237 -0.011  -0.163 -0.011  -0.088 -0.011  -0.014 -0.011  0.061 -0.011  0.135 -0.011  0.210 -0.011  0.284 -0.011  0.359 -0.011  0.433 -0.011  0.508 -0.011  0.582 -0.011  0.657 -0.011  0.731 -0.011  0.806 -0.011  0.880 -0.011  0.955 -0.011  1.029 -0.011  1.104 -0.011  1.178 -0.011  1.253 -0.011  1.327 -0.011  1.402 -0.011  1.476 -0.011  1.551 -0.011  1.625 -0.011  1.700 -0.011  1.709 -0.077
1d#tos#f2#f2004062/:  0.157 1.448  0.124 1.383  0.076 1.320  0.052 1.225  0.029 1.131  -0.038 1.098  -0.038 1.116  0.052 1.123  0.132 1.083  0.157 0.995  0.157 0.898  0.157 0.800  0.061 0.798  0.027 0.862  0.027 0.959  0.027 1.057  0.030 0.962  0.033 0.865  0.036 0.767  0.038 0.670  0.041 0.572  0.044 0.475  0.047 0.377  0.050 0.280  0.053 0.183  0.056 0.085  0.059 -0.012  0.062 -0.110  0.065 -0.207  0.068 -0.305  0.071 -0.402  0.074 -0.500  0.077 -0.597  0.080 -0.695  0.083 -0.792  0.086 -0.890  0.089 -0.987  0.092 -1.084  0.066 -1.169  -0.012 -1.228  -0.090 -1.286  -0.168 -1.345  -0.265 -1.345  -0.298 -1.410  -0.330 -1.345  -0.363 -1.280  -0.266 -1.280  -0.233 -1.345  -0.233 -1.442  -0.298 -1.475
1d#tos#f2#f2004062/?  -0.260 0.751  -0.355 0.703  -0.383 0.590  -0.438 0.512  -0.504 0.565  -0.547 0.663  -0.547 0.778  -0.547 0.894  -0.477 0.985  -0.411 1.078  -0.307 1.095  -0.230 1.134  -0.114 1.134  0.001 1.128  0.113 1.100  0.221 1.061  0.327 1.026  0.409 0.944  0.458 0.877  0.496 0.799  0.554 0.713  0.554 0.597  0.554 0.481  0.551 0.367  0.458 0.308  0.402 0.216  0.320 0.134  0.238 0.052  0.171 -0.008  0.128 -0.106  0.028 -0.161  -0.020 -0.229  -0.063 -0.302  -0.113 -0.394  -0.116 -0.509  -0.116 -0.624  -0.068 -0.692  -0.068 -0.808  -0.020 -0.876  0.010 -0.988  0.041 -1.100  0.071 -1.212  0.102 -1.323  0.093 -1.417  -0.015 -1.450  -0.116 -1.465  -0.116 -1.581  -0.116 -1.697  -0.116 -1.813  -0.116 -1.929
