3#apb#apb05#app0561/9  0.595 0.335  0.683 0.490  0.760 0.651  0.823 0.818  0.864 0.993  0.843 1.167  0.713 1.281  0.536 1.277  0.359 1.256  0.199 1.172  0.040 1.088  -0.114 0.997  -0.265 0.899  -0.416 0.801  -0.554 0.686  -0.685 0.564  -0.805 0.433  -0.878 0.269  -0.951 0.104  -0.975 -0.073  -0.978 -0.251  -0.921 -0.421  -0.797 -0.527  -0.629 -0.592  -0.453 -0.561  -0.277 -0.524  -0.111 -0.459  0.048 -0.376  0.207 -0.292  0.343 -0.174  0.478 -0.056  0.598 0.077  0.708 0.220  0.804 0.371  0.750 0.388  0.627 0.260  0.515 0.119  0.404 -0.022  0.304 -0.172  0.207 -0.323  0.110 -0.475  0.014 -0.627  -0.074 -0.784  -0.163 -0.940  -0.251 -1.097  -0.328 -1.259  -0.405 -1.422  -0.469 -1.590  -0.518 -1.763  -0.510 -1.939
3#apb#apb05#app0561/0  0.428 0.904  0.421 1.034  0.301 1.094  0.187 1.023  0.073 0.951  -0.029 0.864  -0.128 0.773  -0.226 0.681  -0.325 0.590  -0.418 0.494  -0.498 0.385  -0.577 0.277  -0.657 0.168  -0.736 0.060  -0.798 -0.059  -0.859 -0.179  -0.919 -0.300  -0.972 -0.422  -0.996 -0.555  -1.020 -0.687  -1.003 -0.816  -0.956 -0.942  -0.869 -1.031  -0.748 -1.091  -0.628 -1.152  -0.501 -1.118  -0.373 -1.075  -0.246 -1.033  -0.121 -0.984  -0.008 -0.911  0.105 -0.838  0.218 -0.765  0.331 -0.692  0.433 -0.607  0.520 -0.505  0.608 -0.403  0.695 -0.301  0.780 -0.197  0.822 -0.069  0.865 0.058  0.907 0.186  0.935 0.316  0.935 0.450  0.935 0.585  0.884 0.705  0.814 0.820  0.745 0.936  0.650 1.031  0.555 1.126  0.460 1.221
3#apb#apb05#app0561/1  0.610 1.285  0.622 1.355  0.633 1.424  0.613 1.397  0.582 1.334  0.550 1.271  0.519 1.208  0.487 1.145  0.458 1.081  0.429 1.016  0.400 0.952  0.372 0.887  0.343 0.823  0.314 0.758  0.286 0.693  0.257 0.629  0.228 0.564  0.199 0.500  0.171 0.435  0.141 0.371  0.110 0.308  0.080 0.244  0.049 0.180  0.018 0.117  -0.012 0.053  -0.043 -0.010  -0.074 -0.074  -0.104 -0.138  -0.135 -0.201  -0.166 -0.265  -0.193 -0.330  -0.217 -0.396  -0.241 -0.463  -0.265 -0.529  -0.289 -0.596  -0.313 -0.662  -0.337 -0.729  -0.361 -0.795  -0.384 -0.861  -0.408 -0.928  -0.429 -0.995  -0.446 -1.064  -0.463 -1.132  -0.480 -1.201  -0.497 -1.270  -0.514 -1.338  -0.525 -1.407  -0.525 -1.478  -0.525 -1.549  -0.525 -1.619
3#apb#apb05#app0561/E  -0.207 0.462  -0.189 0.654  -0.108 0.826  -0.122 0.833  -0.210 0.662  -0.303 0.493  -0.401 0.326  -0.501 0.161  -0.601 -0.004  -0.714 -0.161  -0.827 -0.317  -0.937 -0.475  -1.030 -0.644  -1.127 -0.811  -1.188 -0.976  -1.011 -1.050  -0.820 -1.056  -0.627 -1.054  -0.435 -1.034  -0.243 -1.014  -0.051 -0.995  0.140 -0.971  0.330 -0.934  0.521 -0.922  0.595 -0.950  0.435 -0.843  0.275 -0.735  0.115 -0.627  -0.045 -0.519  -0.205 -0.411  -0.356 -0.293  -0.301 -0.139  -0.134 -0.056  0.048 0.008  0.225 0.084  0.413 0.125  0.603 0.156  0.796 0.171  0.730 0.295  0.607 0.444  0.484 0.592  0.360 0.741  0.233 0.886  0.314 1.039  0.470 1.153  0.640 1.242  0.817 1.317  0.996 1.391  1.178 1.451  1.369 1.480
3#apb#apb05#app0561/l  0.615 1.437  0.615 1.507  0.610 1.449  0.584 1.384  0.558 1.319  0.532 1.254  0.506 1.190  0.481 1.125  0.455 1.060  0.429 0.995  0.402 0.931  0.374 0.867  0.346 0.803  0.319 0.739  0.291 0.675  0.263 0.611  0.235 0.547  0.208 0.483  0.180 0.418  0.152 0.354  0.124 0.290  0.097 0.226  0.069 0.163  0.040 0.099  0.012 0.035  -0.017 -0.029  -0.045 -0.093  -0.073 -0.156  -0.102 -0.220  -0.130 -0.284  -0.158 -0.348  -0.187 -0.411  -0.215 -0.475  -0.245 -0.538  -0.275 -0.601  -0.305 -0.664  -0.335 -0.727  -0.364 -0.790  -0.394 -0.854  -0.424 -0.917  -0.448 -0.982  -0.468 -1.049  -0.487 -1.116  -0.507 -1.183  -0.527 -1.250  -0.547 -1.317  -0.562 -1.384  -0.562 -1.454  -0.562 -1.524  -0.562 -1.594
3#apb#apb05#app0561/C  0.758 0.832  0.737 0.743  0.711 0.622  0.684 0.502  0.659 0.381  0.643 0.259  0.626 0.136  0.633 0.021  0.730 0.092  0.802 0.191  0.861 0.299  0.900 0.416  0.904 0.535  0.879 0.655  0.831 0.769  0.757 0.860  0.650 0.921  0.538 0.951  0.416 0.929  0.295 0.907  0.181 0.865  0.076 0.801  -0.029 0.737  -0.135 0.673  -0.236 0.604  -0.327 0.520  -0.418 0.437  -0.509 0.353  -0.599 0.270  -0.663 0.165  -0.723 0.057  -0.782 -0.051  -0.842 -0.159  -0.884 -0.274  -0.915 -0.394  -0.946 -0.513  -0.977 -0.632  -0.941 -0.750  -0.905 -0.868  -0.869 -0.986  -0.772 -1.058  -0.669 -1.126  -0.565 -1.193  -0.446 -1.216  -0.323 -1.229  -0.201 -1.242  -0.079 -1.247  0.041 -1.217  0.161 -1.187  0.280 -1.157
3#apb#apb05#app0561/a  0.701 0.980  0.720 1.164  0.674 1.317  0.489 1.300  0.319 1.234  0.155 1.148  -0.009 1.062  -0.142 0.933  -0.270 0.799  -0.398 0.665  -0.527 0.531  -0.645 0.388  -0.754 0.238  -0.863 0.088  -0.972 -0.062  -1.065 -0.222  -1.158 -0.383  -1.243 -0.546  -1.270 -0.730  -1.254 -0.900  -1.114 -1.010  -0.929 -1.010  -0.745 -1.001  -0.566 -0.950  -0.388 -0.899  -0.221 -0.825  -0.078 -0.707  0.065 -0.589  0.203 -0.465  0.334 -0.334  0.465 -0.203  0.574 -0.056  0.661 0.108  0.748 0.272  0.797 0.451  0.844 0.631  0.871 0.805  0.871 0.620  0.871 0.434  0.729 0.353  0.552 0.297  0.447 0.169  0.388 -0.007  0.330 -0.183  0.293 -0.365  0.266 -0.548  0.242 -0.732  0.270 -0.915  0.320 -1.091  0.410 -1.253
3#apb#apb05#app0561/m  -1.082 0.542  -1.116 0.361  -1.157 0.182  -1.193 0.002  -1.227 -0.178  -1.253 -0.360  -1.311 -0.533  -1.337 -0.600  -1.249 -0.439  -1.158 -0.279  -1.063 -0.123  -0.947 0.020  -0.831 0.162  -0.713 0.303  -0.595 0.443  -0.470 0.577  -0.330 0.696  -0.181 0.803  -0.025 0.851  0.076 0.714  0.115 0.535  0.097 0.352  0.079 0.169  0.033 -0.009  -0.016 -0.186  -0.068 -0.362  -0.120 -0.538  -0.188 -0.709  -0.251 -0.786  -0.136 -0.642  -0.023 -0.497  0.089 -0.352  0.202 -0.207  0.314 -0.062  0.432 0.079  0.555 0.216  0.678 0.352  0.814 0.474  0.959 0.588  1.131 0.620  1.304 0.576  1.356 0.412  1.363 0.230  1.342 0.047  1.310 -0.133  1.270 -0.313  1.219 -0.489  1.161 -0.663  1.103 -0.837  1.039 -1.009
3#apb#apb05#app0561/i  -0.149 0.132  -0.131 0.162  -0.143 0.054  -0.158 -0.052  -0.178 -0.159  -0.198 -0.265  -0.219 -0.371  -0.250 -0.474  -0.280 -0.578  -0.311 -0.681  -0.335 -0.786  -0.353 -0.893  -0.371 -0.999  -0.399 -1.103  -0.427 -1.208  -0.471 -1.305  -0.506 -1.403  -0.469 -1.310  -0.430 -1.209  -0.392 -1.108  -0.353 -1.008  -0.314 -0.907  -0.276 -0.806  -0.237 -0.705  -0.199 -0.604  -0.160 -0.503  -0.122 -0.402  -0.083 -0.302  -0.045 -0.201  -0.006 -0.100  0.032 0.001  0.071 0.102  0.109 0.203  0.148 0.304  0.186 0.404  0.225 0.505  0.263 0.606  0.302 0.707  0.340 0.808  0.379 0.909  0.417 1.010  0.456 1.110  0.494 1.211  0.533 1.312  0.571 1.413  0.610 1.514  0.649 1.615  0.687 1.716  0.725 1.817  0.766 1.827
3#apb#apb05#app0561/n  -0.514 0.856  -0.537 0.781  -0.579 0.645  -0.623 0.511  -0.669 0.377  -0.716 0.244  -0.763 0.110  -0.810 -0.023  -0.856 -0.157  -0.903 -0.291  -0.951 -0.424  -0.998 -0.557  -1.054 -0.687  -1.115 -0.815  -1.091 -0.783  -1.009 -0.669  -0.914 -0.564  -0.830 -0.451  -0.755 -0.331  -0.680 -0.211  -0.597 -0.097  -0.509 0.014  -0.420 0.124  -0.332 0.235  -0.231 0.333  -0.120 0.421  -0.010 0.510  0.101 0.598  0.218 0.677  0.340 0.749  0.462 0.821  0.593 0.862  0.734 0.873  0.859 0.835  0.966 0.741  1.014 0.612  1.048 0.475  1.074 0.337  1.074 0.195  1.074 0.054  1.074 -0.088  1.052 -0.228  1.030 -0.367  1.008 -0.507  0.961 -0.641  0.914 -0.774  0.859 -0.904  0.800 -1.033  0.719 -1.148  0.611 -1.238
3#apb#apb05#app0561/o  0.069 0.991  -0.038 0.935  -0.144 0.877  -0.250 0.820  -0.342 0.742  -0.433 0.663  -0.525 0.584  -0.616 0.505  -0.687 0.408  -0.754 0.307  -0.821 0.207  -0.888 0.107  -0.950 0.004  -1.004 -0.104  -1.058 -0.212  -1.081 -0.328  -1.081 -0.448  -1.075 -0.567  -1.003 -0.664  -0.930 -0.760  -0.818 -0.804  -0.706 -0.849  -0.594 -0.894  -0.477 -0.895  -0.359 -0.873  -0.240 -0.852  -0.121 -0.830  -0.003 -0.807  0.105 -0.753  0.213 -0.699  0.321 -0.645  0.429 -0.591  0.531 -0.528  0.622 -0.449  0.714 -0.371  0.805 -0.292  0.875 -0.196  0.929 -0.088  0.983 0.020  1.037 0.127  1.056 0.246  1.069 0.366  1.082 0.486  1.088 0.605  1.042 0.716  0.995 0.828  0.922 0.913  0.813 0.964  0.703 1.015  0.594 1.066
