2#tos#f3#f3021061/\"  -1.198 0.505  -1.214 0.615  -1.308 0.648  -1.273 0.690  -1.183 0.600  -1.093 0.510  -1.004 0.421  -0.937 0.314  -0.881 0.201  -0.867 0.077  -0.787 -0.016  -0.757 -0.131  -0.757 -0.257  -0.757 -0.384  -0.757 -0.511  -0.757 -0.638  -0.757 -0.765  -0.757 -0.891  -0.691 -0.864  -0.598 -0.778  -0.505 -0.691  -0.413 -0.605  -0.320 -0.518  -0.227 -0.432  -0.135 -0.345  -0.042 -0.259  0.051 -0.172  0.143 -0.086  0.236 0.001  0.329 0.087  0.422 0.174  0.514 0.260  0.607 0.347  0.700 0.433  0.792 0.520  0.885 0.606  0.898 0.725  1.025 0.725  1.115 0.688  1.115 0.561  1.115 0.434  1.115 0.308  1.115 0.181  1.115 0.054  1.115 -0.073  1.115 -0.199  1.115 -0.326  1.115 -0.453  1.115 -0.580  1.115 -0.706
2#tos#f3#f3021061/#  -1.205 0.171  -0.948 0.146  -0.537 0.260  -0.145 0.391  0.277 0.426  0.701 0.446  0.926 0.465  0.548 0.266  0.169 0.068  -0.210 -0.130  -0.588 -0.329  -0.967 -0.527  -1.282 -0.710  -0.860 -0.681  -0.449 -0.591  -0.030 -0.508  0.377 -0.386  0.790 -0.325  1.209 -0.270  1.369 -0.189  1.014 0.048  0.658 0.285  0.302 0.522  -0.053 0.759  -0.409 0.997  -0.600 1.270  -0.600 0.844  -0.600 0.417  -0.600 -0.010  -0.600 -0.438  -0.600 -0.865  -0.600 -1.293  -0.493 -1.695  -0.367 -1.297  -0.243 -0.888  -0.118 -0.479  0.007 -0.071  0.132 0.338  0.256 0.747  0.381 1.156  0.500 1.565  0.445 1.705  0.445 1.277  0.390 0.859  0.390 0.431  0.390 0.004  0.371 -0.421  0.335 -0.845  0.335 -1.273  0.390 -1.645
2#tos#f3#f3021061/*  -0.731 1.005  -0.729 0.901  -0.536 0.662  -0.314 0.456  -0.135 0.205  -0.017 -0.055  0.149 -0.311  0.294 -0.580  0.486 -0.820  0.645 -1.084  0.833 -1.324  0.858 -1.197  0.878 -0.889  0.899 -0.581  0.919 -0.273  0.939 0.035  0.959 0.343  0.979 0.651  0.999 0.960  0.873 1.029  0.641 0.834  0.489 0.596  0.313 0.367  0.095 0.149  -0.124 -0.069  -0.366 -0.261  -0.584 -0.479  -0.825 -0.669  -1.046 -0.885  -1.241 -1.073  -1.101 -0.822  -0.956 -0.549  -0.812 -0.276  -0.667 -0.004  -0.522 0.269  -0.378 0.542  -0.233 0.815  -0.088 1.087  0.057 1.360  -0.063 1.515  -0.119 1.224  -0.119 0.915  -0.119 0.606  -0.068 0.309  -0.068 0.000  -0.068 -0.308  -0.068 -0.617  -0.068 -0.926  -0.068 -1.235  -0.068 -1.543
2#tos#f3#f3021061/,  0.574 1.512  0.574 1.439  0.574 1.366  0.574 1.293  0.569 1.225  0.496 1.225  0.431 1.217  0.431 1.144  0.431 1.071  0.431 0.997  0.431 0.924  0.431 0.851  0.431 0.778  0.431 0.705  0.431 0.632  0.431 0.558  0.415 0.492  0.364 0.440  0.312 0.388  0.260 0.337  0.208 0.285  0.157 0.233  0.119 0.171  0.087 0.106  0.054 0.040  0.021 -0.025  0.000 -0.093  0.000 -0.167  -0.016 -0.235  -0.057 -0.296  -0.097 -0.356  -0.138 -0.417  -0.178 -0.478  -0.219 -0.539  -0.259 -0.600  -0.297 -0.662  -0.330 -0.728  -0.363 -0.793  -0.396 -0.859  -0.428 -0.924  -0.479 -0.977  -0.531 -1.028  -0.582 -1.080  -0.634 -1.132  -0.686 -1.183  -0.730 -1.240  -0.763 -1.306  -0.796 -1.371  -0.828 -1.437  -0.861 -1.502
2#tos#f3#f3021061/  -1.476 -0.143  -1.403 -0.143  -1.372 -0.101  -1.383 -0.039  -1.456 -0.039  -1.423 -0.039  -1.350 -0.039  -1.277 -0.039  -1.205 -0.039  -1.132 -0.039  -1.059 -0.039  -0.986 -0.039  -0.914 -0.039  -0.841 -0.039  -0.768 -0.039  -0.695 -0.039  -0.622 -0.039  -0.550 -0.039  -0.477 -0.039  -0.404 -0.039  -0.331 -0.039  -0.259 -0.039  -0.186 -0.039  -0.113 -0.039  -0.040 -0.039  0.032 -0.039  0.105 -0.039  0.178 -0.039  0.231 0.010  0.282 0.061  0.353 0.065  0.426 0.065  0.499 0.065  0.572 0.065  0.645 0.065  0.717 0.065  0.790 0.065  0.863 0.065  0.936 0.065  1.008 0.065  1.081 0.065  1.154 0.065  1.227 0.065  1.299 0.065  1.372 0.065  1.445 0.065  1.518 0.065  1.591 0.065  1.663 0.065  1.736 0.065
2#tos#f3#f3021061/  0.911 1.172  0.896 1.135  0.859 1.192  0.819 1.224  0.755 1.215  0.726 1.172  0.668 1.137  0.617 1.086  0.578 1.025  0.547 0.960  0.530 0.890  0.512 0.820  0.490 0.752  0.439 0.701  0.387 0.651  0.327 0.611  0.267 0.571  0.221 0.518  0.189 0.453  0.156 0.388  0.129 0.322  0.111 0.252  0.094 0.181  0.066 0.116  0.023 0.058  -0.020 -0.000  -0.064 -0.058  -0.098 -0.121  -0.131 -0.186  -0.163 -0.251  -0.200 -0.313  -0.240 -0.373  -0.280 -0.433  -0.324 -0.491  -0.367 -0.549  -0.411 -0.607  -0.449 -0.668  -0.482 -0.732  -0.514 -0.797  -0.548 -0.861  -0.588 -0.921  -0.628 -0.981  -0.663 -1.044  -0.694 -1.109  -0.694 -1.182  -0.694 -1.254  -0.723 -1.319  -0.756 -1.384  -0.788 -1.449  -0.797 -1.519
2#tos#f3#f3021061/:  -0.032 1.405  -0.130 1.405  -0.228 1.405  -0.154 1.353  -0.073 1.298  0.009 1.244  0.090 1.190  0.163 1.138  0.101 1.103  0.101 1.005  0.003 1.005  0.031 1.005  -0.005 1.005  -0.024 1.005  -0.122 1.005  -0.158 0.951  -0.146 0.854  -0.134 0.757  -0.122 0.660  -0.110 0.563  -0.098 0.466  -0.086 0.369  -0.074 0.272  -0.061 0.175  -0.049 0.078  -0.037 -0.019  -0.025 -0.116  -0.013 -0.213  -0.001 -0.310  0.011 -0.407  0.023 -0.504  0.036 -0.601  0.048 -0.698  0.060 -0.795  0.072 -0.892  0.084 -0.989  0.096 -1.086  0.043 -1.125  -0.009 -1.125  0.035 -1.071  0.035 -1.011  0.043 -1.108  0.059 -1.204  0.075 -1.301  0.091 -1.397  0.065 -1.458  0.101 -1.457  0.101 -1.360  0.146 -1.280  0.168 -1.192
2#tos#f3#f3021061/;  -0.049 1.114  0.036 1.114  0.087 1.147  0.087 1.232  0.021 1.251  -0.049 1.265  -0.071 1.340  -0.136 1.387  -0.181 1.352  -0.172 1.268  -0.163 1.184  -0.153 1.100  -0.144 1.016  -0.135 0.931  -0.125 0.847  -0.116 0.763  -0.107 0.679  -0.097 0.595  -0.088 0.511  -0.079 0.427  -0.069 0.343  -0.060 0.259  -0.051 0.175  0.020 0.159  0.080 0.099  0.140 0.039  0.155 -0.039  0.167 -0.112  0.224 -0.140  0.224 -0.225  0.224 -0.309  0.224 -0.394  0.224 -0.478  0.224 -0.563  0.224 -0.647  0.200 -0.728  0.173 -0.809  0.143 -0.887  0.105 -0.963  0.087 -1.043  0.087 -1.128  0.083 -1.211  0.045 -1.287  -0.003 -1.354  -0.074 -1.401  -0.144 -1.448  -0.201 -1.506  -0.239 -1.582  -0.253 -1.663  -0.322 -1.679
2#tos#f3#f3021061/>  -1.047 0.904  -1.136 0.904  -1.026 0.904  -0.917 0.904  -0.811 0.885  -0.713 0.836  -0.611 0.805  -0.501 0.805  -0.392 0.805  -0.303 0.754  -0.214 0.705  -0.104 0.705  0.006 0.705  0.115 0.705  0.221 0.679  0.325 0.644  0.429 0.610  0.538 0.606  0.615 0.528  0.716 0.507  0.826 0.507  0.935 0.506  1.012 0.428  1.032 0.327  0.940 0.309  0.887 0.218  0.838 0.120  0.763 0.040  0.686 -0.037  0.618 -0.122  0.569 -0.220  0.511 -0.311  0.433 -0.389  0.356 -0.466  0.267 -0.531  0.176 -0.591  0.085 -0.652  -0.010 -0.707  -0.108 -0.756  -0.206 -0.805  -0.304 -0.854  -0.371 -0.930  -0.406 -1.034  -0.441 -1.138  -0.523 -1.176  -0.632 -1.176  -0.692 -1.257  -0.741 -1.355  -0.839 -1.374  -0.849 -1.473
2#tos#f3#f3021061/@  0.810 0.205  0.765 0.385  0.614 0.479  0.470 0.588  0.281 0.643  0.099 0.613  -0.039 0.476  -0.151 0.338  -0.229 0.148  -0.229 -0.063  -0.284 -0.262  -0.229 -0.451  -0.195 -0.649  -0.014 -0.724  0.197 -0.724  0.396 -0.670  0.523 -0.519  0.606 -0.334  0.734 -0.187  0.780 0.011  0.810 0.211  0.810 0.422  0.810 0.634  0.810 0.846  0.756 1.003  0.629 1.098  0.487 1.190  0.275 1.190  0.063 1.190  -0.094 1.135  -0.283 1.081  -0.448 1.002  -0.579 0.872  -0.721 0.736  -0.776 0.547  -0.831 0.358  -0.885 0.159  -0.885 -0.053  -0.885 -0.265  -0.885 -0.477  -0.831 -0.666  -0.800 -0.865  -0.721 -1.044  -0.635 -1.226  -0.510 -1.366  -0.330 -1.436  -0.118 -1.436  0.094 -1.436  0.283 -1.381  0.482 -1.326
2#tos#f3#f3021061/_  -1.417 -0.034  -1.417 0.039  -1.417 0.111  -1.489 0.110  -1.488 0.038  -1.415 0.038  -1.342 0.038  -1.269 0.038  -1.197 0.038  -1.124 0.038  -1.051 0.038  -0.978 0.038  -0.905 0.038  -0.833 0.036  -0.768 0.004  -0.703 -0.029  -0.631 -0.034  -0.558 -0.034  -0.485 -0.034  -0.413 -0.034  -0.340 -0.034  -0.267 -0.034  -0.194 -0.034  -0.121 -0.034  -0.049 -0.034  0.024 -0.034  0.097 -0.034  0.170 -0.034  0.243 -0.034  0.315 -0.034  0.388 -0.034  0.461 -0.034  0.534 -0.034  0.607 -0.034  0.679 -0.034  0.752 -0.034  0.825 -0.034  0.898 -0.034  0.971 -0.034  1.044 -0.034  1.116 -0.034  1.189 -0.034  1.192 0.036  1.262 0.038  1.335 0.038  1.408 0.038  1.481 0.038  1.554 0.038  1.626 0.038  1.699 0.038
