1c#app#app41#app4102/u  -1.140 0.974  -0.961 0.974  -0.825 0.931  -0.825 0.752  -0.825 0.574  -0.825 0.395  -0.825 0.216  -0.825 0.037  -0.825 -0.142  -0.825 -0.320  -0.825 -0.499  -0.825 -0.678  -0.825 -0.857  -0.825 -1.036  -0.825 -1.214  -0.662 -1.230  -0.483 -1.230  -0.304 -1.230  -0.195 -1.160  -0.195 -0.981  -0.083 -0.915  0.096 -0.915  0.119 -0.759  0.133 -0.586  0.260 -0.460  0.386 -0.334  0.434 -0.175  0.434 0.004  0.543 0.138  0.669 0.264  0.749 0.410  0.749 0.589  0.749 0.768  0.749 0.947  0.749 1.125  0.734 1.289  0.555 1.289  0.434 1.231  0.434 1.052  0.434 0.873  0.434 0.694  0.434 0.515  0.434 0.337  0.434 0.158  0.434 -0.021  0.434 -0.200  0.527 -0.285  0.706 -0.285  0.749 -0.421  0.749 -0.600
1c#app#app41#app4102/g  0.027 1.038  0.027 1.201  -0.118 1.218  -0.281 1.218  -0.411 1.139  -0.513 1.019  -0.515 0.858  -0.677 0.858  -0.693 0.711  -0.823 0.678  -0.873 0.565  -0.873 0.402  -0.794 0.318  -0.693 0.257  -0.649 0.138  -0.486 0.138  -0.333 0.148  -0.333 0.311  -0.178 0.318  -0.055 0.416  0.027 0.544  0.027 0.707  0.027 0.870  0.027 1.032  0.138 0.927  0.207 0.793  0.207 0.630  0.207 0.467  0.207 0.305  0.207 0.142  0.320 0.026  0.387 -0.109  0.409 -0.266  0.482 -0.412  0.555 -0.557  0.567 -0.717  0.567 -0.880  0.639 -1.013  0.747 -1.131  0.747 -1.294  0.747 -1.456  0.609 -1.481  0.446 -1.481  0.284 -1.481  0.121 -1.481  0.027 -1.412  0.027 -1.250  0.027 -1.087  0.044 -0.941  0.207 -0.941
1c#app#app41#app4102/g  0.456 0.824  0.456 0.991  0.319 1.022  0.258 1.128  0.182 1.220  0.014 1.220  -0.138 1.204  -0.138 1.036  -0.290 1.022  -0.422 0.935  -0.543 0.824  -0.711 0.824  -0.731 0.677  -0.731 0.509  -0.731 0.342  -0.731 0.174  -0.705 0.033  -0.538 0.033  -0.533 -0.130  -0.401 -0.165  -0.233 -0.165  -0.087 -0.115  0.031 0.004  0.060 0.159  0.060 0.327  0.060 0.494  0.060 0.662  0.066 0.824  0.233 0.824  0.258 0.681  0.258 0.514  0.258 0.346  0.258 0.179  0.258 0.012  0.258 -0.156  0.329 -0.307  0.404 -0.456  0.456 -0.612  0.456 -0.779  0.456 -0.947  0.456 -1.114  0.456 -1.281  0.456 -1.449  0.409 -1.597  0.291 -1.715  0.137 -1.748  -0.031 -1.748  -0.138 -1.687  -0.138 -1.520  -0.138 -1.352
1c#app#app41#app4102/l  -0.176 1.634  -0.127 1.585  -0.078 1.535  -0.029 1.486  0.009 1.432  0.009 1.362  0.009 1.293  0.009 1.223  0.009 1.153  0.009 1.084  0.009 1.014  0.009 0.944  0.009 0.875  0.009 0.805  0.009 0.735  0.009 0.666  0.009 0.596  0.009 0.526  0.009 0.457  0.009 0.387  0.009 0.317  0.009 0.248  0.009 0.178  0.009 0.108  0.009 0.039  0.009 -0.031  0.009 -0.101  0.009 -0.170  0.009 -0.240  0.009 -0.310  0.009 -0.379  0.009 -0.449  0.009 -0.519  0.009 -0.588  0.009 -0.658  0.009 -0.728  0.009 -0.797  0.009 -0.867  0.009 -0.937  0.009 -1.006  0.009 -1.076  0.009 -1.146  0.009 -1.215  0.009 -1.285  0.009 -1.355  0.009 -1.424  0.009 -1.494  0.009 -1.564  0.009 -1.634  0.009 -1.703
1c#app#app41#app4102/e  -0.924 0.202  -0.924 0.042  -0.922 -0.117  -0.762 -0.117  -0.602 -0.117  -0.441 -0.117  -0.281 -0.117  -0.121 -0.117  0.040 -0.117  0.200 -0.117  0.350 -0.107  0.350 0.054  0.362 0.202  0.523 0.202  0.683 0.202  0.843 0.202  0.987 0.218  0.987 0.378  0.987 0.539  0.987 0.699  0.987 0.859  0.987 1.020  0.965 1.158  0.805 1.158  0.644 1.158  0.484 1.158  0.331 1.139  0.218 1.026  0.105 0.912  -0.009 0.799  -0.122 0.685  -0.236 0.572  -0.287 0.433  -0.287 0.273  -0.350 0.139  -0.464 0.025  -0.577 -0.088  -0.606 -0.236  -0.606 -0.397  -0.606 -0.557  -0.606 -0.717  -0.606 -0.878  -0.606 -1.038  -0.517 -1.162  -0.403 -1.275  -0.290 -1.388  -0.287 -1.547  -0.287 -1.708  -0.129 -1.710  0.031 -1.710
1c#app#app41#app4102/r  -0.245 1.283  -0.245 1.126  -0.245 0.970  -0.245 0.813  -0.245 0.656  -0.245 0.499  -0.245 0.342  -0.245 0.185  -0.245 0.028  -0.245 -0.129  -0.245 -0.286  -0.245 -0.442  -0.245 -0.599  -0.245 -0.756  -0.391 -0.767  -0.548 -0.767  -0.705 -0.767  -0.757 -0.871  -0.757 -1.028  -0.757 -1.185  -0.694 -1.279  -0.538 -1.279  -0.381 -1.279  -0.245 -1.258  -0.245 -1.101  -0.245 -0.944  -0.245 -0.788  -0.109 -0.767  0.048 -0.767  0.205 -0.767  0.268 -0.673  0.268 -0.516  0.268 -0.359  0.268 -0.202  0.268 -0.045  0.268 0.112  0.268 0.269  0.268 0.426  0.268 0.583  0.268 0.739  0.393 0.771  0.550 0.771  0.707 0.771  0.780 0.855  0.780 1.011  0.780 1.168  0.780 1.325  0.780 1.482  0.780 1.639  0.780 1.796
1c#app#app41#app4102/s  0.381 1.187  0.271 1.187  0.161 1.187  0.051 1.187  -0.060 1.187  -0.170 1.187  -0.280 1.187  -0.390 1.187  -0.500 1.187  -0.610 1.187  -0.656 1.122  -0.656 1.011  -0.656 0.901  -0.656 0.791  -0.656 0.681  -0.656 0.571  -0.656 0.460  -0.597 0.409  -0.487 0.409  -0.396 0.389  -0.396 0.279  -0.396 0.169  -0.305 0.150  -0.195 0.150  -0.100 0.113  -0.022 0.035  0.056 -0.043  0.134 -0.121  0.211 -0.199  0.289 -0.277  0.367 -0.355  0.472 -0.369  0.582 -0.369  0.641 -0.421  0.641 -0.531  0.641 -0.641  0.641 -0.751  0.641 -0.861  0.641 -0.972  0.641 -1.082  0.595 -1.147  0.485 -1.147  0.375 -1.147  0.265 -1.147  0.155 -1.147  0.122 -1.224  0.122 -1.335  0.083 -1.406  -0.027 -1.406  -0.137 -1.406
1c#app#app41#app4102/w  -1.177 0.539  -1.177 0.700  -1.155 0.839  -0.995 0.839  -0.877 0.796  -0.877 0.636  -0.877 0.475  -0.877 0.315  -0.877 0.154  -0.877 -0.006  -0.877 -0.167  -0.877 -0.327  -0.877 -0.488  -0.877 -0.648  -0.771 -0.554  -0.658 -0.440  -0.577 -0.313  -0.577 -0.153  -0.509 -0.060  -0.349 -0.060  -0.277 0.029  -0.277 0.190  -0.277 0.350  -0.277 0.511  -0.277 0.408  -0.277 0.247  -0.277 0.087  -0.264 -0.060  -0.103 -0.060  0.022 -0.095  0.022 -0.256  0.079 -0.360  0.239 -0.360  0.322 -0.438  0.322 -0.598  0.421 -0.660  0.582 -0.660  0.742 -0.660  0.903 -0.660  1.022 -0.559  1.135 -0.446  1.249 -0.332  1.362 -0.219  1.476 -0.105  1.521 0.037  1.521 0.197  1.521 0.358  1.521 0.518  1.521 0.679  1.521 0.839
1c#app#app41#app4102/i  0.221 0.562  0.221 0.433  0.221 0.304  0.221 0.175  0.221 0.046  0.221 -0.084  0.221 -0.213  0.105 -0.226  -0.024 -0.226  -0.153 -0.226  -0.173 -0.335  -0.173 -0.464  -0.173 -0.593  -0.173 -0.722  -0.173 -0.852  -0.173 -0.981  -0.173 -1.110  -0.173 -1.239  -0.173 -1.368  -0.083 -1.407  0.046 -1.407  0.175 -1.407  0.211 -1.324  0.195 -1.196  0.179 -1.068  0.163 -0.940  0.147 -0.812  0.131 -0.684  0.115 -0.556  0.099 -0.428  0.083 -0.300  0.066 -0.172  0.050 -0.044  0.034 0.085  0.018 0.213  0.002 0.341  -0.014 0.469  -0.030 0.597  -0.046 0.725  -0.062 0.853  -0.078 0.981  -0.094 1.109  -0.110 1.237  -0.126 1.365  -0.142 1.493  -0.158 1.622  -0.173 1.750  -0.173 1.879  -0.173 2.008  -0.173 2.137
1c#app#app41#app4102/l  0.224 1.590  0.224 1.516  0.224 1.442  0.224 1.368  0.224 1.294  0.224 1.220  0.224 1.146  0.224 1.072  0.189 1.032  0.115 1.032  0.041 1.032  -0.033 1.032  -0.055 0.981  -0.055 0.907  -0.055 0.833  -0.055 0.759  -0.055 0.684  -0.055 0.610  -0.055 0.536  -0.055 0.462  -0.055 0.388  -0.055 0.314  -0.055 0.240  -0.055 0.166  -0.055 0.092  -0.055 0.018  -0.055 -0.056  -0.055 -0.130  -0.055 -0.204  -0.055 -0.278  -0.055 -0.352  -0.055 -0.426  -0.055 -0.500  -0.055 -0.574  -0.055 -0.648  -0.055 -0.722  -0.055 -0.796  -0.055 -0.870  -0.055 -0.944  -0.055 -1.018  -0.055 -1.092  -0.055 -1.166  -0.055 -1.240  -0.055 -1.314  -0.055 -1.388  -0.055 -1.462  -0.055 -1.536  -0.055 -1.610  -0.055 -1.684  -0.055 -1.758
1c#app#app41#app4102/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
