2#apb#apb07#app0796/L  -0.226 1.502  -0.226 1.522  -0.240 1.423  -0.272 1.328  -0.304 1.232  -0.337 1.137  -0.376 1.044  -0.414 0.951  -0.453 0.858  -0.492 0.765  -0.528 0.671  -0.561 0.577  -0.595 0.482  -0.629 0.387  -0.663 0.292  -0.698 0.198  -0.736 0.105  -0.773 0.011  -0.811 -0.082  -0.823 -0.181  -0.887 -0.237  -0.852 -0.331  -0.792 -0.412  -0.724 -0.485  -0.644 -0.546  -0.556 -0.592  -0.462 -0.629  -0.364 -0.629  -0.265 -0.613  -0.165 -0.598  -0.066 -0.583  0.033 -0.566  0.131 -0.540  0.228 -0.514  0.325 -0.488  0.422 -0.462  0.520 -0.436  0.617 -0.410  0.714 -0.383  0.811 -0.357  0.908 -0.330  1.007 -0.313  1.107 -0.299  1.207 -0.289  1.308 -0.289  1.319 -0.377  1.319 -0.478  1.319 -0.579  1.319 -0.679  1.319 -0.780
2#apb#apb07#app0796/e  -0.805 0.136  -0.689 0.060  -0.552 0.036  -0.443 -0.060  -0.301 -0.101  -0.160 -0.118  -0.022 -0.066  0.116 -0.015  0.256 0.032  0.396 0.079  0.507 0.166  0.598 0.282  0.688 0.399  0.734 0.534  0.755 0.680  0.696 0.809  0.618 0.934  0.528 1.049  0.416 1.145  0.304 1.241  0.157 1.243  0.010 1.243  -0.130 1.205  -0.265 1.147  -0.367 1.047  -0.453 0.927  -0.526 0.800  -0.584 0.664  -0.637 0.527  -0.683 0.387  -0.729 0.247  -0.729 0.099  -0.716 -0.046  -0.658 -0.181  -0.601 -0.317  -0.546 -0.454  -0.491 -0.591  -0.408 -0.707  -0.292 -0.797  -0.176 -0.888  -0.057 -0.975  0.064 -1.060  0.185 -1.144  0.308 -1.224  0.438 -1.295  0.567 -1.365  0.699 -1.428  0.846 -1.428  0.993 -1.428  1.141 -1.428
2#apb#apb07#app0796/t  0.292 1.957  0.314 1.794  0.292 1.623  0.272 1.452  0.252 1.281  0.232 1.110  0.215 0.939  0.199 0.767  0.184 0.596  0.168 0.424  0.155 0.253  0.148 0.081  0.140 -0.091  0.133 -0.263  0.125 -0.435  0.133 -0.607  0.143 -0.779  0.152 -0.951  0.158 -1.123  0.158 -1.295  0.053 -1.379  -0.085 -1.333  -0.183 -1.191  -0.280 -1.049  -0.378 -0.907  -0.475 -0.765  -0.573 -0.623  -0.670 -0.481  -0.767 -0.339  -0.865 -0.197  -0.962 -0.055  -1.060 0.087  -1.157 0.229  -1.149 0.308  -0.978 0.289  -0.808 0.263  -0.638 0.233  -0.469 0.203  -0.299 0.172  -0.130 0.138  0.038 0.104  0.207 0.071  0.376 0.037  0.545 0.003  0.714 -0.028  0.885 -0.053  1.055 -0.079  1.225 -0.104  1.396 -0.129  1.566 -0.154
2#apb#apb07#app0796/k  -0.754 1.913  -0.754 1.719  -0.749 1.526  -0.734 1.334  -0.714 1.142  -0.683 0.951  -0.651 0.761  -0.624 0.570  -0.607 0.377  -0.590 0.185  -0.574 -0.008  -0.556 -0.200  -0.536 -0.392  -0.517 -0.584  -0.504 -0.777  -0.504 -0.970  -0.492 -1.162  -0.430 -1.336  -0.265 -1.291  -0.184 -1.116  -0.102 -0.941  -0.021 -0.765  0.061 -0.590  0.142 -0.415  0.223 -0.240  0.305 -0.065  0.386 0.110  0.468 0.286  0.549 0.461  0.630 0.636  0.712 0.811  0.695 0.862  0.509 0.810  0.330 0.737  0.158 0.651  0.005 0.534  -0.126 0.396  -0.222 0.228  -0.223 0.035  -0.217 -0.155  -0.080 -0.292  0.074 -0.404  0.249 -0.486  0.424 -0.567  0.610 -0.617  0.799 -0.656  0.988 -0.696  1.177 -0.733  1.367 -0.769  1.557 -0.805
2#apb#apb07#app0796/n  -1.245 -1.056  -1.178 -1.013  -1.112 -1.032  -1.080 -0.951  -1.067 -0.860  -1.030 -0.774  -0.993 -0.687  -0.956 -0.601  -0.919 -0.514  -0.871 -0.433  -0.823 -0.352  -0.774 -0.272  -0.726 -0.191  -0.678 -0.110  -0.629 -0.030  -0.582 0.052  -0.548 0.139  -0.513 0.227  -0.478 0.314  -0.443 0.401  -0.408 0.489  -0.373 0.576  -0.323 0.656  -0.271 0.734  -0.195 0.785  -0.106 0.808  -0.012 0.805  0.081 0.791  0.174 0.778  0.267 0.765  0.355 0.742  0.415 0.669  0.475 0.597  0.536 0.525  0.596 0.453  0.651 0.377  0.703 0.298  0.756 0.220  0.808 0.142  0.860 0.063  0.912 -0.015  0.965 -0.093  1.020 -0.169  1.075 -0.246  1.129 -0.322  1.184 -0.399  1.242 -0.472  1.309 -0.539  1.375 -0.606  1.442 -0.672
2#apb#apb07#app0796/o  -0.802 0.406  -0.728 0.480  -0.668 0.516  -0.759 0.584  -0.888 0.556  -0.982 0.472  -1.050 0.358  -1.109 0.239  -1.153 0.119  -1.106 -0.005  -1.060 -0.129  -1.003 -0.248  -0.922 -0.353  -0.840 -0.458  -0.759 -0.563  -0.662 -0.650  -0.545 -0.713  -0.428 -0.777  -0.312 -0.841  -0.191 -0.890  -0.059 -0.890  0.074 -0.890  0.207 -0.890  0.337 -0.865  0.467 -0.836  0.597 -0.807  0.715 -0.750  0.831 -0.684  0.943 -0.615  1.009 -0.500  1.075 -0.385  1.128 -0.264  1.157 -0.135  1.186 -0.005  1.189 0.119  1.112 0.228  1.034 0.336  0.944 0.430  0.830 0.498  0.716 0.566  0.602 0.635  0.485 0.697  0.364 0.752  0.243 0.807  0.122 0.862  -0.003 0.897  -0.136 0.897  -0.269 0.897  -0.402 0.897  -0.534 0.897
2#apb#apb07#app0796/w  -1.548 0.785  -1.475 0.712  -1.402 0.639  -1.329 0.567  -1.262 0.489  -1.198 0.409  -1.133 0.328  -1.069 0.248  -1.006 0.167  -0.947 0.082  -0.888 -0.002  -0.829 -0.086  -0.771 -0.171  -0.721 -0.261  -0.671 -0.351  -0.621 -0.441  -0.567 -0.528  -0.510 -0.614  -0.445 -0.686  -0.349 -0.674  -0.296 -0.586  -0.246 -0.496  -0.210 -0.400  -0.174 -0.303  -0.134 -0.209  -0.083 -0.119  -0.032 -0.030  0.004 0.065  0.024 0.166  0.107 0.190  0.210 0.190  0.313 0.188  0.405 0.142  0.497 0.095  0.581 0.036  0.662 -0.027  0.743 -0.090  0.824 -0.153  0.884 -0.236  0.971 -0.266  1.060 -0.214  1.148 -0.161  1.210 -0.079  1.272 0.003  1.334 0.085  1.398 0.166  1.464 0.245  1.530 0.324  1.602 0.397  1.675 0.470
2#apb#apb07#app0796/a  0.774 1.081  0.649 1.123  0.529 1.191  0.392 1.218  0.252 1.218  0.112 1.218  -0.028 1.218  -0.168 1.218  -0.298 1.170  -0.426 1.113  -0.533 1.031  -0.614 0.916  -0.694 0.801  -0.782 0.693  -0.881 0.594  -0.922 0.467  -0.937 0.328  -0.934 0.189  -0.911 0.051  -0.888 -0.087  -0.843 -0.217  -0.773 -0.339  -0.704 -0.460  -0.634 -0.582  -0.535 -0.672  -0.410 -0.735  -0.282 -0.792  -0.149 -0.836  -0.036 -0.776  0.072 -0.686  0.166 -0.583  0.258 -0.477  0.333 -0.364  0.356 -0.225  0.379 -0.087  0.396 0.051  0.401 0.186  0.505 0.125  0.532 -0.013  0.560 -0.150  0.582 -0.288  0.601 -0.427  0.621 -0.566  0.641 -0.704  0.659 -0.843  0.678 -0.982  0.696 -1.121  0.719 -1.259  0.747 -1.396  0.774 -1.533
2#apb#apb07#app0796/b  -0.881 1.682  -0.778 1.658  -0.721 1.558  -0.671 1.455  -0.659 1.340  -0.648 1.225  -0.636 1.110  -0.625 0.995  -0.613 0.879  -0.613 0.764  -0.613 0.648  -0.613 0.532  -0.613 0.417  -0.613 0.301  -0.613 0.185  -0.613 0.069  -0.613 -0.046  -0.613 -0.162  -0.613 -0.278  -0.597 -0.392  -0.568 -0.501  -0.480 -0.456  -0.390 -0.383  -0.303 -0.306  -0.216 -0.230  -0.118 -0.172  -0.009 -0.135  0.101 -0.099  0.207 -0.052  0.313 -0.005  0.416 -0.008  0.517 -0.065  0.618 -0.121  0.727 -0.160  0.837 -0.197  0.935 -0.252  1.016 -0.334  1.091 -0.421  1.141 -0.525  1.148 -0.630  1.079 -0.723  0.981 -0.784  0.883 -0.845  0.774 -0.877  0.659 -0.886  0.544 -0.896  0.431 -0.918  0.320 -0.952  0.210 -0.986  0.099 -1.020
2#apb#apb07#app0796/o  0.028 0.559  0.091 0.575  -0.017 0.598  -0.148 0.647  -0.280 0.696  -0.418 0.683  -0.556 0.660  -0.691 0.622  -0.809 0.560  -0.881 0.440  -0.953 0.319  -1.022 0.197  -1.085 0.071  -1.145 -0.055  -1.176 -0.192  -1.206 -0.329  -1.151 -0.448  -1.067 -0.560  -0.974 -0.663  -0.851 -0.730  -0.728 -0.797  -0.604 -0.862  -0.464 -0.870  -0.323 -0.878  -0.183 -0.886  -0.043 -0.895  0.095 -0.874  0.232 -0.844  0.369 -0.813  0.506 -0.783  0.641 -0.748  0.755 -0.665  0.868 -0.583  0.982 -0.500  1.037 -0.381  1.060 -0.243  1.083 -0.104  1.081 0.035  1.059 0.173  1.038 0.312  1.004 0.446  0.929 0.565  0.855 0.684  0.777 0.801  0.697 0.914  0.558 0.934  0.425 0.929  0.308 0.851  0.198 0.764  0.099 0.665
2#apb#apb07#app0796/u  -1.316 1.247  -1.260 1.158  -1.205 1.069  -1.149 0.980  -1.094 0.892  -1.036 0.804  -0.978 0.717  -0.920 0.630  -0.861 0.543  -0.802 0.457  -0.740 0.373  -0.677 0.289  -0.614 0.205  -0.551 0.121  -0.508 0.026  -0.468 -0.070  -0.427 -0.167  -0.387 -0.263  -0.347 -0.360  -0.310 -0.458  -0.285 -0.559  -0.259 -0.661  -0.234 -0.763  -0.171 -0.839  -0.087 -0.902  -0.001 -0.962  0.086 -1.021  0.183 -0.992  0.281 -0.955  0.379 -0.919  0.469 -0.872  0.529 -0.786  0.589 -0.700  0.649 -0.614  0.709 -0.529  0.769 -0.443  0.802 -0.344  0.832 -0.244  0.862 -0.143  0.893 -0.043  0.917 0.058  0.932 0.162  0.947 0.266  0.948 0.368  0.919 0.469  0.891 0.570  0.858 0.669  0.804 0.759  0.750 0.848  0.684 0.929
