2#app#app18#app1822/q  -0.173 1.002  -0.017 0.889  -0.167 1.002  -0.173 0.947  -0.173 1.210  -0.332 1.310  -0.531 1.157  -0.749 1.048  -0.837 0.846  -0.951 0.698  -0.951 0.435  -0.951 0.172  -0.949 -0.090  -0.750 -0.244  -0.640 -0.396  -0.380 -0.399  -0.173 -0.344  -0.012 -0.239  0.188 -0.088  0.294 -0.243  0.294 0.020  0.294 0.283  0.294 0.546  0.294 0.809  0.294 1.072  0.273 1.313  0.138 1.185  -0.017 0.986  -0.017 0.723  -0.017 0.461  -0.017 0.198  -0.017 -0.065  -0.017 -0.328  -0.017 -0.591  -0.017 -0.854  0.138 -1.052  0.138 -1.315  0.227 -1.489  0.294 -1.685  0.441 -1.800  0.548 -1.645  0.641 -1.454  0.761 -1.241  0.761 -0.978  0.761 -0.715  0.688 -0.482  0.605 -0.254  0.450 -0.147  0.246 -0.088  -0.017 -0.088
2#app#app18#app1822/u  -1.187 0.644  -1.187 0.824  -1.187 0.667  -1.344 0.644  -1.379 0.498  -1.379 0.318  -1.256 0.261  -1.187 0.149  -1.187 -0.031  -1.187 -0.211  -1.110 -0.314  -0.995 -0.380  -0.957 -0.544  -0.829 -0.672  -0.660 -0.698  -0.480 -0.698  -0.300 -0.698  -0.151 -0.620  -0.024 -0.493  0.103 -0.366  0.262 -0.314  0.346 -0.218  0.431 -0.123  0.538 -0.049  0.538 0.131  0.538 0.311  0.538 0.491  0.519 0.663  0.391 0.791  0.346 0.952  0.241 1.027  0.155 0.933  0.155 0.753  0.226 0.644  0.346 0.584  0.346 0.404  0.346 0.224  0.346 0.044  0.360 -0.123  0.538 -0.125  0.538 -0.305  0.538 -0.485  0.698 -0.506  0.835 -0.611  0.979 -0.698  1.159 -0.698  1.305 -0.663  1.328 -0.506  1.496 -0.495  1.496 -0.314
2#app#app18#app1822/i  -0.157 1.790  -0.157 1.712  -0.157 1.634  -0.157 1.556  -0.157 1.478  -0.157 1.400  -0.157 1.322  -0.157 1.244  -0.157 1.167  -0.157 1.089  -0.157 1.011  -0.157 0.933  -0.157 0.855  -0.157 0.777  -0.157 0.699  -0.157 0.621  -0.157 0.543  -0.157 0.466  -0.157 0.388  -0.157 0.310  -0.157 0.232  -0.157 0.154  -0.157 0.076  -0.157 -0.002  -0.157 -0.080  -0.157 -0.158  -0.157 -0.235  -0.157 -0.313  -0.136 -0.383  -0.081 -0.438  -0.026 -0.493  0.029 -0.548  0.084 -0.603  0.139 -0.658  0.151 -0.731  0.151 -0.809  0.151 -0.887  0.151 -0.965  0.151 -1.043  0.151 -1.121  0.151 -1.199  0.151 -1.276  0.220 -1.285  0.298 -1.285  0.376 -1.285  0.454 -1.285  0.458 -1.211  0.458 -1.133  0.458 -1.055  0.458 -0.977
2#app#app18#app1822/c  0.401 0.837  0.401 0.710  0.401 0.641  0.401 0.768  0.360 0.878  0.270 0.968  0.180 1.058  0.175 1.184  0.153 1.288  0.025 1.288  -0.050 1.236  -0.050 1.109  -0.131 1.063  -0.258 1.063  -0.276 0.953  -0.284 0.829  -0.374 0.739  -0.464 0.649  -0.501 0.537  -0.501 0.410  -0.574 0.313  -0.664 0.223  -0.727 0.121  -0.727 -0.006  -0.727 -0.133  -0.727 -0.260  -0.727 -0.388  -0.727 -0.515  -0.727 -0.642  -0.698 -0.741  -0.571 -0.741  -0.501 -0.799  -0.501 -0.926  -0.415 -0.967  -0.287 -0.967  -0.160 -0.967  -0.033 -0.967  0.095 -0.967  0.222 -0.967  0.349 -0.967  0.454 -0.913  0.544 -0.823  0.638 -0.741  0.765 -0.741  0.892 -0.741  1.019 -0.741  1.077 -0.672  1.077 -0.545  1.176 -0.516  1.303 -0.516
2#app#app18#app1822/k  -0.671 1.777  -0.886 1.754  -0.886 1.516  -0.837 1.299  -0.671 1.130  -0.671 0.892  -0.671 0.654  -0.671 0.416  -0.604 0.206  -0.456 0.029  -0.456 -0.209  -0.456 -0.447  -0.387 -0.656  -0.241 -0.833  -0.241 -1.071  -0.241 -1.309  -0.266 -1.348  -0.323 -1.117  -0.381 -0.887  -0.439 -0.656  -0.456 -0.420  -0.456 -0.182  -0.244 -0.157  -0.012 -0.171  0.156 -0.340  0.188 -0.564  0.403 -0.587  0.427 -0.801  0.665 -0.801  0.833 -0.871  0.926 -1.016  0.932 -1.016  0.819 -0.879  0.796 -0.642  0.772 -0.405  0.748 -0.168  0.725 0.068  0.701 0.305  0.677 0.542  0.654 0.778  0.630 1.015  0.498 1.133  0.403 0.990  0.237 0.918  0.188 0.729  -0.023 0.703  -0.041 0.474  -0.209 0.305  -0.241 0.081  -0.241 -0.157
2#app#app18#app1822/z  -0.938 0.823  -0.938 0.975  -0.839 1.027  -0.687 1.027  -0.536 1.027  -0.384 1.027  -0.233 1.027  -0.122 1.068  -0.122 1.220  0.018 1.231  0.169 1.231  0.321 1.231  0.472 1.231  0.489 1.096  0.489 0.945  0.489 0.793  0.489 0.642  0.360 0.619  0.285 0.543  0.268 0.398  0.161 0.291  0.081 0.173  0.081 0.021  -0.057 0.008  -0.122 -0.078  -0.156 -0.196  -0.307 -0.196  -0.326 -0.329  -0.326 -0.480  -0.354 -0.604  -0.506 -0.604  -0.530 -0.731  -0.530 -0.882  -0.530 -1.034  -0.530 -1.185  -0.530 -1.094  -0.461 -1.011  -0.310 -1.011  -0.158 -1.011  -0.007 -1.011  0.081 -0.948  0.093 -0.808  0.244 -0.808  0.396 -0.808  0.547 -0.808  0.698 -0.808  0.850 -0.808  1.001 -0.808  1.153 -0.808  1.304 -0.808
2#app#app18#app1822/e  -0.355 0.089  -0.540 0.089  -0.497 0.089  -0.312 0.089  -0.126 0.089  -0.098 0.246  -0.012 0.346  0.173 0.346  0.359 0.346  0.415 0.475  0.473 0.602  0.658 0.602  0.671 0.775  0.671 0.960  0.641 1.115  0.455 1.115  0.270 1.115  0.085 1.115  -0.101 1.115  -0.286 1.115  -0.355 0.999  -0.401 0.859  -0.586 0.859  -0.612 0.699  -0.700 0.602  -0.868 0.585  -0.868 0.399  -0.868 0.214  -0.868 0.028  -0.868 -0.157  -0.868 -0.343  -0.764 -0.424  -0.612 -0.457  -0.612 -0.642  -0.465 -0.681  -0.355 -0.757  -0.350 -0.937  -0.165 -0.937  0.021 -0.937  0.158 -0.985  0.158 -1.171  0.320 -1.194  0.506 -1.194  0.685 -1.180  0.816 -1.049  0.956 -0.937  1.141 -0.937  1.184 -0.795  1.255 -0.681  1.441 -0.681
2#app#app18#app1822/p  -0.384 0.659  -0.384 0.862  -0.349 1.029  -0.252 1.029  -0.384 0.959  -0.384 0.756  -0.384 0.553  -0.384 0.351  -0.384 0.148  -0.384 -0.055  -0.384 -0.257  -0.378 -0.458  -0.235 -0.601  -0.199 -0.789  -0.199 -0.992  -0.199 -1.194  -0.199 -1.397  -0.199 -1.600  -0.199 -1.802  -0.199 -1.860  -0.199 -1.657  -0.199 -1.455  -0.199 -1.252  -0.199 -1.049  -0.199 -0.847  -0.199 -0.644  -0.199 -0.441  -0.199 -0.239  -0.199 -0.036  -0.199 0.167  -0.199 0.370  -0.199 0.572  -0.199 0.775  -0.199 0.978  -0.048 1.029  0.105 1.148  0.281 1.214  0.483 1.214  0.686 1.214  0.841 1.099  0.911 0.926  0.911 0.723  0.911 0.520  0.911 0.318  0.789 0.166  0.726 -0.011  0.594 -0.082  0.391 -0.082  0.189 -0.082  0.171 0.104
2#app#app18#app1822/h  -0.552 1.999  -0.552 1.822  -0.552 1.646  -0.552 1.469  -0.552 1.292  -0.552 1.115  -0.552 0.939  -0.552 0.762  -0.552 0.585  -0.552 0.408  -0.552 0.232  -0.552 0.055  -0.552 -0.122  -0.552 -0.299  -0.552 -0.475  -0.552 -0.652  -0.552 -0.829  -0.552 -1.006  -0.552 -0.838  -0.552 -0.661  -0.552 -0.485  -0.552 -0.308  -0.552 -0.131  -0.421 -0.084  -0.320 -0.009  -0.305 0.162  -0.181 0.287  -0.042 0.379  0.135 0.379  0.143 0.547  0.257 0.610  0.374 0.551  0.379 0.379  0.556 0.379  0.606 0.252  0.606 0.075  0.623 -0.084  0.800 -0.084  0.837 -0.223  0.837 -0.400  0.837 -0.577  0.837 -0.754  0.837 -0.930  0.837 -1.107  0.837 -1.200  0.837 -1.023  0.673 -1.010  0.715 -1.010  0.783 -1.010  0.606 -1.010
2#app#app18#app1822/y  -0.434 0.858  -0.604 0.878  -0.604 0.990  -0.604 0.801  -0.527 0.688  -0.434 0.592  -0.434 0.402  -0.338 0.252  -0.263 0.093  -0.263 -0.097  -0.141 -0.164  -0.093 -0.306  0.068 -0.335  0.081 -0.497  0.146 -0.318  0.211 -0.140  0.275 0.038  0.340 0.216  0.405 0.395  0.470 0.573  0.535 0.751  0.600 0.930  0.664 1.108  0.729 1.286  0.659 1.370  0.589 1.250  0.589 1.060  0.431 1.029  0.419 0.851  0.392 0.688  0.248 0.642  0.248 0.452  0.164 0.347  0.078 0.243  0.078 0.054  0.078 -0.136  0.078 -0.326  -0.093 -0.345  -0.093 -0.535  -0.093 -0.724  -0.161 -0.846  -0.263 -0.933  -0.263 -1.123  -0.263 -1.313  -0.263 -1.503  -0.427 -1.528  -0.434 -1.711  -0.456 -1.892  -0.591 -2.026  -0.434 -2.040
2#app#app18#app1822/r  -0.171 0.365  -0.171 0.527  -0.190 0.670  -0.352 0.670  -0.476 0.633  -0.476 0.471  -0.476 0.309  -0.476 0.147  -0.402 0.060  -0.240 0.060  -0.171 -0.034  -0.171 -0.196  -0.171 -0.358  -0.171 -0.520  -0.171 -0.682  -0.171 -0.844  -0.171 -1.006  -0.171 -1.168  -0.171 -1.330  -0.171 -1.492  -0.171 -1.654  -0.171 -1.729  -0.171 -1.567  -0.171 -1.405  -0.171 -1.243  -0.171 -1.081  -0.171 -0.919  -0.171 -0.757  -0.171 -0.595  -0.171 -0.433  -0.171 -0.271  -0.171 -0.109  -0.171 0.053  -0.171 0.215  -0.159 0.365  0.003 0.365  0.134 0.396  0.134 0.558  0.134 0.720  0.134 0.882  0.203 0.976  0.365 0.976  0.440 1.063  0.440 1.225  0.546 1.281  0.708 1.281  0.870 1.281  1.032 1.281  1.194 1.281  1.356 1.281
