1b#tos#t1#t1018062/D  -0.529 1.546  -0.579 1.400  -0.579 1.203  -0.579 1.005  -0.529 0.820  -0.529 0.623  -0.529 0.426  -0.529 0.229  -0.529 0.032  -0.529 -0.165  -0.529 -0.362  -0.459 -0.535  -0.377 -0.706  -0.377 -0.904  -0.377 -1.066  -0.381 -0.869  -0.387 -0.672  -0.392 -0.475  -0.398 -0.278  -0.404 -0.081  -0.410 0.116  -0.416 0.313  -0.422 0.510  -0.442 0.701  -0.625 0.737  -0.551 0.867  -0.363 0.889  -0.166 0.889  0.031 0.889  0.220 0.841  0.408 0.800  0.584 0.712  0.751 0.614  0.884 0.490  1.037 0.367  1.089 0.198  1.160 0.045  1.190 -0.133  1.190 -0.330  1.089 -0.486  0.995 -0.625  0.915 -0.778  0.790 -0.922  0.620 -0.982  0.450 -1.071  0.278 -1.136  0.101 -1.184  -0.096 -1.184  -0.293 -1.184  -0.478 -1.134
1b#tos#t1#t1018062/E  -0.688 1.169  -0.867 1.093  -0.625 1.080  -0.371 1.080  -0.116 1.080  0.138 1.087  0.342 1.169  0.596 1.169  0.851 1.169  0.868 1.199  0.623 1.129  0.378 1.059  0.133 0.989  -0.112 0.919  -0.358 0.857  -0.599 0.843  -0.599 0.588  -0.599 0.334  -0.555 0.086  -0.555 -0.169  -0.484 -0.410  -0.465 -0.662  -0.421 -0.906  -0.412 -1.152  -0.328 -0.978  -0.308 -0.724  -0.287 -0.470  -0.267 -0.216  -0.247 0.038  -0.415 0.053  -0.165 0.079  0.087 0.098  0.341 0.098  0.596 0.098  0.844 0.068  0.711 -0.096  0.523 -0.268  0.335 -0.439  0.146 -0.611  -0.042 -0.783  -0.212 -0.929  -0.454 -0.962  -0.498 -1.152  -0.243 -1.152  0.012 -1.152  0.266 -1.152  0.520 -1.150  0.749 -1.063  1.004 -1.063  1.231 -0.974
1b#tos#t1#t1018062/F  -0.417 1.399  -0.592 1.295  -0.592 1.050  -0.534 0.819  -0.534 0.574  -0.498 0.337  -0.475 0.098  -0.475 -0.147  -0.425 -0.384  -0.366 -0.619  -0.300 -0.854  -0.266 -1.093  -0.242 -1.334  -0.242 -1.579  -0.184 -1.766  -0.196 -1.599  -0.210 -1.354  -0.225 -1.110  -0.239 -0.865  -0.254 -0.621  -0.268 -0.376  -0.282 -0.132  -0.297 0.113  -0.311 0.357  -0.326 0.602  -0.340 0.846  -0.354 1.091  -0.475 1.113  -0.294 1.050  -0.049 1.050  0.196 1.050  0.441 1.050  0.686 1.050  0.918 1.043  0.773 0.846  0.628 0.649  0.482 0.452  0.337 0.255  0.192 0.057  0.049 -0.102  -0.101 -0.219  -0.242 -0.417  -0.104 -0.523  0.141 -0.523  0.386 -0.523  0.625 -0.486  0.867 -0.465  1.107 -0.455  1.319 -0.348  1.564 -0.348
1b#tos#t1#t1018062/H  -0.660 1.547  -0.864 1.547  -0.924 1.402  -0.871 1.210  -0.871 1.006  -0.871 0.801  -0.848 0.602  -0.785 0.409  -0.765 0.207  -0.750 0.004  -0.690 -0.190  -0.616 -0.381  -0.554 -0.571  -0.554 -0.776  -0.448 -0.915  -0.450 -1.074  -0.465 -0.870  -0.481 -0.666  -0.497 -0.462  -0.630 -0.462  -0.835 -0.462  -0.703 -0.462  -0.498 -0.462  -0.298 -0.425  -0.096 -0.409  0.109 -0.409  0.313 -0.409  0.518 -0.409  0.667 -0.349  0.683 -0.145  0.698 0.059  0.714 0.263  0.730 0.466  0.745 0.670  0.761 0.874  0.677 1.018  0.472 1.018  0.451 0.941  0.490 0.748  0.556 0.564  0.609 0.372  0.609 0.168  0.609 -0.037  0.657 -0.234  0.715 -0.429  0.744 -0.626  0.768 -0.825  0.874 -0.964  0.874 -1.169  0.979 -1.308
1b#tos#t1#t1018062/N  -0.777 1.356  -0.930 1.253  -0.930 0.999  -0.930 0.744  -0.916 0.491  -0.892 0.239  -0.853 -0.009  -0.805 -0.258  -0.739 -0.501  -0.739 -0.755  -0.625 -0.948  -0.587 -1.194  -0.587 -1.162  -0.587 -0.908  -0.587 -0.654  -0.587 -0.399  -0.587 -0.145  -0.587 0.110  -0.587 0.364  -0.587 0.619  -0.697 0.785  -0.811 0.781  -0.598 0.658  -0.443 0.481  -0.268 0.323  -0.117 0.125  0.063 -0.055  0.204 -0.255  0.422 -0.384  0.558 -0.588  0.689 -0.801  0.781 -0.999  0.788 -0.749  0.799 -0.495  0.809 -0.241  0.820 0.013  0.830 0.268  0.840 0.522  0.851 0.776  0.819 1.021  0.595 1.052  0.610 0.804  0.667 0.559  0.748 0.320  0.811 0.076  0.819 -0.178  0.895 -0.401  0.959 -0.646  0.971 -0.899  1.009 -1.115
1b#tos#t1#t1018062/Q  0.103 -0.361  0.103 -0.590  -0.041 -0.724  -0.270 -0.724  -0.488 -0.674  -0.707 -0.621  -0.877 -0.491  -1.020 -0.337  -1.080 -0.127  -1.146 0.080  -1.146 0.310  -1.106 0.534  -1.066 0.758  -0.905 0.888  -0.742 1.009  -0.596 1.143  -0.411 1.261  -0.196 1.307  0.028 1.337  0.243 1.371  0.407 1.243  0.607 1.140  0.747 0.996  0.788 0.807  0.828 0.618  0.868 0.406  0.868 0.176  0.828 -0.013  0.787 -0.202  0.707 -0.397  0.569 -0.511  0.385 -0.643  0.209 -0.765  0.001 -0.809  -0.223 -0.844  -0.453 -0.844  -0.601 -0.705  -0.623 -0.485  -0.572 -0.270  -0.421 -0.119  -0.242 0.002  -0.013 0.002  0.143 -0.106  0.317 -0.225  0.464 -0.358  0.625 -0.482  0.783 -0.621  0.983 -0.733  1.203 -0.764  1.351 -0.844
1b#tos#t1#t1018062/S  0.817 0.905  0.674 0.973  0.574 1.093  0.463 1.206  0.301 1.243  0.130 1.243  -0.042 1.243  -0.213 1.243  -0.384 1.243  -0.533 1.168  -0.640 1.079  -0.779 1.028  -0.836 0.874  -0.710 0.788  -0.602 0.671  -0.443 0.642  -0.358 0.532  -0.239 0.420  -0.129 0.296  0.013 0.201  0.137 0.083  0.299 0.035  0.437 -0.068  0.562 -0.177  0.648 -0.316  0.786 -0.413  0.897 -0.532  0.940 -0.693  0.967 -0.858  0.928 -1.013  0.817 -1.095  0.675 -1.124  0.504 -1.124  0.333 -1.124  0.177 -1.085  0.024 -1.025  -0.146 -1.011  -0.309 -0.974  -0.446 -0.875  -0.586 -0.780  -0.749 -0.748  -0.874 -0.657  -0.911 -0.577  -0.769 -0.498  -0.612 -0.430  -0.455 -0.362  -0.298 -0.294  -0.141 -0.225  -0.004 -0.131  0.103 0.003
1b#tos#t1#t1018062/T  -1.585 0.470  -1.705 0.432  -1.732 0.382  -1.603 0.382  -1.474 0.382  -1.345 0.382  -1.219 0.408  -1.092 0.426  -0.963 0.426  -0.834 0.426  -0.705 0.426  -0.589 0.457  -0.466 0.470  -0.337 0.470  -0.208 0.470  -0.079 0.470  0.050 0.470  0.179 0.470  0.307 0.466  0.423 0.408  0.527 0.338  0.656 0.338  0.776 0.297  0.904 0.294  1.033 0.294  1.089 0.367  1.065 0.361  0.942 0.322  0.819 0.284  0.696 0.246  0.573 0.207  0.450 0.169  0.323 0.155  0.204 0.107  0.081 0.075  0.143 -0.006  0.168 -0.128  0.180 -0.255  0.212 -0.376  0.212 -0.505  0.212 -0.634  0.295 -0.712  0.300 -0.838  0.319 -0.964  0.344 -1.090  0.360 -1.212  0.431 -1.312  0.491 -1.415  0.563 -1.505  0.607 -1.590
1b#tos#t1#t1018062/U  -0.783 1.233  -0.894 1.233  -0.940 1.168  -0.940 1.057  -0.940 0.946  -0.940 0.835  -0.928 0.726  -0.901 0.619  -0.901 0.508  -0.901 0.397  -0.882 0.291  -0.862 0.184  -0.847 0.080  -0.777 -0.004  -0.741 -0.109  -0.688 -0.206  -0.626 -0.298  -0.570 -0.393  -0.492 -0.472  -0.430 -0.557  -0.380 -0.637  -0.286 -0.695  -0.190 -0.738  -0.123 -0.808  -0.038 -0.834  0.055 -0.878  0.148 -0.926  0.259 -0.926  0.355 -0.910  0.442 -0.887  0.530 -0.850  0.590 -0.783  0.648 -0.730  0.691 -0.642  0.726 -0.537  0.791 -0.450  0.826 -0.353  0.826 -0.242  0.826 -0.131  0.836 -0.021  0.863 0.086  0.865 0.197  0.865 0.308  0.865 0.419  0.865 0.530  0.865 0.641  0.865 0.752  0.837 0.856  0.819 0.958  0.747 0.997
1b#tos#t1#t1018062/V  -0.763 1.336  -0.878 1.303  -0.886 1.236  -0.845 1.149  -0.830 1.025  -0.760 0.917  -0.720 0.795  -0.689 0.670  -0.680 0.543  -0.649 0.419  -0.639 0.292  -0.605 0.174  -0.547 0.061  -0.516 -0.064  -0.430 -0.157  -0.388 -0.279  -0.330 -0.394  -0.251 -0.493  -0.204 -0.609  -0.173 -0.734  -0.134 -0.853  -0.027 -0.925  -0.022 -1.050  0.061 -1.128  0.097 -1.248  0.169 -1.340  0.239 -1.422  0.266 -1.321  0.308 -1.209  0.308 -1.081  0.351 -0.962  0.382 -0.837  0.390 -0.710  0.404 -0.583  0.431 -0.458  0.431 -0.329  0.476 -0.210  0.501 -0.084  0.513 0.043  0.513 0.172  0.522 0.299  0.553 0.424  0.555 0.552  0.596 0.664  0.596 0.792  0.634 0.883  0.637 1.008  0.637 1.137  0.678 1.249  0.719 1.336
1b#tos#t1#t1018062/W  -1.160 1.336  -1.312 1.307  -1.236 1.170  -1.137 1.026  -1.114 0.849  -1.066 0.675  -0.997 0.508  -0.918 0.347  -0.894 0.173  -0.813 0.024  -0.759 -0.148  -0.666 -0.294  -0.631 -0.471  -0.514 -0.605  -0.427 -0.737  -0.362 -0.873  -0.286 -1.007  -0.210 -0.999  -0.207 -0.819  -0.172 -0.643  -0.172 -0.462  -0.172 -0.281  -0.141 -0.103  -0.134 0.077  -0.096 0.249  -0.096 0.430  -0.096 0.611  -0.058 0.551  -0.003 0.390  0.091 0.237  0.153 0.078  0.204 -0.095  0.232 -0.270  0.313 -0.406  0.397 -0.559  0.397 -0.740  0.475 -0.866  0.656 -0.866  0.783 -0.790  0.851 -0.645  0.902 -0.482  0.970 -0.318  1.043 -0.161  1.049 0.019  1.126 0.182  1.157 0.358  1.205 0.532  1.233 0.708  1.271 0.851  1.346 0.956
