1c#tos#f2#f2024065/a  0.446 -0.289  0.528 -0.157  0.625 0.003  0.671 0.176  0.713 0.358  0.727 0.547  0.727 0.739  0.727 0.932  0.626 1.049  0.461 1.116  0.269 1.116  0.077 1.116  -0.098 1.041  -0.270 0.955  -0.401 0.816  -0.521 0.666  -0.651 0.525  -0.775 0.380  -0.875 0.216  -0.962 0.044  -1.082 -0.106  -1.183 -0.262  -1.183 -0.455  -1.183 -0.647  -1.183 -0.839  -1.183 -1.031  -1.105 -1.188  -0.913 -1.188  -0.723 -1.181  -0.563 -1.074  -0.409 -0.958  -0.341 -0.801  -0.237 -0.660  -0.100 -0.531  -0.029 -0.353  0.036 -0.172  0.135 -0.010  0.243 0.148  0.278 0.332  0.304 0.520  0.431 0.610  0.506 0.490  0.600 0.323  0.704 0.161  0.803 -0.004  0.907 -0.165  0.952 -0.344  1.033 -0.509  1.153 -0.659  1.289 -0.795
1c#tos#f2#f2024065/f  -0.090 0.884  -0.081 0.812  0.078 0.812  0.232 0.830  0.357 0.924  0.459 1.005  0.565 1.113  0.649 1.241  0.674 1.389  0.686 1.529  0.556 1.459  0.495 1.326  0.421 1.193  0.368 1.045  0.309 0.898  0.248 0.752  0.170 0.614  0.120 0.464  0.075 0.312  0.034 0.159  -0.019 0.010  -0.077 -0.138  -0.155 -0.275  -0.227 -0.417  -0.294 -0.560  -0.360 -0.704  -0.448 -0.835  -0.519 -0.977  -0.558 -1.129  -0.597 -1.282  -0.675 -1.417  -0.687 -1.571  -0.607 -1.644  -0.483 -1.551  -0.412 -1.409  -0.342 -1.268  -0.270 -1.126  -0.191 -0.989  -0.128 -0.844  -0.080 -0.693  -0.018 -0.548  0.006 -0.395  0.060 -0.253  0.101 -0.107  0.101 0.051  0.101 0.210  0.094 0.365  0.006 0.320  0.108 0.226  0.244 0.191
1c#tos#f2#f2024065/h  -0.581 0.700  -0.771 0.669  -0.766 0.517  -0.576 0.487  -0.382 0.487  -0.200 0.540  -0.023 0.594  0.160 0.649  0.316 0.758  0.489 0.844  0.594 0.977  0.755 1.084  0.830 1.248  0.840 1.439  0.726 1.517  0.592 1.428  0.505 1.270  0.384 1.125  0.301 0.951  0.213 0.779  0.128 0.606  0.066 0.423  -0.004 0.247  -0.141 0.110  -0.189 -0.074  -0.263 -0.252  -0.353 -0.423  -0.446 -0.593  -0.536 -0.764  -0.646 -0.920  -0.758 -1.057  -0.812 -1.236  -0.845 -1.395  -0.714 -1.264  -0.639 -1.086  -0.502 -0.955  -0.375 -0.810  -0.244 -0.668  -0.127 -0.515  0.010 -0.379  0.172 -0.284  0.266 -0.123  0.307 -0.266  0.307 -0.459  0.307 -0.653  0.307 -0.846  0.376 -0.999  0.455 -1.137  0.647 -1.147  0.840 -1.147
1c#tos#f2#f2024065/i  -1.407 -0.814  -1.236 -0.785  -1.082 -0.694  -0.936 -0.594  -0.773 -0.531  -0.637 -0.421  -0.497 -0.310  -0.339 -0.228  -0.187 -0.139  -0.061 -0.012  0.066 0.115  0.140 0.263  0.201 0.417  0.328 0.544  0.241 0.607  0.129 0.531  0.027 0.397  -0.111 0.296  -0.162 0.138  -0.286 0.009  -0.372 -0.146  -0.419 -0.319  -0.445 -0.494  -0.445 -0.673  -0.445 -0.853  -0.439 -1.029  -0.362 -1.184  -0.241 -1.274  -0.061 -1.274  0.115 -1.249  0.260 -1.155  0.292 -0.980  0.320 -0.803  0.348 -0.626  0.376 -0.449  0.403 -0.272  0.431 -0.095  0.459 0.083  0.487 0.260  0.515 0.437  0.542 0.614  0.570 0.791  0.598 0.968  0.626 1.145  0.654 1.322  0.682 1.499  0.709 1.676  0.648 1.777  0.469 1.777  0.307 1.736
1c#tos#f2#f2024065/k  -0.810 0.154  -0.879 0.067  -0.664 0.157  -0.470 0.277  -0.255 0.356  -0.053 0.464  0.055 0.637  0.215 0.751  0.357 0.899  0.453 1.108  0.497 1.332  0.497 1.565  0.497 1.798  0.325 1.703  0.210 1.503  0.095 1.301  0.006 1.089  -0.066 0.867  -0.140 0.646  -0.245 0.437  -0.302 0.214  -0.353 -0.013  -0.426 -0.235  -0.499 -0.456  -0.535 -0.686  -0.591 -0.912  -0.621 -1.140  -0.669 -1.364  -0.669 -1.598  -0.610 -1.566  -0.478 -1.406  -0.397 -1.199  -0.288 -0.997  -0.213 -0.776  -0.113 -0.579  0.073 -0.442  0.131 -0.228  0.271 -0.041  0.458 0.090  0.638 0.213  0.869 0.225  0.921 0.044  0.798 -0.128  0.642 -0.286  0.462 -0.410  0.251 -0.482  0.158 -0.531  0.306 -0.708  0.520 -0.772  0.639 -0.941
1c#tos#f2#f2024065/m  -1.004 0.093  -1.214 0.093  -1.323 0.194  -1.239 0.321  -1.140 0.467  -1.012 0.620  -0.823 0.703  -0.668 0.793  -0.548 0.900  -0.351 0.914  -0.320 0.735  -0.320 0.524  -0.421 0.356  -0.495 0.172  -0.611 -0.003  -0.696 -0.193  -0.750 -0.393  -0.901 -0.520  -1.004 -0.650  -0.912 -0.686  -0.767 -0.537  -0.593 -0.431  -0.502 -0.293  -0.326 -0.201  -0.224 -0.035  -0.085 0.113  0.045 0.213  -0.064 0.061  -0.188 -0.104  -0.228 -0.307  -0.223 -0.441  -0.067 -0.348  0.114 -0.240  0.289 -0.127  0.453 -0.001  0.640 0.095  0.802 0.225  0.933 0.388  1.100 0.510  1.276 0.587  1.236 0.383  1.185 0.181  1.155 -0.025  1.139 -0.234  1.139 -0.444  1.185 -0.609  1.276 -0.728  1.486 -0.728  1.696 -0.728  1.869 -0.637
1c#tos#f2#f2024065/n  -1.115 0.451  -1.182 0.323  -1.377 0.323  -1.383 0.366  -1.314 0.536  -1.184 0.647  -1.045 0.756  -0.863 0.818  -0.695 0.917  -0.501 0.920  -0.306 0.920  -0.174 0.831  -0.135 0.652  -0.135 0.457  -0.135 0.262  -0.157 0.074  -0.257 -0.093  -0.269 -0.285  -0.348 -0.461  -0.367 -0.652  -0.454 -0.826  -0.579 -0.973  -0.604 -1.157  -0.522 -1.017  -0.355 -0.917  -0.342 -0.727  -0.270 -0.546  -0.220 -0.358  -0.064 -0.241  -0.045 -0.056  0.111 0.061  0.250 0.197  0.324 0.371  0.438 0.508  0.562 0.646  0.741 0.719  0.886 0.792  0.930 0.642  0.930 0.447  0.930 0.252  0.927 0.058  0.856 -0.123  0.802 -0.305  0.802 -0.500  0.802 -0.695  0.847 -0.870  1.042 -0.870  1.232 -0.841  1.414 -0.774  1.570 -0.657
1c#tos#f2#f2024065/r  -1.355 -0.495  -1.355 -0.623  -1.478 -0.655  -1.493 -0.711  -1.371 -0.693  -1.263 -0.623  -1.142 -0.582  -1.051 -0.493  -0.952 -0.413  -0.850 -0.336  -0.760 -0.245  -0.669 -0.155  -0.573 -0.071  -0.471 0.006  -0.351 0.046  -0.261 0.115  -0.204 0.225  -0.113 0.316  -0.037 0.417  0.008 0.536  0.068 0.648  0.110 0.764  0.110 0.892  0.080 1.015  0.024 1.098  0.108 1.141  0.229 1.119  0.337 1.055  0.444 0.996  0.497 0.901  0.557 0.810  0.583 0.698  0.583 0.570  0.583 0.442  0.583 0.314  0.583 0.186  0.583 0.058  0.583 -0.070  0.583 -0.198  0.583 -0.326  0.552 -0.441  0.540 -0.564  0.540 -0.692  0.561 -0.807  0.638 -0.883  0.766 -0.883  0.894 -0.881  1.018 -0.850  1.145 -0.840  1.273 -0.840
1c#tos#f2#f2024065/v  -1.266 -0.900  -1.353 -0.826  -1.353 -0.664  -1.312 -0.513  -1.201 -0.410  -1.141 -0.260  -1.048 -0.154  -1.020 -0.006  -0.891 0.090  -0.846 0.240  -0.765 0.365  -0.673 0.487  -0.581 0.614  -0.467 0.729  -0.330 0.812  -0.198 0.900  -0.131 0.846  -0.131 0.685  -0.131 0.523  -0.131 0.362  -0.131 0.201  -0.131 0.039  -0.131 -0.122  -0.131 -0.283  -0.131 -0.445  -0.131 -0.606  -0.131 -0.767  -0.131 -0.928  -0.058 -1.060  0.052 -1.114  0.196 -1.041  0.310 -0.930  0.375 -0.786  0.491 -0.674  0.620 -0.577  0.698 -0.451  0.722 -0.297  0.806 -0.160  0.878 -0.015  0.951 0.129  0.960 0.288  0.960 0.449  0.960 0.611  0.960 0.772  0.887 0.911  0.842 0.994  0.952 0.898  1.047 0.776  1.142 0.683  1.265 0.584
1c#tos#f2#f2024065/x  -1.323 -0.485  -1.416 -0.472  -1.416 -0.271  -1.392 -0.075  -1.337 0.118  -1.276 0.309  -1.152 0.459  -0.997 0.586  -0.874 0.737  -0.704 0.833  -0.518 0.867  -0.332 0.845  -0.258 0.659  -0.250 0.460  -0.208 0.270  -0.157 0.082  -0.091 -0.103  -0.030 -0.293  0.029 -0.484  0.113 -0.662  0.217 -0.819  0.335 -0.956  0.498 -1.045  0.698 -1.045  0.870 -1.016  0.959 -0.905  1.003 -0.720  0.988 -0.521  0.973 -0.321  0.958 -0.121  0.943 0.079  0.928 0.278  0.913 0.478  0.898 0.678  0.883 0.877  0.853 1.070  0.665 1.101  0.533 1.024  0.459 0.839  0.354 0.669  0.298 0.478  0.178 0.318  0.124 0.126  0.006 -0.035  -0.089 -0.211  -0.179 -0.390  -0.273 -0.566  -0.387 -0.731  -0.483 -0.899  -0.530 -1.092
1c#tos#f2#f2024065/y  -0.063 1.383  -0.210 1.371  -0.301 1.283  -0.330 1.136  -0.352 0.979  -0.364 0.822  -0.431 0.684  -0.431 0.525  -0.332 0.465  -0.190 0.522  -0.078 0.634  0.016 0.761  0.164 0.820  0.219 0.956  0.315 1.064  0.378 1.197  0.414 1.347  0.414 1.261  0.392 1.106  0.341 0.957  0.311 0.802  0.268 0.649  0.256 0.492  0.231 0.336  0.231 0.177  0.231 0.018  0.220 -0.140  0.186 -0.295  0.136 -0.446  0.099 -0.600  0.067 -0.756  0.023 -0.907  0.010 -1.063  -0.023 -1.216  -0.027 -1.375  -0.137 -1.454  -0.151 -1.607  -0.285 -1.593  -0.404 -1.544  -0.431 -1.388  -0.431 -1.229  -0.424 -1.073  -0.389 -0.929  -0.252 -0.849  -0.150 -0.731  -0.009 -0.668  0.139 -0.608  0.236 -0.487  0.373 -0.406  0.525 -0.381
